Date,Open,High,Low,Close,Volume
31-Dec-13,2.09,2.10,2.05,2.08,629888
30-Dec-13,2.10,2.10,2.08,2.09,65631
27-Dec-13,2.20,2.20,2.08,2.10,58565
26-Dec-13,2.10,2.22,2.08,2.20,50348
24-Dec-13,2.08,2.11,2.08,2.10,10073
23-Dec-13,2.12,2.15,2.07,2.14,67451
20-Dec-13,2.15,2.19,2.12,2.14,18682
19-Dec-13,2.10,2.22,2.10,2.19,177948
18-Dec-13,2.14,2.15,2.09,2.15,23089
17-Dec-13,2.08,2.15,2.06,2.14,107716
16-Dec-13,2.18,2.20,2.05,2.08,155799
13-Dec-13,2.15,2.18,2.13,2.18,21843
12-Dec-13,2.06,2.16,2.04,2.15,42738
11-Dec-13,2.08,2.12,2.03,2.07,71315
10-Dec-13,2.16,2.17,2.09,2.12,626518
9-Dec-13,2.11,2.18,2.05,2.16,140429
6-Dec-13,2.08,2.11,2.05,2.11,11324
5-Dec-13,2.08,2.11,2.05,2.08,127018
4-Dec-13,2.07,2.12,2.06,2.11,61423
3-Dec-13,2.10,2.12,2.10,2.12,60167
2-Dec-13,2.19,2.19,2.11,2.12,42597
29-Nov-13,2.19,2.24,2.15,2.23,6602
27-Nov-13,2.20,2.25,2.10,2.18,64394
26-Nov-13,2.20,2.20,2.15,2.20,19351
25-Nov-13,2.30,2.30,2.20,2.25,324625
22-Nov-13,2.19,2.30,2.17,2.23,2096354
21-Nov-13,2.15,2.19,2.15,2.18,24861
20-Nov-13,2.12,2.21,2.12,2.20,14377
19-Nov-13,2.22,2.22,2.01,2.20,217222
18-Nov-13,2.23,2.24,2.20,2.23,80919
15-Nov-13,2.26,2.26,2.21,2.25,49344
14-Nov-13,2.25,2.26,2.21,2.26,47505
13-Nov-13,2.25,2.27,2.25,2.26,289310
12-Nov-13,2.30,2.30,2.23,2.23,66481
11-Nov-13,2.28,2.38,2.27,2.27,27512
8-Nov-13,2.38,2.38,2.20,2.34,106506
7-Nov-13,2.36,2.40,2.34,2.34,16992
6-Nov-13,2.40,2.40,2.35,2.38,176994
5-Nov-13,2.40,2.40,2.38,2.39,139453
4-Nov-13,2.41,2.43,2.39,2.40,415281
1-Nov-13,2.43,2.43,2.39,2.42,441002
31-Oct-13,2.40,2.44,2.39,2.42,241282
30-Oct-13,2.32,2.44,2.32,2.41,1069454
29-Oct-13,2.32,2.32,2.30,2.30,11905
28-Oct-13,2.34,2.34,2.30,2.32,33103
25-Oct-13,2.29,2.36,2.27,2.34,60944
24-Oct-13,2.28,2.30,2.28,2.30,20779
23-Oct-13,2.34,2.34,2.28,2.28,81168
22-Oct-13,2.30,2.36,2.30,2.33,182920
21-Oct-13,2.28,2.36,2.26,2.30,846383
18-Oct-13,2.25,2.28,2.24,2.28,26862
17-Oct-13,2.23,2.25,2.19,2.25,319232
16-Oct-13,2.20,2.27,2.20,2.22,171920
15-Oct-13,2.28,2.30,2.21,2.23,41910
14-Oct-13,2.24,2.30,2.24,2.28,110735
11-Oct-13,2.22,2.28,2.21,2.25,39049
10-Oct-13,2.22,2.30,2.21,2.26,91643
9-Oct-13,2.31,2.40,2.21,2.22,259139
8-Oct-13,2.32,2.34,2.30,2.30,88426
7-Oct-13,2.34,2.34,2.30,2.34,103045
4-Oct-13,2.30,2.34,2.30,2.34,192103
3-Oct-13,2.29,2.34,2.29,2.34,468474
2-Oct-13,2.29,2.30,2.25,2.30,229802
1-Oct-13,2.25,2.32,2.20,2.30,852985
30-Sep-13,2.34,2.35,2.17,2.18,1720210
27-Sep-13,2.08,2.21,2.06,2.20,189511
26-Sep-13,2.08,2.09,2.07,2.07,37251
25-Sep-13,2.09,2.10,2.05,2.06,67460
24-Sep-13,2.05,2.11,2.01,2.07,104337
23-Sep-13,2.10,2.12,2.05,2.11,77317
20-Sep-13,2.01,2.15,2.00,2.14,3492239
19-Sep-13,2.05,2.05,2.03,2.04,43683
18-Sep-13,2.06,2.08,2.04,2.08,17917
17-Sep-13,2.05,2.07,2.05,2.06,11299
16-Sep-13,2.05,2.06,2.05,2.05,59089
13-Sep-13,2.09,2.09,2.05,2.06,199629
12-Sep-13,2.08,2.10,2.07,2.09,396867
11-Sep-13,2.06,2.11,2.06,2.08,85348
10-Sep-13,2.10,2.11,2.05,2.05,67154
9-Sep-13,2.05,2.10,2.05,2.10,16736
6-Sep-13,2.07,2.09,2.05,2.05,48094
5-Sep-13,2.07,2.10,2.07,2.09,14290
4-Sep-13,2.10,2.10,2.05,2.07,78119
3-Sep-13,2.10,2.10,2.02,2.05,193531
30-Aug-13,2.12,2.12,2.00,2.12,64645
29-Aug-13,2.12,2.16,2.12,2.12,47197
28-Aug-13,2.13,2.15,2.13,2.14,19180
27-Aug-13,2.12,2.15,2.12,2.12,18098
26-Aug-13,2.15,2.20,2.12,2.12,119419
23-Aug-13,2.15,2.16,2.15,2.15,82443
