Date,Open,High,Low,Close,Volume
31-Dec-13,44.84,45.70,44.75,45.39,1247006
30-Dec-13,44.90,45.18,44.42,44.83,888782
27-Dec-13,45.13,45.22,44.73,44.82,572524
26-Dec-13,44.89,45.30,44.51,44.95,1009694
24-Dec-13,44.57,44.92,44.50,44.58,798942
23-Dec-13,43.93,44.70,43.68,44.66,12069066
20-Dec-13,43.10,44.26,42.76,43.67,2202780
19-Dec-13,42.00,42.72,41.78,42.56,1137454
18-Dec-13,41.76,42.28,40.92,41.94,826618
17-Dec-13,41.40,42.28,41.30,41.81,984924
16-Dec-13,41.49,41.71,40.96,41.42,566856
13-Dec-13,40.40,41.04,40.31,40.96,755042
12-Dec-13,40.90,40.92,40.08,40.33,571458
11-Dec-13,41.26,41.29,40.70,40.95,503832
10-Dec-13,41.89,42.00,41.08,41.31,557406
9-Dec-13,41.86,42.46,41.67,42.06,755984
6-Dec-13,41.50,42.01,41.28,41.64,977104
5-Dec-13,41.27,41.50,41.04,41.42,1078696
4-Dec-13,40.60,41.50,40.25,41.27,1274312
3-Dec-13,41.00,41.23,40.40,40.66,1040126
2-Dec-13,41.38,41.49,41.00,41.03,547548
29-Nov-13,41.70,41.98,41.26,41.34,266478
27-Nov-13,41.59,41.71,41.26,41.45,612612
26-Nov-13,40.53,41.67,40.38,41.22,1307206
25-Nov-13,41.85,41.85,39.80,39.92,1808094
22-Nov-13,41.84,42.13,41.56,41.84,379156
21-Nov-13,41.16,41.91,41.08,41.76,398072
20-Nov-13,41.75,42.00,41.00,41.16,449098
19-Nov-13,42.02,42.14,41.40,41.70,502236
18-Nov-13,42.28,42.56,41.88,42.13,640000
15-Nov-13,42.40,42.50,41.82,42.26,795888
14-Nov-13,42.68,42.68,42.05,42.40,1448866
13-Nov-13,41.60,42.50,41.18,42.50,814074
12-Nov-13,41.66,41.86,41.33,41.70,447644
11-Nov-13,41.95,42.25,41.74,41.89,788106
8-Nov-13,41.41,42.48,41.36,41.85,1248124
7-Nov-13,43.12,43.36,41.34,41.42,1216182
6-Nov-13,42.52,44.18,41.79,43.12,1860216
