Date,Open,High,Low,Close,Volume
31-Dec-13,16.50,17.04,16.35,16.41,7291
30-Dec-13,16.35,16.50,16.35,16.43,4686
27-Dec-13,16.15,16.55,16.15,16.37,16443
26-Dec-13,15.54,16.16,15.52,16.07,2226
23-Dec-13,16.05,16.16,15.75,16.13,5246
20-Dec-13,16.10,16.21,15.69,15.85,7125
19-Dec-13,15.37,16.24,15.37,16.02,10132
18-Dec-13,16.25,16.30,16.00,16.24,3418
17-Dec-13,16.55,16.55,15.79,16.09,2738
16-Dec-13,16.21,16.59,15.95,16.26,2494
13-Dec-13,16.24,16.44,16.20,16.33,7966
12-Dec-13,15.96,16.53,15.96,16.44,662
11-Dec-13,16.30,16.30,16.09,16.09,51436
10-Dec-13,16.17,16.30,16.05,16.28,13241
9-Dec-13,16.25,16.77,16.01,16.10,35681
6-Dec-13,16.47,16.90,16.40,16.40,646
5-Dec-13,16.40,16.60,16.20,16.37,4071
4-Dec-13,16.07,16.59,16.07,16.07,400
3-Dec-13,16.18,16.60,15.60,16.28,2901
2-Dec-13,16.26,16.31,16.26,16.31,717
29-Nov-13,16.55,16.55,16.55,16.55,135
27-Nov-13,16.46,16.46,16.43,16.43,419
26-Nov-13,16.26,16.60,16.26,16.40,11622
25-Nov-13,16.51,16.60,16.41,16.41,20734
22-Nov-13,16.39,16.39,16.39,16.39,228
21-Nov-13,16.80,16.80,16.80,16.80,233
20-Nov-13,16.74,16.74,16.40,16.65,11879
19-Nov-13,16.90,16.90,16.50,16.75,1580
18-Nov-13,16.87,16.90,16.51,16.88,32592
15-Nov-13,16.67,16.75,16.54,16.74,1242
14-Nov-13,16.79,16.88,16.28,16.78,14891
13-Nov-13,16.66,16.66,15.51,16.49,5134
12-Nov-13,17.17,17.25,15.83,16.79,31058
11-Nov-13,17.25,17.25,17.25,17.25,148
8-Nov-13,16.22,17.10,15.96,17.10,31119
7-Nov-13,16.50,16.75,16.25,16.37,22021
6-Nov-13,17.00,17.50,17.00,17.42,10900
5-Nov-13,17.51,17.51,17.14,17.14,717
4-Nov-13,17.50,17.75,17.26,17.50,3824
1-Nov-13,17.98,18.12,17.25,17.70,2311
31-Oct-13,17.16,17.98,16.50,17.20,14615
30-Oct-13,17.50,17.81,17.04,17.81,1200
29-Oct-13,17.70,17.90,17.70,17.75,3000
28-Oct-13,17.95,18.10,17.70,17.90,29200
25-Oct-13,17.24,18.42,17.20,18.00,10753
24-Oct-13,17.01,17.49,17.00,17.49,4900
23-Oct-13,16.62,17.25,16.62,17.25,4702
22-Oct-13,17.00,17.25,16.50,17.25,5711
21-Oct-13,17.00,17.10,16.97,17.10,1100
18-Oct-13,17.53,17.53,17.10,17.10,900
14-Oct-13,17.30,17.30,17.09,17.09,603
11-Oct-13,16.70,17.24,16.30,17.24,5415
10-Oct-13,16.07,16.51,16.07,16.51,3275
9-Oct-13,16.32,16.32,16.32,16.32,300
8-Oct-13,16.37,16.37,16.21,16.23,1781
7-Oct-13,16.30,16.30,16.30,16.30,17130
3-Oct-13,16.17,16.34,16.10,16.34,741
2-Oct-13,16.46,16.46,16.00,16.07,1319
1-Oct-13,16.15,16.70,16.15,16.50,9769
30-Sep-13,16.00,16.00,16.00,16.00,909
27-Sep-13,16.15,16.16,16.15,16.15,2074
26-Sep-13,15.54,16.10,15.54,16.10,1457
25-Sep-13,16.14,16.14,15.49,15.71,1325
20-Sep-13,16.29,16.45,16.29,16.45,1945
19-Sep-13,15.94,15.94,15.75,15.84,900
18-Sep-13,15.75,16.01,15.50,15.50,1529
17-Sep-13,15.68,15.68,15.63,15.63,403
16-Sep-13,15.93,15.93,15.64,15.64,304
13-Sep-13,15.79,15.79,15.79,15.79,200
12-Sep-13,16.21,16.42,15.55,16.42,5041
11-Sep-13,16.00,16.24,15.29,16.24,1481
10-Sep-13,16.36,16.36,16.00,16.25,25704
9-Sep-13,16.50,16.50,15.41,16.28,4141
6-Sep-13,16.84,16.84,16.84,16.84,500
5-Sep-13,16.16,16.16,16.12,16.12,651
4-Sep-13,16.12,16.12,16.05,16.05,25751
3-Sep-13,16.00,16.21,15.25,16.21,19547
30-Aug-13,15.64,16.19,15.64,16.19,264
29-Aug-13,15.62,15.62,15.62,15.62,200
28-Aug-13,16.15,16.15,15.68,15.68,209
27-Aug-13,16.09,16.15,15.96,15.96,2896
26-Aug-13,15.13,15.91,15.13,15.91,1500
23-Aug-13,15.90,15.96,15.90,15.96,378
22-Aug-13,16.00,16.20,15.90,16.06,6003
21-Aug-13,15.85,15.85,15.85,15.85,100
20-Aug-13,15.75,15.80,15.75,15.80,1200
19-Aug-13,15.75,15.85,15.45,15.85,5812
16-Aug-13,15.78,15.78,15.66,15.66,1555
15-Aug-13,15.95,16.14,15.95,16.00,6000
14-Aug-13,15.79,16.09,15.79,16.02,700
13-Aug-13,16.00,16.06,15.61,16.06,4251
12-Aug-13,15.60,15.81,15.25,15.75,10970
9-Aug-13,15.75,15.75,15.75,15.75,400
8-Aug-13,15.36,15.90,15.36,15.80,497
7-Aug-13,16.14,16.14,15.52,15.52,400
6-Aug-13,15.75,15.75,15.69,15.69,400
5-Aug-13,15.50,15.69,15.50,15.69,207
2-Aug-13,15.44,15.44,15.44,15.44,300
1-Aug-13,15.74,15.74,15.50,15.50,400
31-Jul-13,15.50,15.86,15.13,15.25,600
30-Jul-13,15.45,15.60,15.11,15.29,1100
29-Jul-13,15.16,15.76,15.16,15.35,4907
26-Jul-13,15.84,15.84,15.22,15.56,2456
25-Jul-13,15.81,16.08,15.80,15.87,1492
24-Jul-13,15.80,15.84,15.80,15.84,571
23-Jul-13,15.55,15.98,15.55,15.84,438
22-Jul-13,15.42,15.85,15.10,15.85,3146
19-Jul-13,15.04,16.10,15.04,15.99,15033
