Date,Open,High,Low,Close,Volume
31-Dec-13,18.35,19.25,18.27,19.25,8316
30-Dec-13,18.88,18.88,18.21,18.79,144740
27-Dec-13,19.02,19.19,18.56,18.77,5166
26-Dec-13,17.11,19.11,17.11,18.95,5178
24-Dec-13,19.25,19.25,19.05,19.24,978
23-Dec-13,19.08,19.20,19.06,19.20,4169
20-Dec-13,18.47,19.08,18.44,19.08,20451
19-Dec-13,18.50,18.55,17.98,18.55,13201
18-Dec-13,18.40,18.45,18.15,18.25,203477
17-Dec-13,18.90,18.90,18.27,18.47,12057
16-Dec-13,19.00,19.04,18.69,18.80,3329
13-Dec-13,19.02,19.07,18.52,18.96,2818
12-Dec-13,18.97,19.09,18.64,18.93,7640
11-Dec-13,18.81,19.17,18.32,18.88,17836
10-Dec-13,18.50,19.03,18.22,18.90,8971
9-Dec-13,18.81,19.04,18.28,18.52,10221
6-Dec-13,18.80,18.90,17.76,18.64,6001
5-Dec-13,17.77,19.19,17.77,18.90,12640
4-Dec-13,17.55,17.77,17.55,17.76,13846
3-Dec-13,17.32,17.72,17.27,17.51,49379
2-Dec-13,17.33,17.45,17.26,17.27,11577
29-Nov-13,17.69,17.76,17.53,17.67,3174
27-Nov-13,17.32,17.81,17.31,17.81,12324
26-Nov-13,17.68,17.80,17.65,17.67,9730
25-Nov-13,17.60,17.70,17.57,17.69,29749
22-Nov-13,17.60,17.71,17.43,17.66,4194
21-Nov-13,17.65,17.75,17.40,17.50,8743
20-Nov-13,17.56,17.65,17.34,17.60,14460
19-Nov-13,17.34,17.65,17.34,17.53,8032
18-Nov-13,17.29,17.48,17.26,17.38,3096
15-Nov-13,17.06,17.47,17.06,17.37,4700
14-Nov-13,17.34,17.48,17.12,17.48,13170
13-Nov-13,17.54,17.54,17.06,17.34,7314
12-Nov-13,17.30,17.64,17.14,17.50,6816
11-Nov-13,17.04,17.65,17.04,17.36,4309
8-Nov-13,17.31,17.62,17.22,17.45,3734
7-Nov-13,17.23,17.23,17.23,17.23,287
6-Nov-13,17.63,17.73,17.43,17.61,11721
5-Nov-13,17.73,17.75,17.31,17.75,9896
4-Nov-13,17.07,17.70,17.01,17.70,17851
1-Nov-13,17.09,17.10,17.01,17.05,83216
31-Oct-13,17.05,17.20,17.01,17.18,27585
30-Oct-13,17.10,17.16,17.03,17.13,25600
29-Oct-13,17.10,17.14,17.07,17.10,64987
28-Oct-13,17.22,17.31,17.01,17.03,38348
25-Oct-13,17.60,17.60,17.15,17.25,112312
24-Oct-13,17.84,17.85,17.56,17.82,6179
23-Oct-13,17.50,17.85,17.50,17.79,5401
22-Oct-13,17.78,17.86,17.60,17.73,9094
21-Oct-13,17.50,17.84,17.38,17.84,14696
18-Oct-13,17.71,17.90,17.66,17.77,3789
17-Oct-13,17.69,17.90,17.62,17.90,11229
16-Oct-13,17.80,17.90,17.69,17.90,8874
15-Oct-13,17.58,17.90,17.54,17.78,10147
14-Oct-13,17.70,17.80,17.68,17.71,2378
11-Oct-13,17.67,17.84,17.57,17.68,4243
10-Oct-13,17.71,17.84,17.59,17.74,7642
9-Oct-13,17.52,17.77,17.45,17.52,12279
8-Oct-13,17.54,17.60,17.42,17.59,19292
7-Oct-13,17.59,17.66,17.45,17.65,30165
4-Oct-13,17.55,17.80,17.55,17.63,8766
3-Oct-13,17.75,17.75,17.56,17.64,12497
2-Oct-13,17.75,17.87,17.55,17.76,35528
1-Oct-13,17.50,17.77,17.47,17.69,19191
30-Sep-13,17.35,17.72,17.35,17.42,5453
27-Sep-13,17.38,17.64,17.36,17.47,14446
26-Sep-13,17.49,17.53,17.30,17.43,42917
25-Sep-13,17.77,17.84,17.28,17.34,8222
24-Sep-13,17.20,17.48,17.20,17.30,14477
23-Sep-13,17.46,17.51,17.17,17.25,10167
20-Sep-13,17.32,17.53,17.15,17.53,11592
19-Sep-13,17.16,17.35,17.16,17.35,9639
18-Sep-13,17.25,17.47,17.16,17.17,7037
17-Sep-13,17.31,17.49,17.11,17.26,10296
16-Sep-13,17.49,17.75,17.15,17.28,10759
13-Sep-13,17.29,17.83,17.27,17.47,12695
12-Sep-13,17.49,17.59,17.43,17.43,4283
11-Sep-13,17.26,17.62,17.26,17.50,16024
10-Sep-13,17.36,17.76,17.26,17.71,7970
9-Sep-13,17.78,17.78,17.31,17.49,15845
6-Sep-13,17.87,17.99,17.54,17.83,4129
5-Sep-13,17.74,17.80,17.29,17.79,3056
4-Sep-13,17.81,17.87,17.33,17.69,6121
3-Sep-13,18.00,18.00,17.28,17.86,25953
30-Aug-13,18.31,18.55,17.80,17.85,35426
29-Aug-13,18.51,18.75,18.35,18.58,12744
28-Aug-13,18.42,18.68,18.30,18.56,26459
