Date,Open,High,Low,Close,Volume
31-Dec-13,24.27,24.29,23.79,24.01,789280
30-Dec-13,24.03,24.54,23.85,24.13,767292
27-Dec-13,24.11,24.60,24.01,24.45,657465
26-Dec-13,24.34,24.54,24.04,24.16,639128
24-Dec-13,24.88,24.88,24.26,24.33,589010
23-Dec-13,24.47,24.79,24.23,24.53,721615
20-Dec-13,24.00,24.50,23.76,24.33,1387761
19-Dec-13,24.18,24.36,23.80,23.95,612275
18-Dec-13,23.24,24.30,23.19,24.26,1170129
17-Dec-13,23.24,23.49,22.94,23.11,648943
16-Dec-13,23.68,23.89,22.88,23.18,2134320
13-Dec-13,23.22,23.22,22.71,22.98,881657
12-Dec-13,21.98,23.16,21.70,23.09,1592467
11-Dec-13,23.07,23.37,22.81,23.00,1299991
10-Dec-13,22.55,23.50,22.22,23.01,3192534
9-Dec-13,21.03,21.76,20.99,21.65,2387782
6-Dec-13,20.98,21.30,20.66,21.06,474615
5-Dec-13,20.95,20.97,20.64,20.72,347830
4-Dec-13,21.03,21.37,20.69,20.94,1053313
3-Dec-13,21.37,21.45,21.18,21.22,385119
2-Dec-13,21.28,21.66,21.05,21.52,883058
29-Nov-13,21.13,21.38,20.96,21.07,382895
27-Nov-13,20.98,21.14,20.82,21.06,547894
26-Nov-13,20.88,21.26,20.86,20.97,1197193
25-Nov-13,21.05,21.18,20.82,20.90,499031
22-Nov-13,21.02,21.17,20.80,21.04,599609
21-Nov-13,20.67,21.02,20.42,21.01,493118
20-Nov-13,20.86,21.00,20.50,20.67,490518
19-Nov-13,20.97,20.98,20.55,20.75,600586
18-Nov-13,20.95,21.06,20.60,20.76,1136457
15-Nov-13,20.74,21.02,20.67,20.86,1381497
14-Nov-13,20.21,20.77,19.92,20.53,999577
13-Nov-13,19.93,20.33,19.80,20.29,975925
12-Nov-13,19.92,20.03,19.55,19.97,806079
11-Nov-13,19.89,20.22,19.67,20.03,946617
8-Nov-13,19.70,20.20,19.65,19.83,1219704
7-Nov-13,20.35,20.61,19.69,19.70,1213109
6-Nov-13,20.87,20.87,20.17,20.28,1508684
5-Nov-13,20.33,21.75,20.33,20.80,4787144
4-Nov-13,19.88,20.37,19.88,20.28,707921
1-Nov-13,20.17,20.39,19.83,19.84,1819599
31-Oct-13,20.94,20.99,19.88,20.19,2367684
30-Oct-13,21.74,21.77,20.95,20.97,2391883
29-Oct-13,21.85,22.06,21.33,21.73,1066698
28-Oct-13,22.10,22.36,21.68,21.68,1078020
25-Oct-13,21.75,22.71,21.67,22.16,998351
24-Oct-13,21.10,21.67,20.97,21.67,862614
23-Oct-13,21.35,21.38,20.92,21.12,687611
22-Oct-13,20.61,21.56,20.61,21.39,2042970
21-Oct-13,21.05,21.42,20.47,20.60,1975703
18-Oct-13,20.70,21.14,20.37,20.96,1349585
17-Oct-13,20.33,20.65,19.97,20.53,2197051
16-Oct-13,20.59,20.78,19.97,20.37,4497810
15-Oct-13,21.15,21.29,20.47,20.47,2057227
14-Oct-13,20.79,21.35,20.33,21.31,646226
11-Oct-13,21.00,21.07,20.41,21.00,2069280
10-Oct-13,21.06,21.14,20.78,21.02,1069246
9-Oct-13,21.08,21.26,20.68,20.84,958215
8-Oct-13,21.85,21.87,21.04,21.09,1306352
7-Oct-13,21.91,22.11,21.54,21.87,896171
4-Oct-13,22.21,22.43,22.09,22.20,409056
3-Oct-13,22.56,22.58,22.03,22.15,637863
2-Oct-13,22.00,22.84,21.88,22.40,884993
1-Oct-13,21.84,22.44,21.79,22.22,1016245
30-Sep-13,21.72,22.28,21.52,21.97,4945143
27-Sep-13,22.31,22.46,21.87,22.03,1382409
26-Sep-13,22.11,22.62,22.11,22.47,934032
25-Sep-13,23.49,23.49,22.11,22.15,459492
24-Sep-13,22.11,22.74,21.92,22.38,760896
23-Sep-13,22.72,22.90,21.94,21.98,1813304
20-Sep-13,23.43,23.78,22.64,22.75,3576139
19-Sep-13,23.21,23.50,23.10,23.34,2032094
