Date,Open,High,Low,Close,Volume
31-Dec-13,13.98,14.20,13.79,14.04,6537
30-Dec-13,13.78,14.68,13.69,13.72,116582
27-Dec-13,13.40,14.49,13.14,13.55,115111
26-Dec-13,13.26,13.47,13.19,13.38,2895
24-Dec-13,13.11,13.50,13.06,13.18,1300
23-Dec-13,13.19,13.50,12.93,13.10,1697
20-Dec-13,12.15,12.89,12.00,12.68,5987
19-Dec-13,11.71,12.34,11.68,12.25,2075
18-Dec-13,12.14,12.21,11.60,11.83,4155
17-Dec-13,12.40,12.40,11.90,12.03,9379
16-Dec-13,11.30,12.25,11.15,12.24,131109
13-Dec-13,10.70,11.50,10.70,10.85,3876
12-Dec-13,10.60,11.04,10.21,11.00,6922
11-Dec-13,11.30,11.45,10.46,10.57,87922
10-Dec-13,11.42,11.49,11.10,11.21,2911
9-Dec-13,11.26,11.56,11.08,11.26,4899
6-Dec-13,11.06,11.35,10.99,11.30,3400
5-Dec-13,11.45,11.54,10.75,11.01,18683
4-Dec-13,11.90,12.05,11.29,11.39,41644
3-Dec-13,12.00,12.34,11.30,11.76,84173
2-Dec-13,12.40,12.93,11.80,12.08,705
29-Nov-13,12.06,12.39,12.00,12.05,3095
27-Nov-13,12.70,13.18,12.01,12.06,105312
26-Nov-13,13.49,13.49,12.51,12.70,31669
25-Nov-13,12.86,13.42,12.59,12.65,4950
22-Nov-13,13.39,13.47,12.86,12.95,89205
21-Nov-13,13.00,13.49,13.00,13.43,1242
20-Nov-13,13.20,13.41,12.65,12.77,4497
19-Nov-13,13.77,13.78,13.06,13.12,79774
18-Nov-13,13.82,13.87,13.46,13.57,6951
15-Nov-13,14.91,15.00,13.88,13.88,11003
14-Nov-13,14.99,15.25,14.25,14.80,120156
13-Nov-13,16.15,16.34,14.60,15.47,9198
12-Nov-13,15.99,16.70,15.95,16.15,4301
11-Nov-13,16.00,16.10,15.55,15.70,6737
8-Nov-13,14.02,15.30,13.90,15.25,2504
7-Nov-13,14.28,14.40,13.52,13.93,41011
6-Nov-13,14.25,14.39,14.00,14.01,3239
5-Nov-13,14.50,14.75,14.05,14.25,5225
4-Nov-13,14.34,14.74,14.27,14.34,2205
1-Nov-13,14.87,14.89,14.05,14.24,30962
31-Oct-13,14.29,14.99,13.93,14.64,3776
30-Oct-13,14.35,14.90,14.14,14.68,2160
29-Oct-13,14.81,14.81,13.62,14.41,40562
28-Oct-13,13.97,14.97,13.61,14.82,2010
25-Oct-13,13.09,14.48,13.09,13.76,5174
24-Oct-13,13.11,13.40,12.82,13.09,2703
23-Oct-13,13.84,13.98,13.10,13.10,19351
22-Oct-13,14.30,14.45,13.39,13.94,30304
21-Oct-13,14.50,15.22,13.62,13.99,4240
18-Oct-13,14.23,14.95,13.83,14.50,2416
17-Oct-13,13.09,14.25,13.09,14.25,30181
16-Oct-13,13.00,13.49,12.95,13.14,19530
15-Oct-13,12.36,13.00,12.34,13.00,850
14-Oct-13,12.11,12.50,12.11,12.41,4223
11-Oct-13,12.42,13.00,12.42,12.75,28875
10-Oct-13,11.99,12.75,11.84,12.53,34723
9-Oct-13,11.24,12.00,11.24,11.73,80662
8-Oct-13,11.80,11.80,11.05,11.11,1700
7-Oct-13,11.94,11.98,11.21,11.94,3618
4-Oct-13,12.27,12.59,11.76,11.90,45968
3-Oct-13,12.81,12.91,12.01,12.30,2553
2-Oct-13,12.96,12.99,12.69,12.92,700
1-Oct-13,12.50,13.21,12.50,12.85,653
30-Sep-13,12.51,12.90,12.51,12.53,31097
27-Sep-13,12.73,12.86,12.53,12.73,20720
26-Sep-13,12.73,12.98,12.73,12.74,22133
25-Sep-13,12.87,12.95,12.65,12.68,5147
24-Sep-13,12.86,13.35,12.65,12.96,38016
23-Sep-13,13.62,13.75,12.77,12.82,52264
20-Sep-13,13.32,13.78,12.98,13.36,1700
19-Sep-13,13.22,13.39,13.00,13.32,40824
18-Sep-13,13.12,13.42,12.55,13.28,5854
17-Sep-13,13.14,13.44,12.86,13.09,30777
16-Sep-13,13.19,13.91,13.01,13.14,70537
13-Sep-13,11.70,13.10,11.35,12.81,295775
12-Sep-13,12.70,13.00,10.57,11.73,445048
11-Sep-13,13.93,13.93,12.80,12.89,8871
10-Sep-13,14.31,14.49,13.61,13.90,4489
9-Sep-13,13.01,14.38,13.00,14.25,96302
6-Sep-13,14.58,14.96,12.83,13.06,148491
5-Sep-13,14.21,14.87,14.17,14.41,46950
4-Sep-13,14.88,15.30,14.14,14.46,10511
3-Sep-13,15.83,16.05,14.75,14.96,6361
30-Aug-13,15.77,16.19,15.55,15.95,2039
29-Aug-13,16.06,16.40,15.80,16.00,78728
28-Aug-13,15.85,16.20,15.32,16.10,6208
27-Aug-13,16.37,16.39,15.80,15.80,1773
26-Aug-13,15.97,16.43,15.97,16.35,51111
23-Aug-13,16.01,16.15,15.70,16.10,60971
22-Aug-13,15.72,16.01,15.42,16.00,6021
21-Aug-13,15.57,15.99,15.57,15.80,3959
20-Aug-13,15.30,15.85,15.28,15.50,5767
19-Aug-13,15.11,15.69,15.11,15.48,6774
16-Aug-13,15.46,15.69,15.02,15.24,7896
15-Aug-13,14.37,15.55,14.30,15.21,148859
14-Aug-13,14.65,14.97,14.44,14.46,76121
13-Aug-13,16.00,16.00,14.60,14.69,174285
12-Aug-13,15.40,16.00,15.02,15.25,13308
9-Aug-13,16.50,16.76,14.36,15.01,308319
