Date,Open,High,Low,Close,Volume
4-Mar-13,5.09,5.10,5.09,5.10,1050
1-Mar-13,5.10,5.13,5.10,5.10,1200
28-Feb-13,5.12,5.12,5.10,5.10,1050
27-Feb-13,5.13,5.13,5.00,5.03,2152
26-Feb-13,4.97,5.13,4.97,5.13,1500
25-Feb-13,5.17,5.17,5.00,5.00,2400
22-Feb-13,5.06,5.06,5.06,5.06,1950
21-Feb-13,4.93,4.93,4.83,4.83,1950
20-Feb-13,4.83,5.07,4.83,5.00,3994
19-Feb-13,5.00,5.03,5.00,5.00,5625
15-Feb-13,5.00,5.03,5.00,5.00,3225
14-Feb-13,5.00,5.00,5.00,5.00,3000
13-Feb-13,5.17,5.17,4.44,4.44,3300
12-Feb-13,5.10,5.10,5.00,5.00,6000
11-Feb-13,5.00,5.00,5.00,5.00,1800
8-Feb-13,4.87,5.17,4.87,5.17,3513
7-Feb-13,4.84,4.84,4.83,4.83,3000
6-Feb-13,4.77,4.83,4.77,4.83,1650
5-Feb-13,4.67,4.77,4.67,4.77,3075
4-Feb-13,4.80,4.81,4.67,4.67,3900
1-Feb-13,4.83,4.83,4.80,4.80,3756
31-Jan-13,4.64,4.83,4.64,4.83,2355
30-Jan-13,5.00,5.00,4.80,4.80,4500
29-Jan-13,4.63,4.77,4.63,4.77,5850
28-Jan-13,4.70,4.70,4.50,4.50,9068
25-Jan-13,4.77,4.84,4.53,4.53,12165
24-Jan-13,4.67,4.97,4.43,4.67,16466
23-Jan-13,4.55,5.13,4.55,4.80,18774
22-Jan-13,3.90,4.48,3.90,4.48,18470
18-Jan-13,3.98,3.98,3.83,3.83,27600
17-Jan-13,3.57,3.75,3.57,3.63,1200
16-Jan-13,3.90,3.98,3.47,3.87,4050
15-Jan-13,3.87,3.90,3.87,3.89,4950
14-Jan-13,4.00,4.00,4.00,4.00,2100
11-Jan-13,3.93,5.92,3.83,4.00,22774
10-Jan-13,3.63,3.67,3.63,3.67,2850
8-Jan-13,3.33,3.37,3.20,3.37,5186
3-Jan-13,3.23,3.23,3.10,3.10,8248
2-Jan-13,2.97,2.97,2.97,2.97,412
31-Dec-12,2.97,2.97,2.93,2.93,2250
27-Dec-12,2.83,2.83,2.70,2.70,1124
26-Dec-12,2.87,2.97,2.64,2.64,28406
24-Dec-12,2.85,2.87,2.80,2.87,31502
20-Dec-12,2.80,2.81,2.80,2.81,18975
19-Dec-12,2.73,2.83,2.73,2.80,28350
18-Dec-12,2.60,2.70,2.60,2.70,2400
13-Dec-12,2.80,2.81,2.67,2.67,37710
12-Dec-12,2.70,2.80,2.70,2.80,736
10-Dec-12,2.69,2.70,2.63,2.70,11625
7-Dec-12,2.70,2.70,2.55,2.70,2925
6-Dec-12,2.70,2.70,2.53,2.53,30300
5-Dec-12,2.70,2.70,2.63,2.67,23250
4-Dec-12,2.60,2.60,2.60,2.60,1500
3-Dec-12,2.80,2.80,2.70,2.70,3464
29-Nov-12,2.71,2.71,2.67,2.67,16797
28-Nov-12,2.54,2.80,2.54,2.70,22611
27-Nov-12,2.50,2.50,2.50,2.50,2250
26-Nov-12,2.45,2.47,2.45,2.47,3600
21-Nov-12,2.32,2.33,2.32,2.33,5268
19-Nov-12,2.17,2.17,2.17,2.17,7388
16-Nov-12,2.02,2.33,2.02,2.33,3300
15-Nov-12,2.01,2.01,2.01,2.01,600
14-Nov-12,2.10,2.10,2.00,2.00,21471
13-Nov-12,1.95,2.13,1.93,2.13,65235
12-Nov-12,1.87,1.93,1.87,1.93,4215
8-Nov-12,1.88,1.89,1.88,1.89,46500
7-Nov-12,1.87,1.93,1.83,1.87,67966
2-Nov-12,1.70,1.70,1.70,1.70,696
1-Nov-12,1.77,1.77,1.73,1.73,2270
31-Oct-12,1.83,1.83,1.71,1.71,908
23-Oct-12,1.77,1.77,1.77,1.77,1064
19-Oct-12,1.77,1.77,1.77,1.77,352
15-Oct-12,1.80,1.80,1.80,1.80,750
12-Oct-12,1.77,1.77,1.77,1.77,676
11-Oct-12,1.77,1.80,1.77,1.77,2828
10-Oct-12,1.90,1.90,1.80,1.80,7142
9-Oct-12,1.91,1.91,1.91,1.91,2175
4-Oct-12,1.94,1.96,1.91,1.93,44250
1-Oct-12,1.91,1.91,1.91,1.91,1575
27-Sep-12,1.90,1.90,1.90,1.90,1012
25-Sep-12,2.00,2.00,1.97,1.97,21645
24-Sep-12,2.00,2.00,2.00,2.00,2720
18-Sep-12,2.00,2.00,2.00,2.00,13200
17-Sep-12,1.97,1.97,1.97,1.97,22770
14-Sep-12,1.97,2.02,1.97,1.97,1950
13-Sep-12,1.90,1.97,1.90,1.97,21150
12-Sep-12,2.00,2.00,2.00,2.00,15000
11-Sep-12,2.02,2.02,2.02,2.02,750
6-Sep-12,2.02,2.02,2.02,2.02,750
28-Aug-12,1.97,1.97,1.97,1.97,150
22-Aug-12,1.97,1.97,1.97,1.97,750
21-Aug-12,2.00,2.00,2.00,2.00,750
17-Aug-12,2.00,2.00,2.00,2.00,750
16-Aug-12,2.03,2.03,2.03,2.03,1500
15-Aug-12,2.00,2.02,2.00,2.02,88500
14-Aug-12,1.93,2.02,1.93,2.01,98524
10-Aug-12,2.02,2.02,1.95,1.95,1050
31-Jul-12,1.88,1.88,1.88,1.88,1518
16-Jul-12,1.90,1.90,1.90,1.90,1012
11-Jul-12,2.00,2.00,2.00,2.00,45062
6-Jul-12,2.00,2.00,2.00,2.00,24000
5-Jul-12,2.00,2.00,1.97,1.97,1500
28-Jun-12,1.99,1.99,1.96,1.96,2250
27-Jun-12,1.97,1.97,1.97,1.97,1365
25-Jun-12,1.97,1.97,1.97,1.97,2550
15-Jun-12,1.99,1.99,1.99,1.99,750
13-Jun-12,1.70,1.90,1.70,1.90,28152
8-Jun-12,1.37,1.63,1.37,1.63,5025
7-Jun-12,1.66,1.66,1.66,1.66,750
5-Jun-12,1.57,1.57,1.57,1.57,1500
4-Jun-12,1.63,1.63,1.37,1.37,5625
31-May-12,1.70,1.70,1.70,1.70,750
30-May-12,1.70,1.70,1.70,1.70,750
15-May-12,1.67,1.67,1.63,1.63,1500
8-May-12,1.70,1.70,1.70,1.70,168
2-May-12,1.70,1.70,1.70,1.70,1500
1-May-12,1.73,1.73,1.73,1.73,300
30-Apr-12,1.70,1.70,1.70,1.70,225
18-Apr-12,1.70,1.70,1.70,1.70,9000
16-Apr-12,1.50,1.80,1.50,1.80,975
10-Apr-12,1.63,1.80,1.63,1.80,2550
3-Apr-12,1.79,1.80,1.57,1.80,5212
16-Mar-12,2.07,2.07,1.83,1.83,23100
15-Mar-12,1.90,1.90,1.90,1.90,450
9-Mar-12,1.83,1.83,1.83,1.83,10125
8-Mar-12,1.70,1.83,1.60,1.83,5175
7-Mar-12,1.63,1.93,1.63,1.93,750
6-Mar-12,1.90,1.90,1.90,1.90,750
5-Mar-12,1.60,1.60,1.60,1.60,338
28-Feb-12,1.70,1.83,1.70,1.83,2700
27-Feb-12,1.96,1.96,1.67,1.83,3878
22-Feb-12,1.96,1.96,1.96,1.96,150
17-Feb-12,1.99,1.99,1.99,1.99,1500
9-Feb-12,1.80,2.00,1.80,2.00,6158
8-Feb-12,1.90,1.90,1.90,1.90,262
7-Feb-12,1.57,1.93,1.57,1.93,616
6-Feb-12,1.90,1.90,1.90,1.90,2208
1-Feb-12,1.83,1.93,1.83,1.93,2250
31-Jan-12,1.70,1.83,1.70,1.83,1650
30-Jan-12,1.83,1.83,1.33,1.73,7912
25-Jan-12,1.93,1.95,1.93,1.95,300
24-Jan-12,1.80,1.80,1.80,1.80,825
17-Jan-12,1.80,1.80,1.80,1.80,900
9-Jan-12,1.80,2.03,1.77,1.77,41240
30-Dec-11,1.83,1.83,1.83,1.83,540
29-Dec-11,1.95,1.95,1.95,1.95,1500
28-Dec-11,1.95,1.95,1.95,1.95,1500
27-Dec-11,2.06,2.06,2.00,2.00,3300
23-Dec-11,2.01,2.01,2.01,2.01,1500
22-Dec-11,2.01,2.01,1.93,2.00,3874
16-Dec-11,2.01,2.01,2.01,2.01,150
14-Dec-11,2.01,2.01,2.01,2.01,5062
13-Dec-11,2.15,2.15,2.15,2.15,344
12-Dec-11,2.01,2.01,2.01,2.01,450
8-Dec-11,2.07,2.07,2.01,2.01,4875
7-Dec-11,2.07,2.07,1.99,1.99,1688
5-Dec-11,1.98,1.98,1.98,1.98,506
30-Nov-11,1.98,1.98,1.98,1.98,891
25-Nov-11,1.98,1.98,1.98,1.98,1500
21-Nov-11,1.98,1.98,1.98,1.98,5062
18-Nov-11,1.98,1.98,1.98,1.98,1500
11-Nov-11,2.00,2.00,1.98,1.98,1500
2-Nov-11,2.00,2.00,2.00,2.00,19893
31-Oct-11,2.00,2.00,2.00,2.00,3000
27-Oct-11,2.00,2.00,2.00,2.00,1350
21-Oct-11,2.00,2.00,2.00,2.00,675
19-Oct-11,2.00,2.02,1.87,1.99,34184
12-Oct-11,2.00,2.00,2.00,2.00,12723
10-Oct-11,2.00,2.00,2.00,2.00,225
4-Oct-11,2.00,2.00,2.00,2.00,1750
29-Sep-11,2.00,2.01,2.00,2.00,6000
22-Sep-11,2.00,2.00,2.00,2.00,300
20-Sep-11,2.00,2.00,2.00,2.00,168
19-Sep-11,2.00,2.01,2.00,2.01,1162
31-Aug-11,2.10,2.10,2.10,2.10,150
29-Aug-11,2.00,2.00,2.00,2.00,2478
26-Aug-11,2.00,2.00,2.00,2.00,31500
23-Aug-11,2.00,2.00,2.00,2.00,1760
22-Aug-11,2.00,2.00,2.00,2.00,7500
19-Aug-11,2.00,2.00,2.00,2.00,1800
17-Aug-11,2.00,2.00,2.00,2.00,6750
16-Aug-11,2.00,2.00,2.00,2.00,750
9-Aug-11,2.00,2.00,2.00,2.00,1482
8-Aug-11,2.00,2.00,2.00,2.00,3450
5-Aug-11,2.00,2.00,2.00,2.00,17988
4-Aug-11,2.00,2.00,2.00,2.00,1500
29-Jul-11,2.00,2.00,2.00,2.00,1761
27-Jul-11,2.00,2.00,2.00,2.00,8250
26-Jul-11,2.00,2.00,2.00,2.00,3750
25-Jul-11,2.00,2.00,2.00,2.00,5325
22-Jul-11,2.00,2.00,2.00,2.00,5062
21-Jul-11,2.10,2.10,2.00,2.00,3112
20-Jul-11,2.03,2.03,2.03,2.03,2530
18-Jul-11,2.10,2.10,2.10,2.10,3000
