Date,Open,High,Low,Close,Volume
31-Dec-13,20.84,21.26,20.13,20.22,118301
30-Dec-13,20.99,21.64,20.43,20.87,65068
27-Dec-13,22.48,24.92,20.77,20.93,36132
26-Dec-13,21.53,22.74,21.53,22.37,35646
24-Dec-13,21.15,21.89,21.15,21.57,14337
23-Dec-13,21.83,22.20,21.13,21.21,42734
20-Dec-13,21.88,22.24,21.16,21.62,531925
19-Dec-13,21.32,21.78,20.59,21.77,90620
18-Dec-13,20.34,21.97,19.45,21.39,162909
17-Dec-13,21.89,22.04,20.05,20.34,104119
16-Dec-13,22.30,22.30,21.08,21.96,133603
13-Dec-13,23.36,23.45,22.14,22.30,95327
12-Dec-13,24.07,25.00,23.08,23.25,48734
11-Dec-13,24.21,24.21,23.00,24.13,94672
10-Dec-13,23.36,24.69,22.76,24.08,71924
9-Dec-13,23.33,24.29,22.72,23.57,53111
6-Dec-13,23.70,24.27,22.60,23.45,72662
5-Dec-13,25.03,25.14,23.26,23.42,33438
4-Dec-13,24.86,25.24,24.21,24.91,61462
3-Dec-13,25.31,25.31,23.69,24.86,71029
2-Dec-13,25.55,25.72,24.69,25.31,41452
29-Nov-13,24.11,25.65,24.00,25.54,17956
27-Nov-13,24.93,24.93,23.71,23.95,30588
26-Nov-13,23.86,24.99,23.51,24.79,47383
25-Nov-13,24.90,25.00,23.69,23.90,22343
22-Nov-13,24.10,25.00,23.79,24.79,39992
21-Nov-13,23.28,24.34,23.14,24.18,27523
20-Nov-13,23.16,23.54,22.56,22.94,72016
19-Nov-13,23.58,23.58,22.81,23.17,42465
18-Nov-13,25.30,25.30,22.92,23.52,151558
15-Nov-13,25.21,25.48,24.99,25.12,84152
14-Nov-13,24.78,25.04,24.22,24.92,79198
13-Nov-13,22.66,24.97,22.24,24.67,189712
12-Nov-13,20.25,21.99,20.08,21.38,118320
11-Nov-13,20.25,20.72,20.18,20.33,43185
8-Nov-13,20.39,20.74,19.78,20.23,53196
7-Nov-13,20.03,20.42,18.97,20.20,48496
6-Nov-13,20.54,20.93,19.70,19.79,93870
5-Nov-13,21.50,21.74,20.00,20.63,102514
4-Nov-13,21.13,22.04,21.13,21.54,93286
1-Nov-13,20.18,21.63,19.64,21.48,184938
31-Oct-13,20.91,21.29,19.96,20.03,143207
30-Oct-13,22.46,22.62,20.85,20.96,113494
29-Oct-13,22.80,22.98,21.80,22.34,158689
28-Oct-13,22.86,23.14,21.94,22.27,115840
25-Oct-13,23.35,23.80,22.62,22.74,140966
24-Oct-13,24.01,24.58,23.20,23.32,116353
23-Oct-13,23.76,24.36,23.14,24.15,94445
22-Oct-13,23.56,24.70,23.00,23.62,213875
21-Oct-13,24.58,24.81,22.43,23.39,185705
18-Oct-13,26.51,27.02,23.81,24.48,338725
17-Oct-13,26.36,26.86,25.81,26.19,91150
16-Oct-13,26.32,26.99,25.96,26.57,19050
15-Oct-13,27.20,27.20,25.46,26.06,47138
14-Oct-13,27.50,28.44,27.06,27.20,44159
11-Oct-13,26.12,29.00,26.10,27.06,54961
10-Oct-13,26.28,26.79,25.88,26.26,22640
9-Oct-13,26.44,26.50,25.28,25.84,24278
8-Oct-13,28.36,28.39,26.06,26.42,75711
7-Oct-13,28.58,29.24,28.29,28.44,102848
4-Oct-13,26.60,29.50,26.60,28.94,146230
3-Oct-13,25.92,27.40,25.63,26.61,29513
2-Oct-13,25.91,27.63,25.91,26.74,31438
1-Oct-13,26.16,26.56,25.70,26.19,37350
30-Sep-13,26.21,26.82,25.55,26.13,17184
27-Sep-13,26.09,27.01,26.09,26.67,15569
26-Sep-13,27.49,27.49,26.17,26.27,10187
25-Sep-13,27.28,27.64,27.28,27.32,8727
24-Sep-13,27.05,27.42,26.33,27.26,19465
23-Sep-13,25.80,27.34,25.60,26.94,38978
20-Sep-13,25.99,26.16,25.37,25.71,94393
19-Sep-13,25.90,26.06,25.63,25.99,5878
18-Sep-13,25.91,26.52,25.77,25.77,22415
17-Sep-13,25.71,26.21,25.64,25.99,18715
16-Sep-13,26.55,26.79,25.76,25.86,37594
13-Sep-13,26.24,26.91,25.78,26.17,115104
12-Sep-13,25.85,26.11,25.54,25.98,34844
11-Sep-13,26.66,28.34,26.24,26.35,46895
10-Sep-13,26.07,26.94,26.00,26.93,86622
9-Sep-13,25.41,26.47,25.35,26.00,81259
6-Sep-13,25.62,26.70,24.62,25.50,72773
5-Sep-13,25.58,25.61,24.85,25.43,80127
4-Sep-13,25.36,26.27,25.13,25.54,21723
3-Sep-13,24.77,25.62,24.34,25.25,15533
30-Aug-13,24.87,25.27,24.01,24.38,13648
29-Aug-13,23.98,26.18,23.98,24.82,55640
28-Aug-13,24.39,24.98,23.07,23.96,27206
27-Aug-13,25.11,25.85,24.00,24.31,17639
26-Aug-13,26.06,26.23,25.45,25.46,15040
23-Aug-13,26.38,26.47,25.55,25.92,13905
22-Aug-13,24.09,26.50,23.62,26.40,13660
21-Aug-13,22.71,25.34,22.35,24.10,34918
20-Aug-13,22.15,23.37,21.69,22.86,58910
19-Aug-13,22.23,22.67,21.78,22.05,52807
16-Aug-13,22.25,22.44,21.50,22.06,73276
15-Aug-13,24.58,24.80,22.40,22.41,93348
14-Aug-13,25.10,25.55,24.64,24.89,26014
13-Aug-13,25.03,25.78,24.88,25.03,28218
12-Aug-13,24.05,24.96,23.56,24.94,44127
9-Aug-13,24.99,25.05,24.00,24.12,46811
8-Aug-13,25.34,25.34,24.93,24.99,35650
7-Aug-13,25.13,25.25,24.96,25.11,14753
6-Aug-13,25.52,25.69,24.97,25.04,13207
5-Aug-13,25.21,25.83,25.15,25.43,32700
2-Aug-13,25.33,25.49,24.99,25.30,32769
1-Aug-13,25.18,25.70,25.09,25.33,67705
31-Jul-13,25.28,25.40,24.97,25.05,22972
30-Jul-13,24.60,25.32,24.60,25.13,15028
29-Jul-13,26.50,26.83,24.12,24.43,53721
26-Jul-13,26.50,26.80,25.86,26.62,13850
25-Jul-13,25.98,26.83,25.65,26.79,25041
24-Jul-13,26.14,26.53,25.51,26.10,35167
23-Jul-13,26.33,26.63,25.91,26.03,13117
22-Jul-13,26.43,27.00,26.30,26.40,27490
19-Jul-13,25.95,27.00,25.78,26.50,35022
18-Jul-13,25.45,26.00,25.45,25.98,14697
17-Jul-13,25.60,26.09,24.63,25.48,275645
16-Jul-13,25.93,26.49,25.52,25.61,100619
15-Jul-13,25.69,26.77,25.69,26.16,43362
12-Jul-13,23.30,25.90,23.30,25.61,48448
11-Jul-13,22.61,23.42,22.53,23.26,20741
10-Jul-13,22.50,22.85,22.10,22.30,181360
9-Jul-13,22.50,22.54,22.04,22.39,38067
8-Jul-13,22.46,22.50,22.14,22.44,25058
5-Jul-13,22.35,22.78,21.86,22.49,19291
3-Jul-13,22.30,22.76,21.71,22.01,65179
2-Jul-13,22.05,22.47,21.83,22.17,23559
1-Jul-13,22.08,22.28,21.29,22.02,87996
28-Jun-13,22.47,22.76,21.97,22.00,622426
27-Jun-13,22.30,22.93,22.21,22.50,45267
26-Jun-13,22.30,22.39,21.80,22.26,38572
25-Jun-13,21.75,22.35,21.22,22.23,47805
24-Jun-13,19.69,21.78,19.42,21.58,72677
21-Jun-13,19.49,19.94,19.22,19.81,125545
20-Jun-13,20.65,20.93,19.11,19.40,59235
19-Jun-13,20.72,21.22,20.45,20.75,45657
