Date,Open,High,Low,Close,Volume
31-Dec-13,7.27,7.55,7.05,7.10,39602
30-Dec-13,7.45,7.75,7.14,7.44,21960
27-Dec-13,7.49,7.49,7.35,7.41,3940
26-Dec-13,7.90,8.00,7.35,7.41,28940
24-Dec-13,7.01,8.50,7.01,8.00,22327
23-Dec-13,7.46,7.71,7.01,7.10,37785
20-Dec-13,8.35,8.35,7.32,7.34,13411
19-Dec-13,7.71,8.08,7.25,7.38,15653
18-Dec-13,7.50,8.11,7.23,7.71,13200
17-Dec-13,7.67,7.67,7.60,7.60,2449
16-Dec-13,7.94,8.11,7.54,7.58,12766
13-Dec-13,8.03,8.21,7.81,7.81,7675
12-Dec-13,8.00,8.13,7.81,8.01,3174
11-Dec-13,9.12,9.12,7.78,8.05,9234
10-Dec-13,8.36,8.36,8.15,8.16,5202
9-Dec-13,8.38,8.79,8.20,8.24,12878
6-Dec-13,8.30,8.61,8.20,8.21,7800
5-Dec-13,8.33,8.85,8.20,8.20,43081
4-Dec-13,8.00,8.68,8.00,8.35,5519
3-Dec-13,7.60,7.99,7.52,7.73,10325
2-Dec-13,8.12,8.61,7.69,7.69,52328
29-Nov-13,8.07,8.59,8.07,8.22,6450
27-Nov-13,9.18,9.30,8.21,8.38,46432
26-Nov-13,8.81,9.47,8.75,9.17,36523
25-Nov-13,8.19,8.94,7.85,8.72,58681
22-Nov-13,8.00,8.59,7.81,8.05,27720
21-Nov-13,8.14,8.34,7.67,7.67,43481
20-Nov-13,7.97,8.28,7.97,8.00,9070
19-Nov-13,8.15,8.52,7.79,7.85,70120
18-Nov-13,8.54,8.54,8.00,8.08,9875
15-Nov-13,8.40,8.90,8.40,8.55,11300
14-Nov-13,9.15,9.27,8.40,8.40,59961
13-Nov-13,8.74,9.25,8.50,9.04,29232
12-Nov-13,8.65,8.65,8.01,8.18,9721
11-Nov-13,8.33,9.00,8.33,8.58,11975
8-Nov-13,8.95,9.40,8.95,9.20,16064
7-Nov-13,8.95,8.97,7.50,8.38,31769
6-Nov-13,9.50,9.58,8.90,9.17,51436
5-Nov-13,9.28,9.84,9.28,9.62,7774
4-Nov-13,9.59,9.92,9.55,9.76,6060
1-Nov-13,9.45,9.71,9.26,9.71,11625
31-Oct-13,9.13,9.42,8.70,9.05,54780
30-Oct-13,9.80,9.84,9.20,9.22,59514
29-Oct-13,10.22,10.25,9.44,9.85,45026
28-Oct-13,10.45,10.64,10.10,10.11,31732
25-Oct-13,10.37,10.58,10.06,10.34,23163
24-Oct-13,10.17,10.68,10.12,10.32,21412
23-Oct-13,10.39,10.50,10.00,10.45,31085
22-Oct-13,10.72,10.72,9.76,10.57,70461
21-Oct-13,11.20,11.20,10.60,10.66,34063
18-Oct-13,10.61,11.20,10.61,11.13,19936
17-Oct-13,10.93,11.13,10.67,10.83,24694
16-Oct-13,10.74,11.12,10.71,11.12,19236
15-Oct-13,11.00,11.31,10.52,10.82,41660
14-Oct-13,11.61,11.71,10.70,10.91,27908
11-Oct-13,12.07,12.07,11.16,11.34,24477
10-Oct-13,12.40,12.75,11.31,11.78,54417
9-Oct-13,12.90,12.90,11.55,11.97,28725
8-Oct-13,13.45,13.99,12.12,12.98,44524
7-Oct-13,13.99,14.33,13.18,13.33,36939
4-Oct-13,13.92,14.70,13.86,13.99,40699
3-Oct-13,14.76,15.29,13.56,13.75,152173
2-Oct-13,12.65,14.99,12.50,14.60,186687
1-Oct-13,12.74,13.00,12.12,12.60,62830
30-Sep-13,13.32,13.47,12.44,12.44,83991
27-Sep-13,11.77,13.40,11.77,13.19,107227
26-Sep-13,12.43,12.46,11.78,11.78,29791
25-Sep-13,12.00,12.10,11.75,11.80,79283
24-Sep-13,12.76,12.98,11.90,12.03,57064
23-Sep-13,12.51,12.99,12.31,12.84,89066
20-Sep-13,12.99,12.99,12.31,12.31,50413
19-Sep-13,13.50,13.50,12.35,12.79,64448
18-Sep-13,13.00,13.50,12.76,13.39,290761
17-Sep-13,12.54,13.50,12.01,12.19,240625
16-Sep-13,11.33,12.70,10.96,12.49,315780
13-Sep-13,10.95,11.29,10.80,11.00,79763
12-Sep-13,9.95,11.00,9.95,10.90,41705
11-Sep-13,9.82,10.05,9.81,9.95,7902
10-Sep-13,9.85,10.07,9.85,9.92,11636
9-Sep-13,9.75,10.07,9.75,9.90,15193
6-Sep-13,9.65,9.77,9.60,9.75,6150
5-Sep-13,9.71,10.00,9.70,9.85,7600
4-Sep-13,9.95,10.08,9.76,9.94,16386
3-Sep-13,10.03,10.05,9.91,9.96,16976
30-Aug-13,9.92,10.04,9.77,9.99,1900
29-Aug-13,10.00,10.05,9.95,9.97,22700
28-Aug-13,10.00,10.05,9.90,10.01,21756
27-Aug-13,9.80,10.05,9.80,10.05,10525
26-Aug-13,10.00,10.10,10.00,10.05,20358
23-Aug-13,10.10,10.10,10.02,10.10,9899
22-Aug-13,10.31,10.31,10.08,10.09,12496
21-Aug-13,10.10,10.15,10.05,10.07,23100
20-Aug-13,10.14,10.15,9.61,10.15,6575
19-Aug-13,11.23,11.23,9.86,10.10,35929
16-Aug-13,10.15,10.19,10.05,10.19,44282
15-Aug-13,9.99,10.15,9.87,9.87,12338
14-Aug-13,10.00,10.15,9.28,10.00,8139
13-Aug-13,10.00,10.00,9.79,9.84,23127
12-Aug-13,10.00,10.15,10.00,10.15,22910
9-Aug-13,9.78,10.00,9.78,9.81,13600
8-Aug-13,9.95,10.00,9.78,9.78,13160
7-Aug-13,9.84,10.05,9.84,10.00,8524
6-Aug-13,9.86,10.15,9.86,9.95,17261
5-Aug-13,10.15,10.20,9.91,10.05,49415
2-Aug-13,9.78,10.20,9.77,10.09,135105
1-Aug-13,10.01,10.10,9.77,10.05,46296
31-Jul-13,9.49,9.93,9.25,9.93,26263
30-Jul-13,9.06,9.48,9.06,9.36,19270
29-Jul-13,9.15,9.39,9.01,9.16,5070
26-Jul-13,9.20,9.28,9.02,9.28,38375
25-Jul-13,9.35,9.53,9.03,9.29,175184
24-Jul-13,10.00,10.19,9.02,9.57,1106122
