Date,Open,High,Low,Close,Volume
31-Dec-13,52.15,52.15,51.54,51.56,6071
30-Dec-13,52.11,52.11,51.50,51.51,8337
27-Dec-13,51.60,51.60,51.40,51.54,14273
26-Dec-13,51.52,51.59,51.39,51.53,15332
24-Dec-13,51.34,51.49,51.34,51.48,3527
23-Dec-13,51.78,51.78,51.31,51.48,8938
20-Dec-13,51.25,51.46,51.23,51.39,16719
19-Dec-13,51.92,51.92,51.26,51.26,23184
18-Dec-13,51.57,51.68,51.22,51.68,9301
17-Dec-13,51.76,51.91,51.55,51.83,9429
16-Dec-13,51.90,51.90,51.70,51.70,15227
13-Dec-13,51.83,51.87,51.44,51.79,9634
12-Dec-13,51.52,51.89,51.40,51.78,17522
11-Dec-13,51.73,51.86,51.53,51.63,4360
10-Dec-13,51.79,51.79,51.41,51.75,12608
9-Dec-13,51.78,51.78,51.43,51.68,16964
6-Dec-13,51.75,51.75,51.53,51.75,48486
5-Dec-13,51.68,51.72,51.50,51.52,14304
4-Dec-13,51.70,51.74,51.57,51.57,9290
3-Dec-13,51.75,51.75,51.55,51.57,9961
2-Dec-13,51.80,51.80,51.61,51.61,11994
29-Nov-13,51.71,51.71,51.63,51.66,6261
27-Nov-13,51.33,51.66,51.33,51.64,7074
26-Nov-13,51.50,51.63,51.45,51.61,13106
25-Nov-13,51.56,51.56,51.33,51.52,11140
22-Nov-13,51.46,51.50,51.41,51.47,31754
21-Nov-13,51.55,51.55,51.32,51.45,18756
20-Nov-13,51.73,51.75,51.62,51.65,31984
19-Nov-13,51.68,51.68,51.54,51.54,9283
18-Nov-13,51.68,51.68,51.44,51.55,33995
15-Nov-13,51.44,51.53,51.42,51.46,10114
14-Nov-13,51.46,51.53,51.34,51.48,26610
13-Nov-13,51.30,51.58,51.30,51.46,10475
12-Nov-13,51.53,51.54,51.39,51.39,7861
11-Nov-13,51.39,51.57,51.39,51.53,8017
8-Nov-13,56.00,56.00,51.44,51.45,8026
7-Nov-13,51.75,51.75,51.55,51.55,9512
6-Nov-13,51.99,51.99,51.62,51.76,21228
5-Nov-13,51.75,51.75,51.64,51.69,14481
4-Nov-13,51.98,51.99,51.50,51.84,9872
1-Nov-13,51.94,51.99,51.50,51.77,19412
31-Oct-13,51.71,51.73,51.55,51.71,11549
30-Oct-13,51.59,52.30,51.47,51.78,6588
29-Oct-13,51.63,51.65,51.42,51.60,4956
28-Oct-13,51.58,51.58,51.41,51.41,4904
25-Oct-13,51.53,51.55,51.46,51.48,135509
24-Oct-13,51.45,51.47,51.41,51.46,11253
23-Oct-13,51.39,51.42,51.25,51.40,13243
22-Oct-13,51.46,51.52,51.39,51.49,36845
21-Oct-13,51.98,51.98,51.30,51.58,18656
18-Oct-13,51.25,51.42,51.01,51.41,16355
17-Oct-13,51.06,51.13,51.02,51.13,5950
16-Oct-13,50.98,51.03,50.86,50.86,20013
15-Oct-13,50.90,50.93,50.86,50.93,14569
14-Oct-13,50.88,50.88,50.65,50.87,4488
11-Oct-13,51.50,51.50,50.85,51.03,8118
10-Oct-13,50.73,51.13,50.49,50.78,10853
9-Oct-13,50.67,50.72,50.45,50.45,2019
8-Oct-13,50.47,50.64,50.38,50.64,2170
7-Oct-13,50.61,50.67,50.57,50.67,13256
4-Oct-13,50.50,50.55,50.32,50.48,2303
3-Oct-13,50.49,50.49,50.35,50.37,5864
2-Oct-13,50.38,50.39,50.34,50.37,2102
1-Oct-13,50.37,50.37,50.10,50.35,13714
30-Sep-13,50.50,50.53,50.25,50.25,7940
27-Sep-13,50.69,50.69,50.51,50.68,4078
26-Sep-13,50.54,50.69,50.50,50.51,5439
25-Sep-13,50.62,50.71,50.51,50.56,3582
24-Sep-13,50.73,50.81,50.71,50.73,15903
23-Sep-13,50.81,50.86,50.78,50.82,10140
20-Sep-13,51.21,51.21,50.70,50.91,3473
19-Sep-13,50.90,50.91,50.55,50.88,8591
18-Sep-13,50.66,50.89,50.48,50.89,1263
17-Sep-13,50.93,50.93,50.45,50.46,11271
16-Sep-13,50.54,51.04,50.33,50.92,16399
13-Sep-13,50.40,50.41,50.29,50.36,23405
12-Sep-13,50.34,50.35,50.22,50.33,10643
11-Sep-13,50.37,50.39,50.31,50.38,7521
10-Sep-13,50.24,50.32,50.20,50.29,8415
9-Sep-13,50.25,50.39,50.18,50.19,11074
6-Sep-13,50.20,50.30,50.15,50.30,24942
5-Sep-13,50.52,50.71,50.52,50.55,2207
4-Sep-13,50.07,50.30,50.07,50.30,7446
3-Sep-13,50.02,50.18,50.02,50.17,4394
30-Aug-13,50.11,50.17,50.01,50.17,4186
29-Aug-13,50.10,50.11,49.95,50.05,4166
28-Aug-13,50.05,50.06,49.98,50.03,3528
27-Aug-13,50.22,50.22,50.05,50.19,3436
26-Aug-13,50.34,50.34,50.22,50.22,4560
23-Aug-13,50.22,50.29,50.05,50.05,3694
22-Aug-13,50.43,50.58,50.13,50.55,40588
21-Aug-13,50.22,50.88,50.14,50.26,8374
20-Aug-13,50.47,50.53,50.47,50.53,9953
19-Aug-13,50.77,50.96,50.32,50.79,3814
16-Aug-13,50.48,50.52,50.34,50.50,4882
15-Aug-13,50.54,50.55,50.36,50.41,3675
14-Aug-13,50.46,50.52,50.46,50.52,69403
13-Aug-13,50.48,50.50,50.38,50.50,6625
12-Aug-13,50.37,50.45,50.37,50.45,5014
9-Aug-13,50.51,50.53,50.47,50.52,9155
8-Aug-13,50.51,50.57,50.51,50.53,12413
7-Aug-13,50.40,50.50,50.40,50.46,14145
6-Aug-13,50.69,50.72,50.52,50.52,13862
5-Aug-13,50.78,50.89,50.78,50.85,19779
2-Aug-13,50.67,50.73,50.63,50.63,19804
1-Aug-13,50.65,50.70,50.48,50.70,27670
31-Jul-13,50.75,50.75,50.54,50.54,20359
30-Jul-13,50.57,53.00,50.49,51.00,19601
29-Jul-13,50.54,50.54,50.49,50.54,8399
26-Jul-13,50.70,50.75,50.66,50.67,55259
25-Jul-13,50.72,50.77,50.68,50.71,5267
24-Jul-13,50.85,50.85,50.78,50.80,4386
23-Jul-13,51.18,51.18,51.03,51.07,16881
22-Jul-13,51.20,51.21,51.15,51.21,15332
19-Jul-13,51.02,51.02,50.96,51.01,25502
18-Jul-13,50.88,51.49,50.81,50.93,13092
17-Jul-13,50.86,51.00,50.68,50.83,20143
16-Jul-13,50.77,50.85,50.61,50.76,38511
15-Jul-13,51.18,51.18,50.50,50.62,5588
12-Jul-13,50.19,50.50,50.09,50.46,5319
11-Jul-13,50.42,50.48,50.28,50.28,12679
10-Jul-13,49.62,50.64,49.40,49.96,24537
9-Jul-13,49.91,49.93,49.50,49.88,9847
8-Jul-13,50.01,50.43,49.55,49.97,1614
5-Jul-13,49.48,49.65,49.05,49.52,12784
3-Jul-13,49.94,50.39,49.75,50.39,13828
2-Jul-13,49.94,50.27,49.88,50.01,33348
1-Jul-13,50.00,50.12,49.65,50.09,11609
28-Jun-13,49.50,49.95,49.50,49.88,40905
27-Jun-13,49.67,49.80,49.66,49.78,18630
26-Jun-13,49.32,49.95,48.90,49.69,11888
25-Jun-13,49.09,50.39,49.09,49.54,20666
24-Jun-13,48.52,49.40,48.41,49.00,8495
21-Jun-13,49.78,50.28,49.42,50.15,52465
20-Jun-13,50.60,50.81,49.92,50.65,22254
19-Jun-13,50.66,50.95,50.60,50.89,14048
18-Jun-13,50.95,51.31,50.66,50.92,23561
17-Jun-13,50.59,51.49,50.54,50.92,17638
14-Jun-13,50.77,50.82,50.74,50.82,7590
13-Jun-13,50.49,51.10,50.49,50.50,9299
12-Jun-13,50.58,56.35,50.53,50.71,48124
11-Jun-13,51.36,51.36,50.51,50.73,6300
10-Jun-13,50.77,50.88,50.70,50.85,7994
7-Jun-13,50.43,50.67,50.43,50.53,21656
6-Jun-13,-,50.43,50.35,50.39,50159
5-Jun-13,57.00,57.00,57.00,57.00,6242
4-Jun-13,50.93,51.00,50.54,50.82,5376
3-Jun-13,50.59,51.04,50.43,51.04,3567
31-May-13,51.75,51.75,51.15,51.16,13711
30-May-13,51.25,51.50,51.25,51.50,17171
29-May-13,51.56,51.56,51.13,51.18,12452
28-May-13,51.98,52.00,51.75,51.91,9748
24-May-13,51.95,51.95,51.55,51.80,19099
23-May-13,52.00,52.01,51.94,52.00,4692
22-May-13,52.23,52.23,52.09,52.16,12315
21-May-13,52.04,52.09,51.82,52.09,8684
20-May-13,52.37,52.37,52.25,52.32,84593
17-May-13,52.27,52.28,52.26,52.27,3050
