Date,Open,High,Low,Close,Volume
31-Dec-13,23.88,24.12,23.74,23.86,219424
30-Dec-13,23.93,24.03,23.80,23.82,203718
27-Dec-13,23.88,24.06,23.73,23.92,341856
26-Dec-13,23.74,23.91,22.97,23.80,270854
24-Dec-13,23.50,24.06,23.50,23.65,394786
23-Dec-13,23.34,23.70,23.27,23.64,362344
20-Dec-13,22.88,23.51,22.53,23.30,1204884
19-Dec-13,23.12,23.18,22.73,22.80,321050
18-Dec-13,22.98,23.30,22.53,23.12,412932
17-Dec-13,23.08,23.31,22.58,23.02,393064
16-Dec-13,22.88,23.32,21.84,23.00,408324
13-Dec-13,23.12,23.24,22.70,22.83,357048
12-Dec-13,23.05,23.27,22.95,23.05,504160
11-Dec-13,23.34,23.34,23.00,23.11,355180
10-Dec-13,23.42,23.54,23.21,23.39,371454
9-Dec-13,23.34,23.68,22.93,23.50,526736
6-Dec-13,23.46,23.60,23.23,23.32,438814
5-Dec-13,23.24,23.39,23.04,23.32,385150
4-Dec-13,23.30,23.42,22.94,23.30,345586
3-Dec-13,23.24,23.45,22.98,23.32,386178
2-Dec-13,23.19,23.39,23.00,23.25,245726
29-Nov-13,23.15,23.40,22.94,23.22,129704
27-Nov-13,23.06,23.25,23.00,23.05,201902
26-Nov-13,22.96,23.12,22.77,22.99,342686
25-Nov-13,22.98,23.08,22.84,22.98,309968
22-Nov-13,22.71,23.04,22.64,22.98,297882
21-Nov-13,22.79,22.96,22.60,22.66,312360
20-Nov-13,22.50,23.00,22.40,22.80,225026
19-Nov-13,22.20,22.48,21.92,22.47,248148
18-Nov-13,22.54,22.58,22.18,22.26,317190
15-Nov-13,22.64,23.00,22.40,22.54,327376
14-Nov-13,22.31,22.71,21.86,22.67,377538
13-Nov-13,22.02,22.34,21.72,22.30,464372
12-Nov-13,22.10,22.55,21.74,22.18,616490
11-Nov-13,21.83,22.63,21.45,22.22,879342
8-Nov-13,21.10,21.76,20.89,21.68,799678
7-Nov-13,20.18,21.38,19.87,21.17,6318964
6-Nov-13,22.56,22.57,20.90,21.20,1325796
5-Nov-13,22.90,22.90,22.29,22.63,246706
