Date,Open,High,Low,Close,Volume
31-Dec-13,49.68,49.90,49.44,49.66,17075
30-Dec-13,49.97,49.97,49.63,49.63,19609
27-Dec-13,49.00,50.58,48.11,49.73,55026
26-Dec-13,45.65,48.99,45.62,48.84,31808
24-Dec-13,46.88,47.99,45.14,47.77,11692
23-Dec-13,45.48,47.29,45.25,47.22,22624
20-Dec-13,45.49,45.50,45.24,45.43,46049
19-Dec-13,45.50,45.50,44.77,45.25,25096
18-Dec-13,45.50,45.50,44.97,45.23,10514
17-Dec-13,45.50,45.50,45.14,45.48,11210
16-Dec-13,45.50,45.50,44.80,45.49,10496
13-Dec-13,45.51,45.65,45.20,45.35,12652
12-Dec-13,45.60,45.70,45.51,45.65,8489
11-Dec-13,45.79,46.31,45.51,45.69,13075
10-Dec-13,45.65,46.08,45.21,45.94,19591
9-Dec-13,45.51,46.53,45.51,45.78,7777
6-Dec-13,45.77,46.71,45.60,46.03,8163
5-Dec-13,46.97,46.97,45.08,45.34,24661
4-Dec-13,45.35,46.88,45.35,46.46,6465
3-Dec-13,46.15,47.72,45.15,45.50,14429
2-Dec-13,47.00,47.67,46.02,46.02,23128
29-Nov-13,48.00,48.34,47.16,47.88,9666
27-Nov-13,46.25,47.99,45.41,47.82,9384
26-Nov-13,45.93,47.49,45.82,45.96,30189
25-Nov-13,43.49,48.29,43.00,45.68,35204
22-Nov-13,41.42,43.31,41.06,43.29,16445
21-Nov-13,40.77,41.50,40.36,41.06,13721
20-Nov-13,41.09,44.69,39.85,40.84,12482
19-Nov-13,39.62,42.09,39.62,41.04,10633
18-Nov-13,40.34,42.04,40.16,41.06,11907
15-Nov-13,40.80,42.89,39.66,40.15,11070
14-Nov-13,40.99,41.00,40.41,40.97,2250
13-Nov-13,41.37,41.62,40.00,41.23,4613
12-Nov-13,40.34,43.07,40.34,41.51,5408
11-Nov-13,40.63,41.10,40.06,40.44,5607
8-Nov-13,38.68,42.79,38.50,40.02,29909
7-Nov-13,38.42,39.00,38.35,38.52,13256
6-Nov-13,37.67,39.48,37.67,38.47,16695
5-Nov-13,37.46,38.06,37.06,37.60,20794
4-Nov-13,37.65,37.88,37.31,37.48,38862
1-Nov-13,37.63,37.75,37.36,37.73,29969
31-Oct-13,37.75,38.21,37.72,37.73,25558
30-Oct-13,37.80,37.91,37.30,37.66,49003
29-Oct-13,37.16,37.88,36.25,37.78,21928
28-Oct-13,36.80,37.45,36.56,37.43,41906
25-Oct-13,37.00,37.00,36.50,36.75,29693
24-Oct-13,36.10,37.24,36.08,37.05,42498
23-Oct-13,36.10,36.50,36.01,36.10,76969
22-Oct-13,36.28,37.02,35.81,36.20,20332
21-Oct-13,37.05,38.87,36.09,36.34,31297
18-Oct-13,36.94,37.18,36.41,36.93,29741
17-Oct-13,36.13,37.31,36.13,36.88,29110
16-Oct-13,36.07,36.41,35.80,36.00,13962
15-Oct-13,35.90,36.23,35.71,35.81,15029
14-Oct-13,35.84,36.10,35.84,36.00,19142
11-Oct-13,36.10,36.38,35.90,35.99,19048
10-Oct-13,36.32,36.41,36.00,36.05,18206
9-Oct-13,36.10,36.24,35.91,35.99,21167
8-Oct-13,36.03,36.39,35.73,35.86,13096
7-Oct-13,35.71,36.43,35.71,35.99,6796
4-Oct-13,35.75,36.32,35.70,36.00,11438
3-Oct-13,36.00,36.31,35.77,35.82,14953
2-Oct-13,35.82,36.10,35.67,35.71,4777
1-Oct-13,35.95,36.75,35.85,36.00,9624
30-Sep-13,35.92,36.41,35.64,36.00,6218
27-Sep-13,35.05,36.07,35.05,35.55,18872
26-Sep-13,35.63,35.63,34.68,35.30,11231
25-Sep-13,35.32,35.64,35.32,35.41,9653
24-Sep-13,34.82,35.54,34.82,35.31,25066
23-Sep-13,35.44,35.64,34.87,34.99,23044
20-Sep-13,35.45,35.98,35.30,35.54,35963
19-Sep-13,35.64,35.85,35.17,35.55,17342
18-Sep-13,35.19,35.78,35.03,35.48,10642
17-Sep-13,35.77,36.00,34.87,35.00,20852
16-Sep-13,35.73,36.38,35.08,35.60,37615
13-Sep-13,35.88,36.00,35.20,35.63,17940
12-Sep-13,36.25,36.25,34.68,35.79,22073
11-Sep-13,36.74,36.99,35.97,36.39,20431
10-Sep-13,35.81,37.18,35.81,36.71,17032
9-Sep-13,35.30,36.05,35.30,35.84,7819
6-Sep-13,36.15,36.41,35.30,35.67,27853
5-Sep-13,36.83,36.83,34.99,35.92,3647
4-Sep-13,36.05,36.72,34.40,34.97,13980
3-Sep-13,34.67,37.69,34.67,35.96,30846
30-Aug-13,34.30,35.21,34.12,34.26,15119
29-Aug-13,33.95,34.40,33.95,34.27,16410
28-Aug-13,33.86,34.78,33.85,33.95,41830
27-Aug-13,33.85,34.79,33.80,33.99,22723
26-Aug-13,35.00,35.19,34.25,34.26,102203
23-Aug-13,33.95,34.16,33.75,33.82,1504
22-Aug-13,34.42,34.69,33.94,34.00,19483
21-Aug-13,34.14,34.38,33.77,34.09,19159
20-Aug-13,33.79,34.35,33.72,33.93,10563
19-Aug-13,33.77,34.49,33.40,33.94,7985
16-Aug-13,33.50,34.27,33.35,33.69,9578
15-Aug-13,33.70,34.34,33.50,33.62,5724
14-Aug-13,34.02,34.25,33.86,33.98,3148
13-Aug-13,34.12,34.50,33.78,34.07,6470
12-Aug-13,34.26,34.40,33.62,33.92,8828
9-Aug-13,34.64,34.84,33.60,34.00,13640
8-Aug-13,34.84,34.89,33.79,34.59,25708
7-Aug-13,35.55,35.55,34.15,34.50,41722
6-Aug-13,36.85,36.88,35.27,35.53,27600
5-Aug-13,36.88,37.00,36.42,36.98,20477
2-Aug-13,35.84,37.57,35.20,36.73,16168
1-Aug-13,34.92,36.00,34.92,35.78,36460
31-Jul-13,33.84,34.99,33.31,34.78,32048
30-Jul-13,33.29,34.86,33.17,33.96,11355
29-Jul-13,34.66,34.66,33.01,33.12,5730
26-Jul-13,32.74,33.46,32.48,33.17,8178
25-Jul-13,32.50,32.98,32.46,32.91,14006
24-Jul-13,32.30,32.76,32.25,32.45,105452
23-Jul-13,32.41,32.43,32.25,32.25,20836
22-Jul-13,32.03,32.56,32.00,32.49,21825
19-Jul-13,31.87,32.43,31.50,32.17,13953
18-Jul-13,31.75,32.48,31.50,31.97,15132
17-Jul-13,32.29,32.29,31.34,31.57,4443
16-Jul-13,31.81,32.51,31.45,32.26,25296
15-Jul-13,31.57,31.96,31.50,31.66,20606
12-Jul-13,31.66,31.81,31.01,31.68,9742
11-Jul-13,31.19,31.75,30.82,31.60,18621
10-Jul-13,31.17,31.36,29.20,31.04,8594
9-Jul-13,30.22,31.31,30.22,31.09,11875
8-Jul-13,30.33,30.47,30.00,30.23,17230
5-Jul-13,30.14,30.14,29.24,29.67,109719
3-Jul-13,29.55,30.22,29.51,29.84,3213
2-Jul-13,30.35,30.50,29.53,29.61,21283
1-Jul-13,30.46,30.56,29.90,30.37,45587
28-Jun-13,30.00,30.67,30.00,30.40,410252
27-Jun-13,30.08,30.50,30.00,30.40,14692
26-Jun-13,30.50,30.50,30.00,30.23,6565
25-Jun-13,30.61,30.75,30.00,30.33,14789
24-Jun-13,30.76,31.20,30.00,30.50,17048
21-Jun-13,31.40,31.49,30.54,30.74,47401
20-Jun-13,30.52,31.66,30.25,31.07,25294
19-Jun-13,31.43,31.43,28.75,30.79,13393
18-Jun-13,29.86,31.65,29.86,30.70,60806
17-Jun-13,29.55,30.30,29.25,29.90,23552
14-Jun-13,29.11,29.80,28.64,29.40,11341
13-Jun-13,29.06,29.80,29.06,29.25,21858
12-Jun-13,29.26,29.26,28.65,29.09,9199
11-Jun-13,29.02,29.25,28.60,29.06,15129
10-Jun-13,29.05,29.30,28.73,29.24,14502
7-Jun-13,28.86,29.03,28.38,28.86,3091
6-Jun-13,28.51,28.76,28.20,28.46,4577
5-Jun-13,28.29,28.56,28.00,28.45,55680
4-Jun-13,28.28,28.43,27.90,28.23,113364
