Date,Open,High,Low,Close,Volume
31-Dec-13,17.15,17.52,16.49,16.50,47835
30-Dec-13,17.84,17.84,16.68,17.33,27410
27-Dec-13,17.15,17.90,16.54,17.90,42424
26-Dec-13,17.45,17.89,17.09,17.09,32884
24-Dec-13,17.47,17.85,17.21,17.47,45148
23-Dec-13,16.66,17.70,16.66,17.47,42582
20-Dec-13,16.00,16.50,15.99,16.50,384732
19-Dec-13,16.23,17.85,15.80,15.92,27883
18-Dec-13,17.61,17.61,15.49,16.20,77363
17-Dec-13,17.65,18.36,17.14,17.50,63745
16-Dec-13,15.73,18.13,15.73,17.56,130765
13-Dec-13,15.31,15.74,15.08,15.37,48488
12-Dec-13,15.28,15.64,15.00,15.26,18310
11-Dec-13,15.44,15.78,15.22,15.22,19265
10-Dec-13,15.29,15.93,14.81,15.61,24937
9-Dec-13,15.18,15.50,15.18,15.26,22395
6-Dec-13,15.21,15.39,15.05,15.17,15609
5-Dec-13,15.00,15.63,14.85,15.02,27304
4-Dec-13,15.40,15.70,14.46,15.02,28335
3-Dec-13,15.39,15.59,14.94,15.40,22889
2-Dec-13,15.59,15.88,15.23,15.38,34034
29-Nov-13,15.40,15.72,15.36,15.51,5333
27-Nov-13,15.25,15.68,15.20,15.31,8257
26-Nov-13,14.52,15.53,14.51,15.24,119627
25-Nov-13,14.47,15.00,14.47,14.72,81059
22-Nov-13,14.41,14.96,14.25,14.50,30237
21-Nov-13,14.89,15.15,14.01,14.34,46129
20-Nov-13,14.37,14.48,14.12,14.48,6627
19-Nov-13,14.02,14.63,14.00,14.26,99810
18-Nov-13,14.79,14.79,13.88,14.01,51356
15-Nov-13,16.29,16.29,14.45,14.79,59105
14-Nov-13,16.23,16.50,15.70,16.33,118522
13-Nov-13,16.30,17.40,16.30,17.23,68109
12-Nov-13,17.35,17.35,15.86,16.54,24499
11-Nov-13,15.71,17.10,15.61,16.84,25303
8-Nov-13,14.72,15.93,14.71,15.59,22635
7-Nov-13,15.02,15.18,14.55,14.75,124863
6-Nov-13,15.04,15.10,14.50,15.00,35517
5-Nov-13,15.01,15.40,14.94,15.04,75501
4-Nov-13,14.75,15.15,14.51,14.99,23653
1-Nov-13,14.12,15.23,14.11,14.93,32283
31-Oct-13,14.67,14.79,14.02,14.11,24132
30-Oct-13,15.30,15.40,14.58,14.63,21049
29-Oct-13,15.03,15.35,14.78,15.35,18674
