Date,Open,High,Low,Close,Volume
31-Dec-13,67.23,68.74,66.48,68.28,165553
30-Dec-13,66.89,67.42,66.33,67.18,162954
27-Dec-13,66.51,67.99,65.92,66.24,132237
26-Dec-13,66.00,66.62,65.10,66.27,174968
24-Dec-13,64.00,66.82,62.78,65.79,60414
23-Dec-13,62.47,65.75,61.95,63.76,293869
20-Dec-13,57.81,63.58,57.60,62.87,891672
19-Dec-13,56.95,58.23,54.02,57.88,312140
18-Dec-13,59.07,59.07,54.72,57.19,191694
17-Dec-13,58.82,59.73,56.94,58.75,166361
16-Dec-13,62.94,62.94,58.46,59.27,262736
13-Dec-13,60.28,63.20,59.40,62.92,232666
12-Dec-13,58.50,60.45,57.77,60.28,178027
11-Dec-13,59.46,59.46,57.84,58.63,262734
10-Dec-13,57.14,59.50,56.11,59.26,359633
9-Dec-13,57.78,60.43,57.78,59.36,312189
6-Dec-13,57.60,58.07,56.33,57.69,217719
5-Dec-13,56.80,56.80,55.75,56.52,84165
4-Dec-13,55.61,58.64,55.61,56.62,150444
3-Dec-13,54.70,55.99,53.51,55.62,121613
2-Dec-13,52.68,55.94,52.42,54.46,203161
29-Nov-13,52.65,53.25,52.01,52.37,45949
27-Nov-13,52.31,53.53,51.53,52.47,108329
26-Nov-13,50.90,52.15,50.90,51.96,90998
25-Nov-13,52.02,52.38,50.03,50.66,112386
22-Nov-13,52.20,52.20,50.57,51.54,109277
21-Nov-13,51.14,52.53,51.04,51.77,61446
20-Nov-13,50.94,51.63,49.75,50.68,149886
19-Nov-13,49.24,52.00,49.01,50.97,87522
18-Nov-13,52.14,52.70,49.00,49.43,226701
15-Nov-13,48.99,51.45,48.00,50.53,503287
14-Nov-13,51.99,52.23,48.09,49.09,88947
13-Nov-13,52.78,52.78,51.32,52.09,168467
12-Nov-13,52.33,53.34,51.34,52.22,90502
11-Nov-13,49.03,53.45,48.02,52.35,131919
8-Nov-13,48.67,50.63,46.81,48.97,271169
7-Nov-13,50.15,51.95,47.80,48.57,150184
6-Nov-13,52.50,53.39,49.09,49.94,72313
5-Nov-13,51.91,52.46,51.25,51.93,67978
4-Nov-13,53.73,53.73,51.72,52.00,70262
1-Nov-13,54.26,55.47,52.51,53.39,64585
31-Oct-13,54.35,55.13,52.52,54.24,48522
30-Oct-13,56.63,57.51,53.62,54.17,107459
29-Oct-13,55.31,58.51,55.28,56.91,61459
28-Oct-13,58.72,59.10,57.13,57.56,58163
25-Oct-13,60.53,60.53,58.14,58.92,110438
24-Oct-13,55.68,61.01,55.18,59.63,222879
23-Oct-13,52.09,55.59,50.11,54.96,307055
22-Oct-13,53.94,54.51,52.08,52.77,214575
21-Oct-13,55.35,55.70,53.01,53.56,336619
18-Oct-13,60.68,60.68,55.06,55.66,201528
17-Oct-13,59.74,60.99,59.02,59.89,117242
16-Oct-13,60.77,62.15,59.06,60.14,309565
15-Oct-13,60.00,60.99,58.49,60.55,191054
14-Oct-13,59.31,60.29,57.31,60.04,154979
11-Oct-13,60.36,62.32,58.15,60.02,287283
10-Oct-13,60.25,62.49,59.35,61.17,307822
9-Oct-13,62.40,63.08,58.00,59.86,982242
8-Oct-13,68.98,69.13,61.16,64.65,210360
7-Oct-13,67.81,69.70,67.81,69.28,69570
4-Oct-13,68.79,69.91,68.37,68.89,78948
3-Oct-13,71.45,71.45,68.29,68.94,135537
2-Oct-13,75.96,75.96,69.47,72.02,233213
1-Oct-13,70.36,77.53,69.26,76.82,272794
30-Sep-13,67.99,72.64,67.06,69.03,161872
