Date,Open,High,Low,Close,Volume
31-Dec-13,22.88,23.12,22.50,22.50,16297
30-Dec-13,23.20,23.40,22.88,22.88,15193
27-Dec-13,23.44,23.52,23.10,23.20,10088
26-Dec-13,23.60,23.60,23.27,23.52,5382
24-Dec-13,23.45,23.97,22.97,23.70,14914
23-Dec-13,22.53,23.45,22.50,23.33,10845
20-Dec-13,23.18,23.64,22.80,23.29,53206
19-Dec-13,23.20,23.41,22.88,23.41,14123
18-Dec-13,23.06,23.50,22.90,23.27,14452
17-Dec-13,23.00,23.61,22.88,23.03,15453
16-Dec-13,22.99,23.65,22.69,23.11,14559
13-Dec-13,23.46,23.46,22.50,22.99,11460
12-Dec-13,23.98,23.98,23.02,23.38,1539
11-Dec-13,23.01,23.01,22.50,22.71,5097
10-Dec-13,23.39,23.39,22.64,22.64,1408
9-Dec-13,23.68,23.87,22.88,22.88,12219
6-Dec-13,23.75,24.12,23.60,23.90,13248
5-Dec-13,23.70,23.80,23.50,23.62,8500
4-Dec-13,23.50,23.95,23.50,23.90,4280
3-Dec-13,24.17,24.17,23.10,23.82,6758
2-Dec-13,23.90,24.28,23.70,23.86,42525
29-Nov-13,24.10,24.71,23.41,23.92,15557
27-Nov-13,21.94,24.15,21.94,24.15,45821
26-Nov-13,21.55,21.94,21.55,21.82,4600
25-Nov-13,20.90,21.99,20.60,21.95,80565
22-Nov-13,20.60,20.75,20.25,20.50,189813
21-Nov-13,21.59,21.59,20.27,20.71,9812
20-Nov-13,21.82,21.82,21.50,21.50,2056
19-Nov-13,23.00,23.00,21.62,21.75,1800
18-Nov-13,22.77,22.77,21.76,22.03,2200
15-Nov-13,22.36,23.28,21.02,23.18,2657
14-Nov-13,22.54,23.10,21.54,22.50,9472
13-Nov-13,22.30,23.90,22.00,22.54,6529
12-Nov-13,23.71,23.71,22.06,22.94,4534
11-Nov-13,23.79,23.79,23.35,23.35,4150
8-Nov-13,24.14,24.14,23.60,23.60,2004
7-Nov-13,24.30,24.30,23.20,24.15,6315
6-Nov-13,24.41,24.41,23.11,24.14,2095
5-Nov-13,24.21,24.90,24.00,24.00,1100
4-Nov-13,23.50,25.49,23.50,24.36,11182
1-Nov-13,22.50,22.70,22.37,22.68,9747
31-Oct-13,22.50,22.50,21.70,22.25,8196
30-Oct-13,22.35,22.36,21.65,22.00,9059
29-Oct-13,21.94,22.93,21.94,22.36,10663
28-Oct-13,25.23,25.26,20.12,21.15,75587
25-Oct-13,30.53,30.53,24.05,25.23,70844
24-Oct-13,27.38,31.82,27.38,31.00,15177
23-Oct-13,29.64,30.47,29.29,29.60,11703
22-Oct-13,28.30,30.49,28.02,29.80,15281
21-Oct-13,28.29,28.30,27.70,27.99,7596
18-Oct-13,28.02,28.36,27.38,28.19,7399
17-Oct-13,27.36,28.47,27.36,28.39,2357
16-Oct-13,28.48,28.59,27.77,28.23,3489
15-Oct-13,27.07,27.60,27.07,27.60,10120
14-Oct-13,28.00,28.40,27.18,27.72,5897
11-Oct-13,27.47,28.70,27.07,28.70,3397
10-Oct-13,27.52,28.47,27.52,28.00,2199
9-Oct-13,27.75,27.75,27.06,27.16,4600
8-Oct-13,27.75,28.75,26.89,28.30,15793
7-Oct-13,27.26,27.99,26.62,27.34,12760
4-Oct-13,25.28,27.45,25.28,27.22,3689
3-Oct-13,25.61,26.60,25.61,26.60,5867
2-Oct-13,26.16,26.23,25.51,25.71,8195
1-Oct-13,26.41,26.55,24.38,25.99,63426
30-Sep-13,26.61,26.70,26.00,26.69,4620
27-Sep-13,28.00,28.00,26.63,26.82,5392
26-Sep-13,27.46,27.72,27.46,27.72,1700
25-Sep-13,27.56,27.58,27.33,27.47,2530
24-Sep-13,27.51,28.05,27.50,27.90,4747
23-Sep-13,28.03,28.05,27.53,27.80,10032
20-Sep-13,28.35,28.57,27.81,28.10,4753
19-Sep-13,28.13,28.42,27.23,28.42,11131
18-Sep-13,28.17,28.78,27.48,28.47,10997
17-Sep-13,27.89,28.15,27.11,27.27,8082
16-Sep-13,27.41,28.19,27.30,28.01,6505
13-Sep-13,27.57,28.30,27.00,27.79,9790
12-Sep-13,27.56,27.62,27.31,27.62,1772
11-Sep-13,28.00,28.00,27.38,27.38,1711
10-Sep-13,27.70,28.80,27.32,27.32,9920
9-Sep-13,27.08,27.66,26.96,27.66,5599
6-Sep-13,26.61,27.00,26.30,26.87,14214
5-Sep-13,27.03,27.15,26.66,26.68,3790
4-Sep-13,27.52,27.52,27.02,27.44,4527
3-Sep-13,27.73,28.39,27.60,27.60,5253
30-Aug-13,28.27,28.27,27.52,27.52,960
29-Aug-13,27.52,28.16,27.52,28.03,7906
