Date,Open,High,Low,Close,Volume
31-Dec-13,18.36,18.75,18.36,18.58,69337
30-Dec-13,18.55,19.05,18.45,18.56,86509
27-Dec-13,18.90,19.07,18.73,18.74,29494
26-Dec-13,18.60,18.80,18.52,18.60,68064
24-Dec-13,18.67,18.80,18.64,18.70,22694
23-Dec-13,19.04,19.07,18.62,18.80,190786
20-Dec-13,18.71,18.96,18.71,18.71,37948
19-Dec-13,18.89,19.00,18.50,18.71,96593
18-Dec-13,18.56,18.99,18.51,18.99,57107
17-Dec-13,18.60,18.77,18.41,18.61,64813
16-Dec-13,19.05,19.10,18.42,18.61,53047
13-Dec-13,18.93,19.07,18.60,18.83,272481
12-Dec-13,18.83,19.29,18.67,18.73,35240
11-Dec-13,18.95,19.14,18.49,18.63,65049
10-Dec-13,19.33,19.33,18.82,19.11,44519
9-Dec-13,19.57,19.70,19.25,19.35,37614
6-Dec-13,19.63,19.72,19.57,19.57,18298
5-Dec-13,19.47,19.69,19.41,19.48,39397
4-Dec-13,19.66,19.75,19.40,19.57,27171
3-Dec-13,19.80,19.81,19.53,19.57,37198
2-Dec-13,20.06,20.06,19.70,19.86,22179
29-Nov-13,20.06,20.10,19.95,20.10,3940
27-Nov-13,19.83,20.22,19.83,20.03,39287
26-Nov-13,19.80,20.07,19.65,19.99,46298
25-Nov-13,19.95,20.15,19.95,20.03,36559
22-Nov-13,19.80,20.15,19.66,19.95,37391
21-Nov-13,19.46,19.88,19.39,19.79,50402
20-Nov-13,19.65,19.76,19.43,19.50,34378
19-Nov-13,19.65,19.75,19.47,19.70,31333
18-Nov-13,19.50,19.78,19.40,19.73,29303
15-Nov-13,19.50,19.50,19.27,19.36,15939
14-Nov-13,19.55,19.65,19.29,19.44,19613
13-Nov-13,19.23,19.59,19.23,19.47,34818
12-Nov-13,19.69,19.77,19.32,19.46,38384
11-Nov-13,19.79,19.80,19.54,19.64,28418
8-Nov-13,19.86,19.86,19.50,19.66,30752
7-Nov-13,19.93,19.93,19.66,19.77,17386
6-Nov-13,19.76,19.96,19.51,19.81,34472
5-Nov-13,20.07,20.11,19.72,19.88,37223
4-Nov-13,19.96,20.21,19.90,20.01,35775
1-Nov-13,20.01,20.17,19.96,20.10,7436
31-Oct-13,19.95,20.22,19.90,20.09,20360
30-Oct-13,20.40,20.47,19.85,19.99,36022
