Date,Open,High,Low,Close,Volume
31-Dec-13,18.22,18.22,18.22,18.22,603
30-Dec-13,17.83,17.83,17.83,17.83,1149
27-Dec-13,17.79,17.79,17.79,17.79,15219
20-Dec-13,17.91,17.91,17.91,17.91,269
17-Dec-13,18.08,18.08,18.08,18.08,213
16-Dec-13,17.75,18.19,17.73,18.19,10508
22-Nov-13,17.61,17.61,17.61,17.61,100
21-Nov-13,17.66,17.66,17.62,17.62,400
20-Nov-13,17.54,17.54,17.54,17.54,450
19-Nov-13,18.05,18.05,18.00,18.00,476
18-Nov-13,18.09,18.09,18.09,18.09,100
15-Nov-13,18.00,18.00,18.00,18.00,300
13-Nov-13,18.15,18.15,18.00,18.00,4400
6-Nov-13,17.88,18.22,17.88,18.15,2700
5-Nov-13,18.25,18.25,18.01,18.01,554
4-Nov-13,18.14,18.14,18.03,18.03,354
1-Nov-13,18.15,18.44,17.53,18.25,3024
28-Oct-13,17.73,17.75,17.73,17.75,354
18-Oct-13,18.03,18.06,17.58,17.63,700
17-Oct-13,17.55,17.56,17.55,17.56,3305
16-Oct-13,17.63,17.63,17.60,17.60,300
15-Oct-13,17.59,17.60,17.54,17.54,420
11-Oct-13,17.53,17.53,17.53,17.53,200
9-Oct-13,17.56,17.56,17.56,17.56,100
7-Oct-13,17.68,17.70,17.68,17.70,400
4-Oct-13,17.60,17.60,17.60,17.60,100
1-Oct-13,17.60,17.60,17.60,17.60,200
30-Sep-13,17.60,17.60,17.60,17.60,100
26-Sep-13,17.62,17.62,17.56,17.56,200
25-Sep-13,18.12,18.12,17.54,17.62,430
23-Sep-13,18.26,18.26,17.91,17.91,1200
20-Sep-13,17.94,18.43,17.50,18.43,9280
19-Sep-13,17.36,17.91,17.31,17.70,1315
18-Sep-13,17.94,17.94,17.30,17.30,500
17-Sep-13,17.60,17.87,17.43,17.87,2304
16-Sep-13,17.24,17.99,17.24,17.48,587
13-Sep-13,17.14,18.16,17.04,17.44,2079
12-Sep-13,18.14,18.20,17.90,17.91,3809
11-Sep-13,17.80,18.14,17.80,17.94,2105
10-Sep-13,17.45,17.88,17.03,17.76,2435
9-Sep-13,17.10,17.10,17.00,17.00,400
6-Sep-13,17.44,17.44,17.11,17.11,400
4-Sep-13,17.12,17.12,17.12,17.12,161
23-Aug-13,17.19,17.50,17.19,17.40,1433
22-Aug-13,17.75,17.75,17.00,17.04,961
21-Aug-13,17.98,17.98,17.98,17.98,100
20-Aug-13,17.95,17.95,17.75,17.75,1266
19-Aug-13,17.92,17.92,17.92,17.92,100
15-Aug-13,17.96,18.00,17.96,18.00,1000
14-Aug-13,17.96,17.96,17.96,17.96,200
13-Aug-13,17.60,18.00,17.60,18.00,3200
9-Aug-13,18.18,18.18,18.09,18.09,200
2-Aug-13,18.20,18.24,18.14,18.24,1100
1-Aug-13,-,18.24,18.24,18.24,100
31-Jul-13,18.22,18.24,18.12,18.12,300
30-Jul-13,18.24,18.24,18.24,18.24,200
26-Jul-13,18.12,18.22,18.12,18.22,400
25-Jul-13,17.70,17.86,17.63,17.63,1151
24-Jul-13,17.55,17.65,17.55,17.65,1700
22-Jul-13,17.55,17.55,17.55,17.55,2000
19-Jul-13,17.55,17.55,17.55,17.55,1892
12-Jul-13,17.45,17.45,17.45,17.45,100
11-Jul-13,17.35,17.55,17.30,17.45,1800
10-Jul-13,16.75,16.75,16.75,16.75,100
9-Jul-13,17.57,17.57,17.56,17.56,394
2-Jul-13,17.37,17.64,17.00,17.23,3586
28-Jun-13,16.68,17.00,16.68,17.00,905
25-Jun-13,16.73,16.73,16.73,16.73,100
24-Jun-13,16.90,16.90,16.70,16.80,700
21-Jun-13,16.92,16.92,16.92,16.92,356
19-Jun-13,16.55,16.55,16.51,16.51,298
18-Jun-13,16.54,16.54,16.54,16.54,100
17-Jun-13,16.51,16.51,16.51,16.51,100
14-Jun-13,16.70,16.73,16.67,16.67,764
6-Jun-13,16.54,16.54,16.54,16.54,325
23-May-13,16.65,16.65,16.65,16.65,400
21-May-13,16.46,16.46,16.46,16.46,300
16-May-13,16.96,16.97,16.96,16.97,280
8-May-13,16.35,16.35,16.35,16.35,300
3-May-13,16.50,16.50,16.50,16.50,750
2-May-13,16.30,16.30,16.30,16.30,400
1-May-13,16.08,16.08,16.08,16.08,100
26-Apr-13,16.96,16.96,16.96,16.96,300
22-Apr-13,16.93,17.00,16.93,17.00,1900
16-Apr-13,17.01,17.01,17.01,17.01,100
15-Apr-13,16.92,16.92,16.92,16.92,150
12-Apr-13,16.86,16.86,16.86,16.86,300
10-Apr-13,16.86,16.86,16.86,16.86,100
9-Apr-13,16.96,16.96,16.96,16.96,300
4-Apr-13,17.08,17.08,17.08,17.08,144
19-Mar-13,17.12,17.12,17.12,17.12,100
18-Mar-13,17.05,17.05,17.04,17.04,1000
13-Mar-13,17.54,17.54,17.54,17.54,300
11-Mar-13,17.65,17.65,17.65,17.65,300
8-Mar-13,17.00,17.00,17.00,17.00,234
7-Mar-13,16.99,17.06,16.99,17.04,500
4-Mar-13,16.95,17.50,16.95,17.50,2300
28-Feb-13,17.02,17.02,16.93,16.97,400
27-Feb-13,15.00,17.61,15.00,16.96,924
25-Feb-13,17.30,17.31,17.29,17.31,519
21-Feb-13,17.63,17.63,17.63,17.63,100
20-Feb-13,17.70,17.70,17.70,17.70,996
19-Feb-13,17.01,17.70,17.01,17.70,1200
15-Feb-13,17.01,17.31,17.01,17.31,1096
14-Feb-13,17.00,17.00,17.00,17.00,100
13-Feb-13,17.75,17.75,17.75,17.75,1492
7-Feb-13,17.16,17.16,16.81,16.81,600
5-Feb-13,17.26,17.26,17.07,17.07,329
1-Feb-13,17.40,17.40,17.40,17.40,300
31-Jan-13,17.26,17.26,17.26,17.26,200
29-Jan-13,17.64,17.64,17.20,17.20,300
22-Jan-13,17.05,17.40,17.05,17.40,865
16-Jan-13,17.48,17.48,17.48,17.48,100
15-Jan-13,17.37,17.42,17.37,17.42,511
14-Jan-13,17.42,17.42,17.42,17.42,200
11-Jan-13,17.35,17.35,17.35,17.35,300
9-Jan-13,17.35,17.35,17.35,17.35,174
8-Jan-13,17.35,17.35,17.35,17.35,100
7-Jan-13,17.31,17.31,17.08,17.08,410
3-Jan-13,17.69,17.69,16.52,17.22,7200
2-Jan-13,17.74,17.74,17.00,17.25,120215
28-Dec-12,16.94,16.97,16.94,16.97,500
27-Dec-12,16.52,16.52,16.46,16.50,11044
20-Dec-12,16.50,16.53,16.50,16.53,1291
19-Dec-12,16.53,16.53,16.53,16.53,7700
17-Dec-12,16.58,16.58,16.56,16.56,200
12-Dec-12,16.55,16.55,16.52,16.52,200
11-Dec-12,16.54,16.70,16.52,16.52,1000
10-Dec-12,16.53,16.53,16.50,16.52,4077
7-Dec-12,16.75,16.87,16.75,16.87,894
6-Dec-12,16.86,16.87,16.71,16.71,13660
4-Dec-12,16.81,16.81,16.81,16.81,100
30-Nov-12,16.56,16.75,16.55,16.75,29234
26-Nov-12,16.50,16.65,16.50,16.65,1548
21-Nov-12,-,-,-,16.32,0
20-Nov-12,16.32,16.32,16.32,16.32,300
19-Nov-12,16.34,16.54,16.34,16.45,1600
16-Nov-12,16.25,16.28,16.25,16.28,934
15-Nov-12,-,-,-,16.43,0
14-Nov-12,16.29,16.43,16.29,16.43,302
13-Nov-12,-,-,-,16.96,0
12-Nov-12,16.75,16.96,16.75,16.96,249
9-Nov-12,16.71,16.71,16.68,16.71,3800
8-Nov-12,-,-,-,16.70,0
7-Nov-12,16.71,16.71,16.43,16.70,3623
6-Nov-12,-,-,-,16.69,0
5-Nov-12,16.69,16.75,16.69,16.75,949
2-Nov-12,-,-,-,16.75,0
1-Nov-12,16.75,16.75,16.75,16.75,200
31-Oct-12,-,-,-,16.29,0
26-Oct-12,-,-,-,16.29,0
25-Oct-12,-,-,-,16.29,0
24-Oct-12,-,-,-,16.29,0
23-Oct-12,16.43,16.79,16.43,16.79,1200
22-Oct-12,-,-,-,16.29,0
19-Oct-12,-,-,-,16.29,0
18-Oct-12,-,-,-,16.29,0
17-Oct-12,-,-,-,16.29,0
16-Oct-12,16.29,16.35,16.29,16.35,400
15-Oct-12,17.09,17.09,16.24,16.24,600
12-Oct-12,-,-,-,16.77,0
11-Oct-12,16.77,16.77,16.77,16.77,1222
10-Oct-12,16.12,16.83,16.12,16.83,1000
9-Oct-12,16.12,16.12,16.12,16.12,100
8-Oct-12,-,-,-,16.12,0
5-Oct-12,16.12,16.12,16.07,16.07,600
4-Oct-12,-,-,-,16.44,0
3-Oct-12,16.10,16.58,16.10,16.44,1900
2-Oct-12,16.06,16.06,16.06,16.06,500
1-Oct-12,16.15,16.15,16.15,16.15,100
28-Sep-12,16.04,16.04,16.04,16.04,100
27-Sep-12,16.20,16.20,16.20,16.20,1400
26-Sep-12,16.21,16.21,16.20,16.20,300
25-Sep-12,16.07,16.80,16.00,16.23,30480
24-Sep-12,-,-,-,16.54,0
21-Sep-12,16.54,16.54,16.54,16.54,851
20-Sep-12,-,-,-,16.75,0
19-Sep-12,-,-,-,16.75,0
18-Sep-12,-,-,-,16.75,0
17-Sep-12,16.96,16.98,16.75,16.75,2144
14-Sep-12,-,-,-,16.93,0
13-Sep-12,-,-,-,16.72,0
12-Sep-12,-,-,-,16.72,0
11-Sep-12,16.72,16.95,16.72,16.95,1974
10-Sep-12,16.50,16.50,16.50,16.50,500
7-Sep-12,-,-,-,16.52,0
6-Sep-12,-,-,-,16.52,0
5-Sep-12,-,-,-,16.52,0
4-Sep-12,16.73,16.73,15.52,16.52,1700
31-Aug-12,16.90,16.90,16.90,16.90,300
30-Aug-12,17.20,17.20,17.00,17.00,1200
29-Aug-12,17.20,17.20,17.20,17.20,300
28-Aug-12,-,-,-,17.12,0
27-Aug-12,17.14,17.20,17.12,17.12,300
24-Aug-12,17.20,17.20,16.90,17.20,1400
23-Aug-12,-,-,-,17.27,0
22-Aug-12,-,-,-,17.27,0
21-Aug-12,16.27,17.75,16.27,17.25,6898
20-Aug-12,16.15,16.29,16.15,16.29,1784
17-Aug-12,-,-,-,16.25,0
16-Aug-12,16.15,16.15,16.15,16.15,100
15-Aug-12,-,-,-,16.13,0
14-Aug-12,16.15,16.15,16.13,16.13,300
13-Aug-12,16.25,16.25,16.25,16.25,1000
10-Aug-12,16.22,16.22,16.22,16.22,100
9-Aug-12,-,-,-,16.24,0
8-Aug-12,-,-,-,16.24,0
7-Aug-12,-,-,-,16.24,0
6-Aug-12,-,-,-,16.24,0
3-Aug-12,-,-,-,16.24,0
2-Aug-12,-,-,-,16.24,0
1-Aug-12,-,-,-,16.24,0
31-Jul-12,16.25,16.25,16.25,16.25,10400
30-Jul-12,15.92,16.24,15.92,16.24,530
27-Jul-12,15.85,15.99,15.85,15.99,1700
26-Jul-12,15.84,15.84,15.79,15.79,883
25-Jul-12,-,-,-,15.95,0
24-Jul-12,-,-,-,15.95,0
23-Jul-12,-,-,-,15.95,0
20-Jul-12,-,-,-,15.95,0
19-Jul-12,15.78,15.95,15.78,15.95,1700
18-Jul-12,-,-,-,15.76,0
17-Jul-12,15.76,15.76,15.76,15.76,300
16-Jul-12,15.76,15.76,15.76,15.76,300
13-Jul-12,-,-,-,15.76,0
12-Jul-12,-,-,-,15.76,0
11-Jul-12,15.76,15.76,15.76,15.76,300
10-Jul-12,-,-,-,15.76,0
9-Jul-12,-,-,-,15.76,0
6-Jul-12,-,-,-,15.76,0
5-Jul-12,15.76,15.76,15.76,15.76,300
3-Jul-12,15.76,15.76,15.76,15.76,1347
2-Jul-12,-,-,-,16.00,0
29-Jun-12,16.06,16.10,15.98,16.10,1447
28-Jun-12,-,-,-,15.85,0
27-Jun-12,-,-,-,15.85,0
26-Jun-12,-,-,-,15.85,0
25-Jun-12,-,-,-,15.85,0
22-Jun-12,-,-,-,15.85,0
21-Jun-12,-,-,-,15.91,0
20-Jun-12,-,-,-,15.91,0
19-Jun-12,-,-,-,15.91,0
18-Jun-12,15.91,15.91,15.91,15.91,200
15-Jun-12,16.00,16.00,16.00,16.00,1000
14-Jun-12,15.95,15.95,15.92,15.94,49160
13-Jun-12,-,-,-,15.96,0
12-Jun-12,-,-,-,15.96,0
11-Jun-12,-,-,-,15.96,0
8-Jun-12,15.96,15.96,15.96,15.96,100
7-Jun-12,16.13,16.13,15.96,15.96,700
6-Jun-12,16.02,16.05,16.00,16.00,52006
5-Jun-12,16.00,16.05,15.97,16.00,700
4-Jun-12,-,-,-,15.69,0
1-Jun-12,-,-,-,15.69,0
31-May-12,15.69,15.80,15.69,15.80,5400
30-May-12,15.86,16.05,15.60,15.60,800
29-May-12,15.90,16.00,15.88,16.00,2187
25-May-12,-,-,-,16.30,0
24-May-12,-,-,-,16.30,0
23-May-12,16.30,16.30,16.10,16.10,2300
22-May-12,-,-,-,16.20,0
21-May-12,-,-,-,16.20,0
18-May-12,-,-,-,16.20,0
17-May-12,-,-,-,16.20,0
16-May-12,16.20,16.20,16.20,16.20,132651
15-May-12,-,-,-,16.05,0
14-May-12,-,-,-,16.05,0
11-May-12,-,-,-,16.05,0
10-May-12,-,-,-,16.05,0
9-May-12,-,-,-,16.05,0
8-May-12,-,-,-,16.05,0
7-May-12,-,-,-,16.05,0
4-May-12,16.25,16.25,16.05,16.05,2883
3-May-12,-,-,-,16.20,0
2-May-12,-,-,-,16.20,0
1-May-12,-,-,-,16.20,0
30-Apr-12,15.91,16.20,15.91,16.20,2200
27-Apr-12,-,-,-,16.20,0
26-Apr-12,16.04,16.20,16.04,16.20,200
25-Apr-12,15.92,15.92,15.90,15.90,800
