Date,Open,High,Low,Close,Volume
31-Dec-13,7.98,7.98,6.77,6.94,9264
30-Dec-13,7.99,7.99,6.81,6.94,21687
27-Dec-13,7.16,7.50,7.16,7.25,2082
26-Dec-13,7.98,7.98,7.48,7.48,9852
24-Dec-13,7.85,8.35,7.70,8.03,2092
23-Dec-13,7.63,7.63,7.63,7.63,265
20-Dec-13,7.27,8.31,7.27,8.00,20524
19-Dec-13,7.98,8.25,7.29,7.42,16008
18-Dec-13,7.60,8.31,7.60,7.97,53179
17-Dec-13,6.95,8.00,6.88,7.42,25537
16-Dec-13,7.08,7.22,6.53,6.62,16583
13-Dec-13,7.15,7.33,7.15,7.33,325
12-Dec-13,7.59,8.00,7.06,7.51,19741
11-Dec-13,7.75,8.00,7.18,8.00,27558
10-Dec-13,7.78,7.78,7.77,7.78,600
9-Dec-13,8.00,8.05,7.76,7.81,4896
6-Dec-13,7.87,8.00,7.87,7.99,501
5-Dec-13,7.80,8.00,7.75,7.75,3200
4-Dec-13,7.91,8.00,7.53,7.70,4996
3-Dec-13,7.73,8.00,7.52,7.98,8100
2-Dec-13,7.80,7.80,7.76,7.76,300
29-Nov-13,7.72,7.80,7.72,7.80,320
27-Nov-13,8.00,8.19,7.71,7.80,9050
26-Nov-13,8.02,8.20,8.00,8.00,1400
25-Nov-13,8.10,8.20,7.86,7.86,4879
22-Nov-13,8.21,8.70,7.85,7.99,15878
21-Nov-13,8.83,8.83,8.21,8.22,8297
20-Nov-13,9.00,9.00,8.15,8.23,5910
19-Nov-13,8.24,8.28,8.21,8.28,390
18-Nov-13,8.17,8.17,8.17,8.17,200
15-Nov-13,8.19,9.05,8.11,8.25,21600
14-Nov-13,7.99,8.24,7.77,7.77,4800
13-Nov-13,8.18,8.80,7.72,8.57,17901
12-Nov-13,8.75,8.75,8.12,8.12,3300
11-Nov-13,8.21,8.75,7.72,8.06,3800
8-Nov-13,8.75,8.75,8.03,8.59,6000
7-Nov-13,7.98,8.65,7.95,8.02,2550
6-Nov-13,8.06,8.10,7.73,8.01,6500
5-Nov-13,7.70,8.11,7.61,8.10,16416
4-Nov-13,7.85,8.10,7.60,7.80,18034
1-Nov-13,7.56,7.85,7.06,7.85,7770
31-Oct-13,7.11,7.44,7.11,7.20,7700
30-Oct-13,7.36,7.36,7.14,7.34,400
29-Oct-13,7.09,7.35,7.09,7.24,300
28-Oct-13,7.41,7.41,7.21,7.21,2150
25-Oct-13,7.14,7.35,7.05,7.35,12500
24-Oct-13,7.20,7.25,7.11,7.11,4180
23-Oct-13,7.49,7.49,7.21,7.21,2200
22-Oct-13,7.14,7.21,7.11,7.12,1900
18-Oct-13,7.24,7.29,7.23,7.24,3800
17-Oct-13,7.11,7.37,7.11,7.21,2150
16-Oct-13,7.08,7.45,7.01,7.10,5000
15-Oct-13,7.11,7.15,7.11,7.11,1000
14-Oct-13,7.01,7.25,7.01,7.25,600
11-Oct-13,7.30,7.33,7.21,7.21,700
10-Oct-13,6.93,7.30,6.93,7.30,1800
9-Oct-13,7.05,7.05,7.00,7.05,3474
8-Oct-13,7.03,7.12,7.00,7.00,8588
7-Oct-13,7.24,7.84,7.00,7.36,10650
4-Oct-13,6.21,7.85,6.21,7.85,5169
3-Oct-13,6.70,7.65,6.70,7.01,3412
2-Oct-13,7.26,7.26,6.70,6.70,3700
1-Oct-13,7.05,7.06,6.31,6.31,15779
30-Sep-13,7.11,7.11,7.05,7.05,1927
27-Sep-13,7.10,7.22,7.10,7.10,4437
26-Sep-13,7.23,7.23,7.05,7.12,15427
25-Sep-13,8.06,8.33,7.30,7.42,17791
24-Sep-13,7.90,8.69,7.25,7.36,17336
23-Sep-13,8.58,8.58,8.00,8.15,22102
20-Sep-13,8.83,8.89,8.53,8.53,13819
19-Sep-13,9.53,9.53,8.53,9.29,40639
18-Sep-13,9.94,9.94,9.06,9.06,33248
17-Sep-13,9.64,9.92,8.60,9.65,12544
16-Sep-13,8.54,10.30,8.01,9.48,85212
13-Sep-13,7.54,9.10,7.41,8.06,64295
12-Sep-13,7.16,7.55,6.98,7.54,28879
11-Sep-13,6.96,7.44,6.95,7.05,13595
10-Sep-13,7.14,7.60,6.32,6.97,27182
9-Sep-13,6.37,7.40,6.16,7.38,62924
6-Sep-13,6.51,6.95,6.27,6.47,24528
5-Sep-13,6.90,7.29,6.64,7.25,9061
4-Sep-13,6.88,7.00,6.27,6.70,15396
3-Sep-13,7.47,7.47,6.75,6.95,28556
29-Aug-13,7.21,7.50,7.11,7.50,3240
28-Aug-13,7.00,7.64,7.00,7.40,4022
27-Aug-13,7.64,7.64,7.64,7.64,100
26-Aug-13,8.17,8.26,7.00,7.78,19347
23-Aug-13,7.95,7.95,7.70,7.86,1645
22-Aug-13,7.95,8.10,7.68,7.70,9806
21-Aug-13,8.24,8.24,7.61,8.00,5300
20-Aug-13,8.16,8.39,7.91,8.29,7400
19-Aug-13,8.50,8.50,7.88,8.40,7330
16-Aug-13,7.89,8.96,7.89,8.59,49504
15-Aug-13,7.14,9.25,7.14,7.83,31418
14-Aug-13,7.70,7.90,7.56,7.80,3100
13-Aug-13,7.75,7.90,7.65,7.90,3181
12-Aug-13,7.60,7.77,7.60,7.77,3299
9-Aug-13,7.50,7.60,6.83,7.50,9666
8-Aug-13,7.67,7.67,7.25,7.45,5649
7-Aug-13,7.70,7.95,7.67,7.91,3618
6-Aug-13,8.00,8.00,7.45,7.50,3655
5-Aug-13,7.00,7.70,7.00,7.70,17843
2-Aug-13,7.34,7.34,7.00,7.00,4948
1-Aug-13,7.46,7.89,7.27,7.45,9350
31-Jul-13,7.10,7.14,6.27,7.05,29602
30-Jul-13,7.75,7.75,7.35,7.35,25299
29-Jul-13,7.58,7.87,7.53,7.83,16375
26-Jul-13,9.06,9.06,7.26,7.64,183244
