Date,Open,High,Low,Close,Volume
31-Dec-13,26.04,26.10,25.91,26.00,124264
30-Dec-13,26.15,26.15,25.88,26.00,96627
27-Dec-13,26.09,26.21,25.93,26.07,82737
26-Dec-13,26.03,26.17,25.93,25.97,43028
24-Dec-13,25.90,26.21,25.88,26.00,34491
23-Dec-13,25.67,25.92,25.60,25.87,88328
20-Dec-13,25.07,25.67,24.97,25.64,271218
19-Dec-13,24.77,25.07,24.75,24.95,64410
18-Dec-13,24.74,24.93,24.52,24.87,73148
17-Dec-13,24.85,24.85,24.30,24.60,86277
16-Dec-13,24.39,24.83,24.25,24.78,64605
13-Dec-13,24.35,24.55,24.16,24.21,37424
12-Dec-13,24.16,24.44,23.91,24.31,73203
11-Dec-13,24.49,24.49,23.87,24.02,67948
10-Dec-13,24.90,25.00,24.33,24.37,56428
9-Dec-13,25.13,25.13,24.64,24.86,60369
6-Dec-13,24.97,25.15,24.66,25.07,137577
5-Dec-13,24.63,24.79,24.34,24.65,25924
4-Dec-13,24.57,24.91,24.49,24.57,87933
3-Dec-13,24.91,25.10,24.49,24.62,262263
2-Dec-13,25.50,25.68,24.89,25.06,179760
29-Nov-13,25.68,25.75,25.49,25.57,103034
27-Nov-13,25.29,25.59,25.22,25.47,192436
26-Nov-13,25.19,25.46,25.07,25.19,55118
25-Nov-13,24.96,25.33,24.96,25.10,50832
22-Nov-13,24.55,24.93,24.27,24.76,54778
21-Nov-13,24.17,24.51,24.08,24.47,36722
20-Nov-13,24.00,24.14,23.84,24.10,37653
19-Nov-13,24.02,24.07,23.77,23.97,115382
18-Nov-13,24.00,24.17,23.77,23.94,81754
15-Nov-13,24.03,24.10,23.45,23.87,91514
14-Nov-13,23.93,24.07,23.82,24.00,29748
13-Nov-13,23.84,24.03,23.62,24.00,65268
12-Nov-13,23.97,24.11,23.74,23.92,218620
11-Nov-13,24.35,24.35,24.01,24.11,128462
8-Nov-13,23.68,24.59,23.68,24.32,61048
7-Nov-13,24.11,24.19,23.68,23.68,98799
6-Nov-13,24.07,24.26,23.84,23.98,84232
5-Nov-13,23.55,23.87,23.42,23.84,70438
4-Nov-13,23.36,23.61,23.15,23.58,98274
1-Nov-13,23.68,23.71,23.05,23.34,149352
31-Oct-13,24.06,24.13,23.63,23.73,142515
30-Oct-13,24.17,24.37,23.75,24.02,142209
29-Oct-13,24.02,24.28,23.86,24.09,174184
28-Oct-13,23.54,23.95,23.40,23.93,192262
25-Oct-13,23.83,23.83,23.34,23.46,112473
24-Oct-13,23.42,23.45,22.65,23.41,168042
23-Oct-13,23.37,23.75,23.15,23.27,116908
22-Oct-13,23.33,23.73,23.10,23.57,133148
21-Oct-13,23.21,23.43,23.13,23.17,108706
18-Oct-13,23.19,23.19,22.87,23.12,130276
17-Oct-13,22.65,22.97,22.24,22.95,62943
16-Oct-13,22.92,22.97,22.72,22.81,118536
15-Oct-13,22.84,22.95,22.69,22.79,107036
14-Oct-13,22.60,22.87,22.50,22.87,56037
11-Oct-13,21.92,22.72,21.89,22.63,49338
10-Oct-13,21.80,22.09,21.31,22.03,53618
9-Oct-13,21.52,21.69,21.15,21.49,194421
8-Oct-13,21.49,21.51,21.25,21.38,38338
7-Oct-13,21.50,21.64,21.47,21.50,31464
4-Oct-13,21.66,21.81,21.52,21.67,33920
3-Oct-13,21.87,21.89,21.44,21.72,44712
2-Oct-13,21.81,22.01,21.37,21.85,114273
1-Oct-13,21.67,21.89,21.61,21.89,39726
30-Sep-13,21.49,21.91,21.47,21.77,111332
27-Sep-13,21.98,22.00,21.49,21.65,76788
26-Sep-13,22.39,22.53,21.92,21.92,72088
25-Sep-13,22.73,22.93,22.45,22.45,226107
24-Sep-13,22.70,23.13,22.43,22.77,66530
23-Sep-13,22.61,22.86,22.24,22.68,89756
20-Sep-13,22.17,22.84,22.13,22.51,119612
19-Sep-13,22.52,22.60,22.01,22.13,216003
18-Sep-13,22.59,22.88,22.34,22.40,107364
17-Sep-13,22.21,22.58,21.88,22.53,81534
16-Sep-13,21.95,22.14,21.58,22.13,133731
13-Sep-13,21.52,21.75,21.09,21.67,87466
12-Sep-13,21.77,21.96,21.39,21.40,40850
11-Sep-13,21.84,22.14,21.76,21.81,63042
10-Sep-13,21.85,21.95,21.51,21.94,55635
9-Sep-13,21.55,21.82,21.48,21.75,56098
6-Sep-13,21.51,21.57,20.91,21.54,76718
5-Sep-13,21.21,21.49,21.04,21.37,59583
4-Sep-13,20.96,21.25,20.89,21.18,66262
3-Sep-13,21.03,21.20,20.74,20.95,41518
30-Aug-13,20.89,21.05,20.57,20.73,86602
29-Aug-13,20.85,21.21,20.84,20.95,50292
28-Aug-13,20.81,21.27,20.44,20.83,29322
27-Aug-13,21.29,21.46,20.60,20.75,92560
26-Aug-13,22.03,22.03,21.48,21.58,22422
23-Aug-13,21.95,22.18,21.78,21.96,67646
