Date,Open,High,Low,Close,Volume
31-Dec-13,145.96,147.52,145.69,146.29,316573
30-Dec-13,147.35,147.91,146.08,146.23,283643
27-Dec-13,145.77,146.97,144.82,146.90,270186
26-Dec-13,145.12,145.78,144.11,145.16,229040
24-Dec-13,145.26,145.46,144.20,145.37,235692
23-Dec-13,145.67,146.88,144.12,145.26,333646
20-Dec-13,143.55,146.13,142.92,144.95,1543988
19-Dec-13,144.78,145.99,142.32,143.27,976360
18-Dec-13,144.93,146.48,139.34,145.55,1232265
17-Dec-13,146.33,146.77,144.88,145.06,504829
16-Dec-13,147.62,148.57,146.00,146.65,426127
13-Dec-13,148.43,148.95,146.53,147.02,499633
12-Dec-13,147.05,149.24,146.15,147.43,785033
11-Dec-13,150.15,150.98,147.25,147.81,815138
10-Dec-13,148.50,150.96,147.99,150.08,526102
9-Dec-13,150.80,150.80,147.96,149.30,487543
6-Dec-13,149.04,149.89,146.71,149.03,767389
5-Dec-13,148.70,149.63,146.10,147.49,572658
4-Dec-13,151.02,151.90,148.00,149.29,721227
3-Dec-13,152.73,154.69,151.25,151.85,741033
2-Dec-13,153.23,153.40,151.04,153.25,512121
29-Nov-13,154.54,154.88,152.66,153.46,279598
27-Nov-13,154.18,155.90,153.71,154.26,507854
26-Nov-13,151.52,154.76,151.06,154.41,830259
25-Nov-13,150.95,152.95,150.00,151.46,559253
22-Nov-13,145.73,151.26,145.01,149.93,1171063
21-Nov-13,144.36,146.98,143.00,144.81,585049
20-Nov-13,144.78,144.96,143.66,143.97,663002
19-Nov-13,146.33,147.51,144.08,144.44,448419
18-Nov-13,150.63,152.02,147.49,147.50,527133
15-Nov-13,149.53,151.11,147.65,150.65,586203
14-Nov-13,150.61,150.89,148.73,149.70,452991
13-Nov-13,147.50,150.82,146.43,150.18,962583
12-Nov-13,148.06,148.71,146.78,148.03,1440239
11-Nov-13,149.71,151.04,148.41,148.50,276608
8-Nov-13,147.79,149.98,147.79,149.44,309849
7-Nov-13,149.97,150.74,146.84,147.50,688810
6-Nov-13,152.46,154.20,149.07,150.10,500852
5-Nov-13,153.89,153.95,150.89,152.09,525193
4-Nov-13,156.38,156.38,153.08,154.03,654013
1-Nov-13,154.03,157.14,152.64,156.57,646282
31-Oct-13,150.72,153.29,149.43,152.91,625702
30-Oct-13,151.34,152.38,149.88,151.11,395817
29-Oct-13,150.84,151.69,149.56,150.53,847880
28-Oct-13,151.25,151.28,149.98,150.15,1012382
25-Oct-13,156.48,156.77,149.26,151.38,1278528
24-Oct-13,152.84,156.20,150.10,154.11,721141
23-Oct-13,158.10,159.11,155.98,156.35,494794
22-Oct-13,157.42,159.33,155.56,157.73,962327
21-Oct-13,154.96,157.38,154.84,157.00,371931
18-Oct-13,155.47,156.53,154.43,154.96,371255
17-Oct-13,152.55,155.65,152.04,154.98,939539
16-Oct-13,149.75,153.34,148.75,152.72,1119249
15-Oct-13,149.89,150.02,146.94,148.28,696062
14-Oct-13,149.12,149.85,147.37,149.66,885353
11-Oct-13,146.11,153.51,145.72,149.23,2772851
10-Oct-13,145.00,148.89,145.00,146.08,873264
9-Oct-13,145.50,145.99,143.01,143.31,562022
8-Oct-13,147.57,148.54,144.08,145.27,630227
7-Oct-13,145.84,148.13,143.19,147.72,457816
4-Oct-13,146.91,148.34,146.51,147.20,632891
3-Oct-13,149.27,149.66,145.44,147.06,377122
2-Oct-13,148.28,149.29,146.64,149.04,182526
1-Oct-13,147.56,149.89,147.56,148.57,351800
30-Sep-13,146.66,148.56,146.16,147.15,508053
27-Sep-13,146.74,149.41,145.95,149.02,505791
26-Sep-13,146.37,148.54,144.78,148.01,691601
25-Sep-13,145.35,145.80,143.23,145.33,509713
24-Sep-13,146.14,148.09,144.72,145.01,389800
23-Sep-13,147.91,148.10,145.06,146.16,543864
20-Sep-13,149.00,150.80,147.85,148.30,1011009
19-Sep-13,148.37,150.06,147.24,149.15,695049
18-Sep-13,147.66,149.46,145.72,147.99,605165
17-Sep-13,145.73,148.17,145.25,147.63,593917
16-Sep-13,147.69,148.29,144.50,145.25,446747
13-Sep-13,144.57,147.00,144.33,145.16,390458
12-Sep-13,145.58,146.04,142.78,143.24,364350
11-Sep-13,145.65,146.26,144.58,145.70,617663
10-Sep-13,145.37,145.91,143.85,145.07,328863
9-Sep-13,144.68,145.35,143.26,144.24,444001
6-Sep-13,144.17,144.91,141.80,143.87,814974
5-Sep-13,142.03,144.27,140.71,143.88,726698
4-Sep-13,140.09,141.99,138.92,141.31,545838
3-Sep-13,138.37,140.68,138.01,140.36,487268
30-Aug-13,137.99,139.79,135.82,136.48,238949
29-Aug-13,136.90,138.59,136.27,137.65,346046
28-Aug-13,136.69,138.56,136.26,137.42,311496
27-Aug-13,139.09,139.98,136.20,136.64,359854
26-Aug-13,139.03,141.76,139.03,140.19,422989
23-Aug-13,139.79,141.02,137.71,138.87,302275
22-Aug-13,138.43,141.39,137.40,139.34,216574
21-Aug-13,139.37,140.20,137.90,138.25,388633
20-Aug-13,138.73,140.39,137.64,139.42,591152
19-Aug-13,140.50,142.15,137.99,138.30,502724
16-Aug-13,139.96,142.09,139.00,140.57,639648
15-Aug-13,141.03,142.99,138.55,140.03,382749
14-Aug-13,143.20,144.09,142.11,142.44,359271
13-Aug-13,144.99,145.22,143.13,143.88,338004
12-Aug-13,143.39,145.00,141.71,143.96,458892
9-Aug-13,144.14,145.47,141.65,143.90,409526
8-Aug-13,144.04,146.99,140.43,144.55,273673
7-Aug-13,143.94,144.77,141.56,142.66,373079
6-Aug-13,145.49,149.02,142.47,143.95,729825
5-Aug-13,148.18,148.18,144.12,145.31,527593
2-Aug-13,144.50,148.15,143.08,147.84,1109790
1-Aug-13,144.49,145.88,143.58,144.04,535056
31-Jul-13,144.02,145.00,142.73,143.73,709528
30-Jul-13,144.75,145.27,141.96,142.55,506476
29-Jul-13,144.07,145.45,143.33,144.60,553984
26-Jul-13,142.58,144.51,141.48,144.46,535038
25-Jul-13,140.24,142.98,139.95,142.77,625390
24-Jul-13,142.16,143.67,139.42,139.89,838505
23-Jul-13,141.91,143.35,140.36,141.89,582120
22-Jul-13,143.06,143.07,140.84,141.79,649983
19-Jul-13,141.72,142.77,139.84,140.64,676626
18-Jul-13,137.81,140.92,137.81,140.83,947162
17-Jul-13,140.73,140.73,137.31,138.12,710118
16-Jul-13,138.71,140.00,136.58,138.70,777990
15-Jul-13,137.85,139.31,137.75,139.19,697669
12-Jul-13,136.73,138.47,136.17,137.96,847077
11-Jul-13,136.15,140.99,135.24,136.18,693061
10-Jul-13,134.42,136.71,132.60,135.06,788263
9-Jul-13,132.80,135.03,132.40,134.14,1184854
8-Jul-13,130.82,132.44,130.09,131.91,759438
5-Jul-13,130.50,130.64,128.40,129.56,356113
3-Jul-13,128.58,130.41,127.51,129.21,313364
2-Jul-13,128.37,130.20,128.27,129.40,724232
1-Jul-13,127.35,128.55,126.37,127.67,615847
28-Jun-13,126.05,129.20,126.05,126.76,1342887
27-Jun-13,125.59,127.79,125.26,127.13,782675
26-Jun-13,124.33,125.03,122.89,124.36,502561
25-Jun-13,123.74,124.38,122.11,122.74,555144
24-Jun-13,122.90,123.00,120.39,122.33,1022263
21-Jun-13,125.17,126.31,122.37,123.29,1298406
20-Jun-13,127.79,127.95,123.80,125.00,921221
19-Jun-13,130.21,130.91,127.83,128.12,454557
18-Jun-13,127.38,130.64,127.03,130.01,683851
17-Jun-13,125.48,127.39,124.78,126.75,629265
14-Jun-13,123.78,126.70,122.95,125.00,962628
13-Jun-13,120.46,124.53,119.86,123.86,754080
12-Jun-13,124.41,125.16,120.13,120.85,548648
11-Jun-13,124.76,125.66,123.71,124.03,414866
10-Jun-13,128.32,128.32,125.18,125.77,517943
7-Jun-13,125.06,128.65,124.05,127.68,858365
6-Jun-13,121.06,124.78,120.14,124.73,661618
5-Jun-13,124.91,125.54,121.28,121.63,971196
4-Jun-13,124.81,126.14,123.68,124.91,4428219
3-Jun-13,125.13,125.96,122.96,125.11,964384
31-May-13,124.95,125.79,123.55,124.86,1428597
30-May-13,123.97,126.04,123.59,125.04,948374
29-May-13,124.16,125.36,122.25,123.29,1971067
28-May-13,126.84,127.74,124.57,125.39,726673
24-May-13,122.64,125.73,122.44,125.55,422944
23-May-13,124.06,124.08,121.81,123.25,784770
22-May-13,124.42,126.05,123.47,124.12,738256
21-May-13,125.14,126.21,124.55,124.86,663416
20-May-13,127.00,127.20,125.12,125.31,504923
17-May-13,125.62,128.46,124.71,126.20,494251
16-May-13,128.55,130.15,125.17,125.45,536786
15-May-13,124.97,129.69,124.50,126.95,670694
14-May-13,122.46,124.92,121.82,124.76,697291
13-May-13,122.30,124.57,121.84,122.57,398397
10-May-13,120.68,122.70,120.68,122.46,238240
9-May-13,121.32,123.07,119.94,121.01,337742
8-May-13,122.42,122.42,119.14,121.32,492698
7-May-13,119.64,120.55,118.84,120.15,826644
6-May-13,118.76,119.66,118.22,118.92,435843
3-May-13,117.85,118.80,117.46,118.38,221354
2-May-13,118.52,119.91,116.55,117.13,230087
1-May-13,114.84,119.99,114.35,118.25,621361
30-Apr-13,110.46,115.48,110.28,114.88,618892
29-Apr-13,111.90,112.30,110.92,111.23,246827
26-Apr-13,110.96,112.04,109.94,111.75,230084
25-Apr-13,111.00,111.98,110.51,110.89,214698
24-Apr-13,110.15,111.60,109.60,110.55,247017
23-Apr-13,109.99,111.14,109.24,110.47,166577
22-Apr-13,108.21,110.19,108.11,109.72,218318
19-Apr-13,109.66,110.34,108.31,108.75,194131
18-Apr-13,109.74,110.34,107.57,108.89,297807
17-Apr-13,109.56,110.79,107.60,109.39,529406
16-Apr-13,109.88,110.50,108.31,109.83,326617
15-Apr-13,111.97,113.68,108.19,109.47,537744
12-Apr-13,113.78,114.26,111.86,112.05,640396
11-Apr-13,111.75,113.89,110.79,113.55,1109686
10-Apr-13,108.95,111.41,108.95,111.34,155839
9-Apr-13,109.55,110.32,108.41,109.66,155095
8-Apr-13,108.70,109.27,107.07,108.94,213666
5-Apr-13,108.18,109.04,107.29,109.01,232596
4-Apr-13,110.76,110.92,108.14,108.90,241630
3-Apr-13,110.69,111.30,108.81,110.59,346468
2-Apr-13,110.00,112.09,110.00,110.63,271141
1-Apr-13,109.75,111.79,109.57,110.77,322360
28-Mar-13,110.41,111.63,110.10,111.63,667689
27-Mar-13,109.82,111.97,109.42,110.56,248609
26-Mar-13,110.47,110.77,109.10,110.02,209943
