Date,Open,High,Low,Close,Volume
31-Dec-13,1.78,1.78,1.71,1.71,3958
30-Dec-13,1.81,1.84,1.72,1.75,18541
27-Dec-13,1.78,1.83,1.71,1.75,18185
26-Dec-13,1.74,1.79,1.74,1.78,2011
24-Dec-13,1.75,1.78,1.75,1.75,3214
23-Dec-13,1.71,1.80,1.71,1.75,22092
20-Dec-13,1.79,1.80,1.78,1.79,3188
19-Dec-13,1.88,1.89,1.85,1.85,4613
18-Dec-13,1.84,1.85,1.81,1.85,835
17-Dec-13,1.85,1.88,1.83,1.87,1355
16-Dec-13,1.85,1.91,1.80,1.87,6786
13-Dec-13,1.76,1.84,1.76,1.82,2025
12-Dec-13,1.76,1.77,1.71,1.71,1614
11-Dec-13,1.72,1.80,1.72,1.74,6625
10-Dec-13,1.75,1.77,1.74,1.74,841
9-Dec-13,1.80,1.80,1.72,1.77,2314
6-Dec-13,1.79,1.86,1.75,1.75,4403
5-Dec-13,1.82,1.86,1.74,1.74,2887
4-Dec-13,1.71,1.82,1.71,1.78,11446
3-Dec-13,1.77,1.79,1.70,1.70,19185
2-Dec-13,1.68,1.85,1.65,1.75,137377
29-Nov-13,1.70,1.72,1.70,1.72,3576
27-Nov-13,1.75,1.76,1.65,1.71,35908
26-Nov-13,1.79,1.81,1.75,1.75,19759
25-Nov-13,1.78,1.80,1.76,1.78,25155
22-Nov-13,1.89,1.92,1.76,1.80,25488
21-Nov-13,1.94,1.94,1.85,1.85,9132
20-Nov-13,1.90,1.90,1.80,1.84,3599
19-Nov-13,1.83,1.97,1.82,1.97,13192
18-Nov-13,1.88,1.88,1.77,1.80,27451
15-Nov-13,1.83,1.97,1.83,1.92,12140
14-Nov-13,1.83,2.03,1.83,1.89,9226
13-Nov-13,2.03,2.03,1.95,1.96,3521
12-Nov-13,2.09,2.09,1.93,2.03,1680
11-Nov-13,1.95,2.10,1.95,2.02,5145
8-Nov-13,1.89,1.98,1.89,1.96,6768
7-Nov-13,1.95,1.95,1.76,1.81,29878
6-Nov-13,2.05,2.05,1.96,2.02,24207
5-Nov-13,2.10,2.12,2.10,2.12,7978
4-Nov-13,2.20,2.20,2.15,2.15,5547
1-Nov-13,2.20,2.27,2.02,2.23,11625
31-Oct-13,2.21,2.30,2.17,2.20,20507
30-Oct-13,2.02,2.17,2.02,2.15,8144
29-Oct-13,2.08,2.19,2.02,2.02,24431
28-Oct-13,1.98,2.10,1.98,2.08,28935
25-Oct-13,1.99,1.99,1.92,1.98,9146
24-Oct-13,1.99,1.99,1.98,1.98,2360
23-Oct-13,1.91,1.99,1.91,1.98,3257
22-Oct-13,1.90,1.95,1.89,1.93,11715
21-Oct-13,1.91,1.91,1.88,1.88,20834
18-Oct-13,1.87,1.94,1.87,1.91,3241
17-Oct-13,1.96,1.96,1.87,1.87,2000
16-Oct-13,1.96,1.96,1.87,1.89,2159
15-Oct-13,1.93,1.93,1.93,1.93,300
14-Oct-13,1.96,1.96,1.86,1.88,5988
11-Oct-13,1.84,1.96,1.84,1.96,7431
10-Oct-13,1.81,1.85,1.81,1.85,1326
9-Oct-13,1.85,1.94,1.79,1.83,3929
8-Oct-13,1.99,1.99,1.85,1.85,8428
7-Oct-13,1.99,1.99,1.98,1.98,4277
4-Oct-13,1.95,1.99,1.88,1.99,1328
3-Oct-13,1.95,2.00,1.87,1.90,3805
2-Oct-13,1.84,2.06,1.84,1.91,33392
1-Oct-13,1.90,1.92,1.82,1.89,2846
30-Sep-13,1.95,1.95,1.80,1.91,5200
27-Sep-13,1.87,1.94,1.87,1.94,10590
26-Sep-13,1.82,1.86,1.78,1.86,1536
25-Sep-13,1.75,1.90,1.75,1.77,28659
24-Sep-13,1.75,1.76,1.75,1.75,4520
23-Sep-13,1.83,1.83,1.75,1.80,9772
20-Sep-13,1.84,1.84,1.80,1.83,2380
19-Sep-13,1.86,1.86,1.80,1.84,4739
18-Sep-13,1.78,1.91,1.78,1.80,38572
17-Sep-13,1.95,1.95,1.85,1.85,28555
16-Sep-13,1.97,1.98,1.86,1.90,21313
13-Sep-13,2.12,2.14,2.00,2.00,18059
12-Sep-13,2.16,2.18,2.02,2.08,30487
11-Sep-13,1.77,2.11,1.76,2.06,59440
10-Sep-13,1.75,1.76,1.71,1.76,19541
9-Sep-13,1.72,1.73,1.69,1.72,5828
6-Sep-13,1.64,1.72,1.63,1.72,803
5-Sep-13,1.66,1.67,1.66,1.67,2507
