Date,Open,High,Low,Close,Volume
31-Dec-13,1.94,2.05,1.93,2.05,5425
30-Dec-13,1.96,1.96,1.93,1.93,2027
27-Dec-13,2.13,2.13,1.95,1.99,15943
26-Dec-13,2.08,2.09,2.08,2.08,13991
24-Dec-13,2.10,2.13,2.10,2.13,7132
23-Dec-13,2.20,2.21,2.09,2.10,10466
20-Dec-13,2.08,2.16,2.08,2.16,24735
19-Dec-13,2.17,2.17,2.07,2.07,3148
18-Dec-13,2.07,2.18,2.07,2.12,8424
17-Dec-13,2.08,2.14,2.08,2.08,8460
16-Dec-13,2.08,2.14,2.08,2.08,6292
13-Dec-13,2.08,2.14,2.08,2.08,5347
12-Dec-13,2.08,2.11,2.08,2.08,3413
11-Dec-13,2.13,2.14,2.13,2.13,4779
10-Dec-13,2.13,2.13,2.13,2.13,2536
9-Dec-13,2.15,2.15,2.13,2.13,2975
6-Dec-13,2.24,2.24,2.12,2.24,3165
5-Dec-13,2.24,2.25,2.23,2.25,750
4-Dec-13,2.20,2.25,2.20,2.25,1258
3-Dec-13,2.19,2.20,2.19,2.20,12912
2-Dec-13,2.23,2.23,2.23,2.23,100
29-Nov-13,2.15,2.23,2.05,2.23,9768
27-Nov-13,2.06,2.19,2.05,2.15,1700
26-Nov-13,2.22,2.25,2.09,2.11,2997
25-Nov-13,2.12,2.21,2.09,2.17,6984
22-Nov-13,2.14,2.15,2.11,2.14,9486
21-Nov-13,2.10,2.15,2.10,2.11,8900
20-Nov-13,2.09,2.09,2.07,2.08,7634
19-Nov-13,2.05,2.12,2.03,2.07,12962
18-Nov-13,2.04,2.08,2.04,2.08,5044
15-Nov-13,2.25,2.31,2.04,2.19,8984
14-Nov-13,2.15,2.39,2.11,2.25,8593
13-Nov-13,2.05,2.10,2.04,2.10,1721
12-Nov-13,2.03,2.15,2.03,2.14,2232
11-Nov-13,2.03,2.09,2.00,2.09,6517
8-Nov-13,2.09,2.09,1.96,2.01,19382
7-Nov-13,2.30,2.76,2.05,2.14,20788
6-Nov-13,1.02,2.22,1.00,2.20,27187
5-Nov-13,2.31,2.31,2.31,2.31,33
4-Nov-13,2.19,2.46,2.12,2.46,7724
1-Nov-13,2.12,2.12,2.12,2.12,567
31-Oct-13,2.16,2.37,2.13,2.22,15403
30-Oct-13,2.13,2.25,2.13,2.25,5433
29-Oct-13,2.37,2.37,2.25,2.25,14683
28-Oct-13,2.25,2.25,2.10,2.13,1133
25-Oct-13,2.25,2.25,2.04,2.04,1033
24-Oct-13,2.19,2.46,2.01,2.19,22369
23-Oct-13,2.01,2.10,2.01,2.10,433
22-Oct-13,2.01,2.04,2.01,2.04,1167
21-Oct-13,2.07,2.07,2.07,2.07,867
18-Oct-13,2.25,2.25,1.95,2.10,19293
17-Oct-13,2.28,2.28,2.22,2.28,200
16-Oct-13,2.25,2.34,2.25,2.28,357
15-Oct-13,2.31,2.31,2.31,2.31,233
14-Oct-13,2.25,2.28,2.20,2.25,3593
11-Oct-13,2.25,2.25,2.25,2.25,607
10-Oct-13,2.28,2.52,2.28,2.40,6158
9-Oct-13,2.28,2.28,2.16,2.18,1933
8-Oct-13,2.40,2.40,2.25,2.40,5104
7-Oct-13,2.28,2.33,2.28,2.33,100
4-Oct-13,2.40,2.40,2.40,2.40,500
3-Oct-13,2.40,2.40,2.40,2.40,67
2-Oct-13,2.64,2.64,2.25,2.25,2367
1-Oct-13,2.64,2.64,2.31,2.55,7785
30-Sep-13,2.18,2.25,2.18,2.25,200
27-Sep-13,2.18,2.23,2.18,2.19,483
26-Sep-13,2.55,2.66,2.22,2.22,1633
25-Sep-13,2.31,2.64,2.31,2.43,3271
24-Sep-13,2.43,2.46,2.37,2.37,2170
23-Sep-13,2.70,2.70,2.22,2.22,765
20-Sep-13,2.40,2.70,2.40,2.70,2083
19-Sep-13,2.56,2.70,2.40,2.64,8548
