Date,Open,High,Low,Close,Volume
31-Dec-13,8.05,8.25,8.00,8.25,7600
30-Dec-13,8.25,8.25,8.00,8.00,10124
26-Dec-13,8.30,8.30,8.30,8.30,140
23-Dec-13,7.99,8.29,7.60,8.29,21138
20-Dec-13,8.00,8.00,8.00,8.00,1600
19-Dec-13,8.00,8.27,8.00,8.03,13700
17-Dec-13,8.00,8.00,8.00,8.00,2200
16-Dec-13,7.99,7.99,7.50,7.65,3424
13-Dec-13,8.00,8.00,8.00,8.00,500
12-Dec-13,7.90,8.00,7.00,7.50,2523
11-Dec-13,8.04,8.05,8.00,8.00,10150
10-Dec-13,8.12,8.12,8.10,8.10,7500
9-Dec-13,8.22,8.25,8.15,8.15,43500
6-Dec-13,8.25,8.25,8.20,8.20,17600
5-Dec-13,8.25,8.25,8.25,8.25,1500
4-Dec-13,8.30,8.30,8.25,8.30,14838
2-Dec-13,8.25,8.30,8.25,8.30,13100
29-Nov-13,8.25,8.25,8.25,8.25,420
27-Nov-13,8.64,8.64,8.00,8.25,112482
15-Nov-13,8.95,8.95,8.95,8.95,340
14-Nov-13,9.00,9.00,8.00,8.00,1000
12-Nov-13,9.70,9.70,9.70,9.70,4000
7-Nov-13,10.00,10.00,10.00,10.00,1000
31-Oct-13,10.00,10.00,10.00,10.00,1100
28-Oct-13,10.00,10.00,10.00,10.00,494
23-Oct-13,10.00,10.00,9.00,10.00,2757
22-Oct-13,9.90,10.00,9.50,10.00,20251
21-Oct-13,10.00,10.00,9.50,10.00,1400
18-Oct-13,9.50,10.00,9.50,9.50,989
16-Oct-13,10.10,10.10,10.00,10.00,660
15-Oct-13,10.25,10.25,10.25,10.25,3475
9-Oct-13,10.20,10.25,10.20,10.25,741
8-Oct-13,10.25,10.25,10.25,10.25,1116
4-Oct-13,10.25,10.25,10.25,10.25,819
3-Oct-13,10.50,10.50,10.25,10.40,52033
2-Oct-13,10.60,10.60,10.50,10.50,4750
1-Oct-13,10.50,10.50,10.47,10.50,41877
27-Sep-13,12.00,12.00,12.00,12.00,100
26-Sep-13,12.00,12.00,12.00,12.00,100
28-Aug-13,20.00,20.00,10.00,20.00,300
1-Aug-12,0.86,0.86,0.86,0.86,1700
15-Jun-12,0.15,0.50,0.50,0.50,1700
