Date,Open,High,Low,Close,Volume
31-Dec-13,11.12,11.12,11.12,11.12,427
29-Aug-13,10.50,10.50,10.38,10.38,1100
28-Aug-13,10.37,10.37,10.30,10.35,6238
27-Aug-13,10.30,10.40,10.30,10.40,2419
26-Aug-13,10.55,10.55,10.33,10.33,1900
23-Aug-13,10.47,10.54,10.41,10.53,1300
21-Aug-13,10.55,10.55,10.41,10.41,2240
4-Oct-12,10.98,11.26,10.90,11.24,11302
25-Sep-12,10.50,10.50,10.32,10.33,1833
14-Sep-12,10.55,10.55,10.35,10.35,1500
7-Sep-12,10.50,10.64,10.50,10.64,34900
31-Aug-12,10.25,10.33,10.25,10.33,5866
10-Aug-12,9.50,9.50,9.50,9.50,2400
7-Aug-12,9.50,9.50,9.50,9.50,3900
1-Aug-12,9.43,9.50,9.43,9.50,4598
31-Jul-12,-,-,-,9.29,0
18-Jul-12,9.40,9.75,9.39,9.75,2200
6-Jul-12,9.29,9.29,9.29,9.29,100
5-Jul-12,-,-,-,9.34,0
27-Jun-12,-,-,-,9.35,0
26-Jun-12,-,-,-,9.35,0
15-Jun-12,9.25,9.50,9.20,9.50,5719
11-Jun-12,9.10,9.25,9.10,9.25,2635
