Date,Open,High,Low,Close,Volume
31-Dec-13,328.79,329.56,325.31,328.02,282
30-Dec-13,335.72,338.03,327.25,331.87,414
27-Dec-13,342.65,342.65,338.03,338.80,351
26-Dec-13,350.35,357.28,339.57,340.34,723
24-Dec-13,343.42,368.83,339.57,348.81,238
23-Dec-13,328.02,336.49,324.31,334.18,1648
20-Dec-13,314.16,330.33,314.16,324.17,262
19-Dec-13,316.47,327.25,313.39,313.39,215
18-Dec-13,323.40,327.12,311.08,320.32,748
17-Dec-13,331.10,332.63,319.55,327.25,423
16-Dec-13,324.94,329.55,319.55,327.25,261
13-Dec-13,329.56,331.10,326.48,326.48,141
12-Dec-13,319.55,338.03,308.00,328.02,914
11-Dec-13,319.55,321.09,308.00,314.16,914
10-Dec-13,326.59,327.90,316.47,322.63,285
9-Dec-13,335.72,335.72,322.63,326.48,478
6-Dec-13,340.34,345.73,331.10,334.95,273
5-Dec-13,333.41,345.73,330.87,335.72,119
4-Dec-13,346.50,348.81,335.72,338.80,167
3-Dec-13,341.88,365.75,329.56,339.57,637
2-Dec-13,337.26,354.21,328.02,341.88,944
29-Nov-13,346.50,350.27,327.25,341.11,448
27-Nov-13,365.75,365.75,344.19,353.43,971
26-Nov-13,375.76,375.76,355.74,368.83,544
25-Nov-13,378.85,381.14,373.45,375.76,30
22-Nov-13,386.54,388.77,365.75,378.84,308
21-Nov-13,379.61,392.19,375.00,384.23,115
20-Nov-13,381.61,386.54,374.99,376.53,171
19-Nov-13,385.00,386.46,381.15,385.77,216
18-Nov-13,388.85,389.62,383.46,386.54,137
15-Nov-13,385.75,389.62,385.00,388.08,188
14-Nov-13,395.01,395.78,385.08,390.39,332
13-Nov-13,392.70,392.70,384.23,385.77,143
12-Nov-13,391.93,399.63,384.23,399.63,171
11-Nov-13,400.40,400.40,388.08,391.93,96
8-Nov-13,398.09,398.86,391.93,398.09,25
7-Nov-13,391.93,397.32,390.39,397.32,49
6-Nov-13,386.54,398.09,385.77,398.09,83
5-Nov-13,397.32,400.40,388.08,388.08,102
4-Nov-13,394.24,394.24,385.00,385.77,121
1-Nov-13,401.17,401.94,389.62,389.62,99
31-Oct-13,386.54,408.10,386.54,390.39,145
30-Oct-13,389.62,393.47,386.55,387.31,216
29-Oct-13,390.39,394.05,384.23,392.70,67
28-Oct-13,396.55,409.55,387.31,392.70,78
25-Oct-13,408.87,412.72,392.70,392.70,395
