Date,Open,High,Low,Close,Volume
31-Dec-13,3.21,3.21,3.11,3.14,10236
30-Dec-13,3.11,3.11,3.00,3.10,34964
27-Dec-13,3.11,3.11,3.06,3.06,753
26-Dec-13,3.05,3.05,3.05,3.05,308
24-Dec-13,3.17,3.17,3.17,3.17,150
23-Dec-13,3.20,3.24,3.16,3.24,3492
20-Dec-13,2.89,3.25,2.89,3.25,21202
18-Dec-13,2.96,3.02,2.96,3.00,4304
17-Dec-13,2.96,2.96,2.94,2.96,5373
16-Dec-13,2.89,2.95,2.89,2.95,6981
13-Dec-13,2.95,2.95,2.95,2.95,3325
12-Dec-13,2.94,2.94,2.94,2.94,350
11-Dec-13,2.90,2.91,2.81,2.81,8262
10-Dec-13,2.91,2.92,2.89,2.89,1232
9-Dec-13,2.95,2.95,2.78,2.95,9259
6-Dec-13,2.83,2.93,2.79,2.83,4858
5-Dec-13,2.93,2.94,2.75,2.85,199785
4-Dec-13,2.88,2.88,2.76,2.85,28725
3-Dec-13,2.95,2.96,2.89,2.95,14753
2-Dec-13,2.83,2.92,2.83,2.92,500
29-Nov-13,2.82,2.82,2.77,2.81,5805
27-Nov-13,2.71,2.78,2.71,2.78,8100
26-Nov-13,2.71,2.71,2.65,2.71,26003
25-Nov-13,2.71,2.82,2.70,2.76,3400
22-Nov-13,2.87,2.89,2.80,2.81,3651
21-Nov-13,2.88,2.88,2.79,2.79,1000
20-Nov-13,2.83,2.91,2.70,2.75,149488
19-Nov-13,2.82,2.85,2.80,2.80,24170
18-Nov-13,2.92,2.92,2.85,2.85,24172
15-Nov-13,2.95,2.98,2.85,2.90,21953
14-Nov-13,2.93,2.95,2.86,2.94,16262
13-Nov-13,2.92,3.00,2.86,2.91,14900
12-Nov-13,2.86,2.98,2.85,2.95,28269
11-Nov-13,2.90,2.96,2.89,2.94,11300
8-Nov-13,2.95,2.98,2.95,2.98,300
7-Nov-13,2.97,3.01,2.95,2.95,18736
6-Nov-13,2.95,3.01,2.95,3.01,109034
5-Nov-13,2.87,2.96,2.86,2.96,51300
4-Nov-13,2.85,2.97,2.80,2.85,142839
1-Nov-13,2.87,2.87,2.85,2.86,8369
31-Oct-13,2.99,2.99,2.85,2.88,3694
30-Oct-13,2.97,3.05,2.97,3.05,667
29-Oct-13,3.09,3.09,2.95,2.96,12198
28-Oct-13,2.82,3.04,2.80,2.99,76201
25-Oct-13,3.08,3.19,2.68,2.80,228573
24-Oct-13,3.21,3.23,3.16,3.16,4466
23-Oct-13,3.20,3.26,3.15,3.16,963
22-Oct-13,3.28,3.34,3.12,3.12,4200
21-Oct-13,3.38,3.42,3.11,3.15,57909
18-Oct-13,3.40,3.51,3.38,3.46,7360
17-Oct-13,3.66,3.66,3.49,3.52,800
16-Oct-13,3.35,3.59,3.35,3.59,300
15-Oct-13,3.35,3.55,3.35,3.50,900
14-Oct-13,3.32,3.32,3.32,3.32,100
11-Oct-13,3.57,3.69,3.55,3.57,5531
10-Oct-13,3.65,3.65,3.50,3.50,1650
9-Oct-13,3.75,3.78,3.35,3.41,10694
8-Oct-13,3.86,3.86,3.86,3.86,200
7-Oct-13,3.45,3.87,3.45,3.87,5302
4-Oct-13,3.76,3.80,3.43,3.43,5088
30-Sep-13,3.43,3.93,3.43,3.93,1945
27-Sep-13,3.63,3.63,3.63,3.63,100
26-Sep-13,3.92,3.92,3.92,3.92,973
24-Sep-13,3.85,3.90,3.78,3.90,54348
23-Sep-13,3.84,3.84,3.83,3.83,629
20-Sep-13,3.80,3.93,3.80,3.93,2117
19-Sep-13,3.79,3.92,3.79,3.92,3784
16-Sep-13,3.75,3.75,3.75,3.75,1000
13-Sep-13,3.76,3.78,3.75,3.75,3270
10-Sep-13,3.79,3.88,3.79,3.88,2043
9-Sep-13,3.56,3.59,3.50,3.56,5194
6-Sep-13,3.79,3.79,3.79,3.79,122
4-Sep-13,3.58,3.87,3.55,3.61,3177
3-Sep-13,3.59,3.59,3.55,3.55,1500
30-Aug-13,3.76,3.76,3.76,3.76,100
29-Aug-13,3.82,3.82,3.76,3.76,2195
27-Aug-13,3.77,3.87,3.77,3.87,761
23-Aug-13,3.95,3.95,3.80,3.93,767
19-Aug-13,3.98,4.00,3.84,3.96,1130
16-Aug-13,3.73,3.75,3.72,3.73,2300
15-Aug-13,3.82,3.98,3.82,3.98,4906
14-Aug-13,3.99,4.00,3.99,4.00,400
13-Aug-13,3.95,3.99,3.85,3.86,1010
12-Aug-13,4.30,4.42,3.60,3.84,11365
9-Aug-13,3.76,4.32,3.46,4.29,13057
8-Aug-13,3.50,3.72,3.48,3.69,21991
7-Aug-13,3.45,3.53,3.45,3.45,7000
6-Aug-13,3.47,3.54,3.40,3.53,7161
5-Aug-13,3.34,3.45,3.34,3.45,7277
2-Aug-13,3.25,3.30,3.25,3.30,11452
1-Aug-13,3.20,3.27,3.18,3.25,10775
31-Jul-13,3.20,3.20,3.07,3.15,3798
30-Jul-13,3.42,3.42,3.24,3.24,3500
29-Jul-13,3.23,3.41,3.23,3.41,230
26-Jul-13,3.24,3.24,3.24,3.24,100
25-Jul-13,3.39,3.42,3.24,3.24,3261
24-Jul-13,3.31,3.42,3.31,3.35,3339
22-Jul-13,3.21,3.33,3.21,3.21,1100
19-Jul-13,3.28,3.28,3.27,3.28,4300
18-Jul-13,3.19,3.19,3.19,3.19,200
17-Jul-13,3.33,3.42,3.19,3.19,5569
16-Jul-13,3.34,3.34,3.34,3.34,100
15-Jul-13,3.22,3.32,3.22,3.32,555
12-Jul-13,3.21,3.21,3.21,3.21,100
11-Jul-13,3.10,3.22,3.09,3.14,4764
