Date,Open,High,Low,Close,Volume
31-Dec-13,3.05,3.15,2.98,3.15,15938
30-Dec-13,3.10,3.22,3.04,3.05,17200
27-Dec-13,3.24,3.24,3.07,3.08,43238
26-Dec-13,3.08,3.24,3.08,3.24,6694
24-Dec-13,3.05,3.14,3.05,3.14,4168
23-Dec-13,3.12,3.15,3.05,3.05,49770
20-Dec-13,3.20,3.20,3.10,3.20,6184
19-Dec-13,3.18,3.20,3.00,3.15,56696
18-Dec-13,3.36,3.40,3.22,3.22,22042
17-Dec-13,3.22,3.40,3.14,3.40,410030
16-Dec-13,3.25,3.25,3.12,3.22,139754
13-Dec-13,3.22,3.25,3.18,3.25,85712
12-Dec-13,3.10,3.25,3.04,3.20,270654
11-Dec-13,3.05,3.10,2.92,3.03,99950
10-Dec-13,3.04,3.11,3.00,3.05,37172
9-Dec-13,2.90,3.12,2.88,3.06,296836
6-Dec-13,2.90,2.91,2.80,2.80,38666
5-Dec-13,2.92,2.92,2.76,2.90,95978
4-Dec-13,2.95,2.95,2.80,2.88,35044
3-Dec-13,2.85,3.04,2.70,2.95,57778
2-Dec-13,2.98,3.00,2.85,2.85,35768
29-Nov-13,2.85,3.08,2.85,3.05,30414
27-Nov-13,2.87,2.87,2.75,2.82,12764
26-Nov-13,2.72,2.72,2.55,2.62,38766
25-Nov-13,2.62,2.82,2.62,2.82,30978
22-Nov-13,2.70,2.82,2.58,2.62,49198
21-Nov-13,2.98,2.98,2.55,2.60,39286
20-Nov-13,2.95,2.98,2.67,2.75,59050
19-Nov-13,2.96,3.08,2.91,2.94,73682
18-Nov-13,3.10,3.10,2.90,2.96,110716
15-Nov-13,2.78,2.90,2.72,2.88,60284
14-Nov-13,2.80,2.88,2.78,2.80,6800
13-Nov-13,2.80,2.80,2.80,2.80,43676
12-Nov-13,2.85,3.00,2.76,2.85,86718
11-Nov-13,2.80,2.95,2.68,2.85,25312
8-Nov-13,2.92,2.92,2.80,2.92,43670
7-Nov-13,2.98,2.98,2.92,2.92,18576
6-Nov-13,2.92,2.98,2.90,2.98,43624
5-Nov-13,3.00,3.01,2.75,2.96,60958
4-Nov-13,2.90,3.18,2.90,3.02,141584
1-Nov-13,2.80,3.00,2.80,2.90,24056
31-Oct-13,2.90,2.92,2.75,2.92,17148
30-Oct-13,2.88,2.98,2.71,2.80,24000
29-Oct-13,2.78,2.85,2.66,2.85,602468
28-Oct-13,2.84,2.90,2.80,2.90,45414
25-Oct-13,2.82,2.83,2.78,2.82,32700
24-Oct-13,2.88,2.88,2.80,2.80,9936
23-Oct-13,2.88,2.88,2.80,2.80,78306
22-Oct-13,2.88,2.88,2.80,2.80,10000
21-Oct-13,2.75,2.89,2.75,2.82,85760
18-Oct-13,2.52,2.86,2.52,2.86,130722
17-Oct-13,2.25,2.92,2.25,2.65,68512
16-Oct-13,2.32,2.34,2.30,2.30,8088
15-Oct-13,2.38,2.40,2.35,2.40,2168
14-Oct-13,2.48,2.52,2.38,2.39,17368
11-Oct-13,2.40,2.54,2.40,2.52,37746
10-Oct-13,2.28,2.32,2.26,2.32,60300
9-Oct-13,2.25,2.32,2.25,2.32,58960
8-Oct-13,2.40,2.54,2.21,2.30,61906
7-Oct-13,2.50,2.54,2.38,2.38,17760
4-Oct-13,2.60,2.60,2.50,2.60,20360
3-Oct-13,2.68,2.68,2.52,2.61,23282
2-Oct-13,2.72,2.72,2.68,2.68,40900
1-Oct-13,2.62,2.72,2.62,2.68,137820
30-Sep-13,2.55,2.60,2.55,2.60,33742
27-Sep-13,2.56,2.59,2.50,2.52,114634
26-Sep-13,2.58,2.60,2.54,2.56,17790
25-Sep-13,2.70,2.70,2.52,2.58,215948
24-Sep-13,2.67,2.78,2.66,2.70,30828
23-Sep-13,2.75,2.80,2.66,2.66,4500
20-Sep-13,2.71,2.75,2.70,2.75,8000
19-Sep-13,2.76,2.88,2.70,2.73,39972
18-Sep-13,2.85,2.85,2.76,2.80,13516
17-Sep-13,2.88,2.90,2.84,2.89,12210
16-Sep-13,2.95,3.02,2.86,2.98,49656
13-Sep-13,2.90,3.04,2.90,3.00,100474
12-Sep-13,2.96,3.05,2.85,3.00,96304
11-Sep-13,3.00,3.05,2.90,2.96,58026
10-Sep-13,2.95,3.04,2.88,3.04,214400
9-Sep-13,2.95,2.95,2.86,2.92,152496
6-Sep-13,2.68,2.98,2.68,2.95,73410
5-Sep-13,2.62,2.76,2.62,2.70,17076
4-Sep-13,2.70,2.70,2.63,2.68,22826
3-Sep-13,2.80,2.85,2.70,2.72,43850
