Date,Open,High,Low,Close,Volume
31-Dec-13,16.96,17.99,16.73,17.78,46444
30-Dec-13,16.51,17.00,16.41,16.99,17802
27-Dec-13,16.68,16.80,16.29,16.40,20624
26-Dec-13,16.83,16.83,16.20,16.46,14759
24-Dec-13,16.03,16.83,16.03,16.33,4373
23-Dec-13,15.97,16.99,15.78,16.25,13465
20-Dec-13,15.45,16.08,15.45,15.85,65869
19-Dec-13,15.79,15.83,15.30,15.40,18291
18-Dec-13,16.27,16.99,15.07,15.87,37567
17-Dec-13,17.33,17.34,16.03,16.18,14658
16-Dec-13,16.37,17.10,16.20,16.80,13545
13-Dec-13,15.00,17.79,14.97,16.21,66223
12-Dec-13,14.54,15.27,14.54,15.06,22244
11-Dec-13,14.07,15.00,13.87,14.46,27009
10-Dec-13,14.02,14.40,13.97,13.97,27718
9-Dec-13,13.80,14.85,13.80,14.01,28251
6-Dec-13,14.10,15.00,13.78,13.87,18783
5-Dec-13,13.63,14.99,13.63,13.86,5760
4-Dec-13,13.50,14.04,13.45,13.98,19906
3-Dec-13,14.13,14.20,13.01,13.47,44868
2-Dec-13,14.82,15.09,14.20,14.26,14032
29-Nov-13,15.08,15.10,14.40,14.91,5405
27-Nov-13,14.18,15.10,14.18,15.03,12546
26-Nov-13,14.75,15.17,13.52,14.17,70902
25-Nov-13,14.93,15.31,14.50,14.75,8179
22-Nov-13,15.30,16.00,14.81,14.82,10973
21-Nov-13,15.58,15.79,14.95,15.38,5602
20-Nov-13,15.28,15.80,14.77,15.32,31341
19-Nov-13,15.35,15.97,14.85,15.22,15538
18-Nov-13,15.45,15.68,15.15,15.29,10859
15-Nov-13,15.15,15.45,14.90,15.34,14929
14-Nov-13,15.87,15.87,15.18,15.18,11755
13-Nov-13,15.05,15.93,14.67,15.93,23234
12-Nov-13,15.14,15.79,15.09,15.09,8404
11-Nov-13,16.60,17.91,15.09,15.35,31127
8-Nov-13,16.02,17.07,16.00,16.53,16692
7-Nov-13,16.89,17.00,15.63,15.96,29329
6-Nov-13,16.80,17.25,16.63,16.77,12227
5-Nov-13,16.86,16.86,16.26,16.77,14948
4-Nov-13,17.04,17.04,16.70,16.89,9903
1-Nov-13,17.39,17.39,16.50,16.70,19165
31-Oct-13,17.94,17.96,16.86,17.38,53630
30-Oct-13,18.34,18.34,17.77,17.90,38644
29-Oct-13,18.11,18.65,17.71,18.28,26702
28-Oct-13,18.20,18.96,17.91,18.00,11177
25-Oct-13,17.80,18.38,17.80,18.15,21524
24-Oct-13,17.95,18.81,17.39,17.66,49965
23-Oct-13,18.12,18.26,17.62,17.77,6502
22-Oct-13,18.98,18.98,18.00,18.19,68001
21-Oct-13,19.26,20.00,18.74,18.96,74940
18-Oct-13,18.50,19.38,18.03,19.09,36075
17-Oct-13,17.68,18.50,17.68,18.03,19865
16-Oct-13,17.81,18.33,17.51,17.76,35191
15-Oct-13,17.41,17.85,17.20,17.75,29866
14-Oct-13,17.53,17.53,17.05,17.40,22898
11-Oct-13,17.05,17.85,17.00,17.56,38820
10-Oct-13,16.30,17.74,16.30,17.04,46628
9-Oct-13,15.98,16.15,15.37,16.03,17712
8-Oct-13,17.10,17.30,15.23,15.65,72095
7-Oct-13,16.79,17.54,16.55,16.76,116576
4-Oct-13,16.90,17.39,16.53,16.87,17826
3-Oct-13,17.90,18.35,16.50,16.70,101041
2-Oct-13,18.18,18.46,17.25,17.66,46352
1-Oct-13,16.85,18.49,16.42,18.17,83730
30-Sep-13,18.02,18.02,16.12,16.85,555478
27-Sep-13,17.05,18.26,17.03,18.01,43830
26-Sep-13,17.09,18.58,16.90,17.15,72945
25-Sep-13,16.48,17.35,16.40,16.77,43620
24-Sep-13,14.75,18.31,14.75,16.54,75395
23-Sep-13,14.91,15.60,14.29,15.35,92958
20-Sep-13,15.45,15.47,14.56,14.80,80314
19-Sep-13,15.60,15.60,14.94,15.60,57822
18-Sep-13,15.10,15.60,15.10,15.60,36514
17-Sep-13,15.00,15.57,14.84,15.16,36264
16-Sep-13,15.60,15.60,14.71,14.88,98521
13-Sep-13,14.00,15.90,13.57,15.56,196874
12-Sep-13,13.25,14.89,13.17,13.74,111865
11-Sep-13,12.95,13.44,12.86,13.41,117779
10-Sep-13,13.21,13.30,12.90,12.90,29728
9-Sep-13,13.39,13.69,13.14,13.16,21119
6-Sep-13,13.40,13.49,12.95,13.10,32325
5-Sep-13,13.01,13.50,13.00,13.06,11370
4-Sep-13,13.04,13.33,13.01,13.08,10257
3-Sep-13,13.50,13.50,13.01,13.33,17014
30-Aug-13,13.20,13.50,12.91,13.15,21533
29-Aug-13,12.97,13.49,12.91,13.09,11177
28-Aug-13,13.48,13.58,12.78,13.01,15032
27-Aug-13,13.20,13.64,13.18,13.26,10081
26-Aug-13,13.25,13.52,13.15,13.34,5736
23-Aug-13,13.27,13.44,12.88,13.26,14200
22-Aug-13,13.35,13.35,12.27,13.18,5850
21-Aug-13,12.50,12.93,12.50,12.83,5177
20-Aug-13,12.57,13.00,12.50,12.50,14530
19-Aug-13,13.00,13.10,12.60,12.84,88778
16-Aug-13,13.11,13.76,12.89,12.90,86451
15-Aug-13,13.12,13.60,13.05,13.10,43737
14-Aug-13,13.62,13.85,13.12,13.40,104220
13-Aug-13,13.75,13.85,13.50,13.57,21132
12-Aug-13,13.38,13.69,13.25,13.44,49060
9-Aug-13,13.24,13.49,13.17,13.28,25560
8-Aug-13,13.49,13.49,13.11,13.25,39052
7-Aug-13,13.30,13.35,13.05,13.25,22719
6-Aug-13,13.70,13.70,13.00,13.54,31988
5-Aug-13,14.00,14.00,13.11,13.55,38132
2-Aug-13,13.00,13.75,12.27,13.75,985179
