Date,Open,High,Low,Close,Volume
31-Dec-13,76.20,78.36,73.20,75.60,5611
30-Dec-13,81.00,82.20,76.20,78.00,6461
27-Dec-13,81.00,82.80,78.00,82.20,1615
26-Dec-13,82.80,84.60,76.80,79.20,4945
24-Dec-13,83.40,86.40,81.59,82.80,2642
23-Dec-13,82.20,89.40,82.20,83.40,2647
20-Dec-13,79.80,84.00,78.60,82.20,4820
19-Dec-13,79.80,84.00,78.00,79.80,2266
18-Dec-13,80.40,84.00,78.00,80.40,4019
17-Dec-13,83.40,83.40,78.00,80.40,3014
16-Dec-13,81.00,94.80,80.94,83.40,4293
13-Dec-13,86.40,86.40,78.60,81.00,4647
12-Dec-13,79.80,85.80,78.00,84.60,4094
11-Dec-13,86.40,89.40,79.20,82.20,5598
10-Dec-13,87.00,93.60,81.00,85.20,6425
9-Dec-13,100.80,103.80,83.40,87.00,25103
6-Dec-13,67.80,116.40,64.81,97.80,75207
5-Dec-13,64.20,69.00,63.00,64.20,2684
4-Dec-13,69.60,69.60,62.40,64.20,2745
3-Dec-13,69.00,70.80,63.60,67.80,6854
2-Dec-13,66.00,66.00,58.20,65.40,10735
29-Nov-13,51.00,70.20,51.00,67.20,17382
27-Nov-13,46.80,52.20,46.20,51.00,18002
26-Nov-13,45.60,48.48,45.60,46.80,2209
25-Nov-13,45.00,47.95,45.00,45.60,4136
22-Nov-13,48.73,52.13,45.39,45.84,3648
21-Nov-13,52.20,52.65,49.20,50.18,2877
20-Nov-13,52.20,52.80,49.20,49.82,7464
19-Nov-13,58.80,58.80,51.79,52.20,3709
18-Nov-13,60.00,64.80,58.20,58.81,4312
15-Nov-13,63.00,63.00,58.80,59.79,6328
14-Nov-13,54.00,74.40,54.00,58.92,13642
13-Nov-13,51.00,54.60,51.00,52.80,1168
12-Nov-13,54.60,56.16,50.70,52.20,2505
11-Nov-13,58.20,58.58,52.20,56.28,5859
8-Nov-13,60.00,60.00,55.80,59.86,2619
7-Nov-13,63.60,65.40,57.31,60.00,1465
6-Nov-13,64.20,66.60,60.60,61.80,1897
5-Nov-13,63.00,67.20,63.00,63.00,1205
4-Nov-13,63.00,66.60,63.00,64.80,2144
1-Nov-13,69.00,69.00,63.00,64.20,1500
31-Oct-13,68.40,69.00,66.00,66.00,1243
30-Oct-13,73.80,74.40,67.20,68.05,1611
29-Oct-13,70.20,79.80,70.20,75.54,2814
28-Oct-13,67.80,71.40,67.20,70.20,1555
25-Oct-13,69.80,70.80,67.20,67.80,1494
24-Oct-13,69.00,70.20,67.80,70.20,490
23-Oct-13,68.40,69.64,66.00,69.00,822
22-Oct-13,72.60,75.00,67.20,69.60,1211
21-Oct-13,67.80,69.66,67.20,69.00,1335
18-Oct-13,66.60,68.99,66.00,67.20,626
17-Oct-13,72.00,73.20,67.80,67.80,1377
16-Oct-13,72.60,75.60,66.60,69.60,2717
15-Oct-13,73.80,77.40,71.41,72.60,3050
14-Oct-13,73.80,75.00,73.80,75.00,838
11-Oct-13,75.00,76.20,74.40,75.00,564
10-Oct-13,77.40,78.00,75.00,75.60,237
9-Oct-13,75.00,79.20,74.40,78.00,1284
8-Oct-13,75.00,77.10,75.00,76.19,366
7-Oct-13,79.20,79.20,75.00,76.20,1146
4-Oct-13,77.40,82.80,77.40,81.00,942
3-Oct-13,80.40,80.40,75.60,79.20,756
2-Oct-13,81.00,82.14,79.20,80.40,671
1-Oct-13,78.00,90.00,77.40,79.79,2532
30-Sep-13,73.80,77.40,73.80,75.60,575
27-Sep-13,73.20,78.00,73.20,74.40,633
26-Sep-13,74.40,76.80,73.20,73.22,474
25-Sep-13,73.80,75.60,73.80,75.00,1137
24-Sep-13,75.60,76.20,73.80,74.40,1161
23-Sep-13,75.00,78.00,74.80,77.99,705
20-Sep-13,73.80,75.00,73.80,75.00,695
19-Sep-13,76.20,76.80,73.20,74.40,1211
18-Sep-13,75.00,78.00,75.00,78.00,857
17-Sep-13,76.20,76.80,75.00,75.00,633
16-Sep-13,76.80,76.80,73.80,74.40,685
13-Sep-13,72.00,78.00,72.00,75.60,687
12-Sep-13,72.00,75.00,72.00,72.00,634
11-Sep-13,75.00,76.10,72.60,73.20,976
10-Sep-13,76.20,77.40,75.00,75.60,801
