Date,Open,High,Low,Close,Volume
31-Dec-13,38.63,38.90,38.22,38.62,384708
30-Dec-13,37.73,38.62,37.40,38.57,497566
27-Dec-13,37.99,38.25,37.42,37.86,368383
26-Dec-13,38.34,38.53,37.91,38.41,384955
24-Dec-13,38.25,38.50,37.87,38.43,183194
23-Dec-13,38.01,38.44,37.60,38.42,557339
20-Dec-13,36.95,38.13,36.35,37.92,1084282
19-Dec-13,36.94,37.23,36.51,36.81,582925
18-Dec-13,36.73,37.23,36.27,37.06,453466
17-Dec-13,37.25,37.42,36.26,36.67,493372
16-Dec-13,37.05,37.44,36.78,37.31,439164
13-Dec-13,36.89,37.26,36.68,36.89,501848
12-Dec-13,36.39,37.15,36.01,36.76,809001
11-Dec-13,37.08,37.08,36.05,36.34,740832
10-Dec-13,37.82,37.95,36.53,37.02,667166
9-Dec-13,38.00,38.46,37.60,37.80,532558
6-Dec-13,39.11,39.40,38.17,38.20,707216
5-Dec-13,37.95,39.08,37.45,38.91,1387898
4-Dec-13,36.59,38.50,36.50,37.70,1281834
3-Dec-13,36.58,36.96,36.29,36.55,488566
2-Dec-13,36.57,36.75,36.27,36.58,491904
29-Nov-13,36.85,37.00,36.50,36.61,220241
27-Nov-13,36.78,36.95,36.40,36.62,375766
26-Nov-13,36.67,36.84,36.30,36.64,675348
25-Nov-13,37.72,37.74,36.26,36.67,1076474
22-Nov-13,37.43,37.96,37.18,37.40,672611
21-Nov-13,36.94,38.11,36.79,37.34,788915
20-Nov-13,37.05,37.28,36.43,36.73,656428
19-Nov-13,37.25,37.79,36.93,37.02,1015881
18-Nov-13,38.35,38.52,37.04,37.35,988114
15-Nov-13,37.96,38.20,37.60,37.99,927743
14-Nov-13,37.72,38.46,37.72,37.86,987719
13-Nov-13,36.55,37.84,36.31,37.62,998920
12-Nov-13,36.39,36.94,36.07,36.66,571145
11-Nov-13,35.91,36.67,35.71,36.39,559160
8-Nov-13,34.47,35.92,34.47,35.75,682723
7-Nov-13,34.73,34.95,33.93,34.51,830429
6-Nov-13,35.21,35.25,34.42,34.69,461505
5-Nov-13,34.62,35.07,34.18,34.93,648068
4-Nov-13,33.95,34.73,33.95,34.62,497700
1-Nov-13,33.96,35.32,33.55,33.88,565019
31-Oct-13,34.10,34.64,33.66,33.92,541362
