Date,Open,High,Low,Close,Volume
31-Dec-13,35.21,35.43,34.95,35.30,5234269
30-Dec-13,34.53,35.15,34.53,35.13,3981789
27-Dec-13,34.93,34.95,34.75,34.91,3429804
26-Dec-13,34.71,34.98,34.64,34.91,4235987
24-Dec-13,34.61,34.84,34.58,34.72,2648478
23-Dec-13,34.68,34.87,34.52,34.70,7284654
20-Dec-13,34.50,34.94,34.16,34.67,18869583
19-Dec-13,34.55,34.63,33.95,34.43,10425368
18-Dec-13,34.02,34.67,33.50,34.64,9707115
17-Dec-13,33.97,34.13,33.71,33.96,7676321
16-Dec-13,33.84,34.13,33.76,33.86,6876667
13-Dec-13,34.03,34.23,33.71,33.85,6474067
12-Dec-13,33.82,34.22,33.69,33.98,11828681
11-Dec-13,34.18,34.50,34.02,34.08,7306864
10-Dec-13,34.67,34.67,34.00,34.06,9193717
9-Dec-13,35.09,35.20,34.62,34.69,10238774
6-Dec-13,34.86,35.13,34.63,35.09,10192820
5-Dec-13,34.09,34.44,33.85,34.40,8722652
4-Dec-13,33.57,34.31,33.42,34.27,9212065
3-Dec-13,34.00,34.39,33.69,33.90,10507382
2-Dec-13,33.60,33.66,33.22,33.44,5877009
29-Nov-13,33.73,33.98,33.14,33.53,4302865
27-Nov-13,33.80,34.04,33.50,33.98,5732820
26-Nov-13,33.68,34.20,33.60,33.89,7694681
25-Nov-13,34.09,34.14,33.54,33.61,6465411
22-Nov-13,33.62,34.16,33.58,33.89,7165151
21-Nov-13,33.53,33.95,33.38,33.85,5877367
20-Nov-13,33.77,34.01,33.43,33.49,6382238
19-Nov-13,33.66,34.06,33.52,33.72,5377561
18-Nov-13,33.98,34.21,33.83,33.96,7313697
15-Nov-13,33.99,34.30,33.84,34.05,12755434
14-Nov-13,33.42,34.25,33.31,34.16,12977693
13-Nov-13,33.24,33.33,32.68,33.31,12794043
12-Nov-13,32.33,32.51,32.07,32.43,6893690
11-Nov-13,32.72,32.89,32.29,32.36,11415583
8-Nov-13,32.03,32.82,31.76,32.68,13468231
7-Nov-13,33.23,33.23,31.79,32.09,20978183
6-Nov-13,33.16,33.50,32.99,33.44,9292489
5-Nov-13,33.41,33.66,33.24,33.44,5198982
4-Nov-13,33.63,33.87,33.33,33.61,7165280
1-Nov-13,33.75,33.79,33.42,33.59,8102724
31-Oct-13,33.75,33.97,33.29,33.65,11928634
30-Oct-13,34.00,34.10,33.64,33.84,8517887
29-Oct-13,33.72,33.93,33.55,33.90,6175057
28-Oct-13,33.34,33.89,33.32,33.57,8765191
25-Oct-13,33.36,33.50,33.01,33.48,5989990
24-Oct-13,33.09,33.28,32.82,33.25,6237173
23-Oct-13,33.10,33.35,33.05,33.11,9415535
22-Oct-13,32.58,33.58,32.48,33.26,10335869
21-Oct-13,32.36,32.50,32.28,32.49,6231230
18-Oct-13,32.28,32.49,32.08,32.44,9721158
17-Oct-13,31.33,32.34,31.17,32.29,10015020
16-Oct-13,30.85,31.50,30.72,31.44,9253271
15-Oct-13,30.73,30.84,30.42,30.56,7339643
14-Oct-13,30.76,30.91,30.42,30.68,13245358
11-Oct-13,31.17,31.22,30.69,30.85,11706256
10-Oct-13,30.92,31.35,30.76,31.20,6873232
9-Oct-13,30.84,30.99,30.55,30.61,6397705
8-Oct-13,30.79,31.06,30.68,30.69,7471915
7-Oct-13,30.49,30.91,30.33,30.76,5559073
4-Oct-13,30.48,31.13,30.48,30.86,7617566
3-Oct-13,30.54,30.69,30.34,30.54,7714725
2-Oct-13,30.72,30.85,30.06,30.65,13226574
1-Oct-13,31.31,31.41,30.66,30.85,13363192
30-Sep-13,31.49,31.80,30.88,31.42,9526038
27-Sep-13,31.72,32.11,31.66,31.80,6160869
26-Sep-13,32.04,32.12,31.82,31.97,4838196
25-Sep-13,30.05,32.35,30.05,32.10,9291759
24-Sep-13,31.95,32.35,31.90,32.06,6518225
23-Sep-13,31.77,32.34,31.70,31.94,9371037
20-Sep-13,32.90,32.90,32.26,32.30,14970585
19-Sep-13,32.77,33.08,32.50,32.94,10977469
18-Sep-13,31.90,32.93,31.84,32.73,9640345
17-Sep-13,31.78,32.10,31.67,31.98,7051384
16-Sep-13,31.73,31.96,31.64,31.86,9373278
13-Sep-13,31.33,31.57,31.21,31.55,6425588
12-Sep-13,31.34,31.38,31.08,31.27,8277161
11-Sep-13,31.29,31.34,30.75,31.29,7853120
10-Sep-13,31.33,31.46,30.69,31.04,7407460
9-Sep-13,30.91,31.15,30.79,31.11,6231662
6-Sep-13,30.90,31.22,30.43,30.94,7509448
5-Sep-13,30.88,30.95,30.70,30.74,6467369
4-Sep-13,30.69,31.19,30.66,30.88,10790383
3-Sep-13,31.14,31.24,30.53,30.79,8840389
30-Aug-13,30.64,30.98,30.55,30.67,7485044
29-Aug-13,30.34,30.87,30.15,30.70,7978760
28-Aug-13,30.60,30.90,30.18,30.55,8394642
27-Aug-13,30.50,30.81,30.40,30.70,6663775
26-Aug-13,31.22,31.30,30.64,30.72,7374775
23-Aug-13,31.20,31.46,30.95,31.32,7508199
22-Aug-13,30.57,32.56,30.40,31.10,8784316
21-Aug-13,30.70,31.01,30.46,30.52,9606430
20-Aug-13,30.70,31.03,30.59,30.75,6766847
19-Aug-13,30.99,31.02,30.60,30.66,8302278
16-Aug-13,31.06,31.18,30.73,30.96,10810423
15-Aug-13,31.26,31.34,30.92,31.17,13455340
14-Aug-13,31.96,31.99,31.59,31.60,7555624
13-Aug-13,32.00,32.32,31.89,32.08,6966744
12-Aug-13,31.96,32.09,31.60,31.88,8394435
9-Aug-13,32.50,32.70,31.97,32.16,6993579
8-Aug-13,31.95,32.91,31.57,32.70,19188063
7-Aug-13,31.91,31.91,31.14,31.26,10798469
6-Aug-13,31.53,31.92,31.50,31.86,6827659
5-Aug-13,31.76,31.86,31.48,31.77,5371056
2-Aug-13,31.67,32.00,31.48,31.94,6219961
1-Aug-13,31.57,31.78,31.31,31.71,6605736
31-Jul-13,31.04,31.50,31.00,31.27,8444193
30-Jul-13,31.81,31.86,30.99,31.05,11787025
29-Jul-13,31.45,31.70,31.26,31.61,7954569
26-Jul-13,30.83,31.60,30.80,31.58,9685036
25-Jul-13,30.57,31.19,30.53,31.14,6268435
24-Jul-13,31.05,31.10,30.60,30.80,10059905
23-Jul-13,30.77,31.32,30.70,31.08,12141494
22-Jul-13,30.69,31.37,30.45,30.70,8208583
19-Jul-13,30.59,30.71,30.18,30.69,9527442
18-Jul-13,30.59,30.91,30.38,30.58,13132069
17-Jul-13,30.13,31.18,29.84,30.50,19521045
16-Jul-13,30.10,30.18,29.75,29.86,7700746
15-Jul-13,30.47,30.50,30.09,30.18,7715461
12-Jul-13,30.16,30.42,30.03,30.36,8961770
11-Jul-13,29.60,30.20,29.45,30.16,8894422
10-Jul-13,29.03,29.22,28.90,29.15,7955708
9-Jul-13,29.04,29.17,28.74,29.04,9268964
8-Jul-13,28.95,29.05,28.69,28.75,9245763
5-Jul-13,28.90,28.99,28.50,28.78,6723760
3-Jul-13,28.58,28.79,28.54,28.58,4534085
2-Jul-13,28.80,29.16,28.69,28.78,6863987
1-Jul-13,28.79,29.45,28.71,29.04,9324371
28-Jun-13,28.89,29.20,28.53,28.53,12447752
27-Jun-13,29.06,29.33,28.89,29.15,7100150
26-Jun-13,28.82,29.04,28.68,28.85,8515051
25-Jun-13,28.88,28.97,28.53,28.62,8635453
24-Jun-13,28.58,28.86,28.42,28.64,9793339
21-Jun-13,28.62,29.01,28.22,28.84,19734134
20-Jun-13,29.21,29.44,28.24,28.34,15787332
19-Jun-13,30.41,30.57,29.53,29.53,8724751
18-Jun-13,30.33,30.61,30.24,30.50,6105898
17-Jun-13,29.91,30.64,29.91,30.34,11431724
14-Jun-13,29.82,30.23,29.62,29.81,8705113
13-Jun-13,29.48,30.00,29.19,29.97,7881061
12-Jun-13,30.00,30.05,29.46,29.53,8441031
11-Jun-13,29.94,29.97,29.21,29.80,11654421
10-Jun-13,29.84,30.18,29.46,29.58,10261783
7-Jun-13,29.54,29.96,29.31,29.86,8802394
6-Jun-13,29.51,29.58,29.08,29.29,10668301
5-Jun-13,29.45,29.59,29.33,29.47,7614052
4-Jun-13,29.92,30.06,29.36,29.57,9679918
3-Jun-13,29.47,29.75,29.21,29.74,8879162
31-May-13,29.39,29.84,29.21,29.48,18751835
30-May-13,30.05,30.17,29.58,29.60,17735928
29-May-13,31.08,31.21,30.27,30.28,14112192
28-May-13,31.23,31.92,31.11,31.28,10189758
24-May-13,31.00,31.33,30.76,30.95,10606653
23-May-13,31.43,31.76,30.98,31.23,14956454
22-May-13,30.94,31.99,30.90,31.77,18373068
21-May-13,30.92,31.01,30.59,31.00,7138085
20-May-13,31.49,31.51,30.74,30.80,10092653
17-May-13,31.41,31.62,31.15,31.50,11930642
16-May-13,31.40,31.68,31.20,31.46,11020380
15-May-13,31.20,31.53,31.11,31.50,6828765
14-May-13,30.84,31.27,30.83,31.18,13649397
13-May-13,30.52,30.90,30.45,30.83,11166681
10-May-13,30.73,30.78,30.42,30.63,14250119
9-May-13,30.96,31.05,30.53,30.58,10968892
8-May-13,31.16,31.50,30.64,30.92,22958926
7-May-13,31.06,31.43,31.04,31.41,7525127
6-May-13,31.64,31.80,31.11,31.15,9775381
3-May-13,31.68,31.83,31.51,31.73,8364217
2-May-13,31.46,31.74,31.31,31.42,7464248
1-May-13,31.30,31.69,31.30,31.46,11243799
30-Apr-13,31.51,31.69,31.30,31.45,10108028
29-Apr-13,31.52,31.66,31.35,31.62,7146178
26-Apr-13,31.78,31.80,31.44,31.56,9889868
25-Apr-13,31.66,31.83,31.48,31.68,10815463
24-Apr-13,32.03,32.10,31.42,31.46,10563425
23-Apr-13,31.56,32.02,31.50,31.86,13460913
22-Apr-13,31.40,31.65,31.26,31.53,12892651
19-Apr-13,30.14,31.80,30.05,31.68,24337268
18-Apr-13,29.79,30.16,29.73,30.10,13003882
17-Apr-13,30.39,30.52,29.75,29.82,15300675
16-Apr-13,30.20,30.73,30.20,30.63,8798667
15-Apr-13,30.68,30.75,30.15,30.19,10772066
12-Apr-13,30.54,30.58,30.27,30.55,7786562
11-Apr-13,30.53,30.65,30.33,30.34,12583388
10-Apr-13,30.17,30.36,30.14,30.22,13486309
9-Apr-13,30.12,30.24,29.93,30.13,8422065
8-Apr-13,30.15,30.20,29.92,30.15,15375744
5-Apr-13,29.88,30.21,29.84,30.03,10431876
4-Apr-13,30.40,30.41,30.22,30.28,8063137
3-Apr-13,30.76,30.83,30.10,30.29,12408728
2-Apr-13,30.67,30.95,30.64,30.80,9528082
1-Apr-13,30.42,30.81,30.38,30.68,8209430
28-Mar-13,30.44,30.66,30.22,30.62,14551786
27-Mar-13,29.91,30.38,29.87,30.35,13734326
26-Mar-13,29.98,30.30,29.84,30.29,11424745
25-Mar-13,29.95,30.30,29.70,29.88,18993715
22-Mar-13,29.32,30.12,29.27,29.73,34327301
21-Mar-13,28.58,28.74,28.41,28.56,11615270
20-Mar-13,28.59,28.72,28.42,28.69,10066445
19-Mar-13,28.29,28.54,28.16,28.34,7797651
18-Mar-13,28.26,28.46,28.07,28.31,7874302
15-Mar-13,28.45,28.68,28.36,28.41,20243240
14-Mar-13,28.50,28.55,28.34,28.52,8321067
13-Mar-13,28.30,28.51,28.21,28.47,8432003
12-Mar-13,28.49,28.55,28.16,28.21,12486185
11-Mar-13,28.54,28.58,28.42,28.43,8411725
8-Mar-13,28.62,28.75,28.39,28.58,8026353
7-Mar-13,28.67,28.68,28.44,28.55,14008707
6-Mar-13,28.50,28.67,28.45,28.52,9612984
5-Mar-13,28.36,28.67,28.33,28.51,17493590
4-Mar-13,27.70,28.44,27.61,28.28,21335484
1-Mar-13,26.94,27.86,26.94,27.81,17228009
28-Feb-13,27.54,27.86,27.53,27.64,15016680
27-Feb-13,26.86,27.67,26.86,27.57,13810104
