Date,Open,High,Low,Close,Volume
31-Dec-13,3.25,3.30,3.10,3.24,35641
30-Dec-13,3.30,3.30,3.10,3.25,23157
27-Dec-13,3.30,3.31,3.01,3.18,49916
26-Dec-13,3.10,3.65,3.10,3.41,56878
24-Dec-13,3.17,3.17,3.00,3.08,22052
23-Dec-13,3.40,3.45,3.20,3.20,31709
20-Dec-13,3.40,3.55,3.30,3.44,31794
19-Dec-13,3.94,3.94,3.20,3.34,115187
18-Dec-13,3.67,4.10,3.61,3.88,163918
17-Dec-13,2.79,5.50,2.79,3.86,1259614
16-Dec-13,3.05,3.05,2.50,2.51,2160
13-Dec-13,2.75,2.92,2.62,2.80,10655
12-Dec-13,2.57,2.88,2.37,2.88,56476
11-Dec-13,2.81,2.81,2.40,2.78,27358
10-Dec-13,2.75,3.35,2.69,3.05,137521
9-Dec-13,2.27,2.90,2.27,2.66,104248
6-Dec-13,2.25,2.39,2.18,2.29,10902
5-Dec-13,2.43,2.44,2.31,2.39,9775
4-Dec-13,2.49,2.49,2.46,2.47,1455
3-Dec-13,2.40,2.47,2.21,2.46,32180
2-Dec-13,2.12,2.49,2.12,2.49,36954
27-Nov-13,2.08,2.17,2.02,2.07,18273
25-Nov-13,2.05,2.16,2.05,2.15,1000
22-Nov-13,2.10,2.16,2.10,2.16,1400
21-Nov-13,2.17,2.17,2.15,2.16,2489
20-Nov-13,2.09,2.10,1.90,1.98,9770
19-Nov-13,2.08,2.09,2.08,2.09,1400
18-Nov-13,2.23,2.23,2.08,2.08,1300
15-Nov-13,2.10,2.25,2.10,2.25,700
14-Nov-13,2.22,2.32,2.14,2.14,5266
13-Nov-13,2.32,2.39,2.23,2.39,1850
12-Nov-13,2.25,2.40,2.25,2.40,520
11-Nov-13,2.20,2.26,2.20,2.26,1100
7-Nov-13,2.39,2.39,2.30,2.30,2100
6-Nov-13,2.41,2.45,2.32,2.45,3885
5-Nov-13,2.29,2.59,2.29,2.45,9454
4-Nov-13,2.38,2.38,2.24,2.25,2715
1-Nov-13,2.31,2.48,2.31,2.43,1485
31-Oct-13,2.39,2.39,2.23,2.23,2600
30-Oct-13,2.38,2.45,2.27,2.30,3615
29-Oct-13,2.30,2.35,2.30,2.30,5600
28-Oct-13,2.34,2.34,2.25,2.27,2860
25-Oct-13,2.54,2.54,2.54,2.54,195
24-Oct-13,2.59,2.59,2.40,2.50,1005
23-Oct-13,2.50,2.59,2.36,2.59,4500
22-Oct-13,3.20,3.20,2.40,2.60,8775
21-Oct-13,2.40,2.87,2.39,2.87,3800
18-Oct-13,2.37,2.49,2.35,2.42,1930
17-Oct-13,3.34,3.34,2.53,2.53,5777
16-Oct-13,2.21,2.59,2.21,2.59,1059
15-Oct-13,2.36,2.36,2.18,2.18,200
14-Oct-13,2.46,2.46,2.33,2.33,5080
10-Oct-13,2.46,2.47,2.46,2.46,420
9-Oct-13,2.45,2.48,2.35,2.43,790
7-Oct-13,2.39,2.50,2.28,2.45,5280
4-Oct-13,2.49,2.49,2.39,2.39,5000
3-Oct-13,2.40,2.40,2.40,2.40,929
2-Oct-13,2.43,2.58,2.42,2.53,1800
1-Oct-13,2.42,2.47,2.40,2.45,5361
30-Sep-13,2.40,2.42,2.40,2.42,2795
27-Sep-13,2.51,2.51,2.46,2.50,1550
26-Sep-13,2.50,2.59,2.50,2.59,4276
25-Sep-13,2.60,2.60,2.50,2.57,2375
24-Sep-13,2.68,2.68,2.53,2.66,3850
23-Sep-13,2.62,2.72,2.52,2.60,7651
20-Sep-13,2.52,2.84,2.50,2.51,20230
19-Sep-13,2.67,2.95,2.62,2.72,20164
18-Sep-13,2.75,3.00,2.75,2.89,5800
17-Sep-13,3.31,3.31,2.76,2.90,30472
16-Sep-13,3.35,3.55,3.35,3.35,11111
13-Sep-13,3.70,3.75,3.37,3.60,13277
12-Sep-13,3.00,3.70,3.00,3.70,75732
11-Sep-13,2.67,3.35,2.67,3.00,7300
10-Sep-13,2.75,2.94,2.75,2.94,5128
9-Sep-13,2.70,2.75,2.65,2.75,1700
6-Sep-13,2.51,2.70,2.51,2.70,4100
5-Sep-13,2.33,2.74,2.22,2.40,4400
4-Sep-13,2.05,2.39,2.05,2.39,1962
3-Sep-13,2.14,2.47,2.14,2.25,2700
30-Aug-13,2.31,2.36,2.30,2.30,4800
29-Aug-13,2.75,2.75,2.40,2.40,16500
28-Aug-13,2.48,2.55,2.46,2.55,6400
27-Aug-13,2.51,2.75,2.51,2.60,8155
26-Aug-13,2.61,2.75,2.60,2.75,9623
23-Aug-13,2.43,2.60,2.43,2.50,17550
22-Aug-13,2.48,2.48,2.42,2.42,1600
21-Aug-13,2.45,2.49,2.44,2.45,15280
20-Aug-13,2.44,2.49,2.44,2.45,8481
19-Aug-13,2.49,2.65,2.32,2.39,33412
16-Aug-13,1.66,2.40,1.66,2.34,77942
15-Aug-13,1.65,1.65,1.64,1.64,10400
14-Aug-13,1.69,1.70,1.64,1.64,21859
13-Aug-13,1.63,1.65,1.63,1.63,15950
12-Aug-13,1.63,1.63,1.63,1.63,800
9-Aug-13,1.62,1.72,1.61,1.68,14856
8-Aug-13,1.83,1.83,1.65,1.65,6164
7-Aug-13,1.66,1.66,1.60,1.60,4800
6-Aug-13,1.85,1.85,1.65,1.71,23986
5-Aug-13,1.71,1.83,1.70,1.83,2585
1-Aug-13,1.80,1.89,1.65,1.89,4660
31-Jul-13,1.88,1.88,1.65,1.80,1952
30-Jul-13,1.50,1.89,1.50,1.89,1982
29-Jul-13,1.75,1.75,1.75,1.75,300
26-Jul-13,1.73,1.75,1.65,1.74,8410
25-Jul-13,1.84,1.85,1.60,1.69,43114
24-Jul-13,1.85,1.97,1.85,1.89,9282
23-Jul-13,1.80,1.85,1.75,1.85,35632
22-Jul-13,2.10,2.10,1.80,1.94,15606
19-Jul-13,2.11,2.17,2.00,2.00,9443
18-Jul-13,2.36,2.36,2.05,2.12,32076
17-Jul-13,2.38,2.70,2.25,2.45,20381
16-Jul-13,2.51,2.51,2.23,2.35,11787
15-Jul-13,2.31,2.65,2.28,2.65,7410
12-Jul-13,2.29,2.70,2.29,2.70,4084
11-Jul-13,2.31,2.79,2.30,2.70,2887
10-Jul-13,2.79,2.79,2.79,2.79,350
9-Jul-13,2.65,2.69,2.65,2.66,2687
8-Jul-13,2.66,2.69,2.50,2.65,2391
3-Jul-13,2.36,2.36,2.35,2.35,423
2-Jul-13,2.88,2.88,2.30,2.37,4512
1-Jul-13,2.93,2.93,2.88,2.88,585
28-Jun-13,2.80,2.96,2.80,2.96,400
27-Jun-13,2.88,2.97,2.88,2.90,3047
26-Jun-13,2.86,2.88,2.40,2.40,4589
25-Jun-13,2.76,2.76,2.52,2.52,1715
21-Jun-13,2.85,2.98,2.84,2.98,4046
20-Jun-13,3.08,3.08,2.88,2.88,1500
19-Jun-13,3.07,3.17,2.88,2.88,1378
17-Jun-13,2.88,2.88,2.88,2.88,1100
14-Jun-13,3.08,3.08,3.00,3.00,2626
13-Jun-13,3.09,3.09,3.01,3.01,1900
12-Jun-13,3.10,3.10,2.88,3.10,5230
11-Jun-13,3.01,3.14,3.01,3.10,6516
10-Jun-13,2.99,3.00,2.99,3.00,2500
7-Jun-13,2.96,2.96,2.96,2.96,100
6-Jun-13,2.96,3.00,2.96,3.00,3175
5-Jun-13,2.95,3.00,2.95,2.95,1100
4-Jun-13,3.04,3.04,2.95,2.95,2874
3-Jun-13,2.98,2.98,2.95,2.98,1000
31-May-13,3.04,3.04,3.04,3.04,200
30-May-13,2.98,2.98,2.98,2.98,176
29-May-13,2.96,3.00,2.96,3.00,4766
28-May-13,2.94,3.09,2.94,3.04,13412
23-May-13,2.88,3.45,2.88,3.45,6988
21-May-13,3.30,3.48,3.30,3.48,432
15-May-13,3.55,3.55,3.50,3.50,2135
14-May-13,3.70,3.70,3.55,3.60,2000
13-May-13,3.74,3.79,3.74,3.75,4500
7-May-13,3.57,3.61,3.55,3.60,1124
3-May-13,3.64,3.64,3.64,3.64,195
2-May-13,3.55,3.55,3.55,3.55,2564
1-May-13,3.66,3.66,3.66,3.66,1174
24-Apr-13,3.71,3.71,3.71,3.71,200
23-Apr-13,3.70,3.70,3.70,3.70,100
19-Apr-13,3.71,3.76,3.66,3.66,1200
18-Apr-13,3.90,3.90,3.90,3.90,600
15-Apr-13,3.82,4.05,3.81,4.05,2883
12-Apr-13,3.93,3.93,3.93,3.93,1000
11-Apr-13,3.91,3.91,3.70,3.79,451
