Date,Open,High,Low,Close,Volume
31-Dec-13,8.64,8.77,8.54,8.55,16722
30-Dec-13,8.76,8.83,8.57,8.69,28793
27-Dec-13,8.82,8.82,8.52,8.71,29361
26-Dec-13,8.85,8.88,8.72,8.87,26032
24-Dec-13,8.56,8.98,8.56,8.91,9007
23-Dec-13,8.60,8.66,8.40,8.48,9955
20-Dec-13,8.72,8.89,8.50,8.51,67728
19-Dec-13,8.69,8.87,8.69,8.79,10975
18-Dec-13,8.59,8.75,8.59,8.74,20260
17-Dec-13,8.62,8.73,8.50,8.65,20117
16-Dec-13,8.72,8.73,8.42,8.57,24280
13-Dec-13,8.75,8.75,8.37,8.51,24805
12-Dec-13,8.39,8.80,8.36,8.79,34186
11-Dec-13,8.58,8.60,8.30,8.48,27655
10-Dec-13,8.70,8.70,8.58,8.65,15098
9-Dec-13,8.80,8.81,8.70,8.70,7871
6-Dec-13,8.88,8.88,8.73,8.87,9711
5-Dec-13,8.77,8.88,8.75,8.82,6778
4-Dec-13,8.85,8.85,8.70,8.72,8549
3-Dec-13,8.82,8.90,8.70,8.88,11302
2-Dec-13,8.92,8.92,8.70,8.80,21792
29-Nov-13,8.92,8.92,8.78,8.89,8172
27-Nov-13,8.84,8.97,8.75,8.92,52359
26-Nov-13,8.98,9.00,8.75,8.86,33625
25-Nov-13,9.05,9.05,8.93,8.93,13721
22-Nov-13,8.84,9.03,8.84,9.00,18871
21-Nov-13,9.00,9.00,8.85,8.93,15302
20-Nov-13,8.89,9.00,8.76,9.00,28634
19-Nov-13,8.98,9.00,8.82,8.93,18682
18-Nov-13,8.86,9.04,8.76,8.91,64353
15-Nov-13,8.66,8.89,8.66,8.81,22699
14-Nov-13,8.71,8.80,8.65,8.70,23140
13-Nov-13,8.63,8.77,8.63,8.66,40478
12-Nov-13,8.70,8.72,8.52,8.52,7541
11-Nov-13,8.64,8.80,8.52,8.59,18081
8-Nov-13,8.60,8.68,8.47,8.60,50653
7-Nov-13,8.63,8.63,8.47,8.62,6428
6-Nov-13,8.55,8.69,8.45,8.69,16454
5-Nov-13,8.50,8.64,8.50,8.52,8099
4-Nov-13,8.67,8.69,8.54,8.56,11269
1-Nov-13,8.64,8.83,8.51,8.56,12141
31-Oct-13,8.65,8.70,8.55,8.59,16306
30-Oct-13,8.75,8.90,8.53,8.70,34447
29-Oct-13,8.70,8.75,8.52,8.70,13187
28-Oct-13,8.57,8.75,8.51,8.74,15532
25-Oct-13,8.40,8.59,8.07,8.54,42404
24-Oct-13,7.97,8.59,7.87,8.58,89586
23-Oct-13,8.24,8.31,7.90,7.94,32455
22-Oct-13,8.35,8.35,8.06,8.16,2725
21-Oct-13,8.15,8.15,8.06,8.09,18673
18-Oct-13,8.28,8.28,8.06,8.16,18430
17-Oct-13,8.12,8.19,8.06,8.19,36771
16-Oct-13,8.14,8.19,7.95,8.11,5558
15-Oct-13,8.20,8.37,8.05,8.14,9873
14-Oct-13,8.18,8.40,8.04,8.22,16144
11-Oct-13,8.31,8.36,8.03,8.16,12866
10-Oct-13,8.22,8.38,8.16,8.26,8478
9-Oct-13,8.45,8.45,7.86,8.16,9348
8-Oct-13,7.81,8.14,7.81,7.98,8363
7-Oct-13,7.92,7.95,7.88,7.88,10134
4-Oct-13,8.00,8.08,7.83,8.00,21550
3-Oct-13,7.95,8.08,7.91,7.98,9558
2-Oct-13,7.82,8.00,7.78,7.91,25100
1-Oct-13,7.85,7.86,7.77,7.82,9975
30-Sep-13,7.77,7.88,7.74,7.88,48847
27-Sep-13,7.85,7.92,7.78,7.80,12064
26-Sep-13,7.86,7.95,7.77,7.95,10024
25-Sep-13,7.89,8.00,7.75,7.93,10154
24-Sep-13,7.84,7.90,7.75,7.90,16090
23-Sep-13,7.82,7.84,7.72,7.84,17600
20-Sep-13,7.75,7.83,7.72,7.80,18136
19-Sep-13,7.72,7.84,7.56,7.74,89082
18-Sep-13,7.70,7.74,7.68,7.69,11731
17-Sep-13,7.68,7.70,7.56,7.69,11576
16-Sep-13,7.72,7.72,7.51,7.63,70210
13-Sep-13,7.71,7.71,7.56,7.61,20753
12-Sep-13,7.71,7.71,7.52,7.68,4816
11-Sep-13,7.65,7.82,7.55,7.72,10066
10-Sep-13,7.94,7.99,7.61,7.69,14030
9-Sep-13,7.84,8.10,7.55,7.93,14565
6-Sep-13,7.78,8.00,7.47,7.75,47476
5-Sep-13,7.85,8.05,7.68,7.75,7096
4-Sep-13,7.79,7.85,7.70,7.85,3445
3-Sep-13,7.70,7.83,7.65,7.79,27414
30-Aug-13,7.66,7.67,7.55,7.63,7156
29-Aug-13,7.66,7.74,7.65,7.67,5572
28-Aug-13,7.70,7.73,7.65,7.66,8243
27-Aug-13,7.90,8.02,7.61,7.75,33994
26-Aug-13,8.01,8.06,7.98,7.98,6436
23-Aug-13,8.16,8.29,8.01,8.01,7235
22-Aug-13,8.08,8.38,7.98,8.09,12690
21-Aug-13,8.10,8.35,8.09,8.16,7371
20-Aug-13,8.17,8.40,8.07,8.09,11940
19-Aug-13,8.39,8.42,8.15,8.15,16121
16-Aug-13,8.15,8.45,8.05,8.37,40603
15-Aug-13,8.18,8.20,7.94,8.07,20427
14-Aug-13,8.22,8.26,8.03,8.05,11846
13-Aug-13,8.14,8.42,8.11,8.21,11448
12-Aug-13,8.10,8.15,8.04,8.10,41911
9-Aug-13,8.12,8.15,8.00,8.08,10642
8-Aug-13,8.12,8.12,7.96,8.07,13408
7-Aug-13,8.17,8.17,8.06,8.10,8238
6-Aug-13,8.25,8.25,8.10,8.10,6668
