Date,Open,High,Low,Close,Volume
31-Dec-13,31.34,31.53,30.21,31.36,803123
30-Dec-13,30.74,31.55,30.33,31.38,316408
27-Dec-13,30.96,31.00,30.36,30.78,191508
26-Dec-13,30.47,30.93,30.46,30.89,390730
24-Dec-13,30.28,30.83,30.28,30.38,206250
23-Dec-13,30.66,30.68,29.75,30.16,427404
20-Dec-13,29.33,30.78,29.31,30.54,801759
19-Dec-13,29.82,29.82,29.15,29.27,232826
18-Dec-13,29.38,29.93,29.15,29.87,250468
17-Dec-13,29.60,29.72,29.13,29.42,285937
16-Dec-13,29.35,29.99,29.15,29.58,339408
13-Dec-13,29.82,29.95,29.15,29.30,359840
12-Dec-13,29.64,30.08,29.47,29.79,307822
11-Dec-13,29.36,30.36,29.36,29.55,614089
10-Dec-13,29.90,29.90,29.05,29.27,437914
9-Dec-13,29.71,30.21,29.56,30.00,591840
6-Dec-13,28.09,29.82,28.09,29.59,680468
5-Dec-13,28.12,28.24,27.80,27.90,387397
4-Dec-13,28.54,28.99,27.89,28.20,378647
3-Dec-13,28.63,28.99,28.63,28.81,943578
2-Dec-13,29.01,29.22,28.52,28.63,735766
29-Nov-13,29.16,29.37,28.93,29.00,233403
27-Nov-13,28.81,29.33,28.81,29.00,587831
26-Nov-13,28.41,29.00,27.89,28.79,580554
25-Nov-13,28.97,29.20,28.22,28.42,376676
22-Nov-13,29.59,29.59,28.70,28.91,356603
21-Nov-13,29.52,29.70,29.30,29.67,311754
20-Nov-13,29.25,29.48,28.91,29.39,381680
19-Nov-13,29.67,30.10,29.02,29.18,433545
18-Nov-13,30.58,30.78,29.54,29.76,455034
15-Nov-13,31.02,31.05,30.04,30.29,493893
14-Nov-13,32.74,32.88,26.63,30.58,3793916
13-Nov-13,32.00,32.93,31.95,32.88,401141
12-Nov-13,32.05,32.43,31.79,32.22,187697
11-Nov-13,31.77,32.37,31.29,32.10,226898
8-Nov-13,31.25,32.13,31.09,31.92,315003
7-Nov-13,32.55,32.56,31.11,31.44,324314
6-Nov-13,33.00,33.12,32.15,32.55,211243
5-Nov-13,32.10,32.97,32.02,32.76,122390
4-Nov-13,32.43,32.43,31.81,32.21,252169
1-Nov-13,32.57,32.92,32.00,32.22,207905
31-Oct-13,32.77,32.95,32.22,32.51,181999
30-Oct-13,33.77,33.93,32.58,32.66,206760
29-Oct-13,33.63,33.89,33.15,33.85,212902
28-Oct-13,32.86,33.48,32.55,33.46,279130
25-Oct-13,33.15,33.29,32.36,32.80,267536
24-Oct-13,32.65,33.22,32.19,33.07,270365
23-Oct-13,32.29,32.58,31.96,32.52,153708
22-Oct-13,32.86,33.02,32.00,32.34,221940
21-Oct-13,33.18,33.18,32.63,32.79,193127
18-Oct-13,33.01,33.55,32.65,33.06,224662
17-Oct-13,32.57,32.78,32.16,32.74,187570
16-Oct-13,32.53,32.85,32.18,32.73,244903
15-Oct-13,32.62,32.87,32.10,32.38,281162
14-Oct-13,32.35,32.73,31.96,32.63,281816
11-Oct-13,32.41,32.86,31.99,32.60,186421
10-Oct-13,31.93,32.76,31.93,32.43,402864
9-Oct-13,31.44,31.87,30.66,31.52,403394
8-Oct-13,32.25,32.48,31.36,31.40,535549
7-Oct-13,32.18,32.60,31.98,32.25,257055
4-Oct-13,32.40,33.03,32.29,32.43,401118
3-Oct-13,34.14,34.36,31.60,32.50,954619
2-Oct-13,34.74,34.93,33.93,34.11,355499
1-Oct-13,34.33,35.14,34.19,35.01,233632
30-Sep-13,34.72,34.88,33.38,34.55,417804
27-Sep-13,35.25,35.56,34.96,35.01,134120
26-Sep-13,34.91,35.64,34.91,35.33,225518
25-Sep-13,35.26,35.32,34.96,34.98,256278
24-Sep-13,35.10,35.66,35.05,35.34,180621
23-Sep-13,35.02,35.30,34.60,35.05,304224
20-Sep-13,35.15,35.35,35.00,35.03,425872
19-Sep-13,35.03,35.35,34.88,35.13,187786
18-Sep-13,35.58,35.74,34.64,35.03,217007
17-Sep-13,34.70,35.72,34.61,35.56,329809
16-Sep-13,35.38,35.42,34.40,34.61,371744
13-Sep-13,34.85,35.44,34.76,35.09,404231
12-Sep-13,36.27,36.39,32.91,34.75,1617613
11-Sep-13,38.34,38.37,35.89,36.14,1530106
10-Sep-13,36.94,39.12,36.89,38.98,1222499
9-Sep-13,36.78,37.48,36.34,36.95,774293
6-Sep-13,38.40,38.98,37.38,37.63,439388
5-Sep-13,38.13,38.87,38.01,38.35,363772
4-Sep-13,38.21,38.62,37.62,38.13,416516
3-Sep-13,39.91,40.15,37.88,38.08,657344
30-Aug-13,37.07,39.39,37.07,39.24,609245
29-Aug-13,37.47,38.72,36.99,37.20,561442
28-Aug-13,37.12,37.88,36.64,37.38,266921
27-Aug-13,36.62,37.37,35.94,37.01,406117
26-Aug-13,37.29,37.39,35.88,36.81,319556
23-Aug-13,37.22,37.52,36.61,37.27,176574
22-Aug-13,35.71,37.10,35.40,37.01,194296
21-Aug-13,36.63,36.77,35.28,35.54,202793
20-Aug-13,36.11,38.02,36.11,36.74,414507
19-Aug-13,34.99,36.00,34.86,35.96,191491
16-Aug-13,34.91,35.39,34.88,35.11,236472
15-Aug-13,35.33,35.33,34.69,35.14,206626
14-Aug-13,35.62,36.01,35.61,35.68,135558
13-Aug-13,35.05,35.80,34.95,35.50,133738
12-Aug-13,34.96,35.35,34.92,35.11,193161
9-Aug-13,34.84,35.36,34.61,35.12,113880
8-Aug-13,34.93,35.27,34.59,34.82,158096
7-Aug-13,34.75,35.13,34.51,34.84,265402
6-Aug-13,35.11,35.56,34.77,34.88,171701
5-Aug-13,36.00,36.06,35.13,35.32,302898
2-Aug-13,35.16,36.22,35.00,35.96,394013
1-Aug-13,35.09,35.45,34.58,35.40,458917
31-Jul-13,34.00,35.30,34.00,34.99,436769
30-Jul-13,32.00,35.18,31.80,33.95,904880
29-Jul-13,30.81,31.08,30.37,30.58,443165
26-Jul-13,31.42,31.44,30.54,30.78,277162
25-Jul-13,31.10,31.74,31.10,31.69,299700
24-Jul-13,31.29,31.57,31.10,31.21,516109
23-Jul-13,32.12,32.14,31.09,31.23,429707
22-Jul-13,32.41,32.63,31.98,32.05,335565
19-Jul-13,31.82,32.47,31.71,32.37,317286
18-Jul-13,31.94,32.10,31.81,31.99,282864
17-Jul-13,31.51,32.00,31.49,31.78,327477
16-Jul-13,31.65,32.09,31.41,31.48,634286
15-Jul-13,30.04,30.66,29.73,30.54,158479
12-Jul-13,29.86,29.97,29.65,29.87,143767
11-Jul-13,29.83,30.01,29.63,29.84,286138
10-Jul-13,29.34,29.75,28.85,29.42,472860
9-Jul-13,28.33,29.35,28.05,29.34,244936
8-Jul-13,28.64,28.76,28.17,28.21,175940
5-Jul-13,28.60,28.60,27.98,28.32,105145
3-Jul-13,28.22,28.66,27.92,28.16,181699
2-Jul-13,27.85,28.38,27.56,28.20,341850
1-Jul-13,26.21,27.44,26.21,27.24,265574
28-Jun-13,25.72,26.32,25.70,26.07,351519
27-Jun-13,24.96,25.82,24.64,25.71,166215
26-Jun-13,25.18,25.30,24.65,24.75,147146
25-Jun-13,24.87,25.37,24.71,24.97,191965
24-Jun-13,24.33,24.82,23.81,24.70,251796
21-Jun-13,24.80,25.13,23.87,24.63,440513
20-Jun-13,25.63,25.72,24.68,24.74,237951
19-Jun-13,25.93,26.44,25.93,26.03,168710
18-Jun-13,26.77,26.82,26.08,26.11,196508
17-Jun-13,27.00,27.01,26.60,26.76,199735
14-Jun-13,26.85,27.20,26.54,26.79,178496
13-Jun-13,26.91,27.16,26.52,26.94,228113
12-Jun-13,27.31,27.60,26.82,26.91,236405
11-Jun-13,26.76,27.29,26.61,27.11,144453
10-Jun-13,27.00,27.34,26.60,27.23,192559
7-Jun-13,26.22,27.00,25.94,26.89,319563
6-Jun-13,25.81,26.18,25.80,26.10,284061
5-Jun-13,25.83,26.02,25.40,25.80,182284
4-Jun-13,25.82,26.15,25.62,25.94,233966
3-Jun-13,25.72,26.08,25.22,25.77,181092
31-May-13,25.78,25.96,25.50,25.59,275383
