Date,Open,High,Low,Close,Volume
31-Dec-13,28.01,28.52,26.79,27.43,171698
30-Dec-13,26.68,28.28,26.09,28.05,105531
27-Dec-13,26.93,26.93,26.26,26.77,184685
26-Dec-13,27.17,27.17,26.31,26.81,48925
24-Dec-13,27.20,27.20,26.31,27.00,24403
23-Dec-13,27.05,27.80,26.52,27.16,65832
20-Dec-13,26.76,27.52,25.62,26.85,984998
19-Dec-13,27.28,27.63,26.44,26.69,107536
18-Dec-13,26.87,27.69,25.82,27.53,93580
17-Dec-13,26.29,27.52,25.85,26.80,73223
16-Dec-13,25.35,26.39,24.46,26.15,59322
13-Dec-13,24.96,25.64,24.08,25.20,79863
12-Dec-13,25.22,25.22,24.40,24.96,61748
11-Dec-13,25.93,26.10,24.31,24.90,92129
10-Dec-13,25.99,26.60,25.36,26.01,68834
9-Dec-13,26.02,27.00,25.55,26.00,59258
6-Dec-13,25.93,26.95,25.32,26.01,29697
5-Dec-13,25.77,27.33,25.17,25.76,65015
4-Dec-13,27.40,27.92,24.72,26.00,248884
3-Dec-13,27.12,27.19,25.04,25.64,80510
2-Dec-13,26.43,27.27,25.83,25.83,37408
29-Nov-13,26.62,27.98,25.92,26.47,11212
27-Nov-13,26.31,27.98,26.20,27.25,41010
26-Nov-13,24.54,26.98,24.54,26.52,115035
25-Nov-13,23.79,25.78,23.05,24.86,35446
22-Nov-13,21.87,24.15,21.74,23.79,40600
21-Nov-13,22.29,22.41,21.55,21.82,85154
20-Nov-13,23.30,23.86,21.50,22.21,55260
19-Nov-13,26.00,26.00,23.00,23.21,96030
18-Nov-13,27.49,27.95,25.40,26.11,81075
15-Nov-13,28.46,30.25,27.03,27.11,122197
14-Nov-13,28.47,28.75,27.34,27.96,33078
13-Nov-13,26.86,29.00,26.86,28.48,40902
12-Nov-13,26.75,27.49,26.49,26.93,43301
11-Nov-13,25.91,26.81,25.51,26.54,32239
8-Nov-13,26.25,26.51,25.37,25.91,59160
7-Nov-13,25.56,26.26,25.27,26.00,56295
6-Nov-13,26.09,27.01,25.62,26.23,261627
5-Nov-13,26.61,27.25,25.27,26.23,72480
4-Nov-13,28.22,28.22,25.60,26.15,64894
1-Nov-13,27.62,27.62,26.50,27.32,25351
31-Oct-13,27.00,28.32,26.52,26.94,101455
30-Oct-13,26.36,28.00,26.36,26.85,22129
29-Oct-13,27.08,27.77,26.00,27.13,35418
28-Oct-13,27.65,27.69,26.77,27.37,16000
25-Oct-13,28.00,28.45,27.43,27.50,18403
24-Oct-13,26.01,29.30,26.01,28.00,93160
23-Oct-13,27.22,27.72,25.70,26.17,76836
22-Oct-13,25.98,27.99,25.74,27.22,107343
21-Oct-13,25.20,25.72,24.89,25.70,120486
18-Oct-13,25.09,25.73,25.05,25.41,152849
17-Oct-13,26.50,26.50,24.51,25.16,47377
16-Oct-13,25.23,25.70,24.16,25.43,97664
15-Oct-13,25.06,25.99,23.10,25.01,322357
14-Oct-13,26.50,26.50,25.01,25.38,244457
11-Oct-13,25.20,26.27,24.89,26.10,549481
10-Oct-13,24.00,26.40,23.91,24.99,5361700
