Date,Open,High,Low,Close,Volume
31-Dec-13,45.00,45.59,44.83,45.57,1925
30-Dec-13,44.57,45.00,44.29,45.00,9206
27-Dec-13,44.75,44.75,44.17,44.31,3847
26-Dec-13,45.15,45.15,44.40,44.87,4422
24-Dec-13,45.47,45.47,44.75,44.75,5461
23-Dec-13,45.40,45.42,44.69,45.42,10993
20-Dec-13,44.12,45.79,44.12,44.90,25198
19-Dec-13,42.01,43.99,42.01,43.89,3825
18-Dec-13,44.04,44.33,43.60,44.33,10595
17-Dec-13,45.00,45.12,44.69,45.00,17301
16-Dec-13,46.01,46.01,45.00,45.11,59741
13-Dec-13,47.21,47.33,45.40,46.06,51125
12-Dec-13,49.25,49.25,44.00,45.81,33114
11-Dec-13,49.50,49.50,49.18,49.25,4900
10-Dec-13,49.61,49.68,49.61,49.61,55075
9-Dec-13,49.41,49.72,49.41,49.72,7745
6-Dec-13,49.80,49.94,49.36,49.38,800
5-Dec-13,49.56,49.64,49.03,49.30,5621
4-Dec-13,49.05,51.49,48.09,49.32,15525
3-Dec-13,48.85,49.80,48.85,49.29,33540
2-Dec-13,49.73,49.73,49.00,49.03,1640
29-Nov-13,50.81,50.81,50.37,50.37,200
27-Nov-13,50.23,50.90,50.22,50.78,27885
26-Nov-13,51.21,51.26,50.12,50.61,4876
25-Nov-13,51.62,51.97,51.16,51.38,1000
22-Nov-13,51.36,51.36,50.75,51.12,1936
21-Nov-13,50.50,51.82,50.50,51.12,51850
20-Nov-13,49.70,50.50,49.70,50.18,183920
19-Nov-13,49.60,49.60,49.60,49.60,1100
18-Nov-13,50.40,50.40,49.62,49.71,1570
15-Nov-13,50.10,50.42,49.80,50.41,106100
14-Nov-13,49.90,50.00,49.40,50.00,1100
13-Nov-13,50.20,50.31,49.56,49.87,103620
12-Nov-13,50.18,50.23,49.75,50.00,264529
11-Nov-13,49.50,50.05,49.48,50.02,121900
8-Nov-13,47.89,49.32,47.89,49.11,2700
7-Nov-13,48.41,48.75,47.91,48.06,79720
6-Nov-13,47.82,47.82,46.63,47.04,4575
5-Nov-13,47.14,47.55,46.90,47.25,385467
4-Nov-13,46.00,46.37,46.00,46.37,1355
1-Nov-13,46.37,46.40,46.01,46.02,248050
31-Oct-13,47.00,47.50,46.81,46.81,25900
30-Oct-13,47.65,47.65,47.12,47.55,14950
29-Oct-13,47.61,48.05,47.61,47.90,68205
28-Oct-13,48.58,48.61,47.80,47.85,11625
25-Oct-13,47.77,47.77,47.77,47.77,100
24-Oct-13,48.25,48.25,47.82,47.82,1900
23-Oct-13,48.14,48.25,47.80,48.05,6930
22-Oct-13,49.00,49.25,46.70,48.62,28700
21-Oct-13,48.32,48.70,48.32,48.55,600
18-Oct-13,48.65,48.65,48.51,48.63,45200
17-Oct-13,48.60,49.09,48.28,48.80,4874
16-Oct-13,48.01,48.85,48.01,48.80,56300
15-Oct-13,49.25,49.25,48.70,48.80,25535
14-Oct-13,49.25,49.25,49.25,49.25,50500
11-Oct-13,49.00,49.01,49.00,49.01,1100
10-Oct-13,49.00,49.00,49.00,49.00,6325
9-Oct-13,48.80,48.80,48.80,48.80,300
8-Oct-13,49.50,49.99,49.00,49.49,2950
7-Oct-13,49.38,49.99,49.35,49.65,79150
4-Oct-13,49.00,49.50,49.00,49.50,400
3-Oct-13,49.70,49.70,49.10,49.68,81845
2-Oct-13,49.00,50.10,48.63,49.53,165325
1-Oct-13,49.10,49.95,48.98,49.50,170525
30-Sep-13,49.50,49.62,48.50,49.62,5400
