Date,Open,High,Low,Close,Volume
31-Dec-13,29.72,30.02,29.60,29.92,244408
30-Dec-13,29.58,29.78,29.46,29.69,190770
27-Dec-13,29.78,29.79,29.47,29.68,143041
26-Dec-13,29.93,29.94,29.60,29.66,247684
24-Dec-13,29.73,29.90,29.71,29.82,109800
23-Dec-13,29.99,29.99,29.59,29.74,230487
20-Dec-13,29.43,29.97,29.29,29.92,502764
19-Dec-13,29.65,29.78,29.24,29.29,140663
18-Dec-13,29.58,29.78,29.21,29.77,180882
17-Dec-13,29.16,29.57,29.00,29.45,131913
16-Dec-13,28.64,29.43,28.64,29.16,211914
13-Dec-13,28.75,28.97,28.52,28.57,228136
12-Dec-13,28.91,29.10,28.61,28.66,214099
11-Dec-13,28.94,29.28,28.89,28.95,327298
10-Dec-13,29.06,29.36,28.64,28.89,172077
9-Dec-13,29.29,29.45,28.96,29.19,139046
6-Dec-13,29.23,29.55,29.18,29.34,185915
5-Dec-13,28.87,29.14,28.86,29.00,377608
4-Dec-13,29.28,29.44,28.57,28.87,202439
3-Dec-13,29.11,29.56,29.11,29.50,229484
2-Dec-13,29.78,29.79,29.09,29.24,145458
29-Nov-13,29.88,29.94,29.53,29.77,85287
27-Nov-13,29.62,29.95,29.29,29.70,180958
26-Nov-13,29.00,29.77,28.86,29.74,433341
25-Nov-13,29.07,29.24,28.92,29.04,143050
22-Nov-13,29.12,29.28,28.77,29.07,229027
21-Nov-13,28.56,29.03,28.56,29.02,122388
20-Nov-13,28.67,28.70,28.23,28.41,186191
19-Nov-13,29.01,29.02,28.34,28.50,196720
18-Nov-13,29.34,29.47,28.92,28.94,314700
15-Nov-13,29.47,29.60,28.81,29.21,325694
14-Nov-13,29.82,30.00,29.38,29.52,100236
13-Nov-13,29.21,29.86,29.21,29.84,129815
12-Nov-13,29.21,29.56,29.12,29.45,104009
11-Nov-13,29.54,29.69,29.30,29.36,116830
8-Nov-13,29.27,29.84,29.12,29.69,145769
7-Nov-13,29.59,29.75,29.09,29.29,193729
6-Nov-13,29.76,29.84,29.47,29.55,163325
5-Nov-13,29.38,29.70,28.95,29.53,137997
4-Nov-13,29.34,29.61,29.17,29.46,210132
1-Nov-13,29.59,29.72,29.10,29.16,261811
31-Oct-13,29.92,30.00,29.59,29.64,184617
30-Oct-13,30.11,30.22,29.66,29.84,249359
29-Oct-13,30.02,30.14,29.74,30.01,286875
28-Oct-13,30.50,30.69,29.93,30.01,250044
25-Oct-13,30.27,30.87,30.27,30.66,462159
24-Oct-13,30.25,31.00,29.12,30.11,631821
23-Oct-13,28.95,29.10,28.58,28.86,198477
22-Oct-13,29.64,29.64,29.04,29.09,219515
21-Oct-13,29.49,29.67,29.30,29.41,156805
18-Oct-13,28.99,29.46,28.67,29.39,361016
17-Oct-13,28.27,28.79,28.16,28.79,195107
16-Oct-13,28.22,28.58,28.03,28.51,171085
15-Oct-13,28.38,28.42,27.95,28.08,157023
14-Oct-13,27.95,28.43,27.95,28.41,168023
11-Oct-13,27.91,28.14,27.87,28.09,467121
10-Oct-13,27.96,28.43,27.62,28.01,336582
9-Oct-13,27.88,27.94,27.36,27.57,321535
8-Oct-13,27.60,27.98,27.58,27.84,523949
7-Oct-13,27.40,27.74,27.19,27.53,277801
4-Oct-13,27.00,27.49,26.97,27.40,221118
3-Oct-13,26.96,27.14,26.72,26.99,269715
2-Oct-13,26.90,27.14,26.53,27.02,227044
1-Oct-13,26.55,27.22,26.39,27.20,330042
30-Sep-13,26.18,26.70,26.16,26.59,339262
27-Sep-13,26.22,26.53,26.22,26.42,179639
26-Sep-13,26.35,26.57,26.26,26.45,264798
25-Sep-13,26.47,26.57,26.26,26.33,248238
24-Sep-13,26.67,26.77,26.19,26.45,307231
23-Sep-13,26.58,26.78,26.44,26.55,194456
20-Sep-13,26.42,26.80,26.30,26.55,561852
19-Sep-13,26.47,26.58,26.25,26.35,168550
18-Sep-13,26.53,26.70,26.22,26.46,171330
17-Sep-13,26.44,26.59,26.34,26.55,223926
16-Sep-13,26.48,26.50,26.02,26.45,284263
13-Sep-13,26.26,26.26,26.04,26.20,96912
12-Sep-13,26.30,26.41,26.07,26.12,190873
11-Sep-13,26.16,26.42,26.11,26.21,130862
10-Sep-13,26.31,26.36,26.05,26.22,184245
9-Sep-13,25.84,26.15,25.66,26.12,144452
6-Sep-13,25.89,26.01,25.22,25.67,256730
5-Sep-13,25.50,25.84,25.27,25.73,168379
4-Sep-13,24.88,25.57,24.82,25.53,192324
3-Sep-13,25.42,25.74,24.71,24.90,198665
30-Aug-13,25.49,25.50,25.05,25.05,341494
29-Aug-13,25.10,25.50,25.08,25.50,187755
28-Aug-13,25.24,25.44,25.00,25.10,190751
27-Aug-13,25.35,25.69,25.28,25.40,334009
26-Aug-13,25.75,26.00,25.52,25.68,170687
23-Aug-13,25.69,25.95,25.53,25.70,250633
22-Aug-13,25.28,25.70,25.21,25.63,215975
21-Aug-13,25.19,25.39,24.96,25.12,207051
20-Aug-13,25.05,25.28,24.98,25.23,481350
19-Aug-13,25.29,25.47,24.93,24.96,439893
16-Aug-13,25.65,25.95,25.21,25.26,350035
15-Aug-13,26.41,26.60,25.73,25.77,231041
14-Aug-13,26.98,27.07,26.73,26.78,229362
13-Aug-13,26.85,27.10,26.64,27.01,120944
12-Aug-13,26.50,26.94,26.50,26.89,101551
9-Aug-13,26.96,27.01,26.73,26.76,178930
8-Aug-13,27.24,27.24,26.99,27.10,214300
7-Aug-13,27.11,27.36,26.97,27.15,246029
6-Aug-13,27.23,27.38,27.09,27.25,240876
5-Aug-13,27.17,27.60,27.13,27.34,201787
2-Aug-13,27.12,27.33,26.86,27.22,164638
1-Aug-13,27.30,27.55,27.13,27.31,183262
31-Jul-13,27.34,27.51,27.11,27.12,189895
30-Jul-13,27.40,27.48,27.20,27.36,175436
29-Jul-13,27.22,27.47,27.14,27.21,237928
