Date,Open,High,Low,Close,Volume
31-Dec-13,2.33,2.38,2.27,2.32,525173
30-Dec-13,2.21,2.35,2.21,2.34,596006
27-Dec-13,2.27,2.28,2.23,2.23,315269
26-Dec-13,2.30,2.30,2.24,2.25,320534
24-Dec-13,2.30,2.32,2.24,2.31,238058
23-Dec-13,2.32,2.35,2.26,2.33,418061
20-Dec-13,2.27,2.32,2.23,2.30,527453
19-Dec-13,2.31,2.31,2.19,2.26,311742
18-Dec-13,2.28,2.31,2.21,2.31,338605
17-Dec-13,2.31,2.32,2.20,2.29,566365
16-Dec-13,2.20,2.32,2.17,2.27,417792
13-Dec-13,2.20,2.20,2.13,2.19,236318
12-Dec-13,2.15,2.19,2.13,2.18,305707
11-Dec-13,2.17,2.25,2.15,2.15,483765
10-Dec-13,2.19,2.22,2.13,2.15,329061
9-Dec-13,2.22,2.23,2.17,2.18,422005
6-Dec-13,2.26,2.26,2.21,2.23,413505
5-Dec-13,2.26,2.30,2.23,2.23,301931
4-Dec-13,2.36,2.36,2.25,2.27,654965
3-Dec-13,2.34,2.39,2.34,2.36,428309
2-Dec-13,2.34,2.38,2.25,2.36,635708
29-Nov-13,2.38,2.45,2.30,2.34,315084
27-Nov-13,2.34,2.40,2.31,2.36,261323
26-Nov-13,2.29,2.37,2.27,2.35,528643
25-Nov-13,2.24,2.36,2.23,2.27,468913
22-Nov-13,2.23,2.27,2.21,2.23,361936
21-Nov-13,2.24,2.28,2.21,2.21,480371
20-Nov-13,2.28,2.29,2.23,2.24,603716
19-Nov-13,2.29,2.32,2.26,2.28,439264
18-Nov-13,2.46,2.49,2.29,2.30,457210
15-Nov-13,2.30,2.42,2.28,2.42,514332
14-Nov-13,2.37,2.39,2.29,2.31,491334
13-Nov-13,2.38,2.40,2.36,2.39,232353
12-Nov-13,2.41,2.44,2.37,2.38,410141
11-Nov-13,2.45,2.45,2.40,2.43,371899
8-Nov-13,2.44,2.49,2.41,2.44,257661
7-Nov-13,2.47,2.50,2.44,2.45,247462
6-Nov-13,2.50,2.54,2.46,2.47,287680
5-Nov-13,2.48,2.55,2.46,2.47,345425
4-Nov-13,2.42,2.52,2.41,2.50,467444
1-Nov-13,2.56,2.57,2.40,2.41,1046085
31-Oct-13,2.55,2.59,2.53,2.54,665937
30-Oct-13,2.74,2.75,2.52,2.55,603520
29-Oct-13,2.72,2.80,2.70,2.76,365525
28-Oct-13,2.66,2.72,2.64,2.71,326688
25-Oct-13,2.66,2.74,2.62,2.65,261509
24-Oct-13,2.61,2.72,2.61,2.65,358770
23-Oct-13,2.56,2.59,2.55,2.58,263191
22-Oct-13,2.56,2.61,2.56,2.58,221022
21-Oct-13,2.64,2.67,2.55,2.55,415781
18-Oct-13,2.71,2.71,2.62,2.64,302131
17-Oct-13,2.63,2.67,2.60,2.67,303624
16-Oct-13,2.74,2.75,2.63,2.65,313386
15-Oct-13,2.78,2.82,2.70,2.73,322180
14-Oct-13,2.74,2.82,2.71,2.78,272080
11-Oct-13,2.75,2.81,2.71,2.78,317600
10-Oct-13,2.69,2.75,2.62,2.75,347951
9-Oct-13,2.58,2.68,2.55,2.63,399985
8-Oct-13,2.70,2.70,2.55,2.57,306889
7-Oct-13,2.67,2.74,2.67,2.70,341367
4-Oct-13,2.61,2.70,2.61,2.67,362929
3-Oct-13,2.69,2.73,2.61,2.62,361195
2-Oct-13,2.60,2.79,2.56,2.68,576705
1-Oct-13,2.63,2.65,2.54,2.59,567773
30-Sep-13,2.67,2.70,2.59,2.61,633189
27-Sep-13,2.74,2.81,2.66,2.68,438205
26-Sep-13,2.74,2.79,2.72,2.77,275454
25-Sep-13,2.84,2.87,2.71,2.72,890813
24-Sep-13,2.87,2.92,2.80,2.84,880602
23-Sep-13,2.83,2.98,2.79,2.86,1046905
20-Sep-13,2.71,2.82,2.71,2.80,518730
19-Sep-13,2.85,2.88,2.76,2.78,352035
18-Sep-13,2.74,2.85,2.74,2.83,462517
17-Sep-13,2.73,2.76,2.68,2.74,285700
16-Sep-13,2.75,2.76,2.70,2.72,340613
13-Sep-13,2.77,2.80,2.69,2.71,456737
12-Sep-13,2.76,2.81,2.74,2.75,289414
11-Sep-13,2.78,2.84,2.72,2.75,388144
10-Sep-13,2.69,2.85,2.68,2.80,633696
9-Sep-13,2.69,2.73,2.66,2.69,327910
6-Sep-13,2.67,2.71,2.58,2.67,279693
5-Sep-13,2.74,2.75,2.63,2.66,437046
4-Sep-13,2.65,2.75,2.62,2.74,385724
3-Sep-13,2.73,2.78,2.63,2.65,309842
30-Aug-13,2.75,2.79,2.61,2.65,729647
29-Aug-13,2.63,2.91,2.61,2.75,1124865
28-Aug-13,2.60,2.61,2.55,2.60,835937
27-Aug-13,2.66,2.66,2.60,2.61,2460048
26-Aug-13,2.52,2.65,2.48,2.61,1976766
23-Aug-13,2.45,2.49,2.40,2.41,476361
22-Aug-13,2.38,2.47,2.36,2.46,488737
21-Aug-13,2.45,2.45,2.35,2.39,524891
20-Aug-13,2.41,2.43,2.38,2.41,474330
19-Aug-13,2.38,2.41,2.35,2.38,812745
16-Aug-13,2.40,2.43,2.39,2.40,893342
15-Aug-13,2.40,2.46,2.38,2.41,1025137
14-Aug-13,2.47,2.54,2.42,2.42,3424853
13-Aug-13,2.50,2.51,2.41,2.47,1982961
12-Aug-13,2.50,2.59,2.37,2.50,4148923
9-Aug-13,3.20,3.20,2.42,2.43,8294919
8-Aug-13,4.44,4.57,4.37,4.50,676847
7-Aug-13,4.47,4.47,4.36,4.44,298722
6-Aug-13,4.48,4.53,4.42,4.47,256419
5-Aug-13,4.51,4.54,4.45,4.50,343375
2-Aug-13,4.45,4.58,4.43,4.51,525005
1-Aug-13,4.55,4.55,4.41,4.49,441032
31-Jul-13,4.50,4.68,4.45,4.53,772185
30-Jul-13,4.50,4.60,4.45,4.48,562658
29-Jul-13,4.52,4.58,4.47,4.48,473032
26-Jul-13,4.55,4.60,4.50,4.55,390282
25-Jul-13,4.49,4.68,4.40,4.61,844364
24-Jul-13,4.56,4.70,4.44,4.51,763221
23-Jul-13,4.53,4.58,4.41,4.55,505585
22-Jul-13,4.40,4.55,4.38,4.50,347919
19-Jul-13,4.43,4.47,4.25,4.42,351306
18-Jul-13,4.50,4.65,4.43,4.45,794098
17-Jul-13,4.34,4.53,4.22,4.48,1615362
16-Jul-13,4.23,4.35,4.16,4.34,1521599
15-Jul-13,4.05,4.28,4.05,4.24,943065
12-Jul-13,4.06,4.07,3.98,4.06,355875
11-Jul-13,3.98,4.07,3.96,4.07,488444
10-Jul-13,3.94,3.98,3.92,3.96,326158
9-Jul-13,3.93,4.04,3.90,3.93,926773
8-Jul-13,3.72,3.93,3.71,3.89,1000366
5-Jul-13,3.65,3.70,3.59,3.70,280031
3-Jul-13,3.66,3.66,3.59,3.65,99435
2-Jul-13,3.64,3.67,3.59,3.67,581839
1-Jul-13,3.62,3.69,3.60,3.63,712993
28-Jun-13,3.59,3.62,3.52,3.60,1268539
27-Jun-13,3.55,3.62,3.50,3.59,464677
26-Jun-13,3.55,3.62,3.47,3.51,527707
25-Jun-13,3.41,3.54,3.35,3.52,266264
24-Jun-13,3.40,3.47,3.35,3.36,459063
21-Jun-13,3.45,3.46,3.35,3.43,449302
20-Jun-13,3.51,3.54,3.37,3.42,362737
19-Jun-13,3.63,3.64,3.52,3.55,167858
18-Jun-13,3.65,3.68,3.59,3.62,283389
17-Jun-13,3.62,3.67,3.56,3.63,281386
14-Jun-13,3.61,3.62,3.57,3.57,161110
13-Jun-13,3.62,3.65,3.58,3.63,141634
