Date,Open,High,Low,Close,Volume
31-Dec-13,174.76,177.16,169.42,169.97,110805
30-Dec-13,174.70,175.60,172.41,174.76,66041
27-Dec-13,177.05,177.79,173.12,174.26,95832
26-Dec-13,177.09,178.80,173.71,176.32,142140
24-Dec-13,176.42,177.07,174.69,175.70,36023
23-Dec-13,175.46,177.61,173.37,175.89,61992
20-Dec-13,169.55,175.06,167.92,174.19,160005
19-Dec-13,169.28,169.28,165.69,168.74,54913
18-Dec-13,166.28,170.93,163.70,170.13,50196
17-Dec-13,168.51,169.00,165.17,166.56,49112
16-Dec-13,168.87,170.68,167.06,169.05,43954
13-Dec-13,170.20,171.19,167.95,168.66,50274
12-Dec-13,165.93,171.08,164.87,169.47,70346
11-Dec-13,169.99,170.94,164.77,165.61,53706
10-Dec-13,173.47,173.47,169.03,169.25,102211
9-Dec-13,175.88,176.86,170.95,173.47,56170
6-Dec-13,175.40,177.98,175.14,175.37,27825
5-Dec-13,174.79,176.40,174.00,174.80,20393
4-Dec-13,175.35,177.10,172.94,174.24,54939
3-Dec-13,173.82,178.19,173.66,175.35,76491
2-Dec-13,181.52,181.73,175.27,175.72,71026
29-Nov-13,181.80,184.00,180.60,182.17,28473
27-Nov-13,176.53,181.71,175.76,180.42,43883
26-Nov-13,175.00,178.72,172.78,176.85,38357
25-Nov-13,175.98,178.28,170.40,174.91,71314
22-Nov-13,174.08,175.92,173.04,174.90,33477
21-Nov-13,169.58,174.70,167.12,174.08,49879
20-Nov-13,168.92,170.00,166.74,168.96,38614
19-Nov-13,167.69,169.91,165.63,168.21,55240
18-Nov-13,165.98,170.20,164.70,169.13,128897
15-Nov-13,160.44,166.09,160.25,165.42,47517
14-Nov-13,159.78,161.70,159.70,161.16,18443
13-Nov-13,159.28,160.39,158.39,160.34,95110
12-Nov-13,156.68,160.50,156.35,160.50,40906
11-Nov-13,158.46,159.12,155.13,156.59,52735
8-Nov-13,155.86,161.80,154.51,159.15,48102
7-Nov-13,161.48,162.01,155.03,156.13,51405
6-Nov-13,165.19,165.51,160.72,162.24,53841
5-Nov-13,163.65,167.43,162.54,164.51,33761
4-Nov-13,157.69,164.49,156.97,163.74,73953
1-Nov-13,158.31,160.04,155.33,157.75,67696
31-Oct-13,158.17,160.21,157.70,158.64,52633
30-Oct-13,161.87,163.00,157.42,157.88,77079
29-Oct-13,165.39,165.49,160.67,161.93,48170
28-Oct-13,162.59,165.91,162.59,164.56,54741
25-Oct-13,166.51,166.79,161.52,162.63,47718
24-Oct-13,165.09,167.26,164.80,165.07,57485
23-Oct-13,165.00,167.78,163.63,164.40,60019
22-Oct-13,169.74,172.97,165.41,166.62,81047
21-Oct-13,165.46,168.77,165.20,168.70,53372
18-Oct-13,161.19,164.74,160.98,164.73,45992
17-Oct-13,159.42,160.61,159.20,159.96,58852
16-Oct-13,159.01,160.64,158.70,159.78,22166
15-Oct-13,159.68,160.76,157.36,158.55,34114
14-Oct-13,154.77,159.76,154.75,159.68,25700
11-Oct-13,156.43,158.13,154.95,155.80,70166
10-Oct-13,154.56,159.01,154.40,157.18,66510
9-Oct-13,153.80,154.21,151.63,152.75,39159
8-Oct-13,154.53,154.59,152.09,153.10,33809
7-Oct-13,152.02,154.13,151.27,153.89,50794
4-Oct-13,150.76,154.00,149.71,153.52,18206
3-Oct-13,154.15,154.52,151.31,151.43,21104
2-Oct-13,153.30,155.33,151.39,153.88,35357
1-Oct-13,149.92,155.64,148.11,154.62,64995
30-Sep-13,148.17,149.92,148.17,149.36,48042
27-Sep-13,149.24,150.60,149.20,149.75,24112
26-Sep-13,149.71,151.08,148.97,150.00,43118
25-Sep-13,153.01,153.02,148.46,149.50,28325
24-Sep-13,154.67,155.65,153.12,153.13,26809
23-Sep-13,154.32,155.59,152.50,155.01,31803
20-Sep-13,152.17,155.29,151.12,154.68,171224
19-Sep-13,154.06,154.06,151.70,152.93,29062
18-Sep-13,151.41,153.63,149.48,153.32,39353
17-Sep-13,149.65,151.94,149.12,151.85,30007
16-Sep-13,150.08,151.10,149.11,149.91,43720
13-Sep-13,147.96,149.30,146.64,149.07,28971
12-Sep-13,147.71,147.82,146.20,147.28,26358
11-Sep-13,146.66,148.08,145.64,147.31,68954
10-Sep-13,144.21,145.92,143.98,145.82,62924
9-Sep-13,144.49,144.49,142.03,144.11,53469
6-Sep-13,146.07,146.07,142.02,143.67,44957
5-Sep-13,146.42,147.02,144.60,145.15,38692
4-Sep-13,149.42,149.98,145.76,146.75,76999
3-Sep-13,153.87,153.87,148.20,149.74,71656
30-Aug-13,146.20,156.51,145.83,152.08,117805
29-Aug-13,138.75,147.88,138.75,146.75,61228
28-Aug-13,138.97,140.47,138.31,138.45,28634
27-Aug-13,142.41,142.41,138.24,138.66,29949
26-Aug-13,144.63,145.67,142.75,143.19,12417
23-Aug-13,144.89,145.86,143.05,143.96,21069
22-Aug-13,143.47,145.80,141.95,145.04,23187
21-Aug-13,143.75,145.74,141.83,143.59,17155
20-Aug-13,143.98,144.90,143.23,144.55,21640
19-Aug-13,144.30,146.90,143.62,143.63,23140
16-Aug-13,144.71,146.78,143.90,145.07,34433
15-Aug-13,146.87,147.50,144.19,145.54,38103
14-Aug-13,148.99,149.83,148.20,148.46,19869
13-Aug-13,149.85,150.35,148.26,149.45,52066
12-Aug-13,148.38,150.90,147.54,150.24,19013
9-Aug-13,147.80,149.88,147.36,148.88,18257
8-Aug-13,148.36,148.82,146.95,147.98,42557
7-Aug-13,146.42,148.63,146.09,147.29,26897
6-Aug-13,149.86,151.25,147.39,148.26,94845
5-Aug-13,147.09,153.59,146.70,149.64,89750
2-Aug-13,146.58,149.39,144.88,146.76,47636
1-Aug-13,142.49,148.00,142.49,147.34,79499
31-Jul-13,144.37,145.01,141.01,142.17,122905
30-Jul-13,144.81,145.80,141.50,143.67,157694
29-Jul-13,131.03,144.51,130.93,144.04,163170
