Date,Open,High,Low,Close,Volume
31-Dec-13,0.14,0.16,0.14,0.15,249750
30-Dec-13,0.15,0.15,0.14,0.14,197400
27-Dec-13,0.15,0.15,0.15,0.15,15800
26-Dec-13,0.15,0.17,0.14,0.15,84100
24-Dec-13,0.15,0.15,0.15,0.15,5772
23-Dec-13,0.15,0.15,0.15,0.15,10000
20-Dec-13,0.15,0.15,0.15,0.15,38528
19-Dec-13,0.16,0.16,0.15,0.15,55000
18-Dec-13,0.15,0.15,0.15,0.15,10000
17-Dec-13,0.17,0.17,0.14,0.15,54667
16-Dec-13,0.16,0.17,0.14,0.17,81118
13-Dec-13,0.14,0.16,0.14,0.16,74764
12-Dec-13,0.17,0.17,0.15,0.15,35000
11-Dec-13,0.14,0.15,0.14,0.15,54900
10-Dec-13,0.17,0.17,0.15,0.16,41093
9-Dec-13,0.16,0.16,0.16,0.16,123100
6-Dec-13,0.17,0.17,0.16,0.16,20000
5-Dec-13,0.16,0.17,0.16,0.16,217774
4-Dec-13,0.15,0.16,0.15,0.16,70800
3-Dec-13,0.14,0.15,0.14,0.15,15000
2-Dec-13,0.15,0.15,0.14,0.15,63500
29-Nov-13,0.16,0.16,0.15,0.15,20000
27-Nov-13,0.15,0.16,0.15,0.15,116500
26-Nov-13,0.17,0.18,0.15,0.15,98660
25-Nov-13,0.17,0.17,0.16,0.16,70400
22-Nov-13,0.16,0.17,0.16,0.17,169640
21-Nov-13,0.16,0.16,0.16,0.16,351550
20-Nov-13,0.16,0.16,0.16,0.16,102796
19-Nov-13,0.15,0.16,0.15,0.16,174500
18-Nov-13,0.14,0.15,0.14,0.15,42000
15-Nov-13,0.14,0.14,0.14,0.14,25900
14-Nov-13,0.14,0.14,0.13,0.14,75000
13-Nov-13,0.15,0.16,0.14,0.14,194000
12-Nov-13,0.14,0.14,0.13,0.14,214700
11-Nov-13,0.16,0.16,0.16,0.16,5000
8-Nov-13,0.15,0.16,0.14,0.14,110100
6-Nov-13,0.15,0.16,0.14,0.14,266871
5-Nov-13,0.14,0.15,0.13,0.14,228908
4-Nov-13,0.15,0.15,0.14,0.14,111821
1-Nov-13,0.14,0.15,0.14,0.15,46000
31-Oct-13,0.14,0.14,0.13,0.14,120000
30-Oct-13,0.14,0.14,0.14,0.14,221000
29-Oct-13,0.13,0.15,0.13,0.13,162716
28-Oct-13,0.14,0.14,0.13,0.13,70000
25-Oct-13,0.13,0.14,0.13,0.14,135600
24-Oct-13,0.14,0.15,0.14,0.14,101000
23-Oct-13,0.15,0.15,0.13,0.14,282150
22-Oct-13,0.13,0.15,0.13,0.14,209302
21-Oct-13,0.12,0.13,0.12,0.13,82500
18-Oct-13,0.12,0.12,0.12,0.12,26250
17-Oct-13,0.13,0.13,0.12,0.12,121033
16-Oct-13,0.14,0.14,0.14,0.14,300
15-Oct-13,0.13,0.13,0.13,0.13,228017
14-Oct-13,0.14,0.14,0.13,0.13,80000
11-Oct-13,0.14,0.14,0.13,0.13,65784
10-Oct-13,0.13,0.15,0.12,0.15,514100
9-Oct-13,0.13,0.14,0.12,0.12,60650
7-Oct-13,0.12,0.15,0.12,0.15,259166
4-Oct-13,0.12,0.14,0.12,0.14,60000
3-Oct-13,0.13,0.13,0.13,0.13,30000
2-Oct-13,0.12,0.12,0.12,0.12,5783
30-Sep-13,0.12,0.12,0.12,0.12,54500
