Date,Open,High,Low,Close,Volume
31-Dec-13,18.89,19.15,18.87,19.05,96716
30-Dec-13,18.55,18.90,18.53,18.86,69347
27-Dec-13,18.62,18.81,18.37,18.61,29772
26-Dec-13,18.62,18.78,18.44,18.56,36431
24-Dec-13,18.37,18.68,18.37,18.59,23745
23-Dec-13,18.53,18.79,18.36,18.40,69959
20-Dec-13,18.43,18.79,18.35,18.49,230868
19-Dec-13,18.39,18.57,18.20,18.35,87845
18-Dec-13,18.30,18.53,17.93,18.38,143946
17-Dec-13,18.03,18.87,18.03,18.74,163230
16-Dec-13,17.79,18.09,17.71,18.00,62266
13-Dec-13,17.88,18.10,17.54,17.72,129169
12-Dec-13,17.90,18.09,17.38,17.53,81045
11-Dec-13,17.95,18.20,17.67,17.95,70611
10-Dec-13,17.75,17.99,17.33,17.92,91651
9-Dec-13,17.88,18.05,17.71,17.78,72749
6-Dec-13,17.93,17.97,17.54,17.87,51074
5-Dec-13,17.98,18.15,17.65,17.72,41550
4-Dec-13,17.88,18.30,17.64,18.00,68651
3-Dec-13,17.90,18.45,17.74,18.00,65805
2-Dec-13,18.83,18.99,17.83,17.97,94878
29-Nov-13,18.80,19.00,18.78,18.88,47380
27-Nov-13,18.67,18.99,18.37,18.73,49115
26-Nov-13,18.13,18.69,17.70,18.66,88240
25-Nov-13,18.08,18.31,17.61,18.16,75263
22-Nov-13,18.00,18.19,17.94,18.13,152005
21-Nov-13,17.74,17.98,17.74,17.81,159683
20-Nov-13,17.50,17.76,17.28,17.70,103261
19-Nov-13,17.36,17.78,17.36,17.49,92578
18-Nov-13,17.17,17.44,17.17,17.20,64640
15-Nov-13,17.11,17.28,16.89,17.16,82642
14-Nov-13,17.40,17.45,17.10,17.14,28572
13-Nov-13,17.32,17.55,17.11,17.49,35453
12-Nov-13,17.40,17.68,17.39,17.45,97249
11-Nov-13,17.25,17.55,17.07,17.42,26993
8-Nov-13,17.00,17.53,16.78,17.33,65873
7-Nov-13,17.55,17.65,16.90,17.07,75193
6-Nov-13,17.76,17.76,17.42,17.54,48304
5-Nov-13,17.39,17.82,17.20,17.71,74539
4-Nov-13,17.71,18.00,17.45,17.52,183275
1-Nov-13,18.31,18.63,17.68,17.71,176659
31-Oct-13,18.50,18.73,18.34,18.58,337792
30-Oct-13,19.00,19.94,17.33,18.68,835532
29-Oct-13,16.77,16.79,16.29,16.38,226295
28-Oct-13,17.06,17.20,16.75,16.87,361503
25-Oct-13,17.07,17.34,16.92,17.08,115102
24-Oct-13,16.97,17.08,16.71,17.04,51487
23-Oct-13,16.90,16.98,16.70,16.89,50310
22-Oct-13,17.50,17.50,16.99,16.99,67317
21-Oct-13,17.30,17.58,17.30,17.41,78910
18-Oct-13,17.15,17.35,16.68,17.29,71570
17-Oct-13,16.40,16.97,16.40,16.97,92758
16-Oct-13,16.58,16.62,16.49,16.51,38757
15-Oct-13,16.60,16.68,16.40,16.51,49080
14-Oct-13,16.48,16.76,16.48,16.63,47549
11-Oct-13,16.28,16.76,16.28,16.60,44308
10-Oct-13,16.43,16.54,16.28,16.37,53596
9-Oct-13,16.12,16.52,15.91,16.28,73688
8-Oct-13,16.29,16.50,15.98,16.10,107446
7-Oct-13,16.08,16.53,16.01,16.33,56680
4-Oct-13,16.10,16.25,16.00,16.11,26818
3-Oct-13,16.14,16.21,16.05,16.13,67729
2-Oct-13,16.03,16.17,15.64,16.13,49971
1-Oct-13,16.12,16.20,16.02,16.14,100222
30-Sep-13,16.00,16.19,15.76,16.12,112934
27-Sep-13,16.00,16.16,15.98,16.05,125102
26-Sep-13,15.68,16.06,15.68,16.05,42304
25-Sep-13,16.05,16.18,15.51,15.99,70574
24-Sep-13,16.30,16.37,16.00,16.06,111776
23-Sep-13,16.17,16.35,16.13,16.25,69431
20-Sep-13,16.12,16.19,16.00,16.13,200941
19-Sep-13,16.11,16.17,16.06,16.13,46843
18-Sep-13,16.02,16.25,15.84,16.10,72259
17-Sep-13,15.60,16.11,15.60,16.00,101335
16-Sep-13,15.56,15.84,15.47,15.64,90298
13-Sep-13,15.24,15.39,14.98,15.38,42768
12-Sep-13,15.39,15.39,15.10,15.16,51878
11-Sep-13,15.42,15.46,15.35,15.39,80863
10-Sep-13,15.52,15.68,15.37,15.50,100550
9-Sep-13,15.12,15.68,15.12,15.32,190057
6-Sep-13,14.60,14.60,14.20,14.55,64064
5-Sep-13,14.50,14.60,14.25,14.54,29016
4-Sep-13,14.05,14.50,14.05,14.47,41243
3-Sep-13,14.46,14.50,13.88,14.05,67848
30-Aug-13,14.47,14.49,14.25,14.29,86739
29-Aug-13,14.27,14.45,14.27,14.45,63549
28-Aug-13,14.09,14.39,14.09,14.26,125913
27-Aug-13,13.93,14.26,13.93,14.07,123164
26-Aug-13,14.04,14.12,14.00,14.08,42493
23-Aug-13,13.82,14.07,13.82,14.03,59743
22-Aug-13,13.44,13.79,13.44,13.77,44197
21-Aug-13,13.55,13.69,13.37,13.41,73143
20-Aug-13,13.60,13.71,13.53,13.57,43302
19-Aug-13,13.79,13.86,13.51,13.60,95541
16-Aug-13,14.00,14.26,13.75,13.80,93031
15-Aug-13,14.10,14.21,13.83,14.09,137645
14-Aug-13,14.20,14.32,14.10,14.20,75454
13-Aug-13,14.22,14.28,14.12,14.17,47596
12-Aug-13,14.19,14.29,14.09,14.17,91240
9-Aug-13,14.51,14.52,14.10,14.23,99317
8-Aug-13,14.79,14.79,14.50,14.54,103306
7-Aug-13,15.59,15.59,14.70,14.72,295918
6-Aug-13,15.98,16.03,15.60,15.65,168495
5-Aug-13,15.63,16.07,15.51,16.00,151290
2-Aug-13,15.41,15.70,15.31,15.66,115311
1-Aug-13,15.43,15.54,15.05,15.54,120728
31-Jul-13,15.05,15.58,15.05,15.36,125081
30-Jul-13,15.40,15.40,15.07,15.21,184961
29-Jul-13,15.69,15.69,15.25,15.33,94278
26-Jul-13,15.62,15.66,15.37,15.57,70852
25-Jul-13,15.60,15.76,15.57,15.75,67418
24-Jul-13,15.66,15.68,15.48,15.61,42145
23-Jul-13,15.69,15.75,15.55,15.63,90481
22-Jul-13,15.50,15.74,15.50,15.60,53960
19-Jul-13,15.41,15.54,15.41,15.50,48161
18-Jul-13,15.43,15.55,15.39,15.46,37563
17-Jul-13,15.44,15.79,15.40,15.43,57102
16-Jul-13,15.53,15.61,15.18,15.37,97234
15-Jul-13,15.71,15.75,15.54,15.56,37009
12-Jul-13,15.83,15.83,15.24,15.71,33152
11-Jul-13,16.00,16.02,15.74,15.87,71839
10-Jul-13,14.98,15.90,14.98,15.85,71739
9-Jul-13,14.64,15.00,14.35,15.00,79498
8-Jul-13,14.64,14.73,14.47,14.51,64567
5-Jul-13,14.49,14.56,14.20,14.56,49964
3-Jul-13,14.21,14.42,14.21,14.33,39705
2-Jul-13,14.40,14.58,14.11,14.28,66881
1-Jul-13,14.65,14.77,14.37,14.46,98344
28-Jun-13,14.87,14.88,14.65,14.67,672427
27-Jun-13,14.95,14.97,14.75,14.97,161978
26-Jun-13,15.04,15.04,14.82,14.86,68358
25-Jun-13,15.09,15.11,14.90,14.95,96974
24-Jun-13,15.11,15.26,14.79,14.93,93076
21-Jun-13,15.12,15.32,15.06,15.22,117541
20-Jun-13,15.21,15.21,14.97,15.04,105966
19-Jun-13,15.69,15.73,15.38,15.40,57146
18-Jun-13,15.51,15.78,15.46,15.73,65670
17-Jun-13,15.44,15.54,15.35,15.50,75442
14-Jun-13,15.34,15.37,15.13,15.29,69069
13-Jun-13,15.15,15.39,15.15,15.35,35309
12-Jun-13,15.35,15.35,15.11,15.19,85036
