Date,Open,High,Low,Close,Volume
31-Dec-13,2.13,2.19,2.10,2.17,33313
30-Dec-13,2.15,2.17,2.13,2.16,25832
27-Dec-13,2.10,2.15,2.10,2.15,30980
26-Dec-13,2.14,2.18,2.11,2.11,24858
24-Dec-13,2.19,2.19,2.13,2.16,10014
23-Dec-13,2.12,2.22,2.10,2.15,23341
20-Dec-13,2.21,2.23,2.11,2.12,91289
19-Dec-13,2.22,2.25,2.22,2.25,24445
18-Dec-13,2.28,2.28,2.20,2.24,6952
17-Dec-13,2.44,2.48,2.20,2.26,39163
16-Dec-13,2.30,2.47,2.30,2.44,46618
13-Dec-13,2.16,2.33,2.16,2.29,24837
12-Dec-13,2.12,2.23,2.11,2.20,28497
11-Dec-13,2.27,2.27,2.08,2.09,94976
10-Dec-13,2.35,2.35,2.18,2.19,98353
9-Dec-13,2.41,2.42,2.35,2.37,50135
6-Dec-13,2.45,2.45,2.37,2.41,19866
5-Dec-13,2.47,2.53,2.45,2.46,65060
4-Dec-13,2.46,2.60,2.46,2.53,8100
3-Dec-13,2.47,2.57,2.47,2.48,5910
2-Dec-13,2.56,2.62,2.50,2.55,9155
29-Nov-13,2.63,2.68,2.53,2.59,6643
27-Nov-13,2.60,2.64,2.51,2.61,5340
26-Nov-13,2.53,2.60,2.53,2.57,10722
25-Nov-13,2.50,2.53,2.50,2.52,10085
22-Nov-13,2.49,2.55,2.49,2.50,11364
21-Nov-13,2.47,2.52,2.47,2.49,2961
20-Nov-13,2.45,2.50,2.45,2.49,5732
19-Nov-13,2.46,2.50,2.45,2.48,14741
18-Nov-13,2.50,2.52,2.46,2.46,14485
15-Nov-13,2.56,2.59,2.50,2.54,93231
14-Nov-13,2.59,2.60,2.57,2.59,45857
13-Nov-13,2.56,2.62,2.56,2.61,53657
12-Nov-13,2.59,2.60,2.56,2.60,30230
11-Nov-13,2.54,2.60,2.54,2.60,7175
8-Nov-13,2.57,2.61,2.51,2.61,16120
7-Nov-13,2.71,2.71,2.59,2.59,15690
6-Nov-13,2.61,2.67,2.61,2.63,19783
5-Nov-13,2.72,2.72,2.58,2.63,37571
4-Nov-13,2.61,2.69,2.55,2.67,54980
1-Nov-13,2.64,2.69,2.51,2.64,78907
31-Oct-13,2.59,2.67,2.57,2.65,42780
30-Oct-13,2.74,2.77,2.60,2.63,122103
29-Oct-13,2.76,2.80,2.72,2.75,129393
28-Oct-13,2.75,2.78,2.65,2.73,51767
25-Oct-13,2.92,2.97,2.73,2.79,57675
24-Oct-13,3.06,3.06,2.85,2.88,139508
23-Oct-13,3.07,3.10,2.91,3.05,209771
22-Oct-13,3.60,3.80,3.10,3.18,377803
21-Oct-13,2.73,3.88,2.73,3.48,925836
18-Oct-13,2.80,2.88,2.71,2.73,111003
17-Oct-13,2.79,2.82,2.76,2.81,24805
16-Oct-13,2.93,2.94,2.58,2.79,142951
15-Oct-13,2.77,2.93,2.73,2.91,271856
14-Oct-13,2.50,2.86,2.50,2.76,242511
11-Oct-13,2.54,2.54,2.43,2.50,11377
10-Oct-13,2.47,2.54,2.46,2.54,12094
9-Oct-13,2.48,2.54,2.42,2.48,33123
8-Oct-13,2.60,2.60,2.45,2.50,107579
7-Oct-13,2.50,2.75,2.49,2.65,82493
4-Oct-13,2.40,2.59,2.40,2.53,55862
3-Oct-13,2.40,2.40,2.38,2.38,30396
2-Oct-13,2.32,2.43,2.29,2.40,67259
1-Oct-13,2.30,2.38,2.30,2.36,30737
30-Sep-13,2.30,2.33,2.30,2.33,11092
27-Sep-13,2.32,2.36,2.31,2.34,26100
26-Sep-13,2.39,2.45,2.35,2.42,12598
25-Sep-13,2.36,2.49,2.35,2.42,15931
24-Sep-13,2.39,2.40,2.34,2.39,40059
23-Sep-13,2.45,2.46,2.40,2.41,26574
20-Sep-13,2.42,2.48,2.33,2.41,28155
19-Sep-13,2.42,2.46,2.30,2.43,62681
18-Sep-13,2.30,2.40,2.30,2.40,53336
17-Sep-13,2.34,2.35,2.26,2.32,13916
16-Sep-13,2.43,2.45,2.23,2.32,92841
13-Sep-13,2.57,2.58,2.40,2.43,107810
12-Sep-13,2.64,2.64,2.52,2.55,27741
11-Sep-13,2.74,2.79,2.58,2.59,69079
10-Sep-13,2.72,2.73,2.68,2.72,29916
9-Sep-13,2.75,2.75,2.70,2.75,43502
6-Sep-13,2.90,2.90,2.56,2.72,222834
5-Sep-13,3.05,3.08,3.03,3.06,74169
4-Sep-13,3.03,3.07,3.03,3.06,32797
3-Sep-13,3.07,3.09,3.07,3.07,14372
30-Aug-13,3.05,3.09,3.05,3.06,9813
29-Aug-13,3.07,3.09,3.05,3.05,6259
28-Aug-13,3.07,3.16,3.00,3.07,20256
27-Aug-13,3.07,3.14,3.05,3.05,27055
26-Aug-13,3.18,3.25,3.08,3.09,33661
23-Aug-13,3.15,3.29,3.15,3.22,39164
22-Aug-13,3.12,3.19,3.08,3.15,18320
21-Aug-13,3.06,3.11,3.06,3.11,11646
20-Aug-13,3.06,3.12,3.03,3.11,35278
19-Aug-13,3.03,3.25,3.03,3.10,25825
16-Aug-13,3.25,3.25,3.16,3.18,31233
15-Aug-13,3.14,3.18,3.05,3.14,32338
14-Aug-13,3.11,3.30,3.02,3.14,38718
13-Aug-13,3.03,3.08,2.95,3.06,40961
12-Aug-13,3.07,3.11,3.00,3.05,47801
9-Aug-13,3.08,3.19,3.05,3.10,4610
8-Aug-13,3.11,3.20,3.05,3.09,18449
7-Aug-13,3.00,3.17,2.92,3.12,33369
6-Aug-13,3.18,3.18,3.01,3.03,101624
5-Aug-13,3.42,3.42,3.19,3.19,22190
2-Aug-13,3.44,3.44,3.26,3.28,69315
1-Aug-13,3.40,3.69,3.23,3.41,456844
31-Jul-13,3.51,3.55,3.34,3.49,62871
30-Jul-13,3.66,3.66,3.37,3.59,39573
29-Jul-13,3.90,3.90,3.63,3.66,38490
26-Jul-13,3.78,3.90,3.68,3.88,27040
25-Jul-13,3.80,3.82,3.71,3.80,20439
24-Jul-13,3.98,4.00,3.66,3.76,56997
23-Jul-13,3.65,4.10,3.62,3.97,192939
22-Jul-13,3.56,3.78,3.42,3.73,64201
19-Jul-13,3.59,3.60,3.42,3.56,78612
18-Jul-13,3.20,3.63,3.12,3.56,149587
17-Jul-13,3.02,3.20,2.96,3.16,12210
16-Jul-13,3.04,3.09,2.97,3.04,29401
15-Jul-13,3.20,3.20,2.95,2.96,73828
12-Jul-13,3.30,3.30,3.15,3.19,81609
11-Jul-13,3.35,3.40,3.27,3.31,28575
10-Jul-13,3.33,3.44,3.26,3.26,19000
9-Jul-13,3.45,3.45,3.26,3.34,58569
8-Jul-13,3.63,3.63,3.47,3.53,36533
5-Jul-13,3.59,3.72,3.58,3.62,20140
3-Jul-13,3.72,3.73,3.62,3.66,15036
2-Jul-13,3.65,3.73,3.65,3.71,32906
1-Jul-13,3.65,3.73,3.65,3.69,35311
28-Jun-13,3.59,3.79,3.59,3.73,49716
27-Jun-13,3.70,3.70,3.58,3.59,25311
26-Jun-13,3.68,3.77,3.66,3.70,12738
25-Jun-13,3.80,3.80,3.66,3.78,18220
24-Jun-13,3.78,3.87,3.59,3.68,27453
21-Jun-13,3.95,3.95,3.79,3.81,43107
20-Jun-13,3.98,4.12,3.95,3.95,57649
19-Jun-13,4.04,4.10,4.00,4.02,12834
18-Jun-13,3.91,4.05,3.87,4.02,19029
17-Jun-13,3.93,3.94,3.76,3.91,41864
14-Jun-13,4.06,4.17,3.94,3.94,30175
13-Jun-13,4.29,4.33,4.07,4.13,34888
12-Jun-13,4.50,4.50,4.15,4.25,62241
11-Jun-13,4.50,4.50,4.18,4.28,121518
10-Jun-13,4.26,4.26,4.01,4.14,112764
7-Jun-13,3.87,4.19,3.69,4.06,177117
6-Jun-13,3.67,3.68,3.48,3.68,129383
5-Jun-13,3.28,3.48,3.25,3.45,85813
4-Jun-13,3.21,3.32,3.17,3.32,31578
3-Jun-13,3.15,3.25,3.15,3.17,9634
31-May-13,3.20,3.24,3.17,3.17,17158
30-May-13,3.25,3.29,3.15,3.20,21375
29-May-13,3.24,3.29,3.19,3.23,7300
28-May-13,3.23,3.24,3.11,3.24,15928
24-May-13,3.14,3.22,3.14,3.21,9599
23-May-13,3.09,3.20,3.05,3.17,18803
22-May-13,3.20,3.28,3.11,3.11,18749
21-May-13,3.24,3.34,3.16,3.20,28815
20-May-13,3.13,3.27,3.12,3.24,22712
17-May-13,3.12,3.28,3.10,3.19,52500
16-May-13,3.23,3.27,3.06,3.08,32075
15-May-13,3.25,3.34,3.24,3.28,42488
14-May-13,3.29,3.29,3.20,3.24,32211
13-May-13,3.18,3.29,3.13,3.28,50504
10-May-13,3.17,3.19,3.10,3.16,18529
9-May-13,3.20,3.20,3.10,3.17,65660
8-May-13,3.09,3.18,3.08,3.15,15934
7-May-13,3.14,3.20,3.09,3.11,36820
6-May-13,3.19,3.20,3.08,3.15,41097
3-May-13,3.04,3.21,3.03,3.06,137516
2-May-13,2.90,3.20,2.87,3.07,271504
1-May-13,2.84,2.90,2.76,2.86,120613
30-Apr-13,2.83,2.84,2.75,2.78,69696
29-Apr-13,2.83,2.85,2.74,2.79,126182
26-Apr-13,2.82,2.82,2.64,2.70,164716
25-Apr-13,2.65,2.88,2.56,2.80,166353
24-Apr-13,2.55,2.60,2.52,2.60,110792
23-Apr-13,2.44,2.54,2.40,2.50,72182
22-Apr-13,2.44,2.48,2.41,2.41,34336
19-Apr-13,2.48,2.50,2.40,2.50,32372
18-Apr-13,2.40,2.50,2.40,2.46,55055
17-Apr-13,2.55,2.57,2.50,2.54,29136
16-Apr-13,2.58,2.58,2.55,2.55,35706
15-Apr-13,2.57,2.59,2.54,2.54,27904
12-Apr-13,2.55,2.59,2.55,2.56,49834
11-Apr-13,2.57,2.60,2.55,2.55,37185
10-Apr-13,2.60,2.60,2.56,2.58,40749
9-Apr-13,2.58,2.70,2.56,2.57,66158
8-Apr-13,2.58,2.59,2.57,2.58,40714
5-Apr-13,2.65,2.65,2.53,2.58,110361
4-Apr-13,2.54,2.59,2.54,2.56,63537
3-Apr-13,2.59,2.60,2.56,2.57,36144
2-Apr-13,2.60,2.62,2.58,2.60,37621
1-Apr-13,2.61,2.62,2.58,2.60,44539
28-Mar-13,2.60,2.63,2.54,2.58,58056
27-Mar-13,2.54,2.64,2.54,2.57,37493
26-Mar-13,2.59,2.65,2.57,2.60,30227
25-Mar-13,2.57,2.64,2.55,2.57,43748
22-Mar-13,2.65,2.65,2.58,2.59,42600
21-Mar-13,2.57,2.68,2.57,2.59,73656
20-Mar-13,2.60,2.72,2.59,2.59,26071
19-Mar-13,2.64,2.72,2.56,2.60,259304
18-Mar-13,2.70,2.72,2.53,2.64,159350
15-Mar-13,2.78,2.78,2.70,2.70,79818
14-Mar-13,2.80,2.81,2.73,2.78,63312
13-Mar-13,2.77,2.82,2.75,2.80,77822
12-Mar-13,2.92,3.05,2.78,2.80,343294
11-Mar-13,2.74,2.82,2.72,2.76,17291
8-Mar-13,2.71,2.82,2.71,2.79,13378
7-Mar-13,2.77,2.77,2.70,2.72,42743
6-Mar-13,2.73,2.81,2.73,2.78,12049
5-Mar-13,2.76,2.81,2.72,2.75,20155
4-Mar-13,2.78,2.81,2.75,2.77,33326
1-Mar-13,2.78,2.82,2.76,2.77,44031
28-Feb-13,2.78,2.83,2.77,2.77,26156
27-Feb-13,2.77,2.80,2.77,2.80,10937
26-Feb-13,2.85,2.86,2.78,2.80,30050
25-Feb-13,2.76,2.88,2.76,2.76,32826
22-Feb-13,2.76,2.88,2.76,2.77,41113
21-Feb-13,2.80,2.86,2.78,2.78,18583
20-Feb-13,2.78,2.85,2.76,2.76,31000
19-Feb-13,2.79,2.86,2.75,2.78,11369
15-Feb-13,2.79,2.85,2.78,2.80,37303
14-Feb-13,2.80,2.81,2.77,2.80,37969
13-Feb-13,2.86,2.90,2.76,2.80,66597
12-Feb-13,2.89,2.92,2.84,2.89,44680
11-Feb-13,2.90,3.00,2.88,2.89,40101
8-Feb-13,2.98,3.01,2.91,2.95,5721
7-Feb-13,2.92,3.00,2.91,2.91,29079
6-Feb-13,2.91,2.99,2.91,2.95,19851
5-Feb-13,2.87,3.03,2.87,2.91,30455
4-Feb-13,2.91,2.95,2.84,2.87,43913
1-Feb-13,2.88,2.96,2.86,2.87,24816
31-Jan-13,2.80,2.96,2.79,2.89,38401
30-Jan-13,2.98,2.99,2.82,2.82,60935
29-Jan-13,2.92,3.06,2.90,2.93,47074
28-Jan-13,3.08,3.09,2.86,2.94,110234
25-Jan-13,3.09,3.15,3.09,3.13,64948
24-Jan-13,3.15,3.33,3.13,3.18,78622
23-Jan-13,3.10,3.15,3.06,3.11,119742
22-Jan-13,3.10,3.15,3.05,3.10,106663
18-Jan-13,3.09,3.13,3.00,3.08,169038
17-Jan-13,2.96,3.09,2.96,3.04,240459
16-Jan-13,2.93,2.95,2.91,2.95,42495
15-Jan-13,2.95,2.95,2.92,2.95,83011
14-Jan-13,2.92,2.95,2.92,2.93,54431
11-Jan-13,2.95,2.95,2.90,2.95,41135
10-Jan-13,2.92,2.95,2.92,2.95,24547
9-Jan-13,2.93,2.95,2.92,2.95,26151
8-Jan-13,2.93,2.97,2.93,2.95,11330
7-Jan-13,2.97,2.98,2.92,2.98,68552
4-Jan-13,2.95,3.00,2.94,3.00,60406
3-Jan-13,2.96,2.99,2.92,2.95,28496
2-Jan-13,3.00,3.06,2.92,2.97,42158
31-Dec-12,2.94,3.00,2.92,2.95,34235
28-Dec-12,2.99,2.99,2.92,2.92,25146
27-Dec-12,2.96,3.04,2.96,3.00,18029
26-Dec-12,3.05,3.19,2.99,3.00,36377
24-Dec-12,3.09,3.09,2.97,2.99,32724
21-Dec-12,3.18,3.18,3.06,3.14,13213
20-Dec-12,3.06,3.19,3.05,3.18,14437
19-Dec-12,3.23,3.27,3.05,3.13,51589
18-Dec-12,3.23,3.31,3.23,3.27,18522
17-Dec-12,3.49,3.50,3.22,3.23,26294
14-Dec-12,3.43,3.51,3.35,3.49,11121
13-Dec-12,3.38,3.40,3.31,3.40,19063
