Date,Open,High,Low,Close,Volume
31-Dec-13,7.05,7.30,7.00,7.22,7910
30-Dec-13,7.19,7.26,7.06,7.26,2445
27-Dec-13,7.16,7.29,7.02,7.29,7365
26-Dec-13,7.22,7.28,7.20,7.28,2361
24-Dec-13,7.27,7.28,7.15,7.21,6580
23-Dec-13,7.25,7.30,7.12,7.28,27512
20-Dec-13,7.30,7.45,7.11,7.11,50173
19-Dec-13,7.33,7.64,7.25,7.41,20826
18-Dec-13,7.58,7.69,7.36,7.36,2572
17-Dec-13,7.58,7.72,7.39,7.44,17780
16-Dec-13,7.39,7.61,7.36,7.50,36426
13-Dec-13,7.63,7.63,7.34,7.34,522
12-Dec-13,7.45,7.71,7.42,7.56,14038
11-Dec-13,7.26,7.44,7.25,7.43,3928
10-Dec-13,7.45,7.45,7.30,7.44,6684
9-Dec-13,7.27,7.45,7.27,7.43,31485
6-Dec-13,7.49,7.49,7.28,7.43,3050
5-Dec-13,7.22,7.50,7.18,7.42,18070
4-Dec-13,7.36,7.43,7.05,7.29,39456
3-Dec-13,7.36,7.52,7.36,7.45,1830
2-Dec-13,7.57,7.57,7.39,7.39,257
29-Nov-13,7.51,7.57,7.51,7.57,225
27-Nov-13,7.19,7.62,7.19,7.49,3675
26-Nov-13,7.14,7.38,7.03,7.30,1821
25-Nov-13,7.00,7.31,6.92,7.28,12590
22-Nov-13,6.96,7.05,6.96,7.04,7480
21-Nov-13,6.97,7.04,6.90,7.02,9174
20-Nov-13,7.14,7.22,6.92,7.08,6257
19-Nov-13,7.41,7.41,7.15,7.33,3426
18-Nov-13,7.20,7.53,7.20,7.53,2265
15-Nov-13,7.27,7.27,7.19,7.19,1378
14-Nov-13,7.41,7.58,6.95,7.46,10637
13-Nov-13,7.70,7.71,7.20,7.41,16293
12-Nov-13,7.70,7.84,7.70,7.74,2008
11-Nov-13,7.75,7.85,7.56,7.69,2589
8-Nov-13,7.80,7.80,7.75,7.75,3450
7-Nov-13,7.96,7.96,7.80,7.80,7180
6-Nov-13,7.80,7.97,7.80,7.83,2596
5-Nov-13,7.80,7.91,7.76,7.78,5740
4-Nov-13,7.74,7.75,7.70,7.70,10997
1-Nov-13,7.52,7.75,7.52,7.66,9700
31-Oct-13,7.83,7.88,7.55,7.55,5291
30-Oct-13,7.75,8.00,7.73,7.76,13781
29-Oct-13,7.58,7.80,7.56,7.68,15915
28-Oct-13,7.11,7.75,7.11,7.55,35325
25-Oct-13,6.76,7.20,6.76,7.10,15506
24-Oct-13,6.78,6.81,6.74,6.81,3850
23-Oct-13,6.88,6.88,6.65,6.84,5126
22-Oct-13,6.77,6.87,6.50,6.83,8109
21-Oct-13,6.75,6.81,6.75,6.81,2000
18-Oct-13,6.75,6.76,6.60,6.75,30300
17-Oct-13,6.82,6.82,6.68,6.77,18300
16-Oct-13,6.77,6.80,6.73,6.77,95390
15-Oct-13,6.73,6.75,6.73,6.75,50100
14-Oct-13,6.87,6.91,6.71,6.75,800
11-Oct-13,6.64,6.75,6.64,6.69,14172
10-Oct-13,6.54,6.69,6.54,6.69,41600
9-Oct-13,6.61,6.61,6.44,6.53,5234
8-Oct-13,6.68,6.70,6.61,6.65,4919
7-Oct-13,6.55,6.73,6.55,6.73,50826
4-Oct-13,6.47,6.72,6.47,6.60,2100
3-Oct-13,6.50,6.53,6.50,6.53,801
2-Oct-13,6.47,6.66,6.47,6.66,602
1-Oct-13,6.89,6.89,6.63,6.73,1812
30-Sep-13,6.72,6.76,6.72,6.75,80143
27-Sep-13,6.73,6.82,6.71,6.71,4402
26-Sep-13,6.67,6.73,6.67,6.73,893
25-Sep-13,6.67,6.87,6.67,6.87,864
24-Sep-13,6.67,6.68,6.67,6.67,962
23-Sep-13,6.75,6.75,6.58,6.66,900
20-Sep-13,6.67,6.79,6.54,6.75,2186
19-Sep-13,6.59,6.80,6.50,6.80,3801
18-Sep-13,6.77,6.77,6.63,6.72,1700
17-Sep-13,6.71,6.71,6.55,6.55,3693
16-Sep-13,6.49,6.94,6.49,6.85,16424
13-Sep-13,6.59,6.65,6.45,6.45,38023
12-Sep-13,6.61,6.61,6.55,6.55,673
11-Sep-13,6.40,6.64,6.40,6.64,3758
10-Sep-13,6.65,6.65,6.50,6.54,5800
9-Sep-13,6.73,6.73,6.53,6.53,1002
6-Sep-13,6.70,6.70,6.57,6.57,800
5-Sep-13,6.73,6.75,6.55,6.75,1500
4-Sep-13,6.51,6.73,6.50,6.73,968
3-Sep-13,6.65,6.67,6.40,6.61,853
30-Aug-13,6.74,6.74,6.72,6.73,300
29-Aug-13,6.49,6.75,6.49,6.72,1150
28-Aug-13,6.47,6.60,6.41,6.41,6086
27-Aug-13,6.47,6.63,6.47,6.50,449
26-Aug-13,6.65,6.82,6.47,6.71,1900
23-Aug-13,6.68,6.80,6.60,6.60,600
22-Aug-13,6.50,6.82,6.50,6.82,200
21-Aug-13,6.53,6.53,6.50,6.50,400
19-Aug-13,6.51,6.51,6.51,6.51,100
15-Aug-13,6.59,6.86,6.59,6.86,1000
14-Aug-13,6.45,6.54,6.45,6.53,800
13-Aug-13,6.72,6.72,6.57,6.57,400
12-Aug-13,6.73,6.73,6.43,6.61,3553
9-Aug-13,6.79,6.79,6.70,6.70,350
8-Aug-13,6.68,6.80,6.48,6.80,10004
7-Aug-13,6.94,6.94,6.60,6.75,3472
6-Aug-13,6.82,6.91,6.77,6.77,1130
5-Aug-13,6.84,6.91,6.62,6.69,4630
2-Aug-13,6.90,6.91,6.90,6.91,645
1-Aug-13,6.99,7.00,6.70,6.88,1127
31-Jul-13,6.90,7.00,6.40,7.00,7000
30-Jul-13,6.78,6.90,6.60,6.90,2758
29-Jul-13,6.78,6.80,6.62,6.62,1242
26-Jul-13,6.65,6.80,6.56,6.70,9195
25-Jul-13,6.60,6.60,6.60,6.60,674
24-Jul-13,6.55,6.55,6.40,6.52,7834
23-Jul-13,6.43,6.43,6.43,6.43,100
22-Jul-13,6.60,6.60,6.60,6.60,1700
19-Jul-13,6.54,6.54,6.54,6.54,300
18-Jul-13,6.41,6.41,6.41,6.41,100
17-Jul-13,6.47,6.74,6.47,6.55,5586
16-Jul-13,6.39,6.39,6.39,6.39,100
15-Jul-13,6.40,6.50,6.37,6.37,8630
12-Jul-13,6.42,6.42,6.26,6.26,1500
11-Jul-13,6.30,6.40,6.30,6.40,6638
10-Jul-13,6.34,6.34,6.26,6.26,4497
9-Jul-13,6.31,6.37,6.28,6.37,682
8-Jul-13,6.40,6.50,6.29,6.29,4598
5-Jul-13,6.17,6.37,6.17,6.37,2800
3-Jul-13,6.28,6.28,6.26,6.26,200
2-Jul-13,6.15,6.26,6.15,6.15,1800
1-Jul-13,6.28,6.28,6.28,6.28,100
28-Jun-13,6.23,6.37,6.23,6.32,4810
27-Jun-13,6.24,6.24,6.13,6.23,2156
26-Jun-13,6.22,6.24,6.16,6.16,648
25-Jun-13,6.01,6.23,6.01,6.06,1551
24-Jun-13,6.14,6.15,6.03,6.15,663
21-Jun-13,5.95,6.17,5.95,6.17,6785
20-Jun-13,5.99,6.02,5.97,5.97,3963
19-Jun-13,5.97,6.03,5.95,6.03,5280
18-Jun-13,6.10,6.10,5.99,6.00,2860
17-Jun-13,6.12,6.12,6.06,6.08,1362
14-Jun-13,6.04,6.20,6.02,6.02,6808
13-Jun-13,6.01,6.04,6.01,6.04,563
12-Jun-13,5.95,6.03,5.93,6.03,472
11-Jun-13,6.01,6.11,5.99,6.11,2367
10-Jun-13,6.05,6.26,6.01,6.01,3218
7-Jun-13,6.27,6.27,6.03,6.03,498
6-Jun-13,6.22,6.26,6.06,6.26,867
5-Jun-13,6.07,6.33,6.00,6.27,4469
4-Jun-13,6.27,6.27,6.06,6.06,600
3-Jun-13,6.23,6.49,6.23,6.26,6090
31-May-13,6.22,6.35,6.17,6.20,201612
30-May-13,6.25,6.45,6.16,6.35,5116
29-May-13,6.01,6.12,6.00,6.11,2922
28-May-13,6.14,6.14,6.01,6.07,3400
24-May-13,6.04,6.14,6.04,6.13,3759
23-May-13,6.01,6.19,5.88,5.88,7177
22-May-13,5.91,6.19,5.91,5.92,3337
21-May-13,5.81,5.90,5.81,5.89,3933
20-May-13,5.86,5.90,5.82,5.82,1164
17-May-13,5.85,5.94,5.82,5.82,2680
16-May-13,5.84,5.98,5.82,5.98,5451
15-May-13,5.83,5.84,5.81,5.81,4050
14-May-13,5.85,5.85,5.81,5.81,7808
13-May-13,5.85,5.85,5.81,5.81,1031
10-May-13,5.87,5.87,5.81,5.81,622
9-May-13,5.80,5.80,5.73,5.73,659
8-May-13,5.72,5.87,5.72,5.86,2978
7-May-13,5.67,5.86,5.66,5.86,4251
6-May-13,5.55,5.71,5.55,5.70,1322
3-May-13,5.76,5.81,5.55,5.80,444538
2-May-13,5.85,5.96,5.73,5.88,1023
1-May-13,6.05,6.05,5.76,5.91,2806
30-Apr-13,5.90,6.17,5.86,5.97,1643
29-Apr-13,5.86,6.15,5.86,5.97,9712
26-Apr-13,6.19,6.19,5.86,5.87,5200
25-Apr-13,6.01,6.19,6.00,6.00,5972
24-Apr-13,6.05,6.24,5.94,6.00,29209
23-Apr-13,6.44,6.44,6.08,6.25,701
19-Apr-13,6.45,6.45,6.10,6.41,600
18-Apr-13,6.65,6.65,6.37,6.38,2000
17-Apr-13,6.56,6.56,6.09,6.43,1200
16-Apr-13,6.64,6.73,6.12,6.56,500
15-Apr-13,6.26,6.50,6.25,6.43,1624
12-Apr-13,6.78,6.78,6.78,6.78,350
11-Apr-13,6.50,6.79,6.50,6.79,35341
10-Apr-13,6.00,6.19,6.00,6.19,200
9-Apr-13,6.42,6.46,6.20,6.36,2603
8-Apr-13,5.65,6.48,5.60,6.24,16195
5-Apr-13,5.40,5.66,5.40,5.66,2770
4-Apr-13,5.50,5.50,5.49,5.49,4900
28-Mar-13,5.46,5.47,5.46,5.47,2900
26-Mar-13,5.50,5.50,5.41,5.47,4800
25-Mar-13,5.50,5.50,5.50,5.50,100
22-Mar-13,5.50,5.50,5.50,5.50,5000
20-Mar-13,5.50,5.50,5.50,5.50,100
18-Mar-13,5.50,5.51,5.45,5.50,2800
14-Mar-13,5.50,5.50,5.45,5.50,463
13-Mar-13,5.45,5.50,5.43,5.48,727
12-Mar-13,5.47,5.50,5.47,5.50,4865
11-Mar-13,5.50,5.51,5.40,5.40,2830
8-Mar-13,5.57,5.57,5.40,5.50,292311
7-Mar-13,5.47,5.47,5.30,5.30,1500
5-Mar-13,5.48,5.48,5.48,5.48,100
4-Mar-13,5.45,5.45,5.45,5.45,1000
28-Feb-13,5.48,5.48,5.48,5.48,200
27-Feb-13,5.37,5.37,5.37,5.37,300
26-Feb-13,5.40,5.40,5.25,5.40,10949
22-Feb-13,5.46,5.46,5.46,5.46,300
21-Feb-13,5.50,5.50,5.40,5.45,4600
20-Feb-13,5.50,5.50,5.50,5.50,8198
19-Feb-13,5.59,5.59,5.48,5.50,13100
15-Feb-13,5.60,5.60,5.50,5.50,7250
14-Feb-13,5.53,5.53,5.43,5.50,7840
13-Feb-13,5.42,5.55,5.40,5.50,49664
12-Feb-13,5.40,5.43,5.40,5.43,1800
11-Feb-13,5.40,5.40,5.40,5.40,200
8-Feb-13,5.49,5.55,5.46,5.46,8800
7-Feb-13,5.49,5.55,5.49,5.49,3942
6-Feb-13,5.49,5.50,5.49,5.50,700
5-Feb-13,5.38,5.51,5.38,5.49,20676
4-Feb-13,5.48,5.48,5.40,5.40,54836
