Date,Open,High,Low,Close,Volume
31-Dec-13,22.83,23.53,21.72,22.01,666163
30-Dec-13,22.80,23.01,22.46,22.81,137930
27-Dec-13,23.71,23.76,22.45,22.75,172762
26-Dec-13,23.46,23.76,23.22,23.50,100265
24-Dec-13,23.30,23.56,23.12,23.42,84707
23-Dec-13,22.94,23.71,22.83,23.21,263632
20-Dec-13,22.91,23.10,22.40,22.73,202926
19-Dec-13,22.61,22.95,22.53,22.80,218169
18-Dec-13,22.36,23.00,22.36,22.70,257434
17-Dec-13,22.72,22.72,21.77,22.37,140447
16-Dec-13,22.40,22.64,22.21,22.61,314613
13-Dec-13,22.19,22.74,21.87,22.35,486531
12-Dec-13,21.55,22.23,21.40,21.93,360563
11-Dec-13,21.20,21.94,20.70,21.60,370197
10-Dec-13,21.00,21.37,20.92,21.12,143020
9-Dec-13,20.94,21.39,20.74,21.07,129070
6-Dec-13,21.00,21.15,20.43,20.90,64252
5-Dec-13,20.88,21.40,20.59,20.81,68891
4-Dec-13,20.80,20.99,20.13,20.88,128459
3-Dec-13,21.48,21.51,20.07,20.92,254588
2-Dec-13,22.60,22.86,21.22,21.56,374688
29-Nov-13,22.08,22.61,21.72,22.50,84761
27-Nov-13,21.78,22.64,21.54,21.95,122792
26-Nov-13,20.93,22.15,20.71,21.82,279986
25-Nov-13,21.10,21.80,20.58,20.85,253736
22-Nov-13,19.80,21.32,19.70,20.92,383738
21-Nov-13,18.62,20.00,18.59,19.64,303663
20-Nov-13,18.32,18.80,17.95,18.73,214327
19-Nov-13,17.96,18.28,17.58,18.21,218368
18-Nov-13,18.00,18.27,17.79,17.90,177925
15-Nov-13,17.27,17.97,17.03,17.90,155488
14-Nov-13,17.33,17.42,17.02,17.30,131849
13-Nov-13,16.85,17.42,16.72,17.39,132060
12-Nov-13,17.56,17.67,16.58,17.02,202361
11-Nov-13,17.59,17.73,17.13,17.58,135582
8-Nov-13,16.83,17.66,16.83,17.57,82146
7-Nov-13,17.10,17.40,16.48,16.79,95965
6-Nov-13,18.05,18.05,16.90,17.03,148870
5-Nov-13,17.59,18.20,17.20,17.92,186611
4-Nov-13,17.59,17.80,17.29,17.59,131243
1-Nov-13,16.73,17.74,16.73,17.60,385633
31-Oct-13,16.14,17.14,16.04,16.75,269697
30-Oct-13,17.70,17.70,16.00,16.04,220894
29-Oct-13,17.75,17.88,17.39,17.70,121674
28-Oct-13,17.22,17.73,17.09,17.68,101616
25-Oct-13,17.41,17.76,16.96,17.22,242924
24-Oct-13,17.24,17.60,17.03,17.35,249258
23-Oct-13,17.39,17.98,16.86,17.25,159535
22-Oct-13,17.35,17.56,16.86,17.51,203635
21-Oct-13,18.26,18.26,17.14,17.24,275955
18-Oct-13,18.85,19.04,18.10,18.30,268990
17-Oct-13,18.78,19.12,18.20,18.70,292992
16-Oct-13,18.68,19.59,18.32,18.79,281098
15-Oct-13,19.29,19.49,18.50,18.58,453899
14-Oct-13,19.19,19.30,18.69,19.24,128886
11-Oct-13,18.62,19.27,18.46,19.26,208854
10-Oct-13,18.45,18.67,17.78,18.51,219976
9-Oct-13,18.61,18.65,17.21,18.19,456897
8-Oct-13,20.50,20.50,18.11,18.61,419325
7-Oct-13,20.77,20.99,20.16,20.62,117242
4-Oct-13,20.72,21.49,20.50,20.86,154304
3-Oct-13,20.61,21.00,19.78,20.68,193201
2-Oct-13,20.45,20.79,19.69,20.70,292188
1-Oct-13,18.86,20.69,18.69,20.52,636449
30-Sep-13,17.60,19.60,17.57,18.78,337282
27-Sep-13,17.63,17.65,17.40,17.51,56022
26-Sep-13,17.69,17.84,17.22,17.65,72037
25-Sep-13,17.55,17.88,17.32,17.50,78318
24-Sep-13,17.41,17.70,16.93,17.59,168390
23-Sep-13,17.31,17.47,16.36,17.45,235493
20-Sep-13,17.44,17.59,17.01,17.27,154204
19-Sep-13,17.82,18.00,17.24,17.40,81605
18-Sep-13,17.52,18.02,17.38,17.78,114022
17-Sep-13,17.15,17.85,17.07,17.51,160693
16-Sep-13,17.25,17.66,16.55,17.23,208093
13-Sep-13,16.84,17.57,16.53,16.97,180644
12-Sep-13,16.47,17.10,16.30,16.75,251508
11-Sep-13,15.81,16.74,15.61,16.49,195545
10-Sep-13,16.10,16.50,15.70,15.78,280151
9-Sep-13,16.67,16.67,15.96,15.99,159301
6-Sep-13,17.08,17.22,15.73,16.55,337239
5-Sep-13,17.61,17.86,17.01,17.08,98741
4-Sep-13,17.11,17.90,16.96,17.53,42371
3-Sep-13,17.50,17.50,16.92,17.04,140457
30-Aug-13,17.77,17.87,16.90,17.31,127095
29-Aug-13,17.10,18.13,17.10,17.72,85084
28-Aug-13,17.40,17.63,16.65,17.05,107924
27-Aug-13,18.00,18.31,17.38,17.40,259953
26-Aug-13,18.46,18.77,18.00,18.11,140372
23-Aug-13,18.18,18.56,17.95,18.39,75941
22-Aug-13,17.96,18.27,17.89,18.08,48715
21-Aug-13,18.40,18.55,17.93,17.95,111589
20-Aug-13,17.98,18.84,17.81,18.39,97022
19-Aug-13,18.07,18.51,17.73,17.88,98479
16-Aug-13,18.52,18.78,18.07,18.08,128366
15-Aug-13,19.11,19.41,18.61,18.62,158233
14-Aug-13,18.26,20.00,18.13,19.41,238633
13-Aug-13,18.07,18.39,17.90,18.25,218670
12-Aug-13,17.66,18.04,17.27,17.94,156750
9-Aug-13,17.63,17.92,17.14,17.43,58486
8-Aug-13,17.73,18.03,17.30,17.63,169735
7-Aug-13,18.04,18.40,17.57,17.57,90723
6-Aug-13,17.98,18.50,17.18,17.98,307534
5-Aug-13,17.71,18.41,17.50,17.88,52463
2-Aug-13,17.53,18.27,17.53,17.68,149977
1-Aug-13,18.16,18.49,17.43,17.62,123651
31-Jul-13,17.56,18.28,17.24,17.96,225544
30-Jul-13,17.39,17.66,16.76,17.54,179484
29-Jul-13,17.67,17.70,17.09,17.28,216528
26-Jul-13,17.65,17.79,17.20,17.58,84917
25-Jul-13,17.73,17.81,17.18,17.81,140017
24-Jul-13,17.96,18.15,17.64,17.81,89513
23-Jul-13,18.25,18.25,17.57,17.80,179573
22-Jul-13,18.23,18.36,17.87,18.24,147246
19-Jul-13,18.41,18.89,18.29,18.32,151407
18-Jul-13,18.75,18.97,18.31,18.42,254448
17-Jul-13,18.39,19.29,18.02,18.71,152024
16-Jul-13,18.63,18.64,18.13,18.30,106691
15-Jul-13,18.65,19.18,18.34,18.58,188627
12-Jul-13,18.83,19.39,17.86,18.75,176220
11-Jul-13,19.39,19.41,18.26,18.87,143638
10-Jul-13,18.47,18.77,18.23,18.71,132216
9-Jul-13,18.93,19.20,18.10,18.42,173586
8-Jul-13,19.28,19.61,18.66,18.93,125646
5-Jul-13,18.86,19.36,18.70,19.26,194724
3-Jul-13,19.92,20.04,18.66,18.79,241045
2-Jul-13,20.08,20.64,19.78,20.08,214447
1-Jul-13,19.79,21.14,19.65,20.16,322217
28-Jun-13,18.99,19.84,18.76,19.72,361562
27-Jun-13,19.78,20.16,18.47,19.01,514032
26-Jun-13,22.54,22.80,19.50,19.78,869462
25-Jun-13,22.80,22.80,21.84,22.37,175333
24-Jun-13,22.52,23.67,22.03,22.56,339957
21-Jun-13,21.70,22.73,21.40,22.52,344905
20-Jun-13,21.59,21.88,21.12,21.68,185658
19-Jun-13,21.70,22.26,21.50,21.74,262958
18-Jun-13,21.50,21.80,21.02,21.63,332685
17-Jun-13,20.75,21.50,20.57,21.31,309029
14-Jun-13,20.50,20.90,19.95,20.72,208585
13-Jun-13,20.25,20.40,19.37,19.86,192148
12-Jun-13,20.35,20.88,20.08,20.28,196584
11-Jun-13,19.43,20.76,19.15,20.33,358199
10-Jun-13,19.44,20.69,19.01,19.75,512171
7-Jun-13,17.90,19.65,17.50,19.26,539661
6-Jun-13,16.91,17.82,16.80,17.67,308649
5-Jun-13,16.98,17.27,16.56,16.95,101673
4-Jun-13,17.23,17.50,16.53,17.05,232634
