Date,Open,High,Low,Close,Volume
31-Dec-13,18.36,19.00,18.36,18.82,19236
30-Dec-13,18.35,18.45,18.03,18.31,6663
27-Dec-13,18.23,18.26,17.69,18.16,5877
26-Dec-13,18.12,18.19,18.12,18.15,3491
24-Dec-13,17.95,18.20,17.93,18.00,3426
23-Dec-13,17.68,17.99,17.52,17.82,7822
20-Dec-13,17.30,17.93,17.15,17.58,66044
19-Dec-13,17.93,17.93,17.33,17.33,10625
18-Dec-13,17.02,18.00,16.95,17.99,18681
17-Dec-13,16.95,17.50,16.44,17.48,17273
16-Dec-13,16.60,17.25,16.19,17.00,17771
13-Dec-13,16.20,16.56,15.90,16.54,74906
12-Dec-13,16.05,16.54,15.91,16.16,56351
11-Dec-13,16.90,16.90,16.28,16.57,7747
10-Dec-13,17.57,17.57,16.48,16.83,42450
9-Dec-13,17.29,17.45,17.00,17.41,10026
6-Dec-13,16.85,17.30,16.41,17.23,5770
5-Dec-13,17.14,17.50,16.35,16.75,9172
4-Dec-13,17.94,18.00,17.08,17.19,21922
3-Dec-13,17.97,18.25,17.52,17.78,56631
2-Dec-13,18.29,18.62,17.43,18.05,13521
29-Nov-13,18.88,18.88,17.98,18.31,8488
27-Nov-13,18.03,19.00,17.70,18.67,29363
26-Nov-13,17.45,18.20,15.69,18.00,11893
25-Nov-13,17.02,17.61,16.81,17.46,12602
22-Nov-13,17.43,17.70,16.85,17.30,13877
21-Nov-13,16.76,17.60,16.74,17.48,11411
20-Nov-13,16.85,17.09,16.64,17.09,10004
19-Nov-13,16.32,16.86,16.01,16.86,14514
18-Nov-13,16.59,16.85,16.05,16.35,11840
15-Nov-13,15.98,16.60,15.78,16.60,13530
14-Nov-13,16.31,16.63,15.78,16.03,8502
13-Nov-13,16.30,16.41,15.96,16.41,10000
12-Nov-13,16.38,16.68,15.99,16.44,10165
11-Nov-13,16.90,16.91,16.38,16.38,9850
8-Nov-13,16.13,17.05,16.13,16.96,10371
7-Nov-13,16.61,16.92,16.04,16.14,16572
6-Nov-13,16.85,17.04,16.80,16.80,6487
5-Nov-13,16.86,16.86,15.99,16.71,11235
4-Nov-13,16.82,17.23,16.54,16.64,15334
1-Nov-13,17.49,17.61,16.12,16.96,52123
31-Oct-13,18.10,18.10,17.34,17.54,11563
30-Oct-13,18.65,18.79,17.60,17.90,19166
29-Oct-13,18.58,18.98,18.58,18.76,15664
28-Oct-13,18.70,18.97,18.47,18.60,11971
25-Oct-13,18.67,18.92,17.90,18.67,13550
24-Oct-13,18.12,18.91,18.12,18.60,14234
23-Oct-13,18.41,18.41,17.92,18.33,11259
22-Oct-13,18.08,18.44,18.00,18.40,10887
21-Oct-13,17.90,18.64,17.56,18.09,19673
18-Oct-13,17.98,18.00,17.48,17.99,24796
17-Oct-13,17.82,17.93,17.46,17.83,7455
16-Oct-13,17.90,18.00,17.70,17.96,16206
15-Oct-13,17.90,18.00,17.40,17.79,9916
14-Oct-13,17.90,18.00,17.39,17.99,17974
11-Oct-13,18.00,18.01,17.50,18.00,29333
10-Oct-13,18.00,18.03,17.53,17.99,11176
9-Oct-13,17.32,18.00,17.32,17.85,14416
8-Oct-13,17.72,17.88,17.05,17.23,13292
7-Oct-13,17.90,18.05,17.43,17.60,11172
4-Oct-13,17.91,18.50,17.75,18.05,24546
3-Oct-13,18.53,18.53,17.88,18.00,7380
2-Oct-13,18.57,18.59,18.18,18.28,9948
1-Oct-13,18.66,18.85,18.28,18.64,10221
30-Sep-13,18.00,18.84,18.00,18.83,27883
27-Sep-13,17.66,18.63,17.34,18.02,9069
26-Sep-13,17.52,18.01,17.33,17.77,10527
25-Sep-13,17.45,17.55,17.03,17.55,6110
24-Sep-13,17.16,17.71,16.80,17.43,12686
23-Sep-13,16.46,17.42,16.46,17.27,12090
20-Sep-13,16.61,17.01,16.00,16.82,20769
19-Sep-13,16.84,16.84,16.26,16.62,6216
18-Sep-13,16.12,16.90,16.03,16.87,4836
17-Sep-13,16.20,16.64,15.79,16.08,8681
16-Sep-13,17.20,17.51,16.00,16.15,14741
13-Sep-13,16.00,17.28,15.84,17.15,16980
12-Sep-13,15.65,16.24,15.65,15.93,19111
11-Sep-13,16.08,16.41,15.93,15.93,5638
10-Sep-13,16.61,16.90,15.97,16.30,11912
9-Sep-13,16.21,16.80,15.96,16.53,16940
6-Sep-13,16.57,16.95,15.36,16.08,35654
5-Sep-13,16.84,16.93,16.40,16.52,10592
4-Sep-13,16.67,16.95,16.25,16.88,25715
3-Sep-13,16.52,17.07,16.25,16.62,5904
30-Aug-13,16.55,16.86,16.29,16.39,31993
29-Aug-13,16.33,16.84,16.27,16.54,17658
28-Aug-13,16.48,16.97,16.04,16.40,7611
27-Aug-13,16.48,16.77,15.39,16.50,18141
26-Aug-13,15.60,17.10,15.55,16.63,13760
23-Aug-13,16.73,17.09,16.31,16.61,9525
22-Aug-13,16.28,16.76,16.03,16.76,7120
21-Aug-13,16.28,16.94,16.27,16.33,8711
20-Aug-13,15.77,16.64,15.68,16.36,10416
19-Aug-13,16.66,16.66,15.95,16.23,7850
16-Aug-13,17.00,17.25,16.19,16.32,20770
15-Aug-13,17.18,17.75,16.71,17.12,23402
14-Aug-13,17.36,17.73,17.14,17.36,12657
13-Aug-13,17.59,17.70,17.32,17.51,5450
12-Aug-13,17.50,17.50,16.43,17.41,5118
9-Aug-13,17.48,17.97,17.48,17.75,981
8-Aug-13,18.00,18.01,17.11,17.54,8682
7-Aug-13,18.02,18.19,17.45,17.97,9744
6-Aug-13,17.78,18.50,17.68,18.21,20608
5-Aug-13,17.46,17.82,16.07,17.80,19094
2-Aug-13,17.93,17.95,16.88,17.61,29451
1-Aug-13,18.00,18.00,17.80,17.99,12917
31-Jul-13,18.00,18.06,17.80,17.98,15832
30-Jul-13,18.05,18.13,17.85,18.00,7975
29-Jul-13,17.90,18.19,17.87,17.90,3802
26-Jul-13,17.79,18.12,17.79,17.95,24233
25-Jul-13,17.92,18.00,17.83,17.96,34286
24-Jul-13,18.00,18.31,17.80,17.98,23089
23-Jul-13,18.07,18.45,17.92,18.09,56046
22-Jul-13,17.80,18.03,17.65,17.89,15559
19-Jul-13,18.03,18.25,17.71,18.10,26740
18-Jul-13,18.10,18.46,17.80,18.03,9425
17-Jul-13,17.96,18.43,17.67,18.00,13563
16-Jul-13,17.66,18.25,17.66,17.81,20454
15-Jul-13,17.14,17.78,16.87,17.58,16171
12-Jul-13,17.11,17.38,16.94,17.14,8363
11-Jul-13,17.19,17.39,17.07,17.18,13463
10-Jul-13,17.02,17.34,17.02,17.11,8179
9-Jul-13,16.96,17.44,16.22,17.08,14639
8-Jul-13,17.11,17.26,16.76,16.92,10533
5-Jul-13,17.99,17.99,17.11,17.25,11772
3-Jul-13,16.80,16.80,16.60,16.79,29167
2-Jul-13,17.10,17.10,16.42,16.80,11227
1-Jul-13,17.60,17.93,16.45,17.18,15004
28-Jun-13,17.34,18.00,16.84,18.00,418514
27-Jun-13,16.71,17.47,16.71,17.32,8346
26-Jun-13,16.15,17.24,16.15,16.73,30697
25-Jun-13,16.22,16.66,15.94,16.15,15543
24-Jun-13,16.75,16.75,16.02,16.09,56947
21-Jun-13,18.36,18.66,16.74,16.85,208743
20-Jun-13,16.50,18.62,16.50,18.40,102674
19-Jun-13,15.42,16.89,14.34,16.66,58920
18-Jun-13,13.54,15.97,13.50,15.47,51539
17-Jun-13,14.51,14.61,13.35,13.56,54721
14-Jun-13,14.45,14.67,14.00,14.34,17871
13-Jun-13,13.94,14.65,13.80,14.43,50642
12-Jun-13,14.43,14.43,12.60,14.14,38100
11-Jun-13,13.53,14.65,13.43,13.69,36131
10-Jun-13,13.70,14.31,13.45,14.17,43131
7-Jun-13,12.91,14.11,12.70,13.69,46947
6-Jun-13,12.46,13.07,12.36,12.87,139774
5-Jun-13,13.29,13.29,12.45,12.46,148787
4-Jun-13,15.48,15.48,12.82,13.28,189177
3-Jun-13,16.33,16.75,13.68,15.50,136129
31-May-13,16.07,17.51,16.07,16.35,53158
