Date,Open,High,Low,Close,Volume
31-Dec-13,17.00,17.50,16.86,17.24,181068
30-Dec-13,16.50,17.05,16.50,16.88,52461
27-Dec-13,16.29,17.22,16.26,16.39,76668
26-Dec-13,15.93,16.89,15.61,16.43,81169
24-Dec-13,15.80,15.98,15.65,15.90,47572
23-Dec-13,15.68,16.00,15.45,15.84,20460
20-Dec-13,15.40,16.11,15.37,15.45,121457
19-Dec-13,14.90,16.32,14.90,15.43,134357
18-Dec-13,15.84,16.30,15.41,15.80,106705
17-Dec-13,16.23,16.59,15.84,15.91,68086
16-Dec-13,16.49,16.80,16.08,16.33,57172
13-Dec-13,16.43,16.50,16.13,16.24,44772
12-Dec-13,15.96,16.45,15.96,16.26,89596
11-Dec-13,17.50,18.09,15.56,15.60,470523
10-Dec-13,13.74,14.50,13.74,14.05,83236
9-Dec-13,13.40,14.00,13.40,13.59,58690
6-Dec-13,12.60,13.53,12.59,13.28,102070
5-Dec-13,12.24,12.61,12.00,12.50,75064
4-Dec-13,12.00,12.90,11.90,12.13,101662
3-Dec-13,11.84,12.06,11.83,12.06,5721
2-Dec-13,11.81,12.07,11.75,11.96,17009
29-Nov-13,12.10,12.10,11.80,11.81,1650
27-Nov-13,11.99,12.08,11.80,12.07,10366
26-Nov-13,12.12,12.15,11.85,12.08,53769
25-Nov-13,12.23,12.45,11.87,12.03,36581
22-Nov-13,11.96,12.97,11.93,12.17,34039
21-Nov-13,12.16,12.16,11.51,11.84,32524
20-Nov-13,12.00,12.37,11.90,12.04,61071
19-Nov-13,12.00,12.48,11.56,11.86,55052
18-Nov-13,12.18,12.50,11.77,12.00,44244
15-Nov-13,12.09,12.67,12.00,12.05,43303
14-Nov-13,11.64,13.01,11.56,11.95,55896
13-Nov-13,11.18,11.64,11.01,11.57,27724
12-Nov-13,10.43,11.34,10.37,11.34,24006
11-Nov-13,10.78,10.78,10.38,10.38,7907
8-Nov-13,10.59,10.90,10.52,10.66,16881
7-Nov-13,10.23,10.58,10.16,10.37,35192
6-Nov-13,10.74,11.25,10.10,10.11,17510
5-Nov-13,10.45,10.63,10.17,10.20,10234
4-Nov-13,10.53,10.84,9.86,10.27,38015
1-Nov-13,10.20,10.45,8.64,9.95,86541
31-Oct-13,9.76,10.32,9.25,10.21,36060
30-Oct-13,10.36,10.47,10.01,10.16,26120
29-Oct-13,10.62,10.62,10.24,10.37,13307
28-Oct-13,10.59,10.70,10.25,10.69,35434
25-Oct-13,10.55,10.70,10.43,10.50,18891
24-Oct-13,10.70,10.97,10.51,10.56,19533
23-Oct-13,11.10,11.34,10.70,10.76,31039
22-Oct-13,10.76,11.08,10.76,11.08,30042
21-Oct-13,11.23,11.68,10.38,10.75,18151
18-Oct-13,10.90,11.58,10.65,11.15,49682
17-Oct-13,10.83,10.97,10.50,10.89,43754
16-Oct-13,10.69,11.02,10.50,10.72,35272
15-Oct-13,11.11,11.11,10.55,10.78,27429
14-Oct-13,10.81,11.18,10.66,11.04,24701
11-Oct-13,10.77,11.21,10.65,11.00,19163
10-Oct-13,10.88,11.25,10.17,10.72,83189
9-Oct-13,10.12,10.92,10.08,10.87,43848
8-Oct-13,11.84,11.90,10.00,10.88,96679
7-Oct-13,11.25,11.80,11.25,11.73,22694
4-Oct-13,11.50,11.50,11.13,11.39,50294
3-Oct-13,11.25,11.68,11.06,11.39,35323
2-Oct-13,11.20,11.66,10.92,11.35,50205
1-Oct-13,11.00,11.28,10.94,11.10,40867
30-Sep-13,11.59,11.59,10.67,11.00,185414
27-Sep-13,11.91,12.13,11.33,11.64,137263
26-Sep-13,11.88,12.34,11.55,12.02,66968
25-Sep-13,12.02,12.60,11.35,11.50,134490
24-Sep-13,11.41,12.39,11.05,11.75,208564
23-Sep-13,10.80,12.10,10.67,11.50,162657
20-Sep-13,10.82,10.87,10.10,10.78,200986
19-Sep-13,10.76,10.89,10.31,10.71,64556
18-Sep-13,10.86,11.00,10.53,10.62,73403
17-Sep-13,10.98,11.19,10.70,10.75,66278
16-Sep-13,11.39,11.53,10.58,10.94,109779
13-Sep-13,11.22,11.50,10.95,11.13,30392
12-Sep-13,11.00,11.70,10.57,11.23,94071
11-Sep-13,12.83,12.95,10.17,11.00,374063
10-Sep-13,8.29,14.10,8.29,13.00,937381
9-Sep-13,7.70,7.92,7.50,7.62,17133
6-Sep-13,7.91,8.03,7.56,7.60,134900
5-Sep-13,8.10,8.36,7.85,7.94,45832
4-Sep-13,7.89,8.36,7.61,8.01,91106
3-Sep-13,7.66,7.90,7.50,7.90,24831
30-Aug-13,7.55,7.84,7.50,7.65,11345
29-Aug-13,7.90,8.04,7.07,7.63,38105
28-Aug-13,7.75,8.00,7.67,8.00,6374
27-Aug-13,7.94,7.99,7.57,7.78,3036
26-Aug-13,8.40,8.40,7.92,7.92,17031
23-Aug-13,8.28,8.38,8.09,8.35,19619
22-Aug-13,7.65,8.05,7.51,8.01,13777
21-Aug-13,7.80,7.83,7.32,7.52,12592
20-Aug-13,7.48,7.65,7.32,7.46,44374
19-Aug-13,7.72,7.95,7.29,7.34,35373
16-Aug-13,7.53,8.40,7.29,7.79,23906
15-Aug-13,7.29,7.42,7.28,7.35,24045
14-Aug-13,7.21,7.54,7.21,7.28,83501
13-Aug-13,7.10,7.20,7.06,7.16,198559
12-Aug-13,7.16,7.25,7.01,7.19,97663
9-Aug-13,7.57,7.58,7.06,7.24,72639
8-Aug-13,7.69,7.93,7.51,7.55,26306
7-Aug-13,8.09,8.61,7.26,7.52,81482
6-Aug-13,8.40,8.84,8.00,8.00,28715
5-Aug-13,8.40,8.89,8.40,8.52,26553
2-Aug-13,8.97,8.97,8.40,8.47,41010
1-Aug-13,9.10,9.22,8.88,8.90,29594
31-Jul-13,9.26,9.26,9.00,9.11,23798
30-Jul-13,9.51,9.51,9.06,9.20,35832
29-Jul-13,9.53,9.53,9.31,9.35,25448
26-Jul-13,9.75,9.75,9.16,9.20,49354
25-Jul-13,9.51,9.64,9.22,9.28,25719
24-Jul-13,9.45,9.74,9.04,9.51,188100
23-Jul-13,9.49,9.49,9.04,9.38,159113
22-Jul-13,9.60,9.64,9.07,9.27,211665
19-Jul-13,9.53,9.53,9.15,9.44,199645
18-Jul-13,9.50,9.60,9.29,9.46,103218
17-Jul-13,9.45,9.45,9.07,9.27,24637
16-Jul-13,9.45,9.49,9.21,9.21,44707
15-Jul-13,9.05,9.40,9.04,9.35,49815
12-Jul-13,9.12,9.12,8.80,9.00,64562
11-Jul-13,9.05,9.12,8.95,9.04,55361
10-Jul-13,9.05,9.05,8.88,8.95,50709
9-Jul-13,8.92,9.03,8.90,8.93,127646
8-Jul-13,8.68,8.82,8.47,8.82,52315
5-Jul-13,8.67,8.68,8.50,8.62,40534
3-Jul-13,8.52,8.58,8.41,8.57,29183
2-Jul-13,8.30,8.53,8.11,8.47,133096
1-Jul-13,8.24,8.24,8.04,8.10,43988
28-Jun-13,8.00,8.15,8.00,8.00,61027
27-Jun-13,8.05,8.30,7.81,8.02,391640
26-Jun-13,9.90,9.90,8.06,8.06,3061871
