Date,Open,High,Low,Close,Volume
31-Dec-13,86.72,97.60,86.72,93.44,11865
30-Dec-13,89.92,89.92,84.48,87.36,6064
27-Dec-13,92.48,92.48,86.08,87.68,5386
26-Dec-13,91.20,93.44,88.64,89.92,5226
24-Dec-13,94.72,94.72,89.92,91.96,2300
23-Dec-13,95.68,96.00,91.20,92.80,5239
20-Dec-13,89.60,96.00,85.76,96.00,14738
19-Dec-13,94.40,98.24,89.28,89.60,11172
18-Dec-13,95.68,97.60,93.12,94.40,8952
17-Dec-13,95.36,101.44,91.20,96.32,15762
16-Dec-13,96.00,99.20,89.92,96.00,26506
13-Dec-13,101.76,104.64,93.44,95.04,28597
12-Dec-13,94.72,104.00,91.52,100.16,22481
11-Dec-13,95.04,100.48,91.20,94.72,27595
10-Dec-13,113.60,136.00,97.60,99.20,266357
9-Dec-13,87.36,96.00,83.80,96.00,21836
6-Dec-13,85.76,85.76,80.00,85.12,4538
5-Dec-13,82.88,86.40,80.00,82.24,9617
4-Dec-13,75.52,86.37,74.56,81.57,16009
3-Dec-13,78.08,79.36,74.88,76.48,2875
2-Dec-13,80.32,80.32,74.24,79.36,6245
29-Nov-13,76.16,80.29,74.24,76.16,3541
27-Nov-13,76.80,81.60,73.60,77.76,11703
26-Nov-13,71.68,84.16,67.84,75.84,20104
25-Nov-13,79.36,79.68,71.04,72.32,8192
22-Nov-13,77.76,82.24,75.84,78.08,11348
21-Nov-13,76.80,81.25,72.96,75.84,13073
20-Nov-13,73.92,84.80,69.12,76.16,38728
19-Nov-13,68.48,78.98,65.28,76.80,47771
18-Nov-13,73.28,73.60,67.84,69.12,22935
15-Nov-13,78.08,87.68,73.60,73.60,34080
14-Nov-13,97.28,98.88,79.36,83.52,167782
13-Nov-13,73.60,89.92,71.36,89.28,139935
12-Nov-13,57.92,73.28,56.32,68.16,51234
11-Nov-13,62.40,64.00,57.60,58.56,18025
8-Nov-13,67.84,76.48,61.76,63.36,41163
7-Nov-13,90.24,98.88,66.24,77.12,298218
6-Nov-13,51.20,67.84,51.20,61.12,38782
5-Nov-13,49.60,53.44,49.60,49.92,634
4-Nov-13,54.79,54.79,49.60,49.60,296
1-Nov-13,50.85,50.88,48.32,48.96,100
31-Oct-13,49.60,53.75,48.64,50.88,334
30-Oct-13,47.68,50.56,47.68,50.24,2035
29-Oct-13,50.24,50.24,47.04,49.28,321
28-Oct-13,48.00,50.56,47.04,48.00,1664
25-Oct-13,48.00,49.28,48.00,48.32,321
24-Oct-13,50.56,50.56,48.32,48.32,58
23-Oct-13,49.60,51.52,48.64,50.56,679
22-Oct-13,49.60,51.22,48.96,49.86,970
21-Oct-13,51.20,51.20,48.96,49.28,3014
18-Oct-13,51.89,52.48,51.84,52.16,91
17-Oct-13,50.88,52.16,50.88,51.84,765
16-Oct-13,52.80,55.68,51.52,51.84,439
15-Oct-13,51.20,59.84,51.20,52.16,5073
14-Oct-13,53.44,53.44,50.88,50.88,615
11-Oct-13,50.56,52.80,50.56,52.48,352
10-Oct-13,53.12,53.12,49.92,51.20,1540
9-Oct-13,52.48,54.08,52.16,52.80,553
8-Oct-13,53.76,53.76,52.48,53.76,1462
7-Oct-13,53.76,55.04,51.52,54.40,3774
4-Oct-13,54.40,55.36,53.44,53.76,1028
3-Oct-13,59.52,60.80,50.24,53.44,11902
2-Oct-13,57.28,61.44,56.00,59.20,25536
1-Oct-13,54.40,56.96,53.12,55.68,3841
30-Sep-13,53.12,54.40,52.80,52.80,1200
27-Sep-13,52.80,58.56,52.80,54.40,984
26-Sep-13,52.77,52.80,50.72,52.80,383
25-Sep-13,49.28,52.16,49.28,52.16,731
24-Sep-13,48.00,55.68,48.00,50.21,2886
23-Sep-13,48.96,48.96,48.00,48.00,286
20-Sep-13,49.28,49.28,48.64,49.28,277
19-Sep-13,48.32,48.96,48.00,48.38,518
18-Sep-13,50.56,50.88,48.32,48.64,774
17-Sep-13,50.56,50.56,49.95,50.49,228
16-Sep-13,50.88,50.88,49.60,50.88,365
13-Sep-13,50.24,50.88,49.92,50.88,371
12-Sep-13,49.60,51.20,49.60,50.61,324
11-Sep-13,49.60,52.48,48.64,50.88,1294
10-Sep-13,50.88,52.13,49.60,49.60,465
9-Sep-13,51.84,51.84,49.60,51.52,1070
6-Sep-13,49.60,53.76,49.60,53.76,808
5-Sep-13,49.92,51.85,49.60,49.60,608
4-Sep-13,50.24,50.88,49.60,50.24,369
3-Sep-13,51.20,52.48,49.28,49.92,451
30-Aug-13,51.20,52.48,49.60,50.88,450
29-Aug-13,51.52,52.80,51.20,51.52,197
28-Aug-13,53.12,53.76,51.52,52.16,483
27-Aug-13,53.76,53.81,51.20,52.80,259
26-Aug-13,51.20,54.72,51.20,54.08,287
23-Aug-13,53.76,53.76,51.52,51.93,218
22-Aug-13,54.40,54.40,51.52,53.12,181
21-Aug-13,54.40,55.36,54.40,54.40,1160
20-Aug-13,53.44,55.68,53.12,54.40,1311
19-Aug-13,53.76,55.04,52.83,53.12,185
16-Aug-13,53.12,55.68,53.12,53.79,1178
15-Aug-13,54.40,54.72,53.47,54.40,1924
14-Aug-13,55.04,56.96,54.40,55.04,4481
13-Aug-13,56.96,57.60,55.36,56.96,391
12-Aug-13,58.26,58.54,55.04,57.60,1216
9-Aug-13,58.27,60.16,56.96,59.20,1140
8-Aug-13,59.52,60.80,59.20,60.16,178
7-Aug-13,59.52,60.48,58.24,60.48,285
6-Aug-13,60.80,63.36,57.28,59.84,3172
5-Aug-13,57.60,64.96,57.28,59.84,18786
2-Aug-13,55.68,57.60,55.68,57.28,1111
1-Aug-13,56.64,56.64,54.40,55.04,1558
31-Jul-13,55.99,56.32,55.68,56.00,129
30-Jul-13,56.96,56.96,56.00,56.96,773
29-Jul-13,56.64,57.60,56.00,57.60,984
26-Jul-13,59.20,59.26,56.96,57.92,566
25-Jul-13,60.74,61.44,53.76,56.64,1509
24-Jul-13,60.80,60.80,58.24,60.16,323
23-Jul-13,59.52,60.16,59.52,60.16,219
22-Jul-13,60.16,60.48,59.20,59.52,3006
19-Jul-13,59.20,59.20,57.92,59.20,245
18-Jul-13,57.92,59.84,57.60,57.92,835
17-Jul-13,57.92,59.52,57.92,59.20,251
16-Jul-13,59.84,59.84,58.24,58.88,209
15-Jul-13,59.52,60.80,57.60,58.91,985
12-Jul-13,60.48,60.48,58.56,59.52,264
11-Jul-13,59.52,60.80,58.56,59.52,631
10-Jul-13,61.12,61.12,58.24,59.84,1388
9-Jul-13,61.12,61.12,57.60,57.60,2981
8-Jul-13,61.44,69.76,57.60,60.16,21379
5-Jul-13,61.12,61.76,60.16,60.80,620
3-Jul-13,61.76,62.08,60.48,62.08,129
2-Jul-13,61.12,62.40,60.16,62.08,793
1-Jul-13,62.40,62.40,60.80,61.44,785
28-Jun-13,64.32,64.32,61.44,64.00,384
27-Jun-13,64.00,64.00,63.97,64.00,100
26-Jun-13,64.32,64.32,63.04,64.00,53
25-Jun-13,62.40,64.32,62.40,64.32,62
24-Jun-13,61.76,64.64,61.76,64.64,406
21-Jun-13,62.52,64.64,62.52,63.36,213
20-Jun-13,64.00,64.64,61.76,64.32,159
19-Jun-13,64.03,64.96,63.71,64.32,696
18-Jun-13,63.68,64.96,63.68,64.00,674
17-Jun-13,65.60,65.60,63.68,64.64,239
14-Jun-13,65.28,65.28,63.36,64.64,373
13-Jun-13,63.87,65.60,63.36,65.28,2038
12-Jun-13,63.36,65.92,63.36,64.00,1051
11-Jun-13,64.32,65.28,62.69,63.71,2590
10-Jun-13,64.96,66.24,61.44,65.25,2078
7-Jun-13,64.96,65.28,63.04,64.86,2336
6-Jun-13,70.40,70.40,62.85,65.60,5061
5-Jun-13,69.76,73.28,67.84,69.12,15214
4-Jun-13,64.32,100.48,64.32,83.20,75312
3-Jun-13,61.44,64.32,61.44,64.00,655
31-May-13,62.40,64.00,62.40,63.68,400
30-May-13,60.97,62.40,60.80,62.40,1061
29-May-13,60.16,61.12,60.16,60.80,127
28-May-13,61.12,61.44,60.16,60.16,479
