Date,Open,High,Low,Close,Volume
31-Dec-13,8.14,8.14,8.14,8.14,250
30-Dec-13,8.13,8.14,7.95,7.95,4734
27-Dec-13,8.00,8.00,7.95,7.95,1820
23-Dec-13,8.05,8.12,7.95,8.12,400
19-Dec-13,8.00,8.12,7.90,8.12,702
18-Dec-13,8.01,8.11,8.01,8.11,1100
17-Dec-13,8.01,8.12,8.00,8.11,999
13-Dec-13,8.03,8.12,8.01,8.11,2100
12-Dec-13,8.03,8.13,8.03,8.13,600
10-Dec-13,8.13,8.13,8.13,8.13,400
9-Dec-13,8.14,8.14,8.00,8.13,3467
4-Dec-13,8.10,8.10,8.10,8.10,100
3-Dec-13,8.20,8.20,8.05,8.05,300
2-Dec-13,8.00,8.10,8.00,8.10,1500
29-Nov-13,8.00,8.15,8.00,8.10,1390
27-Nov-13,8.10,8.15,8.00,8.15,5500
26-Nov-13,8.26,8.26,8.15,8.15,762
25-Nov-13,8.30,8.30,8.25,8.26,850
21-Nov-13,8.30,8.32,8.30,8.32,500
20-Nov-13,8.34,8.47,8.34,8.47,1100
19-Nov-13,8.35,8.37,8.20,8.30,1400
18-Nov-13,8.45,8.50,8.28,8.28,3900
15-Nov-13,8.41,8.45,8.41,8.42,2050
14-Nov-13,8.40,8.45,8.40,8.42,3600
13-Nov-13,8.50,8.51,8.46,8.46,2600
12-Nov-13,8.52,8.52,8.52,8.52,3200
11-Nov-13,8.50,8.50,8.49,8.49,1923
8-Nov-13,8.50,8.50,8.50,8.50,922
7-Nov-13,8.50,8.51,8.46,8.50,4350
6-Nov-13,8.57,8.57,8.49,8.50,3030
5-Nov-13,8.50,8.59,8.45,8.45,2300
4-Nov-13,8.49,8.59,8.49,8.49,5300
31-Oct-13,8.68,8.68,8.68,8.68,100
30-Oct-13,8.60,8.60,8.50,8.50,200
29-Oct-13,8.50,8.50,8.50,8.50,2282
28-Oct-13,8.50,8.50,8.50,8.50,3000
25-Oct-13,8.50,8.50,8.50,8.50,1100
24-Oct-13,8.51,8.70,8.51,8.51,700
23-Oct-13,8.51,8.68,8.51,8.68,230
22-Oct-13,8.50,8.53,8.50,8.50,900
18-Oct-13,8.78,8.78,8.55,8.55,1109
17-Oct-13,8.90,8.90,8.78,8.78,51000
16-Oct-13,9.00,9.00,9.00,9.00,100
15-Oct-13,9.03,9.03,9.03,9.03,461
14-Oct-13,11.37,11.37,9.00,9.00,1011
11-Oct-13,9.39,9.39,8.79,8.79,200
9-Oct-13,7.05,7.05,7.00,7.00,4800
4-Oct-13,8.00,7.85,7.85,7.85,200
3-Oct-13,7.85,7.85,7.85,7.85,200
1-Oct-13,7.70,7.70,7.70,7.70,500
30-Sep-13,7.70,7.70,7.70,7.70,100
