Date,Open,High,Low,Close,Volume
31-Dec-13,40.50,41.20,38.50,40.00,1891
30-Dec-13,42.00,42.50,40.00,41.00,1799
27-Dec-13,43.00,44.90,41.00,41.50,901
26-Dec-13,44.90,44.90,42.00,42.00,3102
24-Dec-13,44.00,44.30,43.00,44.00,639
23-Dec-13,45.00,48.00,42.00,43.90,1751
20-Dec-13,43.10,46.50,41.50,43.10,2468
19-Dec-13,51.20,51.20,36.00,40.50,10675
18-Dec-13,58.00,58.30,44.50,51.00,8088
17-Dec-13,58.20,58.20,55.50,56.00,5250
16-Dec-13,56.40,59.00,56.20,58.80,10664
13-Dec-13,50.40,57.50,50.40,56.00,11316
12-Dec-13,47.50,50.00,47.50,50.00,8505
11-Dec-13,43.80,47.40,42.50,47.00,6484
10-Dec-13,40.50,44.60,39.80,43.80,8175
9-Dec-13,39.50,40.50,39.40,40.50,1683
6-Dec-13,38.50,39.00,36.20,38.50,1951
5-Dec-13,40.00,40.30,38.60,39.00,1972
4-Dec-13,40.40,40.40,39.20,40.10,1098
3-Dec-13,40.10,40.40,39.00,40.40,1504
2-Dec-13,38.10,40.20,38.10,40.20,973
29-Nov-13,39.90,39.90,39.00,39.00,92
27-Nov-13,39.90,40.00,38.00,39.90,2663
26-Nov-13,40.00,40.00,39.50,39.80,842
25-Nov-13,39.20,41.00,38.20,40.00,1719
22-Nov-13,39.20,39.20,38.00,39.20,833
21-Nov-13,39.50,39.50,39.00,39.40,1705
20-Nov-13,39.00,39.80,38.50,39.30,3280
19-Nov-13,36.00,37.80,36.00,37.80,824
18-Nov-13,38.40,38.50,36.00,37.90,928
15-Nov-13,35.80,38.00,35.00,38.00,1581
14-Nov-13,38.00,38.00,35.80,35.80,650
13-Nov-13,35.00,38.00,34.00,35.90,1839
12-Nov-13,32.50,38.90,30.00,33.50,1226
11-Nov-13,39.60,39.60,33.00,34.50,1958
8-Nov-13,39.00,39.80,36.00,39.60,933
7-Nov-13,40.00,40.30,40.00,40.00,358
6-Nov-13,40.20,41.00,38.00,40.40,2286
5-Nov-13,40.50,40.80,38.50,39.90,1505
4-Nov-13,41.40,41.40,37.00,40.50,809
1-Nov-13,34.00,41.50,34.00,41.50,2875
31-Oct-13,49.90,49.90,35.00,36.00,3122
30-Oct-13,39.00,41.60,39.00,40.00,2142
29-Oct-13,34.50,39.40,25.10,35.00,8328
28-Oct-13,51.00,51.90,29.00,34.50,7165
25-Oct-13,50.00,53.00,50.00,50.00,1792
24-Oct-13,50.10,55.00,50.00,52.50,2300
23-Oct-13,57.00,57.00,45.10,50.50,3095
22-Oct-13,60.90,61.20,50.50,56.50,3213
21-Oct-13,50.60,62.50,50.60,59.40,3759
18-Oct-13,60.50,72.50,42.70,54.90,13418
17-Oct-13,51.00,60.00,50.60,59.90,10503
16-Oct-13,45.00,50.10,44.60,50.10,10982
15-Oct-13,43.00,44.60,43.00,44.60,4578
14-Oct-13,41.50,42.50,40.50,42.50,3117
11-Oct-13,38.70,40.50,38.70,40.50,5580
10-Oct-13,38.20,38.70,38.00,38.70,2866
9-Oct-13,38.20,38.20,38.20,38.20,232
8-Oct-13,38.20,38.20,38.20,38.20,10
7-Oct-13,38.00,38.20,37.50,38.20,460
4-Oct-13,36.70,38.00,36.70,38.00,437
3-Oct-13,35.00,36.80,35.00,36.80,110
2-Oct-13,36.00,36.50,34.10,36.50,335
30-Sep-13,37.00,37.50,37.00,37.50,210
27-Sep-13,37.00,38.00,36.80,36.90,422
26-Sep-13,35.50,37.00,34.00,37.00,530
25-Sep-13,37.00,37.00,35.50,35.50,380
24-Sep-13,35.20,36.00,35.20,36.00,420
23-Sep-13,36.80,37.00,34.70,35.50,1240
20-Sep-13,33.00,37.00,32.90,37.00,1032
19-Sep-13,31.50,33.90,31.20,33.90,2113
18-Sep-13,30.90,32.50,30.90,31.20,90
17-Sep-13,31.00,31.00,28.60,30.90,46
16-Sep-13,31.00,31.00,28.00,31.00,125
13-Sep-13,31.00,31.00,29.00,29.90,275
12-Sep-13,30.50,31.00,30.40,31.00,180
11-Sep-13,31.20,31.20,30.00,30.50,380
10-Sep-13,30.50,31.50,29.00,31.40,644
9-Sep-13,31.50,31.50,28.00,30.90,385
6-Sep-13,29.00,32.50,27.50,30.00,1119
5-Sep-13,27.50,29.00,27.50,27.50,160
4-Sep-13,32.50,32.50,29.00,30.00,176
3-Sep-13,30.00,30.00,29.50,29.50,155
30-Aug-13,32.50,32.50,32.50,32.50,73
29-Aug-13,32.50,32.50,30.00,32.50,561
28-Aug-13,27.50,31.00,25.60,31.00,445
27-Aug-13,29.90,31.00,29.00,31.00,197
26-Aug-13,31.50,31.50,31.50,31.50,300
23-Aug-13,31.00,31.00,27.50,31.00,360
22-Aug-13,32.10,32.10,26.00,31.00,1323
21-Aug-13,23.50,32.50,23.50,32.00,4425
20-Aug-13,14.00,22.50,14.00,22.50,9226
19-Aug-13,11.00,13.00,11.00,13.00,8021
