Date,Open,High,Low,Close,Volume
31-Dec-13,25.20,25.44,23.52,24.24,99831
30-Dec-13,25.20,25.80,24.36,25.32,94129
27-Dec-13,25.08,25.56,24.60,25.32,37426
26-Dec-13,26.04,26.40,24.36,24.96,78424
24-Dec-13,25.32,26.10,25.08,26.04,31185
23-Dec-13,25.20,25.44,24.72,25.44,79198
20-Dec-13,25.32,25.56,24.72,25.08,104702
19-Dec-13,24.36,25.44,24.24,25.20,62825
18-Dec-13,24.60,24.72,23.52,24.60,71374
17-Dec-13,21.96,25.32,21.60,24.84,166450
16-Dec-13,21.96,22.44,21.48,22.20,64739
13-Dec-13,21.84,22.08,21.24,21.84,47023
12-Dec-13,21.72,22.44,21.12,21.60,82282
11-Dec-13,22.68,22.68,20.88,21.60,124044
10-Dec-13,20.88,23.04,20.76,22.80,105641
9-Dec-13,21.24,22.32,20.58,21.00,71676
6-Dec-13,22.80,22.80,21.12,21.36,97161
5-Dec-13,23.40,23.40,21.60,22.44,67856
4-Dec-13,23.64,24.00,22.80,23.40,51079
3-Dec-13,23.64,24.24,23.64,23.76,74750
2-Dec-13,24.24,24.84,23.52,23.88,74815
29-Nov-13,24.36,24.72,23.70,24.60,40175
27-Nov-13,24.84,25.08,23.40,24.00,91003
26-Nov-13,24.60,25.08,23.28,24.24,130423
25-Nov-13,25.20,25.44,24.60,24.84,53248
22-Nov-13,25.44,25.44,24.24,25.20,58322
21-Nov-13,24.24,25.56,24.24,25.38,51407
20-Nov-13,24.84,25.08,24.12,24.12,58352
19-Nov-13,26.28,26.64,24.72,24.84,58820
18-Nov-13,26.52,27.54,26.16,26.40,119453
15-Nov-13,25.68,26.28,23.40,26.28,184356
14-Nov-13,25.56,26.52,25.44,25.68,96378
13-Nov-13,26.64,27.00,25.44,25.68,60290
12-Nov-13,27.48,27.54,25.56,25.92,51635
11-Nov-13,26.64,27.48,25.80,27.36,86325
8-Nov-13,24.84,26.76,24.84,26.76,87266
7-Nov-13,26.16,27.06,22.08,24.96,411807
6-Nov-13,29.64,29.88,26.04,26.04,229348
5-Nov-13,29.16,29.64,27.24,28.32,102295
4-Nov-13,27.24,29.04,26.88,28.44,170770
1-Nov-13,27.84,29.28,25.92,27.48,358568
31-Oct-13,34.08,34.08,22.56,25.92,953241
30-Oct-13,35.64,35.64,33.90,34.08,74308
29-Oct-13,34.20,35.64,34.12,35.52,68021
28-Oct-13,36.84,37.20,33.84,34.32,134161
25-Oct-13,36.60,37.44,36.00,36.72,51752
24-Oct-13,36.12,38.16,35.88,36.48,109094
23-Oct-13,34.80,38.16,34.20,36.12,148224
22-Oct-13,32.52,35.76,32.16,35.16,236447
21-Oct-13,32.64,32.76,30.96,31.56,155275
18-Oct-13,32.40,33.96,31.80,32.52,74394
17-Oct-13,32.04,32.64,31.56,31.92,52002
16-Oct-13,31.92,33.00,31.74,32.28,72152
15-Oct-13,31.92,32.40,31.44,31.68,77500
14-Oct-13,32.16,32.28,31.38,32.16,64205
11-Oct-13,32.04,33.00,31.56,32.52,78498
10-Oct-13,31.92,32.52,31.32,32.04,159111
9-Oct-13,33.72,33.72,31.32,31.56,133644
8-Oct-13,34.80,34.92,32.88,33.24,96268
7-Oct-13,35.64,35.88,34.80,34.80,35788
4-Oct-13,34.32,35.88,34.24,35.76,32876
3-Oct-13,34.92,34.98,33.96,34.44,70514
2-Oct-13,34.92,36.24,34.80,35.04,57965
1-Oct-13,36.00,36.00,34.92,35.16,37490
30-Sep-13,35.40,36.24,34.98,36.00,51111
27-Sep-13,36.48,36.95,35.64,35.76,54266
26-Sep-13,37.08,37.68,36.12,36.84,54806
25-Sep-13,37.68,37.93,36.60,37.08,33363
24-Sep-13,36.84,37.92,36.48,37.56,40834
23-Sep-13,35.64,37.32,35.40,37.02,49515
20-Sep-13,35.28,36.36,34.80,36.36,72841
19-Sep-13,35.40,36.24,34.92,35.40,47203
18-Sep-13,34.80,36.00,33.84,35.52,56109
17-Sep-13,34.20,34.80,33.84,34.80,40431
16-Sep-13,34.68,34.92,34.32,34.44,43016
13-Sep-13,34.56,34.92,34.08,34.32,54510
12-Sep-13,36.00,36.36,34.56,34.56,87065
11-Sep-13,36.00,36.84,35.76,36.24,85187
10-Sep-13,36.00,37.08,36.00,36.12,82505
9-Sep-13,36.12,36.60,35.28,36.36,31438
6-Sep-13,34.20,37.08,34.20,36.24,74776
5-Sep-13,34.68,34.68,34.20,34.56,26126
4-Sep-13,33.72,34.80,32.76,34.68,72531
3-Sep-13,34.80,35.52,33.72,33.96,68411
30-Aug-13,35.16,35.28,34.20,34.68,43288
29-Aug-13,35.16,35.76,34.68,34.92,27094
28-Aug-13,35.28,36.00,35.04,35.10,21871
27-Aug-13,35.64,36.00,34.66,35.28,56408
26-Aug-13,35.76,36.24,35.40,36.00,54607
23-Aug-13,35.52,36.24,35.52,35.64,48347
22-Aug-13,36.00,36.48,35.52,35.76,27838
21-Aug-13,35.88,36.36,35.16,36.00,46711
20-Aug-13,35.40,36.12,34.68,36.12,67782
19-Aug-13,35.76,36.48,35.40,35.40,54991
16-Aug-13,36.12,36.84,35.76,36.00,45368
15-Aug-13,38.76,39.60,35.40,36.12,174731
14-Aug-13,40.20,40.68,39.00,39.96,33796
13-Aug-13,40.80,40.80,39.96,40.08,30030
12-Aug-13,41.40,41.88,40.08,40.32,73298
9-Aug-13,42.24,42.84,41.52,41.52,30642
8-Aug-13,43.80,43.80,42.42,42.60,32552
7-Aug-13,42.84,43.68,41.52,43.56,45071
6-Aug-13,42.96,43.20,42.12,42.96,25954
5-Aug-13,43.20,43.32,42.60,43.32,30006
2-Aug-13,42.84,43.08,42.36,42.60,34968
1-Aug-13,42.84,43.44,42.60,43.32,29759
31-Jul-13,42.72,42.96,41.88,42.60,57079
30-Jul-13,43.92,43.92,42.12,42.72,71511
29-Jul-13,41.76,44.40,41.64,43.56,81061
26-Jul-13,41.40,42.36,40.92,41.52,80849
25-Jul-13,39.96,41.64,39.60,41.28,44532
24-Jul-13,41.52,41.88,39.72,39.96,30793
23-Jul-13,40.56,40.80,39.48,40.44,37714
22-Jul-13,41.88,42.66,38.52,40.20,177652
19-Jul-13,40.44,41.88,40.20,41.52,78384
18-Jul-13,40.92,41.04,39.84,40.20,42488
17-Jul-13,40.44,40.56,39.00,40.08,26733
16-Jul-13,37.56,40.80,37.56,40.20,88718
15-Jul-13,36.60,37.80,36.24,37.56,28775
12-Jul-13,36.12,36.84,36.12,36.72,16066
11-Jul-13,37.08,37.08,36.12,36.24,36597
10-Jul-13,36.60,36.96,36.36,36.60,22233
9-Jul-13,36.60,36.96,36.24,36.84,24407
8-Jul-13,37.08,37.08,35.64,36.48,63769
5-Jul-13,38.16,38.16,36.00,36.48,47315
3-Jul-13,36.84,37.32,36.12,37.32,20942
2-Jul-13,36.72,36.90,36.12,36.72,26679
1-Jul-13,35.64,37.80,34.92,36.84,48032
28-Jun-13,36.24,36.60,35.40,35.52,76680
27-Jun-13,35.88,36.36,35.40,36.24,30050
26-Jun-13,36.60,36.72,35.28,35.88,34462
25-Jun-13,36.60,36.60,34.98,36.24,37378
24-Jun-13,36.36,36.72,34.56,36.36,34977
21-Jun-13,36.00,36.96,34.86,36.60,51991
20-Jun-13,37.32,38.28,35.04,35.76,95192
19-Jun-13,38.88,39.06,37.56,37.92,34470
18-Jun-13,39.12,39.36,38.16,38.76,41532
17-Jun-13,40.56,40.68,38.05,38.88,45783
14-Jun-13,40.20,41.16,40.20,40.32,28054
13-Jun-13,40.68,41.40,40.20,41.04,18460
12-Jun-13,41.76,41.88,40.44,40.80,11229
11-Jun-13,41.16,42.00,40.20,41.52,28444
10-Jun-13,41.04,41.88,40.82,41.64,13870
7-Jun-13,41.40,41.88,40.32,41.76,28071
