Date,Open,High,Low,Close,Volume
31-Dec-13,163.81,164.49,163.70,164.07,12317
30-Dec-13,163.60,163.63,163.02,163.62,16489
27-Dec-13,163.96,164.14,163.42,163.67,21440
26-Dec-13,163.89,163.96,163.82,163.96,16132
24-Dec-13,163.49,163.91,163.00,163.43,9255
23-Dec-13,169.02,169.03,161.70,163.10,43034
20-Dec-13,160.09,161.83,160.08,161.74,10805
19-Dec-13,160.53,160.53,159.65,160.27,17570
18-Dec-13,158.99,160.57,157.28,160.52,13856
17-Dec-13,159.12,159.34,158.02,158.96,12385
16-Dec-13,158.68,159.46,158.40,159.10,8141
13-Dec-13,158.49,158.49,157.70,157.78,13874
12-Dec-13,158.18,158.32,157.32,158.30,12316
11-Dec-13,160.38,160.38,157.71,158.18,33494
10-Dec-13,160.48,160.77,160.20,160.40,9566
9-Dec-13,161.16,162.60,160.39,160.67,13652
6-Dec-13,160.38,160.62,159.58,160.42,10483
5-Dec-13,159.44,159.44,158.71,159.41,4803
4-Dec-13,158.90,159.68,158.11,159.24,12550
3-Dec-13,159.57,159.87,158.67,158.98,6861
2-Dec-13,160.52,160.52,159.55,159.55,7957
29-Nov-13,160.21,160.64,159.00,160.40,8662
27-Nov-13,158.96,159.70,158.57,159.70,10327
26-Nov-13,157.81,158.91,157.71,158.55,5908
25-Nov-13,158.01,158.08,157.48,157.71,5815
22-Nov-13,156.71,157.46,156.71,157.46,6240
21-Nov-13,155.36,156.61,155.36,156.30,4206
20-Nov-13,155.27,155.75,154.29,154.82,7959
19-Nov-13,155.79,156.26,154.71,155.12,10159
18-Nov-13,158.42,158.42,155.27,155.37,26103
15-Nov-13,156.88,157.16,156.50,157.15,7525
14-Nov-13,156.25,156.76,155.85,156.48,18263
13-Nov-13,153.64,155.73,153.64,155.67,8497
12-Nov-13,154.13,154.58,153.80,154.33,7165
11-Nov-13,154.43,154.68,153.78,154.59,6328
8-Nov-13,152.09,154.32,152.09,154.32,18321
7-Nov-13,155.19,155.19,151.86,152.10,18685
6-Nov-13,155.84,155.86,154.69,154.98,4723
5-Nov-13,154.76,155.59,154.55,155.17,7620
4-Nov-13,155.50,155.57,154.46,154.91,26346
1-Nov-13,155.48,155.53,153.78,154.50,13446
31-Oct-13,154.80,155.43,154.04,154.45,12411
30-Oct-13,156.17,156.24,154.16,155.00,16721
29-Oct-13,155.80,155.82,155.26,155.68,4846
28-Oct-13,155.54,155.59,154.70,155.00,15278
25-Oct-13,155.73,156.38,154.91,155.15,11250
24-Oct-13,154.15,154.96,154.00,154.79,18307
23-Oct-13,154.41,154.41,153.11,153.89,16374
22-Oct-13,154.93,155.25,154.10,154.64,16398
21-Oct-13,154.79,156.27,153.98,154.40,19771
18-Oct-13,153.28,154.40,152.67,153.89,41093
17-Oct-13,150.67,152.17,150.38,152.17,24948
16-Oct-13,149.50,151.14,149.50,151.10,10657
15-Oct-13,149.99,150.59,149.21,149.46,27442
14-Oct-13,148.51,150.25,148.05,150.14,18979
11-Oct-13,147.76,149.24,147.76,149.06,32502
10-Oct-13,145.98,148.05,145.98,147.67,22774
9-Oct-13,145.35,145.35,143.47,144.38,41142
