Date,Open,High,Low,Close,Volume
31-Dec-13,12.70,12.70,12.67,12.67,1979
30-Dec-13,12.84,12.84,12.70,12.74,2264
27-Dec-13,12.70,12.90,12.66,12.74,7640
26-Dec-13,12.71,12.75,12.67,12.69,1876
24-Dec-13,12.77,12.77,12.75,12.75,241
23-Dec-13,12.75,12.75,12.75,12.75,1664
20-Dec-13,12.71,12.91,12.65,12.65,2033
19-Dec-13,12.75,12.75,12.66,12.66,1392
18-Dec-13,13.00,13.00,12.98,13.00,1334
17-Dec-13,12.82,12.82,12.60,12.66,2823
16-Dec-13,12.89,12.90,12.78,12.80,3256
12-Dec-13,12.58,12.75,12.56,12.75,654
11-Dec-13,12.60,12.95,12.55,12.55,11324
10-Dec-13,12.70,12.70,12.60,12.60,2152
9-Dec-13,12.80,12.84,12.70,12.70,3776
6-Dec-13,12.80,12.80,12.80,12.80,1500
4-Dec-13,12.84,12.84,12.63,12.75,3385
3-Dec-13,12.90,12.90,12.90,12.90,200
2-Dec-13,12.81,12.99,12.80,12.80,2127
29-Nov-13,12.83,12.90,12.83,12.90,11853
27-Nov-13,12.85,12.85,12.85,12.85,100
26-Nov-13,12.90,12.90,12.90,12.90,100
25-Nov-13,12.86,12.94,12.86,12.94,405
22-Nov-13,12.93,12.93,12.93,12.93,100
21-Nov-13,13.00,13.00,12.88,12.88,1233
20-Nov-13,12.98,13.00,12.98,13.00,200
19-Nov-13,12.90,12.99,12.75,12.99,800
18-Nov-13,12.90,13.00,12.90,13.00,2384
15-Nov-13,12.85,13.00,12.76,13.00,1201
14-Nov-13,12.75,12.94,12.75,12.94,602
13-Nov-13,12.75,12.75,12.75,12.75,271
12-Nov-13,12.53,12.89,12.53,12.89,200
8-Nov-13,12.90,12.90,12.75,12.75,2035
7-Nov-13,12.94,12.94,12.50,12.90,2216
6-Nov-13,12.95,12.95,12.95,12.95,765
5-Nov-13,12.92,12.97,12.92,12.97,1500
4-Nov-13,12.92,12.92,12.92,12.92,851
1-Nov-13,13.00,13.00,12.95,12.95,1300
30-Oct-13,13.00,13.00,13.00,13.00,700
29-Oct-13,13.00,13.00,13.00,13.00,200
28-Oct-13,13.00,13.00,12.99,12.99,1963
25-Oct-13,12.94,13.00,12.94,13.00,1845
24-Oct-13,12.91,13.00,12.91,13.00,2000
23-Oct-13,13.00,13.00,12.81,13.00,8445
22-Oct-13,12.99,13.05,12.85,12.99,52405
21-Oct-13,12.95,12.95,12.95,12.95,700
18-Oct-13,12.54,12.98,12.54,12.95,1440
17-Oct-13,13.00,13.00,12.76,12.98,2543
16-Oct-13,12.85,13.00,12.55,12.91,6389
15-Oct-13,12.92,12.92,12.79,12.85,500
14-Oct-13,12.94,13.00,12.65,12.99,2900
11-Oct-13,12.86,12.93,12.50,12.79,8045
10-Oct-13,12.77,12.82,12.50,12.82,4178
9-Oct-13,12.82,12.93,12.52,12.83,3039
8-Oct-13,13.05,13.05,12.70,13.00,3712
7-Oct-13,13.07,13.18,12.96,13.05,3313
4-Oct-13,13.19,13.19,13.10,13.10,600
3-Oct-13,13.40,13.40,13.05,13.25,2900
2-Oct-13,13.31,13.39,13.31,13.31,425
1-Oct-13,13.39,13.39,13.39,13.39,500
30-Sep-13,13.24,13.26,13.24,13.24,700
27-Sep-13,13.39,13.39,13.24,13.27,2252
26-Sep-13,13.40,13.40,13.35,13.35,2142
25-Sep-13,13.40,13.40,13.39,13.39,650
24-Sep-13,13.10,13.47,13.10,13.40,13479
23-Sep-13,13.15,13.25,13.11,13.11,3235
20-Sep-13,13.47,13.50,13.18,13.40,5959
19-Sep-13,13.06,13.10,13.05,13.10,5460
18-Sep-13,13.15,13.15,13.05,13.06,800
17-Sep-13,13.39,13.39,13.05,13.08,2970
16-Sep-13,13.13,13.30,13.06,13.06,1785
13-Sep-13,13.20,13.21,13.10,13.15,2505
11-Sep-13,13.15,13.15,13.05,13.05,800
10-Sep-13,13.05,13.08,12.90,12.90,8380
9-Sep-13,13.51,13.51,12.90,13.04,5875
6-Sep-13,13.22,13.49,13.16,13.41,3423
5-Sep-13,13.40,13.49,13.18,13.49,1550
4-Sep-13,13.00,13.75,12.99,13.50,5877
3-Sep-13,13.00,13.34,12.50,13.06,7240
30-Aug-13,13.10,13.15,13.00,13.15,900
29-Aug-13,13.00,13.20,13.00,13.20,1873
28-Aug-13,13.15,13.75,13.00,13.36,3158
27-Aug-13,13.69,13.69,12.50,13.50,4140
26-Aug-13,14.01,14.44,13.60,13.60,3941
