Date,Open,High,Low,Close,Volume
31-Dec-13,120.40,124.10,114.00,114.80,31814
30-Dec-13,119.40,121.30,113.10,119.90,30584
27-Dec-13,122.20,122.90,119.50,119.90,16540
26-Dec-13,121.80,124.80,120.20,121.50,28808
24-Dec-13,123.00,124.60,120.00,120.50,18928
23-Dec-13,128.50,130.49,121.95,124.20,23922
20-Dec-13,134.60,138.50,126.90,128.30,97929
19-Dec-13,133.30,138.60,130.30,134.80,19815
18-Dec-13,144.30,147.50,127.70,133.20,105103
17-Dec-13,162.10,167.20,156.60,163.80,35147
16-Dec-13,145.40,164.60,145.40,160.80,36555
13-Dec-13,146.80,147.20,139.80,145.90,9884
12-Dec-13,140.20,150.00,140.00,146.80,18677
11-Dec-13,148.40,149.90,137.74,140.00,29512
10-Dec-13,150.50,154.00,148.30,149.10,26547
9-Dec-13,171.90,171.90,143.50,150.60,60130
6-Dec-13,165.40,166.06,160.00,162.20,30646
5-Dec-13,157.00,164.90,156.40,163.60,30600
4-Dec-13,153.70,160.40,152.10,157.30,25419
3-Dec-13,152.60,161.50,150.20,153.70,29876
2-Dec-13,147.00,153.90,145.14,152.00,25633
29-Nov-13,144.20,150.20,144.00,146.70,13865
27-Nov-13,141.90,146.90,141.50,143.40,20798
26-Nov-13,137.50,145.00,135.80,141.70,19389
25-Nov-13,142.90,149.40,128.10,137.00,31750
22-Nov-13,147.50,153.40,141.50,142.20,24198
21-Nov-13,151.90,151.90,142.50,145.70,30960
20-Nov-13,131.50,154.00,131.50,152.10,70149
19-Nov-13,122.50,130.80,122.50,130.10,75888
18-Nov-13,120.30,125.70,117.30,117.50,24759
15-Nov-13,120.20,124.60,117.45,119.70,25118
14-Nov-13,131.40,135.10,118.50,120.00,34538
13-Nov-13,129.30,131.90,123.90,131.50,24492
12-Nov-13,133.00,135.00,126.50,130.70,21893
11-Nov-13,129.70,138.10,120.30,133.90,33737
8-Nov-13,133.10,142.40,128.00,129.70,25093
7-Nov-13,155.60,156.00,131.60,132.50,57690
6-Nov-13,164.30,166.80,153.10,153.50,23602
5-Nov-13,148.50,169.10,146.00,163.00,47896
4-Nov-13,150.00,153.30,145.30,148.60,18782
1-Nov-13,159.20,159.20,146.74,149.80,32919
31-Oct-13,163.70,166.08,153.50,157.40,19741
30-Oct-13,179.10,180.00,162.70,163.50,32815
29-Oct-13,177.30,186.60,173.80,179.40,58233
28-Oct-13,156.90,169.50,156.90,166.80,39076
25-Oct-13,166.20,168.40,151.20,156.90,38550
24-Oct-13,180.40,180.40,164.10,166.60,27394
23-Oct-13,188.30,191.40,172.50,176.50,22745
22-Oct-13,199.40,199.60,182.50,187.70,24400
21-Oct-13,207.50,213.25,196.50,199.40,19084
18-Oct-13,219.40,227.95,205.00,206.80,26172
17-Oct-13,218.50,222.40,216.30,219.40,8143
16-Oct-13,220.00,225.96,207.20,218.50,22334
15-Oct-13,226.40,230.80,217.00,219.60,16083
14-Oct-13,237.60,239.80,224.90,226.40,23906
11-Oct-13,246.00,249.15,237.60,239.80,17166
10-Oct-13,249.50,251.50,240.80,245.80,14560
9-Oct-13,266.40,266.40,240.60,245.10,21751
8-Oct-13,273.81,278.60,260.00,266.40,8985
7-Oct-13,288.00,292.00,273.61,277.10,7444
4-Oct-13,293.00,311.30,290.90,291.40,18170
3-Oct-13,275.10,289.90,268.80,288.10,8839
2-Oct-13,265.30,276.50,259.80,274.20,7956
1-Oct-13,263.90,273.69,263.90,267.80,8779
30-Sep-13,261.20,266.50,251.60,264.70,77000
27-Sep-13,279.90,284.75,257.50,268.80,11439
26-Sep-13,263.30,279.40,263.30,277.50,14715
25-Sep-13,245.90,264.50,242.50,262.00,17135
24-Sep-13,248.70,251.30,243.00,244.10,3227
23-Sep-13,245.00,252.00,242.00,250.10,9568
20-Sep-13,251.50,253.30,245.10,246.60,18406
19-Sep-13,249.80,253.20,247.00,251.90,6116
18-Sep-13,243.30,250.40,242.00,249.80,7452
17-Sep-13,252.60,254.00,242.00,247.40,5715
16-Sep-13,255.90,255.90,245.00,251.50,6483
