Date,Open,High,Low,Close,Volume
31-Dec-13,10.38,10.56,10.32,10.56,106930
30-Dec-13,10.20,10.33,10.08,10.26,147427
27-Dec-13,10.38,10.56,10.20,10.26,82316
26-Dec-13,10.50,10.62,10.32,10.50,87490
24-Dec-13,10.56,10.80,10.44,10.56,52633
23-Dec-13,10.92,11.04,10.44,10.56,140845
20-Dec-13,10.56,10.98,10.44,10.98,274379
19-Dec-13,10.20,11.10,10.14,10.62,176810
18-Dec-13,10.38,10.50,10.20,10.38,134767
17-Dec-13,10.44,10.56,10.38,10.38,74582
16-Dec-13,10.32,10.56,10.02,10.50,105402
13-Dec-13,10.38,10.62,10.32,10.32,52558
12-Dec-13,10.74,10.92,10.38,10.44,81283
11-Dec-13,11.46,11.46,10.71,10.74,124492
10-Dec-13,12.00,12.00,11.10,11.46,134353
9-Dec-13,11.82,12.42,11.73,12.00,97635
6-Dec-13,11.70,11.76,11.46,11.70,75480
5-Dec-13,11.46,11.76,11.46,11.64,54951
4-Dec-13,11.52,11.88,11.52,11.58,71624
3-Dec-13,11.64,11.82,11.52,11.58,52416
2-Dec-13,12.48,12.48,11.70,11.82,154302
29-Nov-13,11.82,12.36,11.58,12.18,335081
27-Nov-13,11.22,11.76,11.10,11.58,160070
26-Nov-13,10.98,11.22,10.98,11.22,57088
25-Nov-13,11.10,11.16,10.98,11.10,86076
22-Nov-13,11.10,11.10,10.92,11.10,72169
21-Nov-13,11.04,11.16,10.86,11.04,88514
20-Nov-13,11.22,11.28,11.04,11.04,53565
19-Nov-13,11.28,11.46,11.04,11.10,69475
18-Nov-13,11.70,11.82,11.28,11.28,78278
15-Nov-13,11.16,11.76,11.04,11.64,231972
14-Nov-13,10.86,11.10,10.86,11.04,56079
13-Nov-13,11.10,11.10,10.86,10.92,47062
12-Nov-13,11.28,11.40,11.10,11.28,71524
11-Nov-13,11.40,11.40,11.16,11.28,55217
8-Nov-13,11.16,11.58,11.10,11.46,63134
7-Nov-13,11.04,11.34,10.98,11.22,116630
6-Nov-13,11.52,11.70,10.86,11.28,161056
5-Nov-13,11.22,11.49,11.04,11.34,47798
