Date,Open,High,Low,Close,Volume
31-Dec-13,18.56,18.70,18.50,18.60,61294
30-Dec-13,18.40,18.58,18.36,18.50,48469
27-Dec-13,18.43,18.50,18.35,18.43,62070
26-Dec-13,18.29,18.44,18.23,18.34,61364
24-Dec-13,18.34,18.41,18.25,18.27,27945
23-Dec-13,18.24,18.34,17.91,18.31,82737
20-Dec-13,17.64,18.24,17.55,18.18,266581
19-Dec-13,17.31,17.52,17.27,17.48,59160
18-Dec-13,17.21,17.50,17.20,17.32,55131
17-Dec-13,17.55,17.59,17.30,17.33,62334
16-Dec-13,17.27,17.56,17.27,17.50,53827
13-Dec-13,16.85,17.42,16.85,17.14,59961
12-Dec-13,16.99,16.99,16.78,16.86,111800
11-Dec-13,16.61,17.11,16.61,17.07,116624
10-Dec-13,16.35,16.56,16.35,16.54,129917
9-Dec-13,16.42,16.56,16.35,16.35,65388
6-Dec-13,16.69,16.69,16.45,16.46,82393
5-Dec-13,16.59,16.62,16.35,16.46,59004
4-Dec-13,16.52,16.73,16.38,16.58,94757
3-Dec-13,16.25,16.47,16.25,16.41,84054
2-Dec-13,16.23,16.34,16.14,16.31,93277
29-Nov-13,16.20,16.46,16.10,16.22,51714
27-Nov-13,16.16,16.21,16.06,16.15,52462
26-Nov-13,16.00,16.10,15.81,16.10,138677
25-Nov-13,16.11,16.16,15.91,15.99,76564
22-Nov-13,16.28,16.28,15.94,16.12,48623
21-Nov-13,16.04,16.33,15.80,16.24,54078
20-Nov-13,15.93,16.03,15.76,15.92,65610
19-Nov-13,15.85,15.96,15.75,15.92,110243
18-Nov-13,15.87,16.16,15.79,15.80,73212
15-Nov-13,15.91,15.98,15.70,15.77,165044
14-Nov-13,16.08,16.08,15.84,15.85,62618
13-Nov-13,15.99,16.19,15.86,16.19,84093
12-Nov-13,15.94,16.19,15.91,16.07,79927
11-Nov-13,16.01,16.10,15.51,16.01,78627
8-Nov-13,16.00,16.31,15.95,16.06,66823
7-Nov-13,16.14,16.36,15.97,16.00,111869
6-Nov-13,16.18,16.33,16.03,16.08,115839
5-Nov-13,15.60,16.18,15.60,16.15,172926
4-Nov-13,15.92,15.94,15.37,15.67,255674
1-Nov-13,17.50,17.50,15.75,15.87,440305
