Date,Open,High,Low,Close,Volume
31-Dec-13,3.48,3.49,3.36,3.40,10344
30-Dec-13,3.40,3.57,3.36,3.46,44952
27-Dec-13,3.35,3.40,3.35,3.39,4869
26-Dec-13,3.42,3.42,3.31,3.36,7239
24-Dec-13,3.40,3.40,3.33,3.35,1021
23-Dec-13,3.42,3.45,3.40,3.44,9812
20-Dec-13,3.40,3.47,3.40,3.45,6078
19-Dec-13,3.36,3.45,3.31,3.45,34018
18-Dec-13,3.42,3.43,3.42,3.42,4007
17-Dec-13,3.43,3.48,3.43,3.48,1618
16-Dec-13,3.37,3.43,3.37,3.43,2701
13-Dec-13,3.37,3.43,3.36,3.36,5550
12-Dec-13,3.40,3.40,3.40,3.40,390
11-Dec-13,3.32,3.45,3.31,3.42,25115
10-Dec-13,3.39,3.48,3.35,3.42,9097
9-Dec-13,3.36,3.40,3.36,3.40,2780
6-Dec-13,3.40,3.40,3.36,3.40,2800
5-Dec-13,3.40,3.40,3.40,3.40,2900
4-Dec-13,3.40,3.40,3.33,3.40,2598
3-Dec-13,3.40,3.40,3.32,3.39,5058
2-Dec-13,3.39,3.39,3.35,3.39,10700
29-Nov-13,3.35,3.39,3.30,3.39,5570
27-Nov-13,3.30,3.40,3.30,3.39,7983
26-Nov-13,3.38,3.40,3.30,3.32,8746
25-Nov-13,3.40,3.40,3.37,3.39,1700
22-Nov-13,3.29,3.39,3.29,3.34,26991
21-Nov-13,3.33,3.33,3.30,3.30,5100
20-Nov-13,3.30,3.37,3.29,3.31,2500
19-Nov-13,3.33,3.37,3.30,3.36,8017
15-Nov-13,3.37,3.38,3.37,3.37,1060
14-Nov-13,3.36,3.46,3.35,3.37,3715
13-Nov-13,3.45,3.48,3.36,3.47,16949
12-Nov-13,3.34,3.43,3.34,3.42,1216
11-Nov-13,3.37,3.45,3.37,3.40,10022
8-Nov-13,3.40,3.42,3.29,3.38,33675
7-Nov-13,3.45,3.45,3.29,3.33,15709
6-Nov-13,3.34,3.35,3.30,3.35,22600
5-Nov-13,3.31,3.38,3.31,3.38,200
4-Nov-13,3.41,3.41,3.36,3.41,400
1-Nov-13,3.40,3.42,3.35,3.42,3796
31-Oct-13,3.41,3.48,3.30,3.44,24860
30-Oct-13,3.39,3.41,3.32,3.40,23605
29-Oct-13,3.39,3.40,3.37,3.38,1841
