Date,Open,High,Low,Close,Volume
31-Dec-13,6.04,6.30,6.01,6.29,725653
30-Dec-13,6.10,6.23,5.97,6.05,1025950
27-Dec-13,6.03,6.14,5.90,6.08,373618
26-Dec-13,6.02,6.13,5.96,6.00,313214
24-Dec-13,5.97,6.06,5.92,6.01,178195
23-Dec-13,6.15,6.15,5.92,5.98,424603
20-Dec-13,5.86,6.14,5.77,6.07,1243611
19-Dec-13,5.86,5.95,5.78,5.82,542515
18-Dec-13,5.81,5.88,5.64,5.88,555452
17-Dec-13,5.91,5.91,5.75,5.79,240261
16-Dec-13,5.92,5.99,5.82,5.93,338601
13-Dec-13,5.86,6.07,5.82,5.87,312092
12-Dec-13,5.86,5.97,5.82,5.84,354568
11-Dec-13,5.94,5.97,5.81,5.85,365028
10-Dec-13,6.16,6.22,5.93,5.94,669433
9-Dec-13,6.07,6.20,6.00,6.19,774148
6-Dec-13,5.77,6.14,5.72,6.05,1020195
5-Dec-13,5.83,5.86,5.67,5.70,510728
4-Dec-13,5.75,5.92,5.75,5.83,523971
3-Dec-13,5.98,6.04,5.74,5.76,841993
2-Dec-13,6.21,6.22,5.85,5.97,939032
29-Nov-13,6.22,6.22,6.01,6.15,261471
27-Nov-13,6.17,6.25,6.00,6.17,522827
26-Nov-13,6.13,6.39,5.95,6.18,1452468
25-Nov-13,7.01,7.09,5.75,5.83,4264605
22-Nov-13,7.09,7.18,6.91,6.99,470376
21-Nov-13,6.57,7.07,6.56,7.07,575285
20-Nov-13,6.81,6.82,6.50,6.54,609907
19-Nov-13,6.93,7.05,6.72,6.80,308555
18-Nov-13,7.17,7.24,6.90,6.91,262369
15-Nov-13,6.95,7.25,6.89,7.16,505246
14-Nov-13,7.07,7.18,6.88,6.92,378020
13-Nov-13,7.10,7.21,6.96,7.08,528231
12-Nov-13,7.00,7.25,6.97,7.12,628935
11-Nov-13,6.86,7.11,6.70,7.01,775132
8-Nov-13,6.36,6.93,6.36,6.86,1195070
7-Nov-13,6.24,6.58,5.90,6.38,1756127
6-Nov-13,6.37,6.51,5.91,5.97,1121678
5-Nov-13,6.61,6.64,6.40,6.40,377125
4-Nov-13,6.31,6.65,6.25,6.62,605998
1-Nov-13,6.50,6.57,6.24,6.27,370119
31-Oct-13,6.64,6.69,6.34,6.52,486366
30-Oct-13,6.41,6.68,6.40,6.59,685767
29-Oct-13,6.31,6.45,6.29,6.36,221346
28-Oct-13,6.29,6.42,6.17,6.31,423039
25-Oct-13,6.56,6.67,6.22,6.27,426935
24-Oct-13,6.56,6.69,6.52,6.54,323878
23-Oct-13,6.41,6.56,6.36,6.56,396147
22-Oct-13,6.49,6.55,6.32,6.43,317521
21-Oct-13,6.57,6.63,6.41,6.46,509562
18-Oct-13,6.60,6.70,6.44,6.54,629581
17-Oct-13,6.45,6.67,6.31,6.55,555288
16-Oct-13,6.33,6.54,6.22,6.47,504000
15-Oct-13,6.39,6.39,6.22,6.30,292745
14-Oct-13,6.36,6.45,6.16,6.43,432055
11-Oct-13,6.13,6.40,6.12,6.40,608465
10-Oct-13,5.92,6.14,5.88,6.11,396458
9-Oct-13,5.95,6.02,5.70,5.86,437351
8-Oct-13,5.92,6.08,5.85,5.93,588290
7-Oct-13,5.81,5.94,5.72,5.85,211314
4-Oct-13,5.90,6.10,5.82,5.85,312775
3-Oct-13,6.05,6.20,5.85,5.86,429866
2-Oct-13,6.12,6.23,6.05,6.06,467076
1-Oct-13,6.00,6.24,5.99,6.15,396675
30-Sep-13,6.11,6.20,5.99,6.01,391296
27-Sep-13,6.10,6.21,6.02,6.16,230649
26-Sep-13,6.00,6.17,5.98,6.16,234800
25-Sep-13,6.11,6.30,5.97,5.98,377854
24-Sep-13,6.18,6.20,6.04,6.11,458863
23-Sep-13,6.27,6.42,6.17,6.21,519084
20-Sep-13,6.45,6.46,6.18,6.27,710044
19-Sep-13,6.11,6.43,5.99,6.41,1054377
18-Sep-13,5.66,5.80,5.51,5.76,343598
17-Sep-13,5.55,5.72,5.55,5.68,396051
16-Sep-13,5.77,5.97,5.51,5.55,412837
13-Sep-13,5.42,5.72,5.42,5.72,878609
12-Sep-13,5.51,5.51,5.32,5.40,655209
11-Sep-13,5.29,5.56,5.18,5.54,773034
10-Sep-13,5.18,5.31,5.16,5.29,427996
9-Sep-13,5.16,5.22,5.09,5.18,572681
6-Sep-13,5.20,5.29,5.15,5.17,359543
5-Sep-13,4.88,5.21,4.88,5.16,477156
4-Sep-13,4.95,5.03,4.88,4.89,280615
3-Sep-13,4.83,5.02,4.80,4.93,381578
30-Aug-13,4.81,4.88,4.75,4.78,241620
29-Aug-13,4.90,4.99,4.83,4.84,308188
28-Aug-13,5.00,5.09,4.67,4.81,598710
27-Aug-13,5.02,5.13,4.98,5.02,260829
26-Aug-13,5.21,5.22,4.99,5.06,707675
23-Aug-13,5.30,5.39,5.14,5.21,332894
22-Aug-13,5.25,5.31,5.19,5.26,260787
21-Aug-13,5.30,5.38,5.14,5.23,440977
20-Aug-13,5.29,5.56,5.20,5.33,716594
19-Aug-13,5.14,5.40,5.10,5.30,495596
16-Aug-13,5.34,5.35,5.09,5.13,991106
15-Aug-13,4.89,5.35,4.86,5.33,1100402
14-Aug-13,4.96,5.00,4.87,4.94,407023
13-Aug-13,4.96,5.07,4.84,4.94,509511
12-Aug-13,4.77,5.03,4.76,4.95,578982
9-Aug-13,4.88,5.00,4.75,4.79,510320
8-Aug-13,4.69,5.05,4.50,4.87,2288291
7-Aug-13,4.40,4.44,4.17,4.25,630294
6-Aug-13,4.45,4.52,4.40,4.42,241475
5-Aug-13,4.39,4.46,4.35,4.42,276540
2-Aug-13,4.34,4.42,4.26,4.38,402150
1-Aug-13,4.49,4.50,4.37,4.40,268546
31-Jul-13,4.44,4.49,4.40,4.43,405688
30-Jul-13,4.53,4.53,4.37,4.44,450294
29-Jul-13,4.61,4.64,4.50,4.50,452989
26-Jul-13,4.67,4.74,4.56,4.63,476427
25-Jul-13,4.71,4.77,4.60,4.72,292349
24-Jul-13,4.89,4.89,4.68,4.71,762911
23-Jul-13,5.00,5.02,4.86,4.87,367819
22-Jul-13,5.12,5.12,4.98,5.00,348198
