Date,Open,High,Low,Close,Volume
31-Dec-13,5.68,5.85,5.60,5.63,20181
30-Dec-13,5.63,5.85,5.61,5.69,48925
27-Dec-13,5.71,5.71,5.66,5.69,6652
26-Dec-13,5.89,5.91,5.71,5.73,20964
24-Dec-13,5.91,6.04,5.61,5.82,15595
23-Dec-13,5.63,5.93,5.56,5.93,40260
20-Dec-13,5.42,5.70,5.40,5.65,12826
19-Dec-13,5.78,5.89,5.27,5.40,39869
18-Dec-13,5.80,5.85,5.54,5.76,10111
17-Dec-13,5.96,6.00,5.81,5.81,11847
16-Dec-13,6.15,6.15,5.80,6.01,31262
13-Dec-13,6.23,6.26,6.03,6.12,5403
12-Dec-13,6.38,6.38,6.24,6.24,6321
11-Dec-13,6.46,6.51,6.38,6.38,4339
10-Dec-13,6.50,6.50,6.45,6.50,3100
9-Dec-13,6.63,6.63,6.45,6.55,9066
6-Dec-13,6.87,6.90,6.52,6.68,5324
5-Dec-13,6.83,6.91,6.36,6.71,34836
4-Dec-13,6.83,6.89,6.83,6.84,700
3-Dec-13,6.87,6.94,6.84,6.87,17795
2-Dec-13,6.90,6.95,6.86,6.87,22029
29-Nov-13,6.85,6.95,6.85,6.95,500
27-Nov-13,7.00,7.00,6.86,6.90,16948
26-Nov-13,7.10,7.10,6.86,6.97,14072
25-Nov-13,7.25,7.25,7.01,7.15,7935
22-Nov-13,7.10,7.25,7.06,7.12,25812
21-Nov-13,7.08,7.15,7.07,7.07,20774
20-Nov-13,7.02,7.10,7.02,7.04,8904
19-Nov-13,7.08,7.15,7.06,7.11,18389
18-Nov-13,7.32,7.32,7.01,7.15,28451
15-Nov-13,7.50,7.51,7.35,7.35,13401
14-Nov-13,7.56,7.60,7.50,7.50,4500
13-Nov-13,7.75,7.89,7.41,7.50,39837
12-Nov-13,8.10,8.25,8.00,8.05,85062
11-Nov-13,8.31,8.52,8.31,8.52,10623
8-Nov-13,8.31,8.47,8.31,8.34,3042
7-Nov-13,8.25,8.47,8.25,8.47,1753
6-Nov-13,8.25,8.25,7.87,8.25,5097
5-Nov-13,8.20,8.27,8.05,8.22,5068
4-Nov-13,8.22,8.25,8.18,8.20,2580
1-Nov-13,8.10,8.20,8.10,8.11,2600
31-Oct-13,7.90,8.18,7.90,8.16,5318
30-Oct-13,8.15,8.25,8.15,8.25,3034
29-Oct-13,8.27,8.27,8.11,8.12,2233
28-Oct-13,8.30,8.45,8.03,8.43,10933
25-Oct-13,8.36,8.40,8.01,8.38,6000
24-Oct-13,8.06,8.40,8.01,8.40,5117
23-Oct-13,8.06,8.11,8.06,8.07,2327
22-Oct-13,8.06,8.16,8.00,8.16,3057
21-Oct-13,7.92,8.40,7.90,8.06,42083
18-Oct-13,8.04,8.05,7.80,7.92,5843
17-Oct-13,8.11,8.14,8.00,8.04,8943
16-Oct-13,7.88,8.14,7.80,8.14,11940
15-Oct-13,7.80,7.96,7.80,7.81,4285
11-Oct-13,7.98,8.20,7.98,8.00,9223
10-Oct-13,7.71,7.90,7.60,7.85,6318
9-Oct-13,7.80,7.98,7.50,7.85,8730
8-Oct-13,7.72,7.72,7.45,7.64,1320
7-Oct-13,7.50,7.98,7.50,7.69,5220
4-Oct-13,7.65,7.78,7.45,7.60,2155
3-Oct-13,7.45,7.64,7.43,7.64,13275
2-Oct-13,7.49,7.49,7.40,7.45,3807
1-Oct-13,7.48,7.49,7.45,7.46,13438
30-Sep-13,7.33,7.48,7.33,7.48,7256
27-Sep-13,7.52,7.52,7.45,7.46,4938
26-Sep-13,7.50,7.61,7.42,7.61,2990
25-Sep-13,7.56,7.60,7.25,7.47,13510
24-Sep-13,7.61,7.65,7.55,7.55,6970
23-Sep-13,7.54,7.69,7.54,7.65,9017
20-Sep-13,8.13,8.13,7.55,7.55,19790
19-Sep-13,8.13,8.24,8.10,8.17,4002
18-Sep-13,8.10,8.15,8.10,8.12,1166
17-Sep-13,8.08,8.16,8.04,8.16,9917
16-Sep-13,8.20,8.23,8.01,8.13,2767
13-Sep-13,7.80,8.20,7.80,8.12,2510
12-Sep-13,8.06,8.22,8.01,8.20,15622
11-Sep-13,8.24,8.24,8.06,8.10,7136
10-Sep-13,8.23,8.40,8.21,8.40,8670
9-Sep-13,8.20,8.48,8.20,8.37,6096
6-Sep-13,8.06,8.20,8.04,8.20,3731
5-Sep-13,8.02,8.10,8.01,8.10,4245
4-Sep-13,8.01,8.19,8.01,8.19,3513
3-Sep-13,8.11,8.20,7.85,8.00,8419
30-Aug-13,8.11,8.14,8.11,8.11,1179
29-Aug-13,8.14,8.40,8.12,8.13,6752
28-Aug-13,8.05,8.08,8.05,8.08,666
27-Aug-13,8.11,8.11,8.05,8.05,2740
26-Aug-13,8.36,8.37,8.05,8.10,4860
23-Aug-13,8.35,8.40,8.35,8.36,3935
21-Aug-13,8.42,8.49,8.36,8.36,6580
20-Aug-13,8.35,8.44,8.35,8.39,7830
19-Aug-13,8.38,8.42,8.35,8.39,10220
16-Aug-13,8.67,8.75,8.35,8.40,36740
15-Aug-13,8.76,8.87,8.70,8.71,10075
14-Aug-13,8.75,8.80,8.60,8.74,20288
13-Aug-13,8.91,8.98,8.60,8.69,17373
12-Aug-13,9.25,9.94,8.75,9.07,42016
9-Aug-13,10.20,10.45,9.10,9.16,78464
8-Aug-13,9.00,10.75,8.90,10.20,317427
7-Aug-13,8.79,9.00,8.78,8.78,13520
6-Aug-13,8.84,8.90,8.78,8.80,32189
5-Aug-13,8.81,8.84,8.80,8.81,12098
2-Aug-13,8.80,8.85,8.78,8.84,6980
1-Aug-13,8.73,8.84,8.73,8.84,2417
31-Jul-13,8.82,9.00,8.78,8.80,15697
30-Jul-13,8.81,8.82,8.81,8.82,700
29-Jul-13,8.80,9.00,8.80,8.81,2104
26-Jul-13,8.90,9.00,8.79,8.89,1664
25-Jul-13,8.93,9.00,8.80,8.81,2170
24-Jul-13,8.83,8.99,8.78,8.99,4990
23-Jul-13,8.83,8.94,8.83,8.83,3344
22-Jul-13,8.77,8.94,8.77,8.84,7969
19-Jul-13,8.70,8.90,8.70,8.77,2126
18-Jul-13,8.78,8.91,8.70,8.71,4424
17-Jul-13,8.70,8.86,8.70,8.78,1300
16-Jul-13,8.70,8.75,8.66,8.70,15171
15-Jul-13,8.66,8.87,8.66,8.67,10507
12-Jul-13,8.63,8.75,8.63,8.66,6000
11-Jul-13,8.65,8.85,8.61,8.85,13260
10-Jul-13,8.74,8.75,8.30,8.61,11522
9-Jul-13,8.70,8.79,8.70,8.78,4512
8-Jul-13,8.70,8.76,8.70,8.70,9061
5-Jul-13,8.73,8.85,8.73,8.76,2700
3-Jul-13,8.90,8.96,8.78,8.78,2524
2-Jul-13,9.17,9.18,8.96,8.98,29343
1-Jul-13,9.15,9.29,9.15,9.19,5516
28-Jun-13,9.26,9.30,9.16,9.16,14426
27-Jun-13,9.25,9.25,9.20,9.20,4200
26-Jun-13,9.26,9.29,9.24,9.25,2060
25-Jun-13,9.45,9.50,9.30,9.35,10650
24-Jun-13,9.15,9.50,9.15,9.33,2558
21-Jun-13,9.60,12.50,9.16,9.38,71606
20-Jun-13,9.57,9.99,9.48,9.80,2854
19-Jun-13,9.50,9.63,9.25,9.28,20939
18-Jun-13,9.51,9.66,9.50,9.65,7657
17-Jun-13,9.91,9.91,9.44,9.81,18135
14-Jun-13,9.91,10.20,9.91,10.15,2492
13-Jun-13,10.50,10.50,9.83,10.05,5480
12-Jun-13,10.98,10.98,10.20,10.50,5960
11-Jun-13,9.67,10.99,9.35,10.86,12812
10-Jun-13,10.35,10.35,9.76,9.78,5446
7-Jun-13,10.66,10.66,10.01,10.28,3675
6-Jun-13,11.37,11.37,10.70,10.73,3391
5-Jun-13,11.00,11.74,10.72,11.47,28533
4-Jun-13,10.60,11.05,10.20,11.00,26699
3-Jun-13,9.73,10.52,9.65,10.25,10692
31-May-13,9.14,10.00,8.70,9.98,25512
30-May-13,10.80,10.80,9.00,9.62,35942
29-May-13,12.00,12.00,10.56,10.80,6604
28-May-13,12.50,14.95,10.51,11.91,11004
