Date,Open,High,Low,Close,Volume
31-Dec-13,17.45,17.46,17.26,17.34,18516
30-Dec-13,17.35,17.42,17.20,17.38,26414
27-Dec-13,17.40,17.42,17.22,17.33,24123
26-Dec-13,17.38,17.42,17.20,17.41,44619
24-Dec-13,17.20,17.33,17.20,17.29,9169
23-Dec-13,17.32,17.35,17.00,17.24,47644
20-Dec-13,16.93,17.28,16.81,17.03,35549
19-Dec-13,17.05,17.07,16.98,17.01,34964
18-Dec-13,16.83,17.35,16.75,16.98,57336
17-Dec-13,16.81,17.01,16.56,16.95,33785
16-Dec-13,17.09,17.30,16.80,16.92,58830
13-Dec-13,17.10,17.45,16.88,17.08,89683
12-Dec-13,17.35,17.62,16.95,16.98,189207
11-Dec-13,17.13,17.70,17.00,17.45,149019
10-Dec-13,17.11,17.24,17.07,17.13,49288
9-Dec-13,17.10,17.18,17.00,17.00,55779
6-Dec-13,17.09,17.25,16.98,17.02,30353
5-Dec-13,17.10,17.12,16.95,17.07,26270
4-Dec-13,16.88,17.17,16.87,16.96,61598
3-Dec-13,16.91,17.23,16.71,16.80,56623
2-Dec-13,17.30,17.68,17.00,17.00,221730
29-Nov-13,16.85,17.27,16.85,17.09,48872
27-Nov-13,16.29,16.90,16.27,16.80,137553
26-Nov-13,15.96,16.10,15.95,16.10,24083
25-Nov-13,15.96,15.96,15.90,15.95,14132
22-Nov-13,15.95,15.96,15.90,15.96,14748
21-Nov-13,15.88,15.95,15.77,15.93,20593
20-Nov-13,15.93,15.93,15.76,15.86,10969
19-Nov-13,15.98,15.98,15.80,15.84,19829
18-Nov-13,16.00,16.00,15.88,15.97,14490
15-Nov-13,15.98,16.00,15.71,16.00,21347
14-Nov-13,15.85,15.98,15.85,15.94,15005
13-Nov-13,15.65,15.81,15.65,15.79,20082
12-Nov-13,15.80,15.86,15.64,15.69,28941
11-Nov-13,15.80,16.00,15.66,15.99,27564
8-Nov-13,15.65,15.99,15.63,15.82,16933
7-Nov-13,16.00,16.00,15.66,15.69,8604
6-Nov-13,15.90,15.90,15.65,15.90,30575
5-Nov-13,15.76,16.00,15.53,15.77,82529
4-Nov-13,15.61,15.76,15.54,15.76,85087
1-Nov-13,15.53,15.61,15.50,15.50,9740
31-Oct-13,15.59,15.64,15.50,15.50,6872
30-Oct-13,15.52,15.65,15.50,15.52,10679
29-Oct-13,15.65,15.76,15.56,15.56,32705
28-Oct-13,15.54,15.65,15.50,15.63,16370
25-Oct-13,15.52,15.68,15.50,15.59,16622
24-Oct-13,15.50,15.65,15.50,15.61,10190
23-Oct-13,15.31,15.68,15.26,15.52,23613
22-Oct-13,15.68,15.75,15.55,15.69,32237
21-Oct-13,15.60,15.76,15.59,15.68,22496
18-Oct-13,15.49,15.70,15.45,15.60,33094
17-Oct-13,15.55,15.84,15.40,15.53,55843
16-Oct-13,15.33,15.59,15.21,15.43,30334
15-Oct-13,15.29,15.35,15.21,15.26,8152
14-Oct-13,15.35,15.35,15.12,15.31,23738
11-Oct-13,15.11,15.29,15.10,15.29,10257
10-Oct-13,15.07,15.25,15.05,15.24,7968
9-Oct-13,14.92,15.34,14.91,15.25,18474
8-Oct-13,15.01,15.08,14.90,15.05,5841
7-Oct-13,15.10,15.10,14.76,14.95,49411
4-Oct-13,15.12,15.18,15.05,15.05,45199
3-Oct-13,15.14,15.47,15.12,15.17,21922
2-Oct-13,15.10,15.39,15.10,15.38,3149
1-Oct-13,15.50,15.75,15.01,15.34,90756
30-Sep-13,15.50,15.50,15.28,15.34,10336
27-Sep-13,15.32,15.50,15.32,15.44,5374
26-Sep-13,15.28,15.49,15.28,15.32,5339
25-Sep-13,15.05,15.50,14.95,15.29,32458
24-Sep-13,15.14,15.31,15.00,15.00,18999
23-Sep-13,15.25,15.25,14.95,15.05,46243
20-Sep-13,15.34,15.35,15.26,15.30,15638
19-Sep-13,15.45,15.48,14.96,15.38,59992
18-Sep-13,15.51,15.58,15.40,15.53,15020
17-Sep-13,15.84,15.84,15.52,15.60,14787
16-Sep-13,15.84,15.84,15.78,15.82,20695
13-Sep-13,15.76,15.82,15.76,15.80,7935
12-Sep-13,15.84,15.84,15.50,15.79,50910
11-Sep-13,16.06,16.20,16.06,16.08,32534
10-Sep-13,16.00,16.14,16.00,16.12,13954
9-Sep-13,16.14,16.15,15.99,16.01,20458
6-Sep-13,16.02,16.15,15.95,16.10,5141
5-Sep-13,16.03,16.15,15.95,15.95,38808
4-Sep-13,16.00,16.17,15.95,15.96,38264
3-Sep-13,15.98,16.20,15.90,15.96,33508
30-Aug-13,15.90,15.98,15.86,15.90,9468
29-Aug-13,15.90,16.00,15.85,15.85,9021
28-Aug-13,15.95,16.04,15.86,15.91,9446
27-Aug-13,15.99,16.11,15.82,15.85,24525
26-Aug-13,16.00,16.18,15.95,15.95,39305
23-Aug-13,15.98,16.19,15.91,16.07,15317
22-Aug-13,16.06,16.06,15.96,16.03,10425
21-Aug-13,15.99,16.09,15.96,16.07,37982
20-Aug-13,16.08,16.19,15.95,15.95,23927
19-Aug-13,16.00,16.09,15.98,16.03,25779
16-Aug-13,16.00,16.00,15.88,15.96,19370
15-Aug-13,16.06,16.06,15.85,15.95,14480
14-Aug-13,16.18,16.18,16.00,16.00,25429
13-Aug-13,16.07,16.18,16.06,16.08,12149
12-Aug-13,16.05,16.20,16.00,16.01,14115
9-Aug-13,16.27,16.27,16.00,16.01,8294
8-Aug-13,16.20,16.23,16.01,16.22,10724
7-Aug-13,16.12,16.14,15.91,16.13,15005
6-Aug-13,16.12,16.28,16.00,16.05,22850
5-Aug-13,16.19,16.25,16.10,16.15,20592
2-Aug-13,16.12,16.20,16.05,16.10,21920
1-Aug-13,16.17,16.35,16.05,16.05,28597
31-Jul-13,16.27,16.27,16.02,16.03,23595
30-Jul-13,16.15,16.26,16.01,16.26,33931
29-Jul-13,16.15,16.15,16.08,16.08,2912
26-Jul-13,16.10,16.27,16.05,16.24,4275
25-Jul-13,16.25,16.40,15.90,16.29,24496
24-Jul-13,16.31,16.50,16.25,16.26,9010
23-Jul-13,16.24,16.48,16.24,16.48,15762
22-Jul-13,16.26,16.50,16.25,16.40,7705
19-Jul-13,16.34,16.40,16.32,16.33,9409
18-Jul-13,16.34,16.39,16.26,16.34,10154
17-Jul-13,16.50,16.50,16.35,16.40,4505
16-Jul-13,16.18,16.40,16.17,16.40,9309
15-Jul-13,16.35,16.35,16.01,16.21,20686
12-Jul-13,16.26,16.38,16.15,16.30,16355
11-Jul-13,16.08,16.35,15.84,16.26,20714
10-Jul-13,16.07,16.35,16.07,16.26,10340
9-Jul-13,16.37,16.40,15.95,16.30,18063
8-Jul-13,16.10,16.44,16.10,16.24,14203
5-Jul-13,16.33,16.64,16.10,16.14,37224
3-Jul-13,16.29,16.72,16.29,16.30,10163
2-Jul-13,16.65,16.65,16.29,16.29,2931
1-Jul-13,16.59,16.75,16.55,16.64,20639
28-Jun-13,16.59,16.60,16.32,16.55,42516
27-Jun-13,16.24,16.39,16.15,16.37,9653
26-Jun-13,16.39,16.43,16.26,16.26,16607
25-Jun-13,15.65,16.67,15.59,16.42,45405
24-Jun-13,15.50,15.63,15.25,15.55,51582
21-Jun-13,15.72,15.87,15.52,15.69,27852
20-Jun-13,16.50,16.50,15.55,15.78,59837
19-Jun-13,16.49,16.50,16.06,16.48,16381
18-Jun-13,16.17,16.61,16.16,16.40,16520
17-Jun-13,15.95,16.45,15.95,16.17,24019
14-Jun-13,15.70,16.20,15.60,15.91,36470
13-Jun-13,16.06,16.24,15.15,15.77,90587
12-Jun-13,16.80,17.05,16.08,16.08,46264
11-Jun-13,17.10,17.35,16.95,16.97,58903
10-Jun-13,17.09,17.15,16.94,17.12,45567
7-Jun-13,17.00,17.06,16.95,16.97,17111
6-Jun-13,17.13,17.14,16.84,16.97,46338
5-Jun-13,17.19,17.19,16.91,17.05,32097
4-Jun-13,17.06,17.20,16.90,17.14,39706
3-Jun-13,16.86,17.22,16.80,16.90,22718
31-May-13,17.18,17.23,17.03,17.03,19035
30-May-13,17.06,17.23,16.76,17.14,72443
29-May-13,17.03,17.20,16.80,17.03,30531
28-May-13,17.18,17.41,16.95,16.99,69151
24-May-13,17.51,17.57,16.87,17.10,31425
23-May-13,17.37,17.67,16.80,17.33,29542
22-May-13,17.71,18.56,17.45,17.68,70252
21-May-13,17.60,17.80,17.49,17.70,62442
20-May-13,17.35,17.64,17.30,17.61,86081
17-May-13,17.15,17.35,17.05,17.32,41105
16-May-13,17.15,17.15,16.80,16.91,22351
15-May-13,17.15,17.27,17.08,17.09,142797
14-May-13,17.15,17.15,17.01,17.11,14310
13-May-13,16.90,17.15,16.85,17.10,34856
10-May-13,17.05,17.05,16.90,16.90,22512
9-May-13,17.02,17.05,16.90,16.99,27254
8-May-13,17.00,17.17,17.00,17.00,22487
7-May-13,17.10,17.13,16.87,17.00,28039
6-May-13,16.85,17.09,16.80,17.01,52607
3-May-13,16.75,16.85,16.67,16.84,17469
2-May-13,16.75,16.75,16.67,16.75,12398
