Date,Open,High,Low,Close,Volume
31-Dec-13,26.25,26.25,26.25,26.25,1290
30-Dec-13,26.19,26.20,26.19,26.20,1096
27-Dec-13,26.20,26.20,26.20,26.20,1000
23-Dec-13,26.28,26.28,26.10,26.28,2588
20-Dec-13,26.27,26.27,26.27,26.27,216
19-Dec-13,26.25,26.30,26.25,26.25,895
17-Dec-13,26.32,26.32,26.32,26.32,200
13-Dec-13,26.15,26.16,26.15,26.15,1059
11-Dec-13,26.10,26.16,26.10,26.15,10647
9-Dec-13,26.26,26.26,26.26,26.26,100
6-Dec-13,26.18,26.25,26.10,26.15,3510
4-Dec-13,26.30,26.33,26.30,26.32,1290
2-Dec-13,26.22,26.22,26.22,26.22,400
29-Nov-13,26.30,26.30,26.30,26.30,475
27-Nov-13,26.30,26.30,26.22,26.30,350
26-Nov-13,26.22,26.30,26.22,26.30,1350
25-Nov-13,26.17,26.17,26.17,26.17,100
20-Nov-13,26.29,26.29,26.29,26.29,300
19-Nov-13,26.08,26.08,26.08,26.08,9603
18-Nov-13,26.08,26.08,26.08,26.08,1043
15-Nov-13,26.03,26.13,26.03,26.13,400
13-Nov-13,26.50,26.50,26.44,26.44,300
12-Nov-13,26.08,26.50,26.08,26.50,5761
7-Nov-13,26.09,26.09,26.08,26.08,314
5-Nov-13,26.09,26.09,26.08,26.08,906
4-Nov-13,26.10,26.10,26.10,26.10,1200
1-Nov-13,26.05,26.15,26.05,26.15,1400
31-Oct-13,26.15,26.20,26.15,26.20,946
30-Oct-13,26.05,26.30,26.05,26.30,1500
29-Oct-13,26.02,26.05,26.02,26.05,800
25-Oct-13,26.10,26.15,26.10,26.15,2174
23-Oct-13,26.20,26.20,26.20,26.20,300
21-Oct-13,26.20,26.29,26.02,26.29,700
18-Oct-13,26.22,26.29,26.22,26.29,1374
16-Oct-13,26.10,26.22,26.00,26.22,1100
15-Oct-13,26.22,26.22,26.10,26.10,1700
14-Oct-13,26.25,26.25,26.25,26.25,1200
11-Oct-13,25.90,26.19,25.90,26.19,2900
3-Oct-13,26.00,26.00,26.00,26.00,400
1-Oct-13,26.05,26.05,26.05,26.05,350
30-Sep-13,26.00,26.25,26.00,26.25,1100
27-Sep-13,26.00,26.00,26.00,26.00,100
26-Sep-13,26.00,26.00,25.99,26.00,6500
24-Sep-13,25.79,26.00,25.76,26.00,900
23-Sep-13,25.85,25.85,25.85,25.85,600
20-Sep-13,26.25,26.25,26.25,26.25,600
19-Sep-13,26.00,26.04,26.00,26.04,600
18-Sep-13,26.01,26.04,26.01,26.04,599
16-Sep-13,25.78,26.05,25.78,26.00,2100
13-Sep-13,26.05,26.05,26.05,26.05,1000
12-Sep-13,26.05,26.05,26.05,26.05,500
11-Sep-13,26.00,26.00,26.00,26.00,1000
10-Sep-13,25.87,26.00,25.87,26.00,1210
6-Sep-13,26.00,26.00,26.00,26.00,1400
3-Sep-13,26.30,26.30,26.00,26.00,1800
30-Aug-13,26.00,26.00,26.00,26.00,3000
29-Aug-13,26.00,26.10,26.00,26.08,800
28-Aug-13,26.00,26.00,26.00,26.00,2100
27-Aug-13,26.02,26.02,26.02,26.02,400
23-Aug-13,26.38,26.38,26.36,26.36,300
21-Aug-13,26.00,26.24,26.00,26.20,1355
19-Aug-13,26.00,26.00,26.00,26.00,2000
16-Aug-13,26.00,26.01,26.00,26.00,8449
15-Aug-13,25.94,26.05,25.94,26.00,4845
14-Aug-13,25.95,25.95,25.95,25.95,100
12-Aug-13,26.15,26.17,26.06,26.17,3630
7-Aug-13,26.14,26.22,26.10,26.10,3001
6-Aug-13,25.96,25.96,25.96,25.96,100
5-Aug-13,25.96,25.96,25.96,25.96,100
1-Aug-13,25.95,26.00,25.95,25.95,1200
30-Jul-13,25.94,26.18,25.94,26.18,1300
29-Jul-13,26.10,26.20,26.10,26.20,1000
26-Jul-13,26.10,26.20,26.10,26.10,2800
25-Jul-13,25.94,25.94,25.94,25.94,200
23-Jul-13,25.95,26.19,25.95,26.19,3293
22-Jul-13,26.19,26.19,26.19,26.19,500
18-Jul-13,25.92,25.92,25.90,25.90,1800
17-Jul-13,26.05,26.06,26.05,26.06,566
16-Jul-13,26.20,26.28,26.06,26.06,3777
15-Jul-13,26.20,26.20,26.20,26.20,500
11-Jul-13,26.12,26.32,26.05,26.10,7768
10-Jul-13,26.12,26.12,26.12,26.12,680
5-Jul-13,26.04,26.08,26.02,26.07,2028
2-Jul-13,26.02,26.02,26.02,26.02,1000
1-Jul-13,26.01,26.01,26.01,26.01,146
28-Jun-13,26.00,26.00,25.90,26.00,2400
27-Jun-13,26.00,26.00,25.99,25.99,2100
25-Jun-13,26.00,26.00,26.00,26.00,192
24-Jun-13,25.75,26.33,25.75,26.00,1300
21-Jun-13,26.23,26.23,25.85,25.85,650
20-Jun-13,25.75,26.00,25.75,25.85,4000
19-Jun-13,25.91,26.00,25.91,26.00,2720
18-Jun-13,26.10,26.19,25.91,25.91,2450
17-Jun-13,25.95,26.00,25.95,26.00,2400
14-Jun-13,25.95,25.95,25.72,25.95,7679
13-Jun-13,25.99,25.99,25.99,25.99,2335
12-Jun-13,26.17,26.17,26.00,26.04,8032
11-Jun-13,26.15,26.15,26.15,26.15,200
10-Jun-13,26.15,26.15,26.15,26.15,1100
7-Jun-13,26.18,26.18,26.15,26.18,505
6-Jun-13,26.22,26.22,26.00,26.00,435
5-Jun-13,26.16,26.16,26.13,26.13,800
4-Jun-13,26.03,26.39,26.03,26.39,2119
3-Jun-13,26.21,26.21,26.03,26.03,7402
31-May-13,26.34,26.35,26.20,26.20,3632
30-May-13,26.12,26.35,26.12,26.35,5268
29-May-13,26.15,26.20,26.03,26.11,5088
28-May-13,26.35,26.35,26.14,26.14,3900
24-May-13,26.14,26.14,26.14,26.14,1000
23-May-13,26.30,26.30,26.30,26.30,1000
22-May-13,26.55,26.55,26.30,26.30,2900
21-May-13,26.55,26.55,26.50,26.52,5450
20-May-13,26.22,26.50,25.90,26.48,12200
17-May-13,26.45,26.62,26.45,26.62,1500
16-May-13,26.65,26.66,26.45,26.45,5400
15-May-13,26.72,26.72,26.61,26.65,6009
14-May-13,26.67,26.67,26.58,26.61,1520
13-May-13,26.75,26.75,26.75,26.75,500
10-May-13,26.51,26.51,26.51,26.51,500
8-May-13,26.36,26.36,26.34,26.34,601
