Date,Open,High,Low,Close,Volume
31-Dec-13,10.71,10.83,10.70,10.79,26356
30-Dec-13,10.83,10.83,10.58,10.70,8112
27-Dec-13,10.80,10.84,10.80,10.82,52850
26-Dec-13,10.80,10.84,10.80,10.84,58248
24-Dec-13,10.80,10.84,10.80,10.84,23152
23-Dec-13,10.80,10.83,10.80,10.80,8504
20-Dec-13,10.76,10.84,10.75,10.81,25551
19-Dec-13,10.76,10.79,10.75,10.75,8946
18-Dec-13,10.70,10.82,10.70,10.76,73669
17-Dec-13,10.74,10.74,10.71,10.71,2663
16-Dec-13,10.65,10.73,10.65,10.72,130827
12-Dec-13,10.62,10.68,10.62,10.63,7115
11-Dec-13,10.60,10.74,10.59,10.68,12872
10-Dec-13,10.58,10.75,10.54,10.60,44877
9-Dec-13,10.60,10.60,10.55,10.56,27732
6-Dec-13,10.61,10.65,10.60,10.60,6200
5-Dec-13,10.60,10.65,10.60,10.60,2782
4-Dec-13,10.69,10.69,10.58,10.58,33643
3-Dec-13,10.70,10.70,10.66,10.67,6667
2-Dec-13,10.72,10.75,10.68,10.70,7795
29-Nov-13,10.62,10.72,10.62,10.72,53381
27-Nov-13,10.60,10.62,10.57,10.62,46405
26-Nov-13,10.58,10.65,10.58,10.59,6929
25-Nov-13,10.55,10.60,10.55,10.56,26876
22-Nov-13,10.62,10.62,10.57,10.60,51046
21-Nov-13,10.61,10.62,10.50,10.62,24059
20-Nov-13,10.55,10.61,10.54,10.61,6064
19-Nov-13,10.62,10.64,10.53,10.59,52391
18-Nov-13,10.72,10.74,10.60,10.60,23582
15-Nov-13,10.70,10.72,10.70,10.71,19652
14-Nov-13,10.74,10.75,10.70,10.73,27081
13-Nov-13,10.70,10.74,10.70,10.73,21403
12-Nov-13,10.70,10.74,10.70,10.70,25262
11-Nov-13,10.68,10.75,10.67,10.74,49016
8-Nov-13,10.65,10.80,10.65,10.68,23370
7-Nov-13,10.76,10.80,10.68,10.70,12320
6-Nov-13,10.80,10.80,10.77,10.80,29452
5-Nov-13,10.76,10.80,10.76,10.78,18452
4-Nov-13,10.81,10.83,10.79,10.80,24510
1-Nov-13,10.80,10.82,10.78,10.80,38747
31-Oct-13,10.84,10.84,10.78,10.81,30661
30-Oct-13,10.86,10.87,10.79,10.85,48164
29-Oct-13,10.86,10.88,10.80,10.87,56557
28-Oct-13,10.89,10.89,10.80,10.83,36137
25-Oct-13,10.81,10.91,10.81,10.91,38470
