Date,Open,High,Low,Close,Volume
31-Dec-13,22.60,22.67,22.41,22.51,11613
30-Dec-13,22.71,22.71,22.41,22.57,5016
27-Dec-13,23.23,23.23,22.52,22.79,9464
26-Dec-13,23.50,23.57,22.96,23.11,5375
24-Dec-13,23.30,23.77,23.29,23.46,10939
23-Dec-13,23.42,23.45,23.15,23.30,21263
20-Dec-13,22.81,23.47,22.81,23.38,58363
19-Dec-13,22.48,22.86,22.45,22.70,6974
18-Dec-13,22.28,22.66,21.85,22.56,19085
17-Dec-13,22.58,22.58,22.16,22.18,7509
16-Dec-13,22.05,22.92,22.05,22.74,12243
13-Dec-13,21.90,22.18,21.80,21.99,10720
12-Dec-13,22.00,22.16,21.91,21.91,8072
11-Dec-13,22.71,22.71,21.87,21.92,17319
10-Dec-13,22.92,23.06,22.39,22.50,25896
9-Dec-13,22.62,23.10,22.61,23.03,21075
6-Dec-13,22.61,22.85,22.40,22.83,24554
5-Dec-13,22.75,23.03,22.04,22.26,17213
4-Dec-13,22.61,22.94,22.51,22.69,10860
3-Dec-13,22.68,22.96,22.31,22.68,10050
2-Dec-13,23.96,23.96,22.70,22.90,7941
29-Nov-13,24.00,24.00,23.65,23.96,9177
27-Nov-13,23.41,23.97,23.41,23.86,7969
26-Nov-13,23.16,23.69,22.96,23.58,11171
25-Nov-13,22.90,23.19,22.78,23.02,15442
22-Nov-13,22.73,22.95,22.66,22.76,17872
21-Nov-13,22.14,22.97,22.08,22.72,22915
20-Nov-13,21.99,22.60,21.90,22.07,8778
19-Nov-13,22.20,22.43,21.95,22.23,18385
18-Nov-13,22.57,22.79,22.02,22.25,12026
15-Nov-13,22.46,22.72,22.33,22.55,19741
14-Nov-13,22.51,22.64,22.30,22.51,23159
13-Nov-13,22.34,22.78,22.15,22.76,8290
12-Nov-13,22.60,22.89,22.53,22.53,6991
11-Nov-13,22.95,22.95,22.55,22.59,91347
8-Nov-13,21.86,23.17,21.86,22.97,28400
7-Nov-13,21.74,21.89,21.50,21.87,37387
6-Nov-13,21.90,22.03,21.74,21.82,5483
5-Nov-13,21.78,22.07,21.54,21.84,14947
4-Nov-13,22.06,22.06,21.74,21.81,23947
1-Nov-13,22.35,22.49,21.31,21.92,40973
31-Oct-13,22.63,23.11,22.19,22.42,49744
30-Oct-13,22.99,23.30,22.75,23.00,28846
29-Oct-13,22.79,23.15,22.50,22.98,20121
28-Oct-13,23.32,23.68,22.68,22.78,29619
25-Oct-13,23.34,23.52,22.67,23.28,30204
24-Oct-13,22.36,23.39,22.02,23.25,57327
23-Oct-13,22.07,22.69,21.87,22.23,55538
22-Oct-13,21.64,22.24,21.24,21.96,29610
21-Oct-13,21.68,21.92,21.33,21.67,24540
18-Oct-13,21.65,21.95,21.21,21.80,31798
17-Oct-13,21.67,21.99,21.33,21.42,29587
16-Oct-13,22.08,22.45,21.76,21.85,11974
15-Oct-13,22.25,22.47,21.81,21.82,23844
14-Oct-13,22.10,22.42,21.69,22.38,28258
11-Oct-13,21.22,22.33,21.08,22.08,31367
10-Oct-13,20.81,21.47,20.63,21.39,28118
9-Oct-13,20.49,20.88,20.36,20.53,18464
8-Oct-13,20.28,20.73,20.11,20.47,32426
7-Oct-13,20.20,20.46,20.12,20.22,28349
4-Oct-13,20.83,21.10,20.37,20.50,21412
3-Oct-13,20.95,21.19,20.59,20.88,24150
2-Oct-13,20.94,21.26,20.75,21.08,24977
