Date,Open,High,Low,Close,Volume
31-Dec-13,9.00,9.08,8.84,9.07,29496
30-Dec-13,9.04,9.04,8.71,8.99,30445
27-Dec-13,9.13,9.15,8.90,9.01,45490
26-Dec-13,9.24,9.35,8.85,9.12,100370
24-Dec-13,9.01,9.25,8.95,9.25,62124
23-Dec-13,8.97,9.13,8.89,9.07,49540
20-Dec-13,8.57,9.31,8.50,8.96,156435
19-Dec-13,8.32,8.61,8.30,8.61,46797
18-Dec-13,8.30,8.36,8.02,8.36,56407
17-Dec-13,8.35,8.44,8.25,8.33,36029
16-Dec-13,8.24,8.38,8.00,8.30,121328
13-Dec-13,8.25,8.25,7.95,8.10,81926
12-Dec-13,8.05,8.15,7.95,8.15,59911
11-Dec-13,8.19,8.47,7.87,8.07,120141
10-Dec-13,8.40,8.44,8.07,8.15,33471
9-Dec-13,8.47,8.51,8.29,8.41,19733
6-Dec-13,8.44,8.50,8.20,8.41,32704
5-Dec-13,8.55,8.55,8.20,8.37,35466
4-Dec-13,8.25,8.46,7.92,8.28,100776
3-Dec-13,8.61,8.65,8.18,8.32,60236
2-Dec-13,8.73,8.73,8.40,8.60,32474
29-Nov-13,8.52,8.80,8.52,8.74,31966
27-Nov-13,8.53,8.70,8.28,8.43,53966
26-Nov-13,8.74,8.85,8.36,8.50,82458
25-Nov-13,8.76,8.76,8.42,8.47,43678
22-Nov-13,8.20,9.04,8.18,8.71,247674
21-Nov-13,7.88,8.31,7.88,8.13,177768
20-Nov-13,7.79,8.00,7.37,7.89,87952
19-Nov-13,7.70,7.87,7.41,7.76,58524
18-Nov-13,7.50,8.00,7.50,7.74,237683
15-Nov-13,7.60,7.70,7.37,7.50,64229
14-Nov-13,6.85,7.65,6.85,7.61,132969
13-Nov-13,6.79,7.00,6.63,6.86,85254
12-Nov-13,6.93,7.08,6.72,6.82,51458
11-Nov-13,6.85,7.01,6.61,6.91,54458
8-Nov-13,6.70,6.95,6.58,6.87,49830
7-Nov-13,6.91,6.94,6.60,6.64,21641
6-Nov-13,6.82,6.99,6.59,6.90,57149
5-Nov-13,6.77,6.95,6.58,6.85,75988
4-Nov-13,6.97,6.98,6.63,6.85,146649
1-Nov-13,7.15,7.16,6.75,7.02,110723
31-Oct-13,7.09,7.31,7.06,7.19,27451
30-Oct-13,7.18,7.26,7.06,7.11,48427
29-Oct-13,7.25,7.36,7.05,7.30,71793
28-Oct-13,7.43,7.50,7.25,7.32,89431
25-Oct-13,7.31,7.45,7.25,7.38,62977
24-Oct-13,7.49,7.50,7.22,7.27,95185
23-Oct-13,7.22,7.50,7.22,7.47,57982
22-Oct-13,7.35,7.47,7.20,7.22,73481
21-Oct-13,7.18,7.49,7.05,7.38,170560
18-Oct-13,7.10,7.25,7.08,7.18,82618
17-Oct-13,7.08,7.17,7.00,7.10,63633
16-Oct-13,7.00,7.18,6.98,7.03,68966
15-Oct-13,6.98,7.07,6.85,6.97,36284
14-Oct-13,6.69,7.11,6.63,7.01,86079
11-Oct-13,6.74,6.95,6.67,6.87,84707
10-Oct-13,6.86,7.22,6.69,6.74,178004
9-Oct-13,6.98,7.00,6.66,6.79,89339
8-Oct-13,7.43,7.45,6.76,7.00,205047
7-Oct-13,6.95,7.51,6.36,7.37,366032
4-Oct-13,7.00,7.65,6.87,7.04,460315
3-Oct-13,6.23,7.00,6.21,6.93,231847
2-Oct-13,6.07,6.40,6.07,6.27,142100
1-Oct-13,5.99,6.25,5.91,6.14,192684
30-Sep-13,5.69,6.10,5.59,5.97,261515
27-Sep-13,5.54,5.72,5.44,5.70,137063
26-Sep-13,5.38,5.54,5.38,5.52,129744
25-Sep-13,5.21,5.40,5.19,5.37,35856
24-Sep-13,5.25,5.40,5.17,5.39,67085
23-Sep-13,5.32,5.32,5.11,5.24,253612
20-Sep-13,5.26,5.35,5.21,5.34,82746
19-Sep-13,5.08,5.44,4.95,5.25,341780
18-Sep-13,5.24,5.24,4.92,5.09,122391
17-Sep-13,5.26,5.29,5.07,5.25,110411
16-Sep-13,5.53,5.56,5.21,5.31,135719
13-Sep-13,5.62,5.62,5.30,5.35,94366
12-Sep-13,5.63,5.65,5.52,5.61,47778
