Date,Open,High,Low,Close,Volume
31-Dec-13,19.44,19.58,19.00,19.10,15509
30-Dec-13,19.31,19.51,19.00,19.38,30702
27-Dec-13,19.80,20.73,18.02,19.38,8027
26-Dec-13,19.60,19.94,19.53,19.72,5856
24-Dec-13,19.25,20.03,19.25,19.54,6099
23-Dec-13,19.00,19.67,19.00,19.63,21398
20-Dec-13,18.92,20.32,18.87,18.87,165767
19-Dec-13,18.71,18.95,18.70,18.83,23506
18-Dec-13,18.29,18.85,18.20,18.80,38425
17-Dec-13,18.38,18.42,18.01,18.21,11027
16-Dec-13,18.16,18.40,18.01,18.33,24008
13-Dec-13,17.77,18.34,17.68,18.03,19213
12-Dec-13,17.80,17.93,17.76,17.80,6913
11-Dec-13,17.68,17.94,17.65,17.76,14349
10-Dec-13,17.63,18.00,17.62,17.75,17368
9-Dec-13,17.63,18.14,17.62,17.81,11546
6-Dec-13,17.89,18.17,17.62,17.90,12286
5-Dec-13,17.62,17.72,17.62,17.68,7146
4-Dec-13,17.65,17.73,17.60,17.61,15119
3-Dec-13,18.28,18.28,17.69,17.69,14052
2-Dec-13,18.00,18.14,17.80,17.82,12400
29-Nov-13,18.40,18.40,18.11,18.33,5545
27-Nov-13,18.65,18.65,18.06,18.34,12847
26-Nov-13,17.78,18.90,17.78,18.68,9739
25-Nov-13,18.00,18.00,17.75,18.00,19997
22-Nov-13,17.76,18.06,17.60,18.03,17884
21-Nov-13,17.85,17.91,17.60,17.70,17412
20-Nov-13,17.62,17.87,17.60,17.63,5639
19-Nov-13,17.75,17.83,17.61,17.75,6636
18-Nov-13,17.92,17.92,17.60,17.75,16055
15-Nov-13,17.45,18.09,17.45,17.91,10384
14-Nov-13,17.44,17.52,17.35,17.45,14682
13-Nov-13,17.30,17.49,17.30,17.40,17541
12-Nov-13,17.27,17.45,17.26,17.36,18306
11-Nov-13,17.50,17.75,17.30,17.30,15886
8-Nov-13,17.40,18.95,17.35,17.56,17565
7-Nov-13,17.75,17.84,17.40,17.40,21023
6-Nov-13,18.20,18.20,17.65,17.66,7586
5-Nov-13,17.87,18.04,17.65,17.94,16365
4-Nov-13,18.10,18.90,17.49,17.87,27185
1-Nov-13,18.29,18.29,17.80,17.98,33344
31-Oct-13,18.52,18.89,17.86,18.34,16674
30-Oct-13,18.83,18.83,18.15,18.45,9928
29-Oct-13,17.91,18.92,17.91,18.65,21722
28-Oct-13,17.91,18.76,17.89,18.76,21673
25-Oct-13,18.37,18.67,17.88,18.28,74344
24-Oct-13,18.33,18.62,18.15,18.29,28249
23-Oct-13,18.20,18.44,18.15,18.28,7071
22-Oct-13,18.17,18.83,18.15,18.35,11697
21-Oct-13,18.50,18.56,18.18,18.35,19934
18-Oct-13,18.91,18.91,18.17,18.69,32834
17-Oct-13,18.79,18.91,18.40,18.66,15662
16-Oct-13,18.48,18.87,18.48,18.84,4309
15-Oct-13,18.84,18.95,18.36,18.65,10161
14-Oct-13,18.58,18.86,18.58,18.86,10992
11-Oct-13,18.58,18.80,18.32,18.80,15159
10-Oct-13,18.40,18.65,18.16,18.64,6947
9-Oct-13,18.16,18.30,18.15,18.20,15206
8-Oct-13,18.18,18.34,18.15,18.15,9952
7-Oct-13,18.12,18.45,18.12,18.18,17516
4-Oct-13,18.00,18.36,18.00,18.12,3837
3-Oct-13,18.46,18.46,18.00,18.01,12464
2-Oct-13,18.33,18.54,18.30,18.33,7674
1-Oct-13,18.58,18.65,18.30,18.50,7069
30-Sep-13,18.30,18.62,18.30,18.55,10809
27-Sep-13,18.36,18.65,18.30,18.42,2251
26-Sep-13,18.70,18.70,18.30,18.38,31894
25-Sep-13,17.62,18.90,17.62,18.54,6833
24-Sep-13,18.20,18.70,17.66,18.52,18053
23-Sep-13,17.74,18.24,17.55,17.99,6090
20-Sep-13,17.51,17.75,17.50,17.74,18611
19-Sep-13,17.88,17.88,17.50,17.50,7825
18-Sep-13,17.60,17.98,17.29,17.91,10728
17-Sep-13,17.12,17.65,17.12,17.54,9821
16-Sep-13,17.00,17.27,17.00,17.17,9886
13-Sep-13,16.98,17.10,16.92,17.09,2168
12-Sep-13,16.90,16.95,16.85,16.90,13355
11-Sep-13,16.84,17.02,16.76,16.81,5651
10-Sep-13,16.88,17.04,16.72,17.02,4626
9-Sep-13,16.64,16.84,16.64,16.75,9081
6-Sep-13,16.72,17.07,16.55,16.56,5576
5-Sep-13,16.66,16.99,16.56,16.61,2964
4-Sep-13,16.71,17.00,16.56,16.60,7097
3-Sep-13,16.72,16.90,16.56,16.61,5125
30-Aug-13,16.91,16.91,16.55,16.62,30303
29-Aug-13,16.66,16.97,16.54,16.96,7160
28-Aug-13,16.30,16.72,16.30,16.55,12368
27-Aug-13,16.85,16.85,16.28,16.30,9819
26-Aug-13,16.82,17.20,16.82,17.02,2765
23-Aug-13,17.24,17.25,16.85,17.14,7893
22-Aug-13,16.49,17.25,16.49,17.24,4490
21-Aug-13,16.63,16.88,16.38,16.77,6096
20-Aug-13,16.98,17.01,15.93,16.72,19637
19-Aug-13,17.05,17.43,16.90,16.94,7083
16-Aug-13,16.80,17.49,16.80,17.19,12457
15-Aug-13,17.30,17.85,16.51,16.91,24999
14-Aug-13,17.86,17.86,17.30,17.54,10198
13-Aug-13,17.78,18.00,17.64,17.81,10411
12-Aug-13,18.26,18.60,17.95,18.07,7852
9-Aug-13,18.49,18.53,18.10,18.28,8569
8-Aug-13,18.52,18.67,18.36,18.59,6045
7-Aug-13,17.80,18.62,17.80,18.46,57670
6-Aug-13,18.30,18.30,17.87,17.87,15318
5-Aug-13,19.30,19.42,18.35,18.40,21473
2-Aug-13,19.46,19.65,19.17,19.30,18785
1-Aug-13,19.63,19.99,19.28,19.55,43706
31-Jul-13,19.25,19.61,19.25,19.56,32254
30-Jul-13,19.66,19.66,19.24,19.45,14544
29-Jul-13,19.80,19.90,19.40,19.54,18413
26-Jul-13,19.95,19.99,19.70,19.86,6535
25-Jul-13,19.75,20.04,19.50,20.03,14463
24-Jul-13,19.23,19.82,19.18,19.73,12328
23-Jul-13,18.73,19.27,18.73,19.24,9953
22-Jul-13,18.86,19.22,18.58,19.22,18529
19-Jul-13,18.90,19.00,18.01,19.00,14352
18-Jul-13,18.69,19.00,18.36,18.94,16147
17-Jul-13,18.30,18.72,18.30,18.70,18230
16-Jul-13,18.64,18.68,18.31,18.31,21352
